match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3933,4010,3527,29,29,9,17,2,12,3,3,0,9
1,qm,blue,5696,6647,7753,71,71,6,15,0,9,6,50,0,6
2,qm,red,5344,6606,3480,27,27,6,18,0,15,3,3,0,6
2,qm,blue,4635,5948,3794,26,26,3,14,2,6,6,9,0,3
3,qm,red,3354,4371,5412,24,24,6,15,0,9,6,3,0,6
3,qm,blue,4731,3472,4775,27,27,6,21,0,15,6,0,0,6
4,qm,red,7161,3522,5716,32,32,12,20,2,12,6,0,0,12
4,qm,blue,7752,2283,3478,37,37,6,28,4,18,6,3,0,6
5,qm,red,4731,7678,4775,27,27,6,21,0,15,6,0,0,6
5,qm,blue,4401,5344,5887,3,3,3,0,0,0,0,0,0,3
6,qm,red,7161,3478,3794,49,49,6,43,4,21,18,0,0,6
6,qm,blue,2283,3522,4635,59,59,12,41,2,21,18,6,0,12
7,qm,red,5887,3527,4371,6,6,3,3,0,0,3,0,0,3
7,qm,blue,3480,4010,4401,41,41,6,35,2,21,12,0,0,6
8,qm,red,5716,3933,5948,61,61,9,28,4,18,6,24,0,9
8,qm,blue,5412,5696,6647,29,29,3,26,2,15,9,0,0,3
9,qm,red,7678,7753,6606,18,18,3,15,0,12,3,0,0,3
9,qm,blue,3354,7752,3472,34,34,9,25,4,12,9,0,0,9
10,qm,red,3794,3527,5696,34,34,9,19,4,9,6,6,0,9
10,qm,blue,5716,7161,4731,25,25,9,13,4,3,6,3,0,9
11,qm,red,4775,3354,6647,50,50,15,35,2,21,12,0,0,15
11,qm,blue,5412,3480,4635,40,40,6,34,4,21,9,0,0,6
12,qm,red,6606,4401,3472,27,27,3,24,0,15,9,0,0,3
12,qm,blue,3478,5887,4010,20,20,6,14,8,3,3,0,0,6
13,qm,red,7752,7753,4371,18,18,3,15,0,12,3,0,0,3
13,qm,blue,3933,5344,3522,57,57,12,45,6,21,18,0,0,12
14,qm,red,5948,2283,3354,38,38,12,23,2,18,3,3,0,12
14,qm,blue,3527,7678,5716,25,25,6,19,10,0,9,0,0,6
15,qm,red,3794,4401,5412,39,39,12,27,0,18,9,0,0,12
15,qm,blue,7161,3933,3480,43,43,6,34,4,21,9,3,0,6
16,qm,red,7678,4010,3522,41,41,9,32,8,15,9,0,0,9
16,qm,blue,5344,6647,4635,54,54,9,45,12,21,12,0,0,9
17,qm,red,4775,3478,5948,63,63,12,41,2,21,18,10,0,12
17,qm,blue,4731,6606,7752,14,14,3,11,2,0,9,0,0,3
18,qm,red,7753,5887,2283,30,30,6,24,0,18,6,0,0,6
18,qm,blue,3472,5696,4371,31,31,6,6,0,0,6,19,0,6
19,qm,red,6606,5716,3478,55,55,9,46,4,24,18,0,0,9
19,qm,blue,3933,7752,7161,69,69,6,43,4,24,15,20,0,6
20,qm,red,5887,3472,4635,44,44,6,38,8,21,9,0,0,6
20,qm,blue,3354,5344,3527,48,48,12,27,0,15,12,9,0,12
21,qm,red,3480,4731,5696,44,44,3,41,8,24,9,0,0,3
21,qm,blue,2283,4775,7678,43,43,12,31,4,24,3,0,0,12
22,qm,red,4371,3522,6647,55,55,9,46,4,21,21,0,0,9
22,qm,blue,5948,7753,4401,32,32,9,20,2,15,3,3,0,9
23,qm,red,3794,4731,3933,38,38,9,29,2,15,12,0,0,9
23,qm,blue,4010,5412,6606,20,20,6,14,2,9,3,0,0,6
24,qm,red,3478,4635,5696,47,47,9,28,10,6,12,10,0,9
24,qm,blue,4401,4371,5716,29,29,6,23,2,15,6,0,0,6
25,qm,red,3480,7753,3527,43,43,12,31,4,21,6,0,0,12
25,qm,blue,7678,3472,3794,32,32,12,20,2,9,9,0,0,12
26,qm,red,4010,5344,2283,36,36,9,27,0,18,9,0,0,9
26,qm,blue,5412,3354,3522,55,55,12,43,4,21,18,0,0,12
27,qm,red,6647,7752,4775,54,54,9,45,6,24,15,0,0,9
