match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6565,5762,7763,56,56,15,38,8,24,6,3,0,15
1,qm,blue,3822,6899,6004,11,11,3,8,2,3,3,0,0,3
2,qm,red,7815,7265,6888,17,17,9,8,2,3,3,0,0,9
2,qm,blue,6894,3680,5854,9,9,6,3,0,0,3,0,0,6
3,qm,red,2059,4534,4290,49,49,6,43,4,21,18,0,0,6
3,qm,blue,6932,6240,3215,17,17,3,14,8,0,6,0,0,3
4,qm,red,7270,5544,1225,22,22,6,16,4,9,3,0,0,6
4,qm,blue,5679,3196,3506,23,23,3,20,2,15,3,0,0,3
5,qm,red,1533,5727,587,34,34,6,25,10,6,9,3,0,6
5,qm,blue,4829,6214,2655,57,57,9,48,18,24,6,0,0,9
6,qm,red,6729,5919,4795,38,38,9,29,2,12,15,0,0,9
6,qm,blue,4935,2640,6512,8,8,0,8,2,0,6,0,0,0
7,qm,red,6004,6932,5544,30,30,9,21,6,9,6,0,0,9
7,qm,blue,7265,7270,4534,36,36,9,24,0,18,6,3,0,9
8,qm,red,6899,587,5679,17,17,6,11,2,3,6,0,0,6
8,qm,blue,2655,6894,1533,50,50,12,38,8,24,6,0,0,12
9,qm,red,4829,6729,7815,29,29,6,23,14,3,6,0,0,6
9,qm,blue,5919,7763,4290,46,46,12,22,10,9,3,12,0,12
10,qm,red,3822,1225,6240,9,9,6,3,0,0,3,0,0,6
10,qm,blue,3506,3680,6512,27,27,12,15,6,0,9,0,0,12
11,qm,red,2640,5762,6888,38,38,9,16,4,6,6,13,0,9
11,qm,blue,6214,3196,6565,45,45,15,30,0,12,18,0,0,15
12,qm,red,4935,4795,5854,47,47,15,29,2,12,15,3,0,15
12,qm,blue,5727,2059,3215,26,26,3,17,8,6,3,6,0,3
13,qm,red,7270,4290,3680,26,26,0,23,2,9,12,3,0,0
13,qm,blue,5679,6894,6932,26,26,3,13,10,0,3,10,0,3
14,qm,red,5762,6214,5544,44,44,15,29,2,18,9,0,0,15
14,qm,blue,1533,4829,6004,24,24,12,12,6,0,6,0,0,12
15,qm,red,2655,6512,3196,72,72,9,63,12,30,21,0,0,9
15,qm,blue,3822,3215,6888,6,6,3,0,0,0,0,3,0,3
16,qm,red,7763,6240,5854,37,37,9,18,12,0,6,10,0,9
16,qm,blue,5919,587,1225,29,29,15,14,2,6,6,0,0,15
17,qm,red,6729,6565,4534,30,30,9,21,0,12,9,0,0,9
17,qm,blue,5727,4795,3506,32,32,9,20,2,3,15,3,0,9
18,qm,red,7265,6899,2640,12,12,6,6,0,0,6,0,0,6
18,qm,blue,7815,2059,4935,49,49,9,37,4,18,15,3,0,9
19,qm,red,3680,5544,1533,59,59,9,47,8,30,9,3,0,9
19,qm,blue,5854,6932,5762,33,33,12,21,6,9,6,0,0,12
20,qm,red,7763,6004,4534,42,42,9,33,18,9,6,0,0,9
20,qm,blue,6888,4290,2655,42,42,9,33,6,21,6,0,0,9
21,qm,red,587,7815,6565,12,12,6,3,0,0,3,3,0,6
21,qm,blue,6240,5679,4935,25,25,15,10,4,0,6,0,0,15
22,qm,red,4795,3822,3196,52,52,6,43,4,21,18,3,0,6
22,qm,blue,4829,6899,5727,24,24,9,15,12,3,0,0,0,9
23,qm,red,5919,6894,6512,18,18,6,9,6,0,3,3,0,6
23,qm,blue,2059,6214,7265,48,48,15,33,0,18,15,0,0,15
24,qm,red,3506,6729,1225,24,24,9,15,0,6,9,0,0,9
24,qm,blue,3215,7270,2640,32,32,3,5,2,0,3,24,0,3
25,qm,red,6004,2655,5679,35,35,9,26,2,18,6,0,0,9
25,qm,blue,5727,3680,4935,35,35,15,20,14,0,6,0,0,15
26,qm,red,2059,6240,5762,48,48,12,36,0,18,18,0,0,12
26,qm,blue,4795,6888,6932,44,44,9,35,8,9,18,0,0,9
27,qm,red,3215,6214,6894,3,3,0,3,0,0,3,0,0,0
27,qm,blue,6899,5544,7763,52,52,12,40,10,21,9,0,0,12
28,qm,red,7265,3506,5919,37,37,12,15,0,0,15,10,0,12
28,qm,blue,6729,7270,587,33,33,12,18,0,9,9,3,0,12
29,qm,red,6512,6565,1533,49,49,15,34,4,21,9,0,0,15
29,qm,blue,1225,4290,7815,24,24,12,12,0,6,6,0,0,12
30,qm,red,2640,3196,5854,44,44,6,35,2,15,18,3,0,6
30,qm,blue,4829,3822,4534,56,56,9,47,14,24,9,0,0,9
31,qm,red,6899,6894,2059,33,33,3,27,0,12,15,3,0,3
31,qm,blue,6729,5727,6240,27,27,12,15,6,0,9,0,0,12
32,qm,red,4290,3506,6214,18,18,9,6,0,0,6,3,0,9
32,qm,blue,4795,7265,587,60,60,15,36,0,15,21,9,0,15
33,qm,red,6932,7815,7270,3,3,0,0,0,0,0,3,0,0
33,qm,blue,5854,2655,3822,31,31,9,22,4,9,9,0,0,9
34,qm,red,3680,2640,6004,49,49,9,28,16,3,9,12,0,9
34,qm,blue,1533,3196,5919,66,66,12,54,6,27,21,0,0,12
35,qm,red,5762,4534,5679,52,52,15,37,4,21,12,0,0,15
35,qm,blue,6512,7763,1225,41,41,15,26,8,0,18,0,0,15
36,qm,red,6565,4829,6888,46,46,15,31,10,15,6,0,0,15
36,qm,blue,4935,3215,5544,57,57,12,35,8,21,6,10,0,12
37,qm,red,6240,587,6214,33,33,9,24,0,12,12,0,0,9
37,qm,blue,2640,3822,6932,37,37,9,16,10,0,6,12,0,9
38,qm,red,6004,6512,5727,19,19,9,10,4,0,6,0,0,9
38,qm,blue,7763,2059,7270,46,46,9,37,10,12,15,0,0,9
39,qm,red,6894,4829,4290,26,26,6,17,8,3,6,3,0,6
39,qm,blue,5762,3506,2655,65,65,12,53,8,30,15,0,0,12
40,qm,red,3680,7265,6729,26,26,15,11,8,3,0,0,0,15
40,qm,blue,5544,5854,6565,60,60,15,39,6,24,9,6,0,15
41,qm,red,4795,5679,7815,47,47,9,29,2,12,15,9,0,9
41,qm,blue,4534,6888,3196,47,47,9,32,2,21,9,6,0,9
42,qm,red,1225,3215,1533,38,38,12,26,2,9,15,0,0,12
42,qm,blue,5919,4935,6899,39,39,9,30,12,0,18,0,0,9
43,qm,red,587,5762,3822,44,44,15,23,2,12,9,6,0,15
43,qm,blue,5544,6512,6729,43,43,9,34,4,21,9,0,0,9
44,qm,red,7265,7763,2655,58,58,15,40,10,18,12,3,0,15
44,qm,blue,6240,2640,4795,38,38,9,29,2,9,18,0,0,9
45,qm,red,4290,1533,6899,37,37,6,31,4,18,9,0,0,6
45,qm,blue,3506,5854,2059,56,56,6,50,8,24,18,0,0,6
46,qm,red,6214,4935,7270,23,23,12,11,2,3,6,0,0,12
46,qm,blue,7815,4534,3680,49,49,9,40,10,24,6,0,0,9
47,qm,red,5679,1225,4829,38,38,15,13,10,0,3,10,0,15
47,qm,blue,6888,6004,6894,14,14,3,11,2,3,6,0,0,3
48,qm,red,3196,6932,5727,56,56,9,47,8,21,18,0,0,9
48,qm,blue,3215,5919,6565,23,23,6,17,2,6,9,0,0,6
49,qm,red,5854,6729,6899,24,24,12,12,0,6,6,0,0,12
49,qm,blue,4534,6512,6214,54,54,9,45,6,24,15,0,0,9
50,qm,red,2640,5544,4829,34,34,15,19,4,12,3,0,0,15
50,qm,blue,7815,6240,6894,9,9,3,6,0,0,6,0,0,3
51,qm,red,3506,4935,6932,44,44,12,23,8,12,3,9,0,12
51,qm,blue,6888,5679,7763,37,37,15,19,10,6,3,3,0,15
52,qm,red,3215,4795,3680,38,38,0,38,8,12,18,0,0,0
52,qm,blue,6004,5919,7270,17,17,3,14,8,0,6,0,0,3
53,qm,red,2655,2059,587,72,72,12,54,6,24,24,6,0,12
53,qm,blue,3196,1225,5762,58,58,15,24,0,15,9,19,0,15
54,qm,red,6565,5727,4290,36,36,15,21,6,9,6,0,0,15
