match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3839,4646,2169,31,31,0,3,0,0,3,28,0,0
1,qm,blue,2239,4239,4506,42,42,12,30,6,9,15,0,0,12
2,qm,red,3293,3750,2227,45,45,6,36,18,12,6,3,0,6
2,qm,blue,141,2077,3278,13,13,0,13,4,0,9,0,0,0
3,qm,red,2175,3082,8,75,75,12,60,18,33,9,3,0,12
3,qm,blue,2502,5658,3026,55,55,15,40,4,15,21,0,0,15
4,qm,red,2500,5929,4181,62,62,9,23,8,9,6,30,0,9
4,qm,blue,4549,4656,2883,54,54,12,42,12,18,12,0,0,12
5,qm,red,5172,7532,2177,50,50,15,35,14,15,6,0,0,15
5,qm,blue,2508,6175,3298,62,62,12,35,8,9,18,15,0,12
6,qm,red,4229,3292,2512,44,44,12,20,8,9,3,12,0,12
6,qm,blue,7257,3036,3300,38,38,15,23,2,12,9,0,0,15
7,qm,red,876,7048,4360,62,62,15,47,8,21,18,0,0,15
7,qm,blue,877,4009,2549,62,62,9,50,8,21,21,3,0,9
8,qm,red,4818,3313,3042,59,59,15,44,8,24,12,0,0,15
8,qm,blue,6709,4539,7529,51,51,12,36,6,15,15,3,0,12
9,qm,red,7677,5998,2502,33,33,12,21,6,15,0,0,0,12
9,qm,blue,7578,3277,2508,27,27,9,18,0,9,9,0,0,9
10,qm,red,2883,3292,3036,52,52,15,37,4,18,15,0,0,15
10,qm,blue,4239,6175,2077,60,60,15,45,12,18,15,0,0,15
11,qm,red,7532,2512,876,67,67,15,52,10,24,18,0,0,15
11,qm,blue,2500,3750,141,58,58,12,46,10,18,18,0,0,12
12,qm,red,3026,3313,6709,40,40,12,28,4,15,9,0,0,12
12,qm,blue,3300,3278,4009,46,46,6,40,4,21,15,0,0,6
13,qm,red,2239,7048,4229,35,35,12,20,8,3,9,3,0,12
13,qm,blue,3293,7529,5658,59,59,12,47,8,21,18,0,0,12
14,qm,red,5929,4506,4360,43,43,9,28,4,6,18,6,0,9
14,qm,blue,8,4818,5998,36,36,12,24,6,12,6,0,0,12
15,qm,red,3082,7578,7677,37,37,12,25,4,18,3,0,0,12
15,qm,blue,4656,4181,3839,37,37,9,28,10,6,12,0,0,9
16,qm,red,4539,2549,3042,64,64,15,49,10,21,18,0,0,15
16,qm,blue,2175,2169,5172,48,48,9,39,12,12,15,0,0,9
17,qm,red,4646,7257,877,27,27,9,18,0,15,3,0,0,9
17,qm,blue,4549,2227,3298,32,32,9,23,8,12,3,0,0,9
18,qm,red,4239,3026,3277,27,27,12,15,6,3,6,0,0,12
18,qm,blue,2177,4818,2512,55,55,15,31,4,18,9,9,0,15
19,qm,red,6709,7677,2508,40,40,12,28,4,15,9,0,0,12
19,qm,blue,3292,3293,7048,46,46,12,34,4,12,18,0,0,12
20,qm,red,3839,2239,876,60,60,15,45,6,24,15,0,0,15
