match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3623,3323,1517,30,30,6,21,12,3,6,3,0,6
1,qm,blue,6324,7674,1277,36,36,12,24,0,15,9,0,0,12
2,qm,red,1307,6811,7314,14,14,9,5,2,0,3,0,0,9
2,qm,blue,126,1247,7133,34,34,9,25,4,18,3,0,0,9
3,qm,red,1058,151,2342,30,30,9,18,6,6,6,3,0,9
3,qm,blue,509,131,3609,35,35,6,29,2,18,9,0,0,6
4,qm,red,213,138,1922,53,53,12,41,8,15,18,0,0,12
4,qm,blue,7126,6337,319,19,19,3,16,10,0,6,0,0,3
5,qm,red,7913,1735,4925,46,46,9,24,0,15,9,13,0,9
5,qm,blue,4034,1729,4473,26,26,3,23,2,18,3,0,0,3
6,qm,red,885,4041,166,47,47,9,38,14,9,15,0,0,9
6,qm,blue,6762,133,6933,56,56,15,41,8,18,15,0,0,15
7,qm,red,6690,319,7674,47,47,9,38,2,18,18,0,0,9
7,qm,blue,2342,7314,1277,15,15,9,6,0,3,3,0,0,9
8,qm,red,1735,1247,3323,24,24,6,18,0,15,3,0,0,6
8,qm,blue,4925,131,213,43,43,6,34,4,21,9,3,0,6
9,qm,red,7126,4473,151,25,25,9,13,10,0,3,3,0,9
9,qm,blue,4034,7133,885,29,29,3,13,4,3,6,13,0,3
10,qm,red,509,6933,6324,38,38,12,26,2,15,9,0,0,12
10,qm,blue,138,7913,6811,17,17,6,11,2,0,9,0,0,6
11,qm,red,1517,1058,3609,26,26,9,17,8,0,9,0,0,9
11,qm,blue,126,1922,133,100,100,15,79,22,39,18,6,0,15
12,qm,red,6337,6762,4041,49,49,9,27,0,9,18,13,0,9
12,qm,blue,1307,3623,6690,29,29,12,11,2,0,9,6,0,12
13,qm,red,166,151,319,74,74,12,56,20,18,18,6,0,12
13,qm,blue,1729,6811,7133,27,27,9,15,0,6,9,3,0,9
14,qm,red,7913,4473,126,38,38,12,26,8,15,3,0,0,12
14,qm,blue,2342,509,138,40,40,12,25,4,12,9,3,0,12
15,qm,red,6690,6762,6324,15,15,6,6,0,0,6,3,0,6
15,qm,blue,1735,3609,213,39,39,12,24,0,15,9,3,0,12
16,qm,red,7126,1922,885,47,47,12,32,14,3,15,3,0,12
16,qm,blue,6933,4041,3323,44,44,9,35,2,15,18,0,0,9
17,qm,red,7674,1247,1058,28,28,9,16,4,3,9,3,0,9
17,qm,blue,6337,166,1729,52,52,12,37,4,21,12,3,0,12
18,qm,red,4925,1307,4034,20,20,3,17,2,9,6,0,0,3
18,qm,blue,131,1277,1517,56,56,12,44,8,18,18,0,0,12
19,qm,red,133,7314,7133,37,37,9,28,4,9,15,0,0,9
19,qm,blue,3623,126,4041,66,66,12,51,12,21,18,3,0,12
20,qm,red,7674,6762,151,31,31,12,19,4,6,9,0,0,12
20,qm,blue,319,6933,4473,16,16,0,13,4,3,6,3,0,0
21,qm,red,6690,1517,6337,41,41,9,32,2,15,15,0,0,9
21,qm,blue,885,1247,7913,30,30,9,21,12,0,9,0,0,9
22,qm,red,7314,1735,138,33,33,12,21,0,12,9,0,0,12
22,qm,blue,3323,1729,1307,40,40,12,28,4,18,6,0,0,12
23,qm,red,2342,131,4034,37,37,6,31,4,18,9,0,0,6
23,qm,blue,1922,6324,6811,38,38,12,23,8,6,9,3,0,12
24,qm,red,166,3609,3623,29,29,15,14,8,0,6,0,0,15
24,qm,blue,509,7126,1058,38,38,9,26,2,6,18,3,0,9
25,qm,red,213,1277,4473,31,31,12,16,4,6,6,3,0,12
25,qm,blue,4925,133,1729,83,83,15,65,14,33,18,3,0,15
26,qm,red,6324,126,6337,61,61,12,39,6,24,9,10,0,12
26,qm,blue,7314,151,6933,31,31,15,10,4,3,3,6,0,15
27,qm,red,138,885,3609,27,27,15,12,0,6,6,0,0,15
27,qm,blue,1735,1307,166,31,31,15,13,4,3,6,3,0,15
28,qm,red,3623,7133,2342,11,11,9,2,2,0,0,0,0,9
28,qm,blue,1517,4925,1922,48,48,9,39,12,12,15,0,0,9
29,qm,red,3323,319,1277,39,39,15,24,6,9,9,0,0,15
29,qm,blue,6762,7913,509,34,34,15,19,4,6,9,0,0,15
30,qm,red,7126,7674,133,36,36,6,30,6,9,15,0,0,6
30,qm,blue,1247,6811,131,41,41,6,35,8,18,9,0,0,6
31,qm,red,4034,1058,213,35,35,6,29,2,21,6,0,0,6
31,qm,blue,7133,4041,6690,32,32,12,20,2,15,3,0,0,12
