match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3314,1626,11,60,60,12,48,6,24,18,0,0,12
1,qm,blue,303,2495,6945,56,56,9,44,8,21,15,3,0,9
2,qm,red,4281,5624,1403,51,51,6,45,12,24,9,0,0,6
2,qm,blue,7587,2554,6860,11,11,3,8,2,0,6,0,0,3
3,qm,red,1279,3340,3515,42,42,12,30,6,15,9,0,0,12
3,qm,blue,4653,136,4573,45,45,12,33,6,24,3,0,0,12
4,qm,red,4285,3142,56,58,58,15,37,4,15,18,6,0,15
4,qm,blue,3637,4035,4652,20,20,9,11,2,6,3,0,0,9
5,qm,red,5732,1676,223,67,67,15,49,10,24,15,3,0,15
5,qm,blue,6897,102,1811,35,35,9,26,2,15,9,0,0,9
6,qm,red,1257,224,5438,44,44,9,32,8,18,6,3,0,9
6,qm,blue,1228,7853,3314,41,41,15,26,2,18,6,0,0,15
7,qm,red,6860,4035,1279,52,52,12,40,4,21,15,0,0,12
7,qm,blue,1676,2495,4652,53,53,12,41,14,18,9,0,0,12
8,qm,red,223,136,224,44,44,15,29,8,12,9,0,0,15
8,qm,blue,1228,1626,4573,52,52,15,34,4,18,12,3,0,15
9,qm,red,4653,5732,4285,43,43,15,28,4,18,6,0,0,15
9,qm,blue,11,3142,2554,64,64,15,46,10,30,6,3,0,15
10,qm,red,7853,5624,1257,45,45,9,30,6,15,9,6,0,9
10,qm,blue,3515,56,3637,51,51,9,42,6,18,18,0,0,9
11,qm,red,1403,1811,7587,47,47,9,38,2,21,15,0,0,9
11,qm,blue,3340,4281,303,30,30,3,27,6,15,6,0,0,3
12,qm,red,6897,5438,3142,37,37,12,25,4,15,6,0,0,12
12,qm,blue,102,6945,56,49,49,9,37,10,12,15,3,0,9
13,qm,red,136,1228,303,36,36,12,24,0,15,9,0,0,12
13,qm,blue,1811,11,1279,64,64,12,46,10,27,9,6,0,12
14,qm,red,6945,1676,4281,52,52,12,40,10,15,15,0,0,12
14,qm,blue,4285,5438,3340,20,20,3,17,8,0,9,0,0,3
15,qm,red,4652,102,5732,43,43,9,24,0,15,9,10,0,9
15,qm,blue,7853,3637,4653,34,34,12,22,4,15,3,0,0,12
16,qm,red,2554,2495,224,24,24,15,9,6,0,3,0,0,15
16,qm,blue,3515,6897,5624,29,29,12,17,2,12,3,0,0,12
17,qm,red,1257,1626,6860,36,36,12,21,0,15,6,3,0,12
17,qm,blue,4035,4573,7587,45,45,15,30,0,18,12,0,0,15
18,qm,red,223,4652,1811,55,55,9,46,10,24,12,0,0,9
18,qm,blue,3314,56,1403,60,60,9,45,12,18,15,6,0,9
19,qm,red,1626,6897,303,51,51,15,26,8,9,9,10,0,15
19,qm,blue,4281,7853,4285,49,49,12,34,4,18,12,3,0,12
20,qm,red,3142,1403,1228,57,57,15,42,6,24,12,0,0,15
20,qm,blue,2495,6860,5732,26,26,9,11,2,6,3,6,0,9
21,qm,red,3515,11,4035,47,47,12,35,8,21,6,0,0,12
21,qm,blue,224,6945,3314,63,63,12,48,6,24,18,3,0,12
22,qm,red,2554,4653,1676,57,57,15,36,12,12,12,6,0,15
22,qm,blue,5624,3637,136,24,24,12,12,6,3,3,0,0,12
23,qm,red,102,223,3340,58,58,15,43,10,21,12,0,0,15
23,qm,blue,1279,4573,1257,63,63,15,48,12,24,12,0,0,15
24,qm,red,56,4035,5438,61,61,12,49,10,21,18,0,0,12
24,qm,blue,6897,224,7587,18,18,9,9,0,0,9,0,0,9
25,qm,red,3637,3340,2495,47,47,6,41,8,24,9,0,0,6
25,qm,blue,6860,223,3515,29,29,12,17,8,9,0,0,0,12
26,qm,red,1676,7853,1626,66,66,15,45,6,24,15,6,0,15
26,qm,blue,1257,4653,1228,51,51,15,36,0,18,18,0,0,15
27,qm,red,2554,1811,5438,49,49,9,40,10,18,12,0,0,9
27,qm,blue,11,102,4281,53,53,12,41,14,21,6,0,0,12
28,qm,red,4573,4652,3142,44,44,15,29,2,18,9,0,0,15
28,qm,blue,303,5732,5624,66,66,12,44,8,24,12,10,0,12
29,qm,red,136,1279,3314,60,60,9,45,6,21,18,6,0,9
29,qm,blue,7587,4285,6945,58,58,12,43,4,21,18,3,0,12
30,qm,red,1403,6897,1676,71,71,9,59,14,36,9,3,0,9
30,qm,blue,4573,11,56,51,51,12,39,6,15,18,0,0,12
31,qm,red,4652,6945,5624,44,44,12,26,2,12,12,6,0,12
31,qm,blue,102,2554,1228,52,52,15,37,4,21,12,0,0,15
32,qm,red,4035,3314,4285,50,50,15,32,2,21,9,3,0,15
32,qm,blue,1626,4653,1811,63,63,15,39,6,24,9,9,0,15
33,qm,red,2495,3142,7587,41,41,12,26,2,18,6,3,0,12
33,qm,blue,224,7853,3340,36,36,15,21,6,0,15,0,0,15
34,qm,red,223,1279,3637,74,74,12,62,14,36,12,0,0,12
34,qm,blue,5438,4281,5732,37,37,9,28,10,9,9,0,0,9
35,qm,red,6860,303,1403,42,42,12,30,6,12,12,0,0,12
35,qm,blue,136,1257,3515,41,41,12,29,2,21,6,0,0,12
36,qm,red,224,1676,3637,72,72,15,57,12,30,15,0,0,15
36,qm,blue,1626,1279,2554,39,39,9,30,6,18,6,0,0,9
37,qm,red,136,7587,102,39,39,12,27,0,15,12,0,0,12
37,qm,blue,4652,3515,7853,20,20,6,11,2,6,3,3,0,6
38,qm,red,5438,303,4573,60,60,12,48,12,21,15,0,0,12
38,qm,blue,2495,5624,4035,41,41,15,26,8,18,0,0,0,15
39,qm,red,3340,3314,5732,36,36,6,30,0,12,18,0,0,6
39,qm,blue,56,6897,6860,38,38,9,29,2,9,18,0,0,9
40,qm,red,6945,1257,1403,70,70,12,58,10,27,21,0,0,12
40,qm,blue,223,4281,4653,49,49,15,34,10,21,3,0,0,15
41,qm,red,4285,1228,11,57,57,6,41,8,21,12,10,0,6
41,qm,blue,1811,3142,3515,48,48,15,30,0,18,12,3,0,15
42,qm,red,56,2554,4281,44,44,12,32,2,21,9,0,0,12
42,qm,blue,136,6860,7853,15,15,9,6,0,0,6,0,0,9
43,qm,red,2495,11,223,56,56,12,44,20,18,6,0,0,12
43,qm,blue,5624,4285,1626,43,43,15,25,4,15,6,3,0,15
44,qm,red,5732,1811,224,36,36,9,27,0,18,9,0,0,9
44,qm,blue,1257,3637,303,47,47,15,32,14,9,9,0,0,15
45,qm,red,7587,4652,3314,36,36,6,27,6,15,6,3,0,6
45,qm,blue,5438,1676,1228,58,58,15,40,10,18,12,3,0,15
46,qm,red,6897,3340,4035,38,38,9,29,2,15,12,0,0,9
46,qm,blue,3142,4653,102,49,49,15,28,4,15,9,6,0,15
47,qm,red,3637,4573,6945,64,64,12,52,10,27,15,0,0,12
47,qm,blue,1279,1403,224,54,54,12,42,12,24,6,0,0,12
48,qm,red,4281,3515,2495,35,35,9,26,2,15,9,0,0,9
48,qm,blue,1676,102,4035,77,77,15,62,14,39,9,0,0,15
49,qm,red,7587,5624,4653,53,53,15,28,4,15,9,10,0,15
49,qm,blue,3314,6860,1811,52,52,12,40,4,15,21,0,0,12
50,qm,red,303,1279,7853,46,46,15,31,10,18,3,0,0,15
50,qm,blue,2554,1257,6897,39,39,6,33,0,15,18,0,0,6
51,qm,red,5732,56,136,47,47,9,38,2,18,18,0,0,9
51,qm,blue,1228,223,6945,58,58,15,43,4,18,21,0,0,15
52,qm,red,1626,3340,3142,44,44,15,29,2,21,6,0,0,15
52,qm,blue,1403,5438,4652,49,49,9,37,10,15,12,3,0,9
53,qm,red,4573,4285,6897,42,42,12,27,0,18,9,3,0,12
53,qm,blue,11,7587,1257,75,75,12,63,12,33,18,0,0,12
54,qm,red,4281,3637,6860,39,39,9,20,8,9,3,10,0,9
54,qm,blue,3314,303,1676,71,71,12,59,14,27,18,0,0,12
55,qm,red,1228,5732,4035,43,43,15,28,4,15,9,0,0,15
55,qm,blue,3340,1403,2554,55,55,15,40,4,24,12,0,0,15
56,qm,red,11,4652,4653,65,65,15,50,14,27,9,0,0,15
56,qm,blue,7853,5438,223,50,50,15,35,8,15,12,0,0,15
57,qm,red,3515,4285,102,47,47,15,29,2,18,9,3,0,15
57,qm,blue,5624,224,4573,35,35,15,20,2,9,9,0,0,15
58,qm,red,1811,56,2495,48,48,12,36,0,15,21,0,0,12
58,qm,blue,6945,1626,136,56,56,9,38,2,21,15,9,0,9
59,qm,red,1279,1228,5624,47,47,6,41,8,24,9,0,0,6
59,qm,blue,3142,4035,4281,43,43,15,28,4,18,6,0,0,15
60,qm,red,6860,224,102,52,52,15,37,4,18,15,0,0,15
60,qm,blue,303,4285,223,67,67,15,42,6,21,15,10,0,15
61,qm,red,7853,6945,3142,61,61,15,46,4,24,18,0,0,15
61,qm,blue,4573,1811,1676,75,75,15,60,12,33,15,0,0,15
62,qm,red,3637,3314,6897,50,50,9,41,8,27,6,0,0,9
