match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,340,743,4121,46,46,3,43,10,18,15,0,0,3
1,qm,blue,1551,1585,870,47,47,12,35,14,15,6,0,0,12
2,qm,red,3015,1559,2544,73,73,12,52,16,27,9,9,0,12
2,qm,blue,1450,3951,3181,38,38,15,23,14,3,6,0,0,15
3,qm,red,3799,7299,578,24,24,9,15,6,0,9,0,0,9
3,qm,blue,3157,6892,4093,46,46,9,37,4,18,15,0,0,9
4,qm,red,1405,3193,217,32,32,9,20,2,9,9,3,0,9
4,qm,blue,3838,271,2340,18,18,3,15,6,6,3,0,0,3
5,qm,red,1126,5590,7635,19,19,6,13,4,6,3,0,0,6
5,qm,blue,3003,1591,6490,53,53,15,38,14,9,15,0,0,15
6,qm,red,2638,2228,5254,69,69,12,57,12,24,21,0,0,12
6,qm,blue,191,7251,120,27,27,15,12,0,3,9,0,0,15
7,qm,red,378,7594,1518,53,53,15,28,4,18,6,10,0,15
7,qm,blue,6868,1511,6870,56,56,12,34,10,21,3,10,0,12
8,qm,red,1507,3117,4361,57,57,15,42,6,15,21,0,0,15
8,qm,blue,28,3173,533,5,5,3,2,2,0,0,0,0,3
9,qm,red,743,2340,3181,19,19,6,13,4,3,6,0,0,6
9,qm,blue,578,3003,3951,41,41,15,26,8,0,18,0,0,15
10,qm,red,217,4121,2544,47,47,15,32,8,18,6,0,0,15
10,qm,blue,7635,6490,3157,57,57,15,42,6,18,18,0,0,15
11,qm,red,7251,6870,1126,47,47,15,32,2,9,21,0,0,15
11,qm,blue,7299,1405,1559,33,33,3,20,8,0,12,10,0,3
12,qm,red,533,4093,1518,33,33,9,21,6,9,6,3,0,9
12,qm,blue,271,1591,1450,50,50,15,35,14,18,3,0,0,15
13,qm,red,3838,191,3173,36,36,12,24,6,12,6,0,0,12
13,qm,blue,378,28,1585,35,35,9,26,2,15,9,0,0,9
14,qm,red,340,5590,6868,59,59,9,50,14,27,9,0,0,9
14,qm,blue,6892,2228,3799,41,41,12,29,8,12,9,0,0,12
15,qm,red,4361,870,7594,68,68,15,47,8,18,21,6,0,15
15,qm,blue,2638,120,3117,61,61,15,36,6,18,12,10,0,15
16,qm,red,1511,3015,3193,56,56,9,47,8,18,21,0,0,9
16,qm,blue,1551,1507,5254,64,64,12,52,10,27,15,0,0,12
17,qm,red,378,1591,7251,57,57,15,42,6,21,15,0,0,15
17,qm,blue,2544,271,743,35,35,12,23,2,12,9,0,0,12
18,qm,red,1559,6868,3838,48,48,9,39,12,12,15,0,0,9
18,qm,blue,5590,191,4121,40,40,15,25,10,9,6,0,0,15
19,qm,red,3951,1518,28,40,40,12,28,4,15,9,0,0,12
19,qm,blue,3117,3799,6490,45,45,15,30,6,18,6,0,0,15
20,qm,red,6892,2340,340,26,26,6,20,8,3,9,0,0,6
20,qm,blue,5254,1450,1126,55,55,9,43,10,21,12,3,0,9
21,qm,red,7635,1511,2228,52,52,9,43,16,24,3,0,0,9
21,qm,blue,3181,4361,3193,43,43,15,28,4,15,9,0,0,15
22,qm,red,120,1551,3157,65,65,12,53,8,27,18,0,0,12
22,qm,blue,3173,1405,578,34,34,9,25,10,9,6,0,0,9
23,qm,red,7594,7299,217,53,53,15,38,2,21,15,0,0,15
