match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,527,287,1665,30,30,9,21,6,3,12,0,0,9
1,qm,blue,3624,195,2607,58,58,12,46,16,12,18,0,0,12
2,qm,red,229,7027,694,59,59,12,47,8,24,15,0,0,12
2,qm,blue,2791,4930,639,73,73,15,58,16,24,18,0,0,15
3,qm,red,329,3044,810,51,51,15,36,6,21,9,0,0,15
3,qm,blue,5585,145,6621,41,41,12,26,8,15,3,3,0,12
4,qm,red,4203,2590,4083,49,49,6,28,4,18,6,15,0,6
4,qm,blue,4458,5030,7672,22,22,6,16,4,6,6,0,0,6
5,qm,red,6300,3171,125,86,86,15,47,14,30,3,24,0,15
5,qm,blue,4547,395,5736,27,27,15,12,0,9,3,0,0,15
6,qm,red,4284,694,7672,52,52,3,46,10,15,21,3,0,3
6,qm,blue,329,4930,287,69,69,15,54,12,24,18,0,0,15
7,qm,red,5585,2607,639,51,51,15,33,6,9,18,3,0,15
7,qm,blue,6300,3624,3171,53,53,12,38,8,18,12,3,0,12
8,qm,red,195,3044,395,30,30,9,21,0,12,9,0,0,9
8,qm,blue,229,2590,4458,34,34,12,22,10,6,6,0,0,12
9,qm,red,6621,5030,4547,30,30,9,21,6,12,3,0,0,9
9,qm,blue,7027,125,527,36,36,6,30,12,12,6,0,0,6
10,qm,red,4203,4284,2791,54,54,12,42,12,12,18,0,0,12
10,qm,blue,810,1665,4083,44,44,12,26,2,9,15,6,0,12
11,qm,red,5736,4458,2590,46,46,12,31,10,18,3,3,0,12
11,qm,blue,287,694,145,70,70,15,52,10,24,18,3,0,15
12,qm,red,3624,639,5585,29,29,15,14,2,9,3,0,0,15
12,qm,blue,2791,810,4547,139,139,15,37,10,15,12,87,0,15
13,qm,red,4083,125,3044,56,56,9,37,4,24,9,10,0,9
13,qm,blue,1665,145,6300,80,80,15,65,14,30,21,0,0,15
14,qm,red,5030,229,329,58,58,15,43,16,24,3,0,0,15
14,qm,blue,527,2607,4284,62,62,12,50,8,21,21,0,0,12
15,qm,red,6621,4930,5736,55,55,12,34,4,24,6,9,0,12
15,qm,blue,7027,7672,195,32,32,6,26,2,18,6,0,0,6
16,qm,red,694,3171,395,57,57,15,42,12,9,21,0,0,15
16,qm,blue,4203,4458,639,48,48,9,20,2,12,6,19,0,9
17,qm,red,4083,6621,329,52,52,15,37,10,9,18,0,0,15
17,qm,blue,3044,2590,4547,49,49,12,37,10,12,15,0,0,12
18,qm,red,527,6300,4203,55,55,12,43,10,24,9,0,0,12
18,qm,blue,1665,3171,4930,82,82,15,52,10,21,21,15,0,15
19,qm,red,195,5585,4284,49,49,9,40,10,21,9,0,0,9
19,qm,blue,395,7672,2607,54,54,12,42,12,15,15,0,0,12
20,qm,red,2791,125,229,67,67,15,46,16,27,3,6,0,15
