match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7200,7902,4903,48,48,9,39,6,21,12,0,0,9
1,qm,blue,3655,3571,4015,38,38,9,29,2,21,6,0,0,9
2,qm,red,6331,6461,288,37,37,9,18,0,9,9,10,0,9
2,qm,blue,2771,6544,2013,26,26,12,11,2,0,9,3,0,12
3,qm,red,4688,1305,216,63,63,12,51,12,18,21,0,0,12
3,qm,blue,6481,244,7664,29,29,15,14,2,9,3,0,0,15
4,qm,red,7757,4476,6336,50,50,15,35,14,18,3,0,0,15
4,qm,blue,4938,4932,2634,51,51,15,36,6,12,18,0,0,15
5,qm,red,4015,3655,1325,74,74,15,59,14,33,12,0,0,15
5,qm,blue,3571,781,2771,30,30,6,24,6,15,3,0,0,6
6,qm,red,4932,6544,244,43,43,15,25,4,12,9,3,0,15
6,qm,blue,7664,2634,2013,47,47,15,32,8,15,9,0,0,15
7,qm,red,6481,1325,6336,59,59,15,35,8,18,9,9,0,15
7,qm,blue,6461,4688,7757,51,51,15,33,6,12,15,3,0,15
8,qm,red,4903,4938,7902,36,36,15,18,6,9,3,3,0,15
8,qm,blue,216,781,4476,49,49,15,34,4,21,9,0,0,15
9,qm,red,6336,288,7200,36,36,9,27,6,18,3,0,0,9
9,qm,blue,6331,6481,1305,63,63,12,48,6,24,18,3,0,12
10,qm,red,2771,3655,244,53,53,15,35,2,15,18,3,0,15
10,qm,blue,6461,3571,6544,42,42,15,17,2,12,3,10,0,15
11,qm,red,1305,4932,2013,56,56,9,47,8,21,18,0,0,9
11,qm,blue,7757,7902,216,24,24,15,9,0,6,3,0,0,15
12,qm,red,7664,4688,781,23,23,9,5,2,0,3,9,0,9
12,qm,blue,1325,288,4015,49,49,12,37,4,21,12,0,0,12
13,qm,red,2634,4476,4903,67,67,15,52,16,27,9,0,0,15
13,qm,blue,6331,7200,4938,26,26,9,17,2,9,6,0,0,9
14,qm,red,7757,244,3571,24,24,15,9,0,6,3,0,0,15
14,qm,blue,6336,2771,4932,46,46,15,31,4,15,12,0,0,15
15,qm,red,2013,7200,1325,49,49,15,34,4,18,12,0,0,15
15,qm,blue,288,7902,3655,40,40,15,25,4,6,15,0,0,15
16,qm,red,2634,6331,216,48,48,12,33,6,15,12,3,0,12
16,qm,blue,1305,6461,4015,58,58,12,46,10,21,15,0,0,12
17,qm,red,4688,4476,6481,66,66,15,51,12,30,9,0,0,15
17,qm,blue,7664,6544,4903,40,40,15,25,10,6,9,0,0,15
18,qm,red,4938,2634,1305,70,70,12,40,10,12,18,18,0,12
18,qm,blue,781,4015,6336,46,46,15,31,4,18,9,0,0,15
19,qm,red,244,2013,6481,12,12,9,3,0,0,3,0,0,9
19,qm,blue,6544,216,1325,63,63,15,45,6,27,12,3,0,15
20,qm,red,7902,6461,7664,56,56,15,31,4,18,9,10,0,15
