match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1285,6162,5406,77,77,12,62,14,30,18,3,0,12
1,qm,blue,5036,1334,5076,32,32,9,23,2,18,3,0,0,9
2,qm,red,2706,7710,6342,36,36,15,21,6,6,9,0,0,15
2,qm,blue,188,7456,4252,48,48,6,39,6,18,15,3,0,6
3,qm,red,1246,5911,7476,38,38,3,12,0,6,6,23,0,3
3,qm,blue,4308,6866,5039,43,43,15,28,4,18,6,0,0,15
4,qm,red,7136,746,7520,33,33,15,18,0,9,9,0,0,15
4,qm,blue,6867,6397,6878,64,64,15,36,12,15,9,13,0,15
5,qm,red,919,5024,5031,24,24,15,9,0,6,3,0,0,15
5,qm,blue,7690,4939,5719,64,64,15,34,4,18,12,15,0,15
6,qm,red,6866,6342,1246,45,45,9,27,0,18,9,9,0,9
6,qm,blue,1285,7136,5911,46,46,9,37,4,24,9,0,0,9
7,qm,red,6878,7710,5031,41,41,15,26,2,15,9,0,0,15
7,qm,blue,746,1334,188,52,52,15,34,4,12,18,3,0,15
8,qm,red,4308,5036,7690,55,55,9,36,6,24,6,10,0,9
8,qm,blue,7476,5076,7520,53,53,15,35,8,18,9,3,0,15
9,qm,red,4252,4939,5024,32,32,9,23,2,15,6,0,0,9
9,qm,blue,7456,5406,919,59,59,12,47,8,24,15,0,0,12
10,qm,red,2706,6397,5039,41,41,12,29,8,15,6,0,0,12
10,qm,blue,6162,6867,5719,55,55,12,30,12,9,9,13,0,12
11,qm,red,7476,7690,7136,46,46,12,34,4,21,9,0,0,12
11,qm,blue,7710,5406,5076,72,72,15,57,12,27,18,0,0,15
12,qm,red,5039,7456,1334,43,43,15,25,4,15,6,3,0,15
12,qm,blue,919,5719,746,30,30,15,15,0,9,6,0,0,15
13,qm,red,5024,6878,6162,63,63,12,35,2,18,15,16,0,12
13,qm,blue,1285,6866,4252,48,48,15,27,0,18,9,6,0,15
14,qm,red,5031,6397,4308,40,40,15,25,4,12,9,0,0,15
14,qm,blue,6867,7520,6342,47,47,12,35,14,12,9,0,0,12
15,qm,red,5036,1246,2706,47,47,12,20,2,9,9,15,0,12
15,qm,blue,4939,188,5911,42,42,9,33,0,18,15,0,0,9
16,qm,red,5719,7136,5406,75,75,15,42,6,21,15,18,0,15
16,qm,blue,6878,919,7520,20,20,9,11,2,6,3,0,0,9
17,qm,red,7690,5039,7710,43,43,15,28,4,15,9,0,0,15
17,qm,blue,6342,746,5024,50,50,12,29,2,9,18,9,0,12
18,qm,red,6397,1285,7476,31,31,9,22,4,12,6,0,0,9
18,qm,blue,5911,7456,2706,8,8,3,5,2,3,0,0,0,3
19,qm,red,1246,5076,4308,52,52,15,37,4,24,9,0,0,15
19,qm,blue,4939,6867,188,58,58,15,43,10,24,9,0,0,15
20,qm,red,5036,6866,6162,36,36,9,27,0,18,9,0,0,9
20,qm,blue,1334,4252,5031,43,43,15,28,4,15,9,0,0,15
21,qm,red,7710,4939,7476,45,45,15,24,6,12,6,6,0,15
21,qm,blue,188,1285,919,57,57,12,42,6,18,18,3,0,12
22,qm,red,5076,5039,746,66,66,15,42,6,18,18,9,0,15
22,qm,blue,2706,6878,4308,46,46,15,31,10,18,3,0,0,15
23,qm,red,6867,5024,6866,65,65,15,44,8,27,9,6,0,15
23,qm,blue,5031,6162,1334,22,22,9,13,4,6,3,0,0,9
24,qm,red,4252,6342,7690,33,33,15,18,0,12,6,0,0,15
24,qm,blue,1246,7136,6397,42,42,6,18,0,15,3,18,0,6
25,qm,red,5719,7520,7456,44,44,15,29,2,18,9,0,0,15
25,qm,blue,5406,5911,5036,73,73,15,52,10,24,18,6,0,15
26,qm,red,6867,188,5076,67,67,15,43,10,24,9,9,0,15
26,qm,blue,5024,1334,7476,64,64,12,39,6,18,15,13,0,12
27,qm,red,7520,7710,5036,59,59,15,35,8,18,9,9,0,15
27,qm,blue,5406,5039,1246,49,49,15,34,4,21,9,0,0,15
28,qm,red,7456,919,4308,46,46,12,34,4,24,6,0,0,12
28,qm,blue,6866,6342,6878,61,61,15,46,10,30,6,0,0,15
29,qm,red,5031,746,1285,63,63,15,45,6,18,21,3,0,15
29,qm,blue,5911,4252,5719,29,29,9,20,8,6,6,0,0,9
30,qm,red,7136,2706,4939,43,43,9,34,4,21,9,0,0,9
30,qm,blue,7690,6162,6397,42,42,12,24,0,15,9,6,0,12
31,qm,red,1334,5719,1285,58,58,15,40,4,21,15,3,0,15
31,qm,blue,7520,4308,5911,38,38,15,23,2,15,6,0,0,15
32,qm,red,5039,6867,746,66,66,15,51,12,18,21,0,0,15
32,qm,blue,7136,4252,5036,34,34,6,28,4,18,6,0,0,6
33,qm,red,6162,188,5406,66,66,12,54,12,27,15,0,0,12
33,qm,blue,7690,1246,7456,47,47,15,32,2,21,9,0,0,15
34,qm,red,6342,7476,919,43,43,12,16,4,6,6,15,0,12
34,qm,blue,6878,5031,4939,45,45,15,30,6,18,6,0,0,15
35,qm,red,5076,2706,6866,53,53,15,35,8,21,6,3,0,15
35,qm,blue,6397,5024,7710,33,33,15,18,6,6,6,0,0,15
36,qm,red,4308,6342,1334,25,25,6,19,4,6,9,0,0,6
36,qm,blue,746,7690,5036,66,66,15,48,6,24,18,3,0,15
37,qm,red,7710,4252,919,29,29,15,14,8,3,3,0,0,15
37,qm,blue,5406,5076,7520,62,62,15,47,14,18,15,0,0,15
38,qm,red,5911,5031,6867,44,44,15,29,14,6,9,0,0,15
38,qm,blue,188,7476,2706,76,76,9,64,16,33,15,3,0,9
39,qm,red,5719,6866,6397,35,35,9,26,2,21,3,0,0,9
39,qm,blue,5039,4939,6162,38,38,15,20,2,12,6,3,0,15
40,qm,red,5024,7136,7456,55,55,15,40,4,18,18,0,0,15
40,qm,blue,1285,1246,6878,61,61,15,40,4,18,18,6,0,15
