match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3192,3636,2550,46,46,12,34,10,18,6,0,0,12
1,qm,blue,1571,568,6831,37,37,15,22,4,15,3,0,0,15
2,qm,red,2915,3131,4488,45,45,12,30,6,15,9,3,0,12
2,qm,blue,4060,2635,3674,45,45,12,33,6,15,12,0,0,12
3,qm,red,5977,2471,1359,14,14,3,11,2,3,6,0,0,3
3,qm,blue,2521,7034,1510,29,29,3,23,8,9,6,3,0,3
4,qm,red,2374,5970,4051,31,31,6,25,4,15,6,0,0,6
4,qm,blue,1540,6465,3024,76,76,12,46,10,15,21,18,0,12
5,qm,red,6845,4662,6696,70,70,12,40,10,21,9,18,0,12
5,qm,blue,3673,5085,2411,26,26,9,17,2,6,9,0,0,9
6,qm,red,2898,1425,4110,50,50,3,44,14,15,15,3,0,3
6,qm,blue,5975,1432,4127,27,27,6,18,6,0,12,3,0,6
7,qm,red,1540,4060,2471,56,56,9,44,14,9,21,3,0,9
7,qm,blue,6831,3131,6465,49,49,15,34,4,18,12,0,0,15
8,qm,red,1359,2915,3636,52,52,6,46,10,27,9,0,0,6
8,qm,blue,6845,2550,7034,52,52,15,37,10,21,6,0,0,15
9,qm,red,5975,5977,3192,9,9,3,6,0,0,6,0,0,3
9,qm,blue,4488,3674,1432,66,66,15,51,6,24,21,0,0,15
10,qm,red,2411,568,2374,28,28,6,19,4,9,6,3,0,6
10,qm,blue,4662,2521,2898,41,41,12,29,8,15,6,0,0,12
11,qm,red,1571,3024,4127,39,39,15,21,0,6,15,3,0,15
11,qm,blue,5970,3673,6696,39,39,15,24,0,15,9,0,0,15
12,qm,red,1425,4051,2635,39,39,9,30,6,18,6,0,0,9
12,qm,blue,4110,5085,1510,40,40,9,31,4,24,3,0,0,9
13,qm,red,1432,1540,6831,54,54,15,39,6,24,9,0,0,15
13,qm,blue,568,2898,6845,57,57,9,45,12,27,6,3,0,9
14,qm,red,6465,2915,2411,40,40,12,28,4,15,9,0,0,12
14,qm,blue,3636,3673,4127,36,36,6,30,6,18,6,0,0,6
15,qm,red,5977,2635,2521,15,15,6,6,0,3,3,3,0,6
15,qm,blue,1571,4051,5975,30,30,9,21,0,12,9,0,0,9
16,qm,red,6696,5085,1425,57,57,12,45,6,21,18,0,0,12
16,qm,blue,3192,2374,2471,31,31,9,22,4,0,18,0,0,9
17,qm,red,3674,7034,4110,42,42,9,33,6,21,6,0,0,9
17,qm,blue,3024,1359,1510,37,37,9,28,4,6,18,0,0,9
18,qm,red,4488,4060,2550,71,71,15,56,14,21,21,0,0,15
18,qm,blue,3131,5970,4662,35,35,15,20,2,15,3,0,0,15
19,qm,red,2471,6845,3673,68,68,12,56,8,27,21,0,0,12
19,qm,blue,4127,4051,5977,39,39,12,24,0,6,18,3,0,12
20,qm,red,6465,5975,3674,46,46,9,34,4,18,12,3,0,9
20,qm,blue,3636,4110,2635,33,33,12,21,0,18,3,0,0,12
21,qm,red,2521,5970,1432,55,55,12,43,10,18,15,0,0,12
21,qm,blue,1510,2374,6831,32,32,15,17,2,15,0,0,0,15
22,qm,red,2915,568,3024,40,40,6,34,10,6,18,0,0,6
22,qm,blue,2411,4488,3192,38,38,15,23,2,3,18,0,0,15
23,qm,red,4060,6696,1359,55,55,15,40,16,12,12,0,0,15
23,qm,blue,2898,2550,5085,59,59,6,53,14,24,15,0,0,6
24,qm,red,1540,3131,7034,80,80,15,59,20,24,15,6,0,15
24,qm,blue,1571,1425,4662,45,45,15,30,6,12,12,0,0,15
25,qm,red,6831,4127,3192,40,40,15,25,4,12,9,0,0,15
25,qm,blue,3024,3636,2374,45,45,6,29,2,18,9,10,0,6
26,qm,red,5970,6465,1359,43,43,9,34,10,12,12,0,0,9
26,qm,blue,5975,2898,6696,47,47,12,35,8,15,12,0,0,12
27,qm,red,2550,4662,4051,38,38,15,20,2,9,9,3,0,15
27,qm,blue,3674,5977,2915,52,52,12,34,4,21,9,6,0,12
28,qm,red,5085,6845,2521,59,59,12,47,8,30,9,0,0,12
28,qm,blue,3131,568,2635,32,32,3,29,2,21,6,0,0,3
29,qm,red,7034,1571,3673,45,45,15,27,6,12,9,3,0,15
29,qm,blue,1432,1425,4060,57,57,9,48,6,18,24,0,0,9
30,qm,red,2471,2411,1510,18,18,6,12,6,0,6,0,0,6
30,qm,blue,4110,1540,4488,70,70,12,58,16,27,15,0,0,12
31,qm,red,568,6696,3636,56,56,15,41,8,24,9,0,0,15
31,qm,blue,6845,5977,5970,40,40,6,34,4,21,9,0,0,6
32,qm,red,7034,1359,1425,62,62,15,47,8,21,18,0,0,15
32,qm,blue,2635,2374,2915,37,37,9,28,4,15,9,0,0,9
33,qm,red,4060,5975,3131,34,34,15,19,4,3,12,0,0,15
33,qm,blue,3673,6831,4051,30,30,12,18,0,9,9,0,0,12
34,qm,red,2550,1510,1540,64,64,15,46,22,9,15,3,0,15
34,qm,blue,4110,2521,4127,51,51,15,36,0,18,18,0,0,15
35,qm,red,3024,4488,2471,45,45,12,30,6,9,15,3,0,12
35,qm,blue,6465,1571,5085,36,36,6,30,0,18,12,0,0,6
36,qm,red,2411,1432,2898,44,44,9,35,8,12,15,0,0,9
36,qm,blue,3674,3192,4662,49,49,15,34,4,21,9,0,0,15
37,qm,red,2374,4127,6696,25,25,15,10,4,3,3,0,0,15
