match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,321,293,316,38,38,15,23,2,15,6,0,0,15
1,qm,blue,4637,747,1218,67,67,6,39,6,15,18,22,0,6
2,qm,red,752,3974,103,56,56,9,47,8,18,21,0,0,9
2,qm,blue,709,4342,2234,54,54,12,42,6,15,21,0,0,12
3,qm,red,1495,433,1168,59,59,9,50,8,24,18,0,0,9
3,qm,blue,5407,2729,2168,72,72,15,51,12,24,15,6,0,15
4,qm,red,2095,2016,7877,42,42,15,18,0,12,6,9,0,15
4,qm,blue,225,7414,4373,58,58,9,49,10,27,12,0,0,9
5,qm,red,7599,5181,486,39,39,12,27,0,12,15,0,0,12
5,qm,blue,708,2539,2180,77,77,12,59,14,27,18,6,0,12
6,qm,red,293,5404,747,56,56,15,41,2,21,18,0,0,15
6,qm,blue,433,316,3974,60,60,12,45,6,21,18,3,0,12
7,qm,red,2095,752,2234,39,39,12,24,6,12,6,3,0,12
7,qm,blue,486,2539,103,69,69,12,57,12,21,24,0,0,12
8,qm,red,4373,4637,321,48,48,9,36,6,15,15,3,0,9
8,qm,blue,7599,7414,2180,40,40,6,34,4,21,9,0,0,6
9,qm,red,4342,5181,1495,66,66,12,51,12,30,9,3,0,12
9,qm,blue,1168,2016,5404,78,78,12,66,12,33,21,0,0,12
10,qm,red,5407,1218,709,79,79,15,64,10,30,24,0,0,15
10,qm,blue,2168,2729,708,77,77,15,62,14,24,24,0,0,15
11,qm,red,2016,321,225,56,56,9,47,14,27,6,0,0,9
11,qm,blue,7877,2234,5404,54,54,12,42,6,21,15,0,0,12
12,qm,red,7414,293,433,52,52,9,43,10,15,18,0,0,9
12,qm,blue,2180,1495,3974,39,39,9,30,6,18,6,0,0,9
13,qm,red,1168,752,1218,60,60,12,38,8,24,6,10,0,12
13,qm,blue,225,4637,709,66,66,12,54,12,27,15,0,0,12
14,qm,red,747,316,708,55,55,15,30,12,3,15,10,0,15
14,qm,blue,5407,4342,2095,73,73,15,58,10,24,24,0,0,15
15,qm,red,2729,4373,7599,41,41,12,29,2,18,9,0,0,12
15,qm,blue,5181,2539,2168,89,89,15,65,14,30,21,9,0,15
16,qm,red,747,2234,103,65,65,12,47,8,27,12,6,0,12
16,qm,blue,4342,486,7877,44,44,12,32,2,21,9,0,0,12
17,qm,red,293,2539,2016,70,70,12,58,10,27,21,0,0,12
17,qm,blue,5407,752,1495,51,51,12,39,6,18,15,0,0,12
18,qm,red,1218,7599,103,62,62,6,47,8,24,15,9,0,6
18,qm,blue,2729,7877,225,53,53,12,41,8,24,9,0,0,12
19,qm,red,321,5404,486,68,68,12,56,8,27,21,0,0,12
19,qm,blue,2180,1168,2168,60,60,12,45,12,18,15,3,0,12
20,qm,red,7414,3974,4637,38,38,6,32,8,9,15,0,0,6
20,qm,blue,5181,316,2095,55,55,15,40,10,18,12,0,0,15
21,qm,red,2016,708,709,53,53,15,38,8,12,18,0,0,15
21,qm,blue,4373,433,321,57,57,12,45,6,27,12,0,0,12
22,qm,red,4637,5407,2180,54,54,12,42,12,12,18,0,0,12
22,qm,blue,103,4342,7414,75,75,9,66,12,33,21,0,0,9
23,qm,red,2095,709,2729,62,62,15,47,2,21,24,0,0,15
23,qm,blue,5181,225,293,57,57,15,42,6,24,12,0,0,15
24,qm,red,1218,316,4373,64,64,15,49,10,21,18,0,0,15
24,qm,blue,708,5404,752,65,65,15,41,2,18,21,9,0,15
25,qm,red,1495,2168,433,54,54,12,39,6,18,15,3,0,12
25,qm,blue,3974,2234,486,47,47,12,35,2,15,18,0,0,12
26,qm,red,747,1168,7877,48,48,12,33,6,18,9,3,0,12
26,qm,blue,2539,2095,7599,35,35,15,20,2,18,0,0,0,15
27,qm,red,316,2180,5404,65,65,15,50,8,24,18,0,0,15
27,qm,blue,321,103,2729,83,83,12,71,14,33,24,0,0,12
28,qm,red,4373,709,752,46,46,12,25,4,6,15,9,0,12
28,qm,blue,7414,747,2539,78,78,12,66,12,36,18,0,0,12
29,qm,red,486,3974,2016,56,56,12,44,2,18,24,0,0,12
29,qm,blue,5181,5407,1218,48,48,15,27,6,6,15,6,0,15
30,qm,red,2168,7877,7599,48,48,12,33,12,12,9,3,0,12
30,qm,blue,4342,708,433,63,63,12,51,6,21,24,0,0,12
31,qm,red,2234,225,1495,74,74,9,59,14,24,21,6,0,9
31,qm,blue,4637,1168,293,51,51,12,39,6,24,9,0,0,12
32,qm,red,3974,2095,2168,72,72,15,57,12,24,21,0,0,15
32,qm,blue,7414,2016,752,43,43,9,34,10,12,12,0,0,9
33,qm,red,1495,293,709,52,52,15,37,4,18,15,0,0,15
33,qm,blue,2180,486,4373,49,49,12,37,4,21,12,0,0,12
34,qm,red,316,4342,225,58,58,6,49,10,24,15,3,0,6
34,qm,blue,433,7877,2539,73,73,9,64,10,33,21,0,0,9
35,qm,red,5404,4637,5181,65,65,12,50,8,24,18,3,0,12
35,qm,blue,708,7599,5407,30,30,9,21,6,9,6,0,0,9
36,qm,red,2729,2234,1218,54,54,15,26,2,15,9,13,0,15
36,qm,blue,747,321,1168,62,62,12,50,14,24,12,0,0,12
37,qm,red,103,2095,4637,76,76,12,51,6,24,21,13,0,12
37,qm,blue,709,7599,1495,47,47,15,32,2,12,18,0,0,15
38,qm,red,2539,2729,316,61,61,12,49,4,24,21,0,0,12
38,qm,blue,2234,4373,2016,16,16,9,7,4,0,3,0,0,9
39,qm,red,293,2168,4342,75,75,15,57,12,27,18,3,0,15
39,qm,blue,7877,321,5407,51,51,12,39,12,6,21,0,0,12
40,qm,red,1168,7414,486,41,41,12,29,8,15,6,0,0,12
40,qm,blue,1218,708,3974,80,80,15,52,10,18,24,13,0,15
