match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5414,7518,2587,54,54,9,42,6,21,15,3,0,9
1,qm,blue,5427,231,624,53,53,15,38,8,18,12,0,0,15
2,qm,red,3834,7494,2882,13,13,3,7,4,0,3,3,0,3
2,qm,blue,6547,7616,1477,23,23,6,17,2,9,6,0,0,6
3,qm,red,7410,4328,7492,40,40,9,31,4,9,18,0,0,9
3,qm,blue,7115,5923,1255,0,0,0,0,0,0,0,0,0,0
4,qm,red,7510,4587,6645,27,27,9,18,0,15,3,0,0,9
4,qm,blue,7440,3335,3103,6,6,3,3,0,0,3,0,0,3
5,qm,red,6488,7418,2585,8,8,0,8,2,3,3,0,0,0
5,qm,blue,5892,6111,2582,57,57,9,48,6,21,21,0,0,9
6,qm,red,3735,5261,5070,50,50,6,21,6,9,6,23,0,6
6,qm,blue,5829,4639,7440,3,3,0,3,0,0,3,0,0,0
7,qm,red,3335,2585,7616,26,26,6,17,2,9,6,3,0,6
7,qm,blue,5414,3103,7492,25,25,6,19,4,6,9,0,0,6
8,qm,red,5923,6645,7410,26,26,12,14,2,6,6,0,0,12
8,qm,blue,7494,5427,7418,27,27,9,18,6,12,0,0,0,9
9,qm,red,5070,5892,6547,3,3,0,0,0,0,0,3,0,0
9,qm,blue,7510,4328,1255,25,25,9,16,4,9,3,0,0,9
10,qm,red,2587,624,5261,53,53,12,41,8,21,12,0,0,12
10,qm,blue,6111,2882,7518,17,17,6,11,2,6,3,0,0,6
11,qm,red,1477,3735,4639,27,27,9,18,0,12,6,0,0,9
11,qm,blue,231,7115,6488,29,29,6,20,8,6,6,3,0,6
12,qm,red,2582,5829,7410,45,45,12,27,6,6,15,6,0,12
12,qm,blue,3103,4587,3834,47,47,12,35,8,21,6,0,0,12
13,qm,red,624,4328,3335,47,47,15,32,8,12,12,0,0,15
13,qm,blue,231,2882,1477,56,56,9,38,2,18,18,9,0,9
14,qm,red,1255,5892,5414,38,38,9,29,8,12,9,0,0,9
14,qm,blue,5829,3834,6488,12,12,9,3,0,0,3,0,0,9
15,qm,red,6547,4587,7115,18,18,12,6,0,3,3,0,0,12
15,qm,blue,5261,2585,5427,42,42,3,36,6,21,9,3,0,3
16,qm,red,2582,6645,7440,30,30,9,21,6,0,15,0,0,9
16,qm,blue,3735,6111,5923,23,23,6,17,2,9,6,0,0,6
17,qm,red,7492,7418,4639,21,21,6,15,6,0,9,0,0,6
17,qm,blue,7510,7518,5070,18,18,6,12,0,6,6,0,0,6
18,qm,red,2587,231,6111,61,61,15,46,10,27,9,0,0,15
