match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6171,704,4192,17,17,6,11,2,6,3,0,0,6
1,qm,blue,5417,6901,6672,48,48,12,33,6,18,9,3,0,12
2,qm,red,7503,1745,7319,24,24,6,8,2,0,6,10,0,6
2,qm,blue,6751,2714,3282,35,35,12,23,2,15,6,0,0,12
3,qm,red,2657,6526,5057,9,9,3,6,0,3,3,0,0,3
3,qm,blue,6768,2848,5682,35,35,6,29,8,9,12,0,0,6
4,qm,red,6144,7303,5503,46,46,6,37,10,12,15,3,0,6
4,qm,blue,7179,6369,2789,46,46,15,28,10,12,6,3,0,15
5,qm,red,6655,4610,3802,33,33,9,24,6,15,3,0,0,9
5,qm,blue,4364,7091,4641,23,23,3,17,2,9,6,3,0,3
6,qm,red,3679,5431,7119,55,55,12,40,10,21,9,3,0,12
6,qm,blue,4206,7120,5682,15,15,0,12,0,9,3,3,0,0
7,qm,red,4641,6171,6526,29,29,6,20,2,12,6,3,0,6
7,qm,blue,6369,3282,1745,25,25,9,16,4,6,6,0,0,9
8,qm,red,7179,5503,6751,41,41,15,26,8,12,6,0,0,15
8,qm,blue,6144,3802,4192,31,31,6,25,10,3,12,0,0,6
9,qm,red,2789,7091,2848,41,41,12,29,2,18,9,0,0,12
9,qm,blue,6655,6672,2657,42,42,12,30,6,18,6,0,0,12
10,qm,red,6901,4610,5057,56,56,9,35,8,21,6,12,0,9
10,qm,blue,7503,7303,7120,12,12,9,3,0,0,3,0,0,9
11,qm,red,5417,4206,7319,34,34,3,31,4,18,9,0,0,3
11,qm,blue,6768,3679,4364,53,53,12,38,8,18,12,3,0,12
12,qm,red,7119,6144,704,40,40,12,28,4,6,18,0,0,12
12,qm,blue,2714,5431,5682,43,43,12,28,4,9,15,3,0,12
13,qm,red,6672,5503,6526,33,33,9,24,0,15,9,0,0,9
13,qm,blue,7319,4364,7120,6,6,0,6,0,0,6,0,0,0
14,qm,red,2789,5417,7503,38,38,9,29,8,12,9,0,0,9
14,qm,blue,7119,6751,3802,33,33,12,21,12,3,6,0,0,12
15,qm,red,1745,4610,6768,52,52,12,40,16,18,6,0,0,12
15,qm,blue,4192,7303,2848,43,43,9,34,4,21,9,0,0,9
16,qm,red,3679,5057,6369,37,37,12,25,4,15,6,0,0,12
16,qm,blue,6171,6655,5431,38,38,9,29,8,15,6,0,0,9
17,qm,red,704,2714,4206,44,44,15,29,2,18,9,0,0,15
17,qm,blue,2657,4641,7179,67,67,12,45,12,24,9,10,0,12
18,qm,red,6901,3282,7119,12,12,3,9,0,6,3,0,0,3
18,qm,blue,7091,1745,5057,17,17,3,14,8,0,6,0,0,3
19,qm,red,4641,3802,5503,36,36,9,27,6,15,6,0,0,9
19,qm,blue,2789,2714,2657,50,50,12,35,8,21,6,3,0,12
20,qm,red,5431,6369,5417,57,57,9,48,18,15,15,0,0,9
20,qm,blue,6655,704,7179,51,51,15,36,6,21,9,0,0,15
21,qm,red,7503,6171,4364,21,21,9,12,6,0,6,0,0,9
