match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2068,1413,1599,65,65,15,50,8,21,21,0,0,15
1,qm,blue,6882,401,3136,15,15,3,12,6,0,6,0,0,3
2,qm,red,2028,1908,7330,30,30,9,21,0,12,9,0,0,9
2,qm,blue,2363,2998,6334,59,59,15,44,14,12,18,0,0,15
3,qm,red,1080,617,3361,25,25,9,16,4,9,3,0,0,9
3,qm,blue,3072,6194,190,33,33,9,24,6,3,15,0,0,9
4,qm,red,3939,4466,4286,26,26,6,20,8,0,12,0,0,6
4,qm,blue,5957,422,5279,54,54,15,39,12,21,6,0,0,15
5,qm,red,977,6504,1610,60,60,15,45,12,21,12,0,0,15
5,qm,blue,6189,2890,1793,34,34,15,19,4,9,6,0,0,15
6,qm,red,7429,5954,3359,36,36,9,18,0,9,9,9,0,9
6,qm,blue,6021,2106,5546,37,37,9,28,4,21,3,0,0,9
7,qm,red,4466,3361,3072,32,32,12,20,8,3,9,0,0,12
7,qm,blue,1413,122,7330,40,40,6,28,10,15,3,6,0,6
8,qm,red,422,6194,6334,47,47,9,38,14,18,6,0,0,9
8,qm,blue,1610,6189,3136,48,48,9,39,12,18,9,0,0,9
9,qm,red,5957,7429,1908,37,37,9,28,4,12,12,0,0,9
9,qm,blue,3939,2106,5954,33,33,12,21,6,9,6,0,0,12
10,qm,red,6021,2998,1599,54,54,12,42,6,21,15,0,0,12
10,qm,blue,977,3359,4286,55,55,15,40,16,9,15,0,0,15
11,qm,red,2028,122,401,56,56,9,47,14,18,15,0,0,9
11,qm,blue,6504,617,2890,9,9,6,3,0,0,3,0,0,6
12,qm,red,6882,5279,5546,32,32,12,20,8,9,3,0,0,12
12,qm,blue,1080,190,2363,72,72,12,60,12,27,21,0,0,12
13,qm,red,1793,7429,1599,66,66,15,51,12,30,9,0,0,15
13,qm,blue,2068,4466,3359,35,35,6,29,2,15,12,0,0,6
14,qm,red,2106,3136,6334,49,49,15,34,16,3,15,0,0,15
14,qm,blue,5957,6504,7330,22,22,12,10,4,3,3,0,0,12
15,qm,red,2028,5279,617,20,20,6,14,2,9,3,0,0,6
15,qm,blue,6189,6882,1908,30,30,15,15,6,0,9,0,0,15
16,qm,red,122,422,2890,56,56,15,41,14,21,6,0,0,15
16,qm,blue,5546,1080,6194,42,42,6,26,8,12,6,10,0,6
17,qm,red,1610,1793,2363,62,62,15,47,14,18,15,0,0,15
17,qm,blue,401,3361,977,47,47,15,32,14,6,12,0,0,15
18,qm,red,2998,3939,1413,46,46,12,34,10,21,3,0,0,12
18,qm,blue,6021,3072,5954,8,8,6,2,2,0,0,0,0,6
19,qm,red,190,5546,4286,41,41,6,29,8,15,6,6,0,6
19,qm,blue,6189,2028,2068,35,35,12,23,2,18,3,0,0,12
20,qm,red,7330,3136,2363,31,31,9,22,10,12,0,0,0,9
20,qm,blue,4466,401,5957,47,47,9,28,4,15,9,10,0,9
21,qm,red,7429,1080,6504,48,48,15,33,6,18,9,0,0,15
21,qm,blue,1908,1413,1610,63,63,15,42,12,21,9,6,0,15
22,qm,red,2890,6882,2106,48,48,15,33,6,12,15,0,0,15
22,qm,blue,3072,4286,2998,44,44,15,29,8,18,3,0,0,15
23,qm,red,6334,3361,6021,42,42,12,30,12,0,18,0,0,12
23,qm,blue,617,3939,422,24,24,6,18,0,12,6,0,0,6
24,qm,red,6194,2068,5279,29,29,9,20,8,6,6,0,0,9
24,qm,blue,1599,5954,977,52,52,9,43,16,18,9,0,0,9
25,qm,red,3359,190,2998,70,70,15,55,10,24,21,0,0,15
25,qm,blue,122,1793,6504,33,33,9,24,12,9,3,0,0,9
26,qm,red,4466,3136,617,35,35,12,23,2,15,6,0,0,12
26,qm,blue,2363,4286,2106,42,42,12,30,6,15,9,0,0,12
27,qm,red,977,5546,5957,50,50,15,35,20,9,6,0,0,15
27,qm,blue,3361,2068,1610,60,60,15,45,18,15,12,0,0,15
28,qm,red,1413,401,422,64,64,15,49,10,30,9,0,0,15
28,qm,blue,190,5954,5279,25,25,3,22,4,3,15,0,0,3
29,qm,red,3072,3939,1793,55,55,15,37,4,15,18,3,0,15
29,qm,blue,7429,2028,6882,45,45,15,30,6,15,9,0,0,15
30,qm,red,7330,6189,1080,14,14,3,11,2,0,9,0,0,3
30,qm,blue,1599,2890,3359,68,68,15,50,8,24,18,3,0,15
31,qm,red,122,6194,6021,31,31,15,16,4,6,6,0,0,15
31,qm,blue,6334,1908,2068,53,53,15,38,8,6,24,0,0,15
32,qm,red,3136,5546,3072,41,41,15,26,2,18,6,0,0,15
32,qm,blue,617,977,2998,60,60,12,48,18,18,12,0,0,12
33,qm,red,3359,1610,6882,46,46,15,31,10,12,9,0,0,15
33,qm,blue,2363,5957,2028,74,74,15,56,14,30,12,3,0,15
34,qm,red,422,190,3361,66,66,15,51,6,21,24,0,0,15
34,qm,blue,6194,7330,7429,23,23,12,12,6,3,3,0,-1,12
35,qm,red,5954,401,2890,33,33,15,18,0,0,18,0,0,15
35,qm,blue,6334,122,4466,54,54,15,39,12,9,18,0,0,15
36,qm,red,6504,1413,4286,42,42,15,27,6,6,15,0,0,15
36,qm,blue,1080,1908,3939,46,46,12,34,4,18,12,0,0,12
37,qm,red,1599,2106,6189,61,61,15,46,4,21,21,0,0,15
37,qm,blue,5279,6021,1793,44,44,12,29,2,21,6,3,0,12
38,qm,red,2890,4466,7429,35,35,15,20,8,3,9,0,0,15
38,qm,blue,190,977,2028,64,64,12,46,10,18,18,6,0,12
39,qm,red,3361,2363,3939,62,62,15,47,14,15,18,0,0,15
39,qm,blue,2068,2998,1080,31,31,15,16,4,6,6,0,0,15
40,qm,red,4286,422,1908,57,57,15,42,6,21,15,0,0,15
40,qm,blue,3359,5546,401,61,61,12,49,4,21,24,0,0,12
41,qm,red,6189,5957,6194,47,47,9,38,8,12,18,0,0,9
41,qm,blue,1610,6334,3072,66,66,15,51,12,18,21,0,0,15
42,qm,red,617,1599,7330,20,20,3,17,2,9,6,0,0,3
42,qm,blue,1793,2106,1413,79,79,15,58,10,30,18,6,0,15
43,qm,red,6882,5954,122,43,43,15,28,10,12,6,0,0,15
43,qm,blue,6504,6021,3136,30,30,3,24,0,9,15,3,0,3
44,qm,red,5279,2363,6189,60,60,15,45,6,21,18,0,0,15
44,qm,blue,5546,7429,2998,66,66,15,51,18,21,12,0,0,15
45,qm,red,2890,5957,3072,57,57,15,42,12,9,21,0,0,15
45,qm,blue,1599,1908,401,61,61,9,52,10,27,15,0,0,9
46,qm,red,2106,422,2068,76,76,15,61,10,27,24,0,0,15
46,qm,blue,1413,2028,3361,59,59,15,44,8,18,18,0,0,15
47,qm,red,1080,3359,6021,33,33,12,21,0,12,9,0,0,12
47,qm,blue,6504,6194,4466,24,24,15,9,6,0,3,0,0,15
48,qm,red,1610,7330,190,46,46,9,37,10,12,15,0,0,9
48,qm,blue,617,4286,5954,20,20,9,11,2,6,3,0,0,9
49,qm,red,5279,977,122,53,53,15,35,14,15,6,3,0,15
49,qm,blue,6882,6334,3939,48,48,12,36,18,0,18,0,0,12
50,qm,red,1793,2028,4466,62,62,15,47,8,30,9,0,0,15
50,qm,blue,6194,3136,1413,38,38,15,23,2,15,6,0,0,15
51,qm,red,6021,6189,190,41,41,15,26,2,9,15,0,0,15
51,qm,blue,2106,617,7429,36,36,9,27,0,12,15,0,0,9
52,qm,red,4286,1610,1599,68,68,15,53,8,30,15,0,0,15
52,qm,blue,1908,122,2363,65,65,15,50,14,24,12,0,0,15
53,qm,red,3136,1793,977,59,59,15,34,16,12,6,10,0,15
53,qm,blue,422,1080,5954,51,51,15,36,6,21,9,0,0,15
54,qm,red,7330,5546,6334,50,50,9,41,14,12,15,0,0,9
54,qm,blue,3072,6882,2068,61,61,15,46,10,15,21,0,0,15
55,qm,red,3939,3359,6504,41,41,15,26,2,12,12,0,0,15
55,qm,blue,5279,3361,2890,41,41,15,26,2,12,12,0,0,15
56,qm,red,2998,5957,2106,57,57,15,42,12,12,18,0,0,15
56,qm,blue,401,1080,1793,42,42,12,30,6,6,18,0,0,12
57,qm,red,617,3072,122,52,52,12,40,10,12,18,0,0,12
57,qm,blue,2363,7429,422,58,58,9,49,16,15,18,0,0,9
58,qm,red,2028,6504,1599,61,61,15,46,4,24,18,0,0,15
58,qm,blue,3939,7330,977,37,37,9,28,16,3,9,0,0,9
59,qm,red,1908,5279,3359,49,49,15,34,4,15,15,0,0,15
59,qm,blue,3136,2068,190,51,51,15,36,6,18,12,0,0,15
60,qm,red,401,2998,6194,53,53,15,38,14,21,3,0,0,15
60,qm,blue,5546,4466,1610,50,50,9,41,14,18,9,0,0,9
61,qm,red,5954,1413,6189,37,37,15,22,4,15,3,0,0,15
61,qm,blue,3361,6882,5957,51,51,15,33,12,9,12,3,0,15
62,qm,red,6334,2890,1080,49,49,15,34,10,9,15,0,0,15
62,qm,blue,4286,6021,7429,34,34,15,9,0,6,3,10,0,15
63,qm,red,1793,2068,617,51,51,12,39,6,21,12,0,0,12
63,qm,blue,2998,7330,5279,66,66,12,54,12,30,12,0,0,12
64,qm,red,1908,6504,3361,33,33,15,18,0,9,9,0,0,15
64,qm,blue,422,1599,4466,46,46,12,31,4,15,12,3,0,12
65,qm,red,1413,190,6882,77,77,15,52,10,27,15,10,0,15
65,qm,blue,2890,2363,6194,63,63,15,48,12,21,15,0,0,15
66,qm,red,401,1610,6021,59,59,15,44,14,15,15,0,0,15
66,qm,blue,5546,3939,2028,60,60,9,51,12,21,18,0,0,9
67,qm,red,5954,5957,3136,41,41,15,23,8,3,12,3,0,15
67,qm,blue,4286,122,6189,38,38,15,23,8,12,3,0,0,15
68,qm,red,977,3072,2106,59,59,15,44,8,27,9,0,0,15
68,qm,blue,3359,6334,1413,89,89,15,64,16,24,24,10,0,15
69,qm,red,4466,2363,6882,57,57,15,39,6,15,18,3,0,15
69,qm,blue,7330,6021,422,35,35,12,23,2,15,6,0,0,12
70,qm,red,3361,1793,5546,49,49,9,40,10,18,12,0,0,9
70,qm,blue,3136,4286,2890,31,31,15,6,0,0,6,10,0,15
71,qm,red,5954,1610,2028,51,51,15,33,12,12,9,3,0,15
71,qm,blue,5279,3072,1080,46,46,12,34,4,15,15,0,0,12
72,qm,red,190,6334,617,63,63,9,54,12,21,21,0,0,9
72,qm,blue,5957,1599,3939,64,64,15,49,10,21,18,0,0,15
73,qm,red,6194,977,1908,68,68,15,53,26,15,12,0,0,15
73,qm,blue,2106,3359,122,68,68,12,56,14,21,21,0,0,12
74,qm,red,7429,2068,401,50,50,15,35,2,12,21,0,0,15
74,qm,blue,2998,6189,6504,53,53,15,38,8,21,9,0,0,15
1,qf,red,2363,190,4466,73,73,15,58,16,21,21,0,0,15
1,qf,blue,122,401,3136,47,47,12,32,8,6,18,3,0,12
2,qf,red,2363,190,4466,58,58,15,43,10,12,21,0,0,15
2,qf,blue,122,401,3136,47,47,15,29,2,9,18,3,0,15
1,qf,red,1413,2106,5546,58,58,12,46,10,24,12,0,0,12
1,qf,blue,2028,3359,2068,50,50,15,35,2,21,12,0,0,15
2,qf,red,1413,2106,5546,74,74,12,56,14,21,21,6,0,12
2,qf,blue,2028,3359,2068,44,44,9,35,2,18,15,0,0,9
1,qf,red,1610,1599,6882,53,53,15,38,8,9,21,0,0,15
1,qf,blue,1793,977,1908,50,50,15,32,8,15,9,3,0,15
2,qf,red,1610,1599,6882,69,69,15,51,12,18,21,3,0,15
2,qf,blue,1793,977,1908,51,51,15,36,6,21,9,0,0,15
1,qf,red,2998,6334,5279,78,78,15,60,18,24,18,3,0,15
1,qf,blue,422,5957,3072,71,71,15,56,14,24,18,0,0,15
2,qf,red,2998,6334,5279,69,69,15,54,18,18,18,0,0,15
2,qf,blue,422,5957,3072,62,62,15,47,14,24,9,0,0,15
1,sf,red,2363,190,4466,75,75,15,60,12,27,21,0,0,15
1,sf,blue,1413,2106,5546,45,45,12,33,12,12,9,0,0,12
2,sf,red,2363,190,4466,68,68,15,53,14,27,12,0,0,15
2,sf,blue,1413,2106,5546,74,74,12,56,14,24,18,6,0,12
3,sf,red,2363,190,4466,71,71,15,56,14,30,12,0,0,15
3,sf,blue,1413,2106,5546,81,81,12,69,18,27,24,0,0,12
1,sf,red,1610,1599,6882,87,87,15,72,18,33,21,0,0,15
1,sf,blue,2998,6334,5279,53,53,15,38,20,15,3,0,0,15
2,sf,red,1610,1599,6882,72,72,15,57,12,27,18,0,0,15
2,sf,blue,2998,6334,5279,60,60,15,45,12,12,21,0,0,15
1,f,red,1413,2106,5546,67,67,12,52,10,18,24,3,0,12
1,f,blue,1610,1599,6882,80,80,15,65,14,33,18,0,0,15
