match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4125,3693,4692,54,54,12,42,6,18,18,0,0,12
1,qm,blue,2944,3711,5803,46,46,12,34,4,21,9,0,0,12
2,qm,red,3218,6443,5468,49,49,12,37,10,9,18,0,0,12
2,qm,blue,1595,2926,3712,21,21,6,15,6,6,3,0,0,6
3,qm,red,6076,2910,4104,47,47,3,44,14,18,12,0,0,3
3,qm,blue,4911,5920,7776,34,34,6,28,16,0,12,0,0,6
4,qm,red,4131,3220,1318,56,56,6,50,14,24,12,0,0,6
4,qm,blue,6442,7803,2522,33,33,9,24,0,18,6,0,0,9
5,qm,red,7696,5295,2148,26,26,6,20,14,3,3,0,0,6
5,qm,blue,2605,4061,2811,54,54,12,20,2,15,3,22,0,12
6,qm,red,5803,3218,4980,47,47,12,32,8,15,9,3,0,12
6,qm,blue,2522,4131,6443,66,66,15,51,6,24,21,0,0,15
7,qm,red,3693,2910,2944,62,62,9,47,14,18,15,6,0,9
7,qm,blue,3711,3712,5295,36,36,6,30,0,15,15,0,0,6
8,qm,red,4104,4061,4125,48,48,12,36,6,21,9,0,0,12
8,qm,blue,6076,7696,3220,3,3,0,3,0,0,3,0,0,0
9,qm,red,1318,5920,2926,48,48,12,36,6,12,18,0,0,12
9,qm,blue,4692,4980,1595,76,76,15,43,10,12,21,18,0,15
10,qm,red,2148,7803,2811,26,26,9,17,8,6,3,0,0,9
10,qm,blue,2605,4911,6442,28,28,9,19,4,3,12,0,0,9
11,qm,red,3220,2522,7776,42,42,9,33,6,15,12,0,0,9
11,qm,blue,3711,5468,7696,48,48,6,39,12,9,18,3,0,6
12,qm,red,4980,1318,2910,91,91,9,72,24,33,15,10,0,9
12,qm,blue,4061,4692,2148,54,54,15,39,6,15,18,0,0,15
13,qm,red,3693,5468,5803,45,45,9,36,12,18,6,0,0,9
13,qm,blue,4911,4104,2944,35,35,12,23,14,0,9,0,0,12
14,qm,red,3712,2926,2605,18,18,9,9,0,0,9,0,0,9
14,qm,blue,6442,4125,2811,43,43,15,28,4,15,9,0,0,15
15,qm,red,5295,3218,1595,64,64,15,40,10,21,9,9,0,15
15,qm,blue,7776,4131,7803,37,37,6,31,4,21,6,0,0,6
16,qm,red,6076,6443,2148,40,40,9,31,16,0,15,0,0,9
16,qm,blue,5920,4104,3712,21,21,3,18,0,15,3,0,0,3
17,qm,red,4061,4911,3711,58,58,12,46,4,24,18,0,0,12
17,qm,blue,3218,2926,2811,30,30,15,15,0,9,6,0,0,15
18,qm,red,5920,2605,3693,24,24,6,18,0,9,9,0,0,6
18,qm,blue,4131,4125,6076,68,68,9,41,8,24,9,18,0,9
19,qm,red,5468,4980,2522,40,40,9,31,16,6,9,0,0,9
19,qm,blue,2944,7776,6442,30,30,12,18,0,12,6,0,0,12
20,qm,red,4692,2910,5295,88,88,15,73,16,33,24,0,0,15
20,qm,blue,6443,7696,7803,29,29,9,20,2,3,15,0,0,9
21,qm,red,1318,3693,3220,41,41,3,38,8,21,9,0,0,3
21,qm,blue,1595,5803,6442,54,54,15,39,6,15,18,0,0,15
22,qm,red,2944,2522,7696,38,38,9,29,2,18,9,0,0,9
22,qm,blue,2926,5295,7803,27,27,15,6,0,0,6,6,0,15
23,qm,red,3220,5468,5920,43,43,6,37,10,21,6,0,0,6
23,qm,blue,2605,2148,3218,37,37,9,28,10,12,6,0,0,9
24,qm,red,4980,3712,6443,43,43,9,34,16,3,15,0,0,9
24,qm,blue,4061,6076,1318,58,58,12,46,10,21,15,0,0,12
25,qm,red,3711,4692,4104,53,53,12,41,2,18,21,0,0,12
25,qm,blue,4125,1595,7776,55,55,15,30,6,15,9,10,0,15
26,qm,red,4911,2811,5803,63,63,15,48,6,24,18,0,0,15
26,qm,blue,4131,2910,5920,27,27,6,18,6,9,3,3,0,6
27,qm,red,6442,3711,6076,41,41,9,29,2,9,18,3,0,9
27,qm,blue,5295,4692,5468,49,49,12,37,16,12,9,0,0,12
28,qm,red,2926,4131,4980,58,58,12,46,10,30,6,0,0,12
28,qm,blue,3693,2148,4911,36,36,3,30,18,6,6,3,0,3
29,qm,red,2910,4061,2522,65,65,9,53,14,18,21,3,0,9
29,qm,blue,2944,6443,4125,54,54,15,36,6,12,18,3,0,15
30,qm,red,2605,4104,3218,48,48,9,39,6,21,12,0,0,9
30,qm,blue,7696,1318,1595,59,59,12,37,16,6,15,10,0,12
31,qm,red,2811,7776,3712,47,47,12,35,2,18,15,0,0,12
31,qm,blue,5803,7803,3220,54,54,9,45,6,24,15,0,0,9
32,qm,red,4125,7696,4911,60,60,15,45,12,24,9,0,0,15
32,qm,blue,1318,6442,2910,96,96,9,63,18,27,18,24,0,9
33,qm,red,7776,5803,5295,66,66,15,51,12,21,18,0,0,15
33,qm,blue,2148,3220,3711,55,55,6,49,10,21,18,0,0,6
34,qm,red,3218,2944,4061,65,65,15,47,8,30,9,3,0,15
34,qm,blue,6076,2605,4692,53,53,12,41,2,21,18,0,0,12
35,qm,red,5920,7803,4980,84,84,9,18,0,15,3,57,0,9
35,qm,blue,5468,3712,3693,16,16,3,13,10,0,3,0,0,3
36,qm,red,2811,1595,4131,56,56,9,37,4,18,15,10,0,9
36,qm,blue,6443,4104,2926,48,48,15,30,12,0,18,3,0,15
37,qm,red,6442,5295,5920,46,46,9,34,4,21,9,3,0,9
37,qm,blue,2522,3218,3693,54,54,9,45,12,27,6,0,0,9
38,qm,red,6443,3220,1595,53,53,6,32,2,15,15,15,0,6
38,qm,blue,1318,2944,4911,49,49,12,34,10,15,9,3,0,12
39,qm,red,7696,2926,7776,50,50,15,20,2,12,6,15,0,15
39,qm,blue,4104,4131,5803,51,51,12,33,6,21,6,6,0,12
40,qm,red,7803,3711,2605,27,27,6,21,0,15,6,0,0,6
40,qm,blue,3712,4980,4061,47,47,9,35,8,21,6,3,0,9
41,qm,red,2522,2811,4692,62,62,15,41,2,21,18,6,0,15
41,qm,blue,2910,2148,5468,87,87,9,68,20,30,18,10,0,9
42,qm,red,4125,2605,1318,70,70,12,55,16,21,18,3,0,12
42,qm,blue,5803,6076,2926,31,31,15,16,4,6,6,0,0,15
43,qm,red,5920,4692,3218,66,66,12,54,12,24,18,0,0,12
43,qm,blue,4104,3220,4980,49,49,6,43,10,15,18,0,0,6
44,qm,red,2148,2944,3712,30,30,9,21,18,3,0,0,0,9
44,qm,blue,2522,4125,5295,74,74,15,59,14,21,24,0,0,15
45,qm,red,7803,1595,6076,6,6,3,3,0,0,3,0,0,3
45,qm,blue,3693,2811,6443,57,57,12,45,12,18,15,0,0,12
46,qm,red,4061,6442,4131,64,64,12,43,10,24,9,9,0,12
46,qm,blue,3711,7776,2910,67,67,12,52,10,24,18,3,0,12
47,qm,red,5468,4911,6076,49,49,9,34,16,9,9,6,0,9
47,qm,blue,7696,4980,4125,41,41,9,32,8,12,12,0,0,9
48,qm,red,2910,2811,2944,81,81,15,60,18,24,18,6,0,15
48,qm,blue,7803,3218,1318,59,59,9,50,8,24,18,0,0,9
49,qm,red,3712,7696,4131,45,45,9,33,6,24,3,3,0,9
49,qm,blue,5468,7776,4061,73,73,15,34,10,15,9,24,0,15
50,qm,red,2148,4104,2522,60,60,12,48,12,27,9,0,0,12
50,qm,blue,1595,5920,3711,53,53,12,41,2,21,18,0,0,12
51,qm,red,3220,6443,2605,58,58,15,43,4,21,18,0,0,15
51,qm,blue,4692,5803,4911,71,71,12,53,8,27,18,6,0,12
52,qm,red,2926,6442,5468,47,47,12,35,14,12,9,0,0,12
52,qm,blue,5295,3693,4104,23,23,6,17,2,0,15,0,0,6
53,qm,red,7776,2148,6076,28,28,12,16,4,6,6,0,0,12
53,qm,blue,4980,2944,3218,41,41,12,29,8,6,15,0,0,12
54,qm,red,3693,1595,4061,35,35,12,23,2,15,6,0,0,12
54,qm,blue,5803,2522,2605,71,71,15,56,8,27,21,0,0,15
55,qm,red,3711,1318,6443,59,59,12,47,8,18,21,0,0,12
55,qm,blue,2811,5920,7696,56,56,15,41,2,21,18,0,0,15
56,qm,red,3712,6442,7803,21,21,6,15,0,9,6,0,0,6
56,qm,blue,2910,4125,2926,84,84,15,66,18,27,21,3,0,15
57,qm,red,4131,4911,4692,70,70,12,58,10,30,18,0,0,12
57,qm,blue,3220,5295,2944,41,41,9,32,2,12,18,0,0,9
58,qm,red,1595,5803,2910,81,81,12,69,18,27,24,0,0,12
58,qm,blue,2926,2522,3711,67,67,12,55,10,27,18,0,0,12
59,qm,red,5295,2605,4131,54,54,9,45,6,21,18,0,0,9
59,qm,blue,4980,3218,2148,68,68,9,53,14,24,15,6,0,9
60,qm,red,7776,1318,4104,40,40,9,31,4,18,9,0,0,9
60,qm,blue,4911,3712,3220,48,48,9,36,6,24,6,3,0,9
61,qm,red,4692,6442,7696,42,42,15,27,0,9,18,0,0,15
61,qm,blue,2811,6076,3693,30,30,12,15,0,0,15,3,0,12
62,qm,red,7803,5468,4125,47,47,12,35,8,18,9,0,0,12
62,qm,blue,6443,4061,5920,55,55,15,40,10,12,18,0,0,15
1,qf,red,5803,2910,2926,73,73,15,58,10,24,24,0,0,15
1,qf,blue,4911,4131,3218,54,54,9,45,12,24,9,0,0,9
2,qf,red,5803,2910,2926,84,84,15,66,12,27,27,3,0,15
2,qf,blue,4911,4131,3218,42,42,9,33,6,21,6,0,0,9
1,qf,red,1318,4061,6442,62,62,15,47,8,30,9,0,0,15
1,qf,blue,3711,1595,3220,55,55,12,33,0,15,18,10,0,12
2,qf,red,1318,4061,6442,48,48,15,33,6,9,18,0,0,15
2,qf,blue,3711,1595,3220,40,40,3,37,4,15,18,0,0,3
1,qf,red,5468,4692,2944,61,61,15,46,10,18,18,0,0,15
1,qf,blue,5295,2811,5920,52,52,12,40,4,15,21,0,0,12
2,qf,red,5468,4692,2944,62,62,15,47,14,15,18,0,0,15
2,qf,blue,5295,2811,5920,53,53,12,41,2,18,21,0,0,12
1,qf,red,2522,6443,7776,64,64,15,49,4,24,21,0,0,15
1,qf,blue,4125,4980,2605,56,56,12,34,4,12,18,10,0,12
2,qf,red,2522,6443,7776,71,71,15,53,8,24,21,3,0,15
2,qf,blue,4125,4980,2605,42,42,12,27,6,15,6,3,0,12
1,sf,red,5803,2910,2926,90,90,15,75,18,30,27,0,0,15
1,sf,blue,1318,4061,6442,42,42,12,30,6,15,9,0,0,12
2,sf,red,5803,2910,2926,84,84,15,69,18,24,27,0,0,15
2,sf,blue,1318,4061,6442,43,43,15,28,4,15,9,0,0,15
