match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3482,6174,6238,53,53,12,23,2,18,3,18,0,12
1,qm,blue,6883,5480,4904,46,46,15,28,4,15,9,3,0,15
2,qm,red,3598,2473,2141,69,69,15,44,8,21,15,10,0,15
2,qm,blue,5458,7137,5419,62,62,12,50,14,21,15,0,0,12
3,qm,red,7529,2204,5871,51,51,12,39,6,24,9,0,0,12
3,qm,blue,6612,1072,199,47,47,12,35,8,27,0,0,0,12
4,qm,red,3859,701,5940,48,48,12,36,12,18,6,0,0,12
4,qm,blue,3250,5507,3669,29,29,12,17,2,0,15,0,0,12
5,qm,red,2551,6657,4135,58,58,12,46,10,27,9,0,0,12
5,qm,blue,2085,100,4643,50,50,9,41,8,24,9,0,0,9
6,qm,red,5496,3257,7229,33,33,9,24,6,9,9,0,0,9
6,qm,blue,5430,7802,6305,38,38,12,26,8,12,6,0,0,12
7,qm,red,5250,6619,6474,43,43,6,37,4,21,12,0,0,6
7,qm,blue,5027,6981,2839,45,45,12,20,2,9,9,13,0,12
8,qm,red,6358,5875,1323,68,68,12,56,14,24,18,0,0,12
8,qm,blue,3880,6662,7870,35,35,12,10,4,0,6,13,0,12
9,qm,red,1458,973,4698,83,83,15,68,14,36,18,0,0,15
9,qm,blue,2367,6644,5274,48,48,12,36,6,24,6,0,0,12
10,qm,red,1056,6918,7663,44,44,15,29,2,21,6,0,0,15
10,qm,blue,6238,1678,3189,29,29,12,17,8,3,6,0,0,12
11,qm,red,7137,7229,2551,42,42,9,33,6,21,6,0,0,9
11,qm,blue,3257,1072,3250,40,40,15,25,10,3,12,0,0,15
12,qm,red,6657,5458,6619,42,42,15,27,0,15,12,0,0,15
12,qm,blue,6305,2204,5507,64,64,12,52,10,24,18,0,0,12
13,qm,red,6612,7870,2839,38,38,9,26,2,18,6,3,0,9
13,qm,blue,4643,6883,3880,47,47,9,22,10,0,12,16,0,9
14,qm,red,199,1323,4904,85,85,15,70,16,33,21,0,0,15
14,qm,blue,1458,5419,5496,36,36,9,27,6,15,6,0,0,9
15,qm,red,3189,5430,2367,56,56,12,24,0,18,6,20,0,12
