match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5107,968,3309,44,44,6,38,2,21,15,0,0,6
1,qm,blue,589,5634,330,51,51,6,42,6,21,15,3,0,6
2,qm,red,4578,687,867,49,49,9,37,10,21,6,3,0,9
2,qm,blue,2496,5669,6515,17,17,9,8,2,0,6,0,0,9
3,qm,red,207,4415,4276,67,67,12,55,10,27,18,0,0,12
3,qm,blue,6938,848,294,30,30,15,15,0,0,15,0,0,15
4,qm,red,2375,6000,4141,30,30,9,21,0,15,6,0,0,9
4,qm,blue,4,5124,4763,37,37,12,25,4,18,3,0,0,12
5,qm,red,368,1759,5089,66,66,12,45,12,24,9,9,0,12
5,qm,blue,4999,980,5802,31,31,6,25,4,18,3,0,0,6
6,qm,red,580,7455,6904,6,6,3,0,0,0,0,3,0,3
6,qm,blue,3476,1197,7230,28,28,9,19,10,0,9,0,0,9
7,qm,red,1515,597,606,57,57,15,23,2,9,12,19,0,15
7,qm,blue,5510,3408,7871,23,23,15,8,2,0,6,0,0,15
8,qm,red,4019,4123,6955,33,33,9,24,0,18,6,0,0,9
8,qm,blue,2710,1972,5199,44,44,6,38,8,18,12,0,0,6
9,qm,red,1452,5512,6658,42,42,12,24,6,12,6,6,0,12
9,qm,blue,7042,3952,7185,51,51,6,33,6,21,6,12,0,6
10,qm,red,5124,589,4964,25,25,6,19,4,12,3,0,0,6
10,qm,blue,4501,4999,867,29,29,9,20,2,12,6,0,0,9
11,qm,red,4763,3476,5669,15,15,6,6,0,0,6,3,0,6
11,qm,blue,5107,294,368,40,40,12,25,4,18,3,3,0,12
12,qm,red,7230,4,5089,54,54,12,42,6,21,15,0,0,12
12,qm,blue,1197,6515,606,16,16,6,10,4,0,6,0,0,6
13,qm,red,330,687,980,60,60,15,45,12,27,6,0,0,15
13,qm,blue,848,580,1972,14,14,6,5,2,0,3,3,0,6
14,qm,red,5802,4123,6000,52,52,9,31,4,18,9,12,0,9
14,qm,blue,5510,6904,1452,62,62,12,37,4,21,12,13,0,12
15,qm,red,4501,4276,3309,78,78,15,60,12,27,21,3,0,15
15,qm,blue,7455,6658,1515,40,40,9,31,10,12,9,0,0,9
16,qm,red,7042,2375,2710,41,41,15,20,2,12,6,6,0,15
16,qm,blue,3408,6938,597,48,48,15,33,6,15,12,0,0,15
17,qm,red,4141,7871,6955,38,38,3,16,4,6,6,19,0,3
