match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6039,1671,6506,67,67,12,35,2,18,15,20,0,12
1,qm,blue,192,3495,5817,44,44,15,29,2,18,9,0,0,15
2,qm,red,6665,2035,6410,30,30,12,18,0,12,6,0,0,12
2,qm,blue,7413,4255,3128,62,62,12,50,8,27,15,0,0,12
3,qm,red,6353,4171,6884,40,40,12,28,4,18,6,0,0,12
3,qm,blue,2643,7308,852,22,22,9,7,4,0,3,6,0,9
4,qm,red,702,6814,2073,64,64,12,52,16,30,6,0,0,12
4,qm,blue,253,5823,4984,54,54,9,45,6,21,18,0,0,9
5,qm,red,5171,6822,1280,29,29,3,20,2,15,3,6,0,3
5,qm,blue,7528,7401,3256,36,36,9,27,0,12,15,0,0,9
6,qm,red,581,7777,299,30,30,9,21,0,12,9,0,0,9
6,qm,blue,5104,6059,7667,46,46,9,27,0,18,9,10,0,9
7,qm,red,6506,5823,7413,36,36,12,24,0,18,6,0,0,12
7,qm,blue,6039,6353,7308,38,38,12,26,2,9,15,0,0,12
8,qm,red,4255,2643,3256,34,34,6,28,4,9,15,0,0,6
8,qm,blue,6884,7528,1671,34,34,15,19,4,12,3,0,0,15
9,qm,red,7401,6822,6814,30,30,9,18,0,12,6,3,0,9
9,qm,blue,702,7777,5817,48,48,15,33,6,21,6,0,0,15
10,qm,red,3495,2035,6059,29,29,6,23,8,12,3,0,0,6
10,qm,blue,852,7667,4171,27,27,9,18,0,12,6,0,0,9
11,qm,red,581,4984,192,52,52,6,43,10,24,9,3,0,6
11,qm,blue,5104,6665,1280,49,49,12,37,4,18,15,0,0,12
12,qm,red,299,2073,3128,66,66,12,54,12,27,15,0,0,12
12,qm,blue,253,6410,5171,49,49,15,34,4,21,9,0,0,15
13,qm,red,2035,7401,7413,36,36,12,24,0,18,6,0,0,12
13,qm,blue,6822,6059,6884,41,41,9,32,8,18,6,0,0,9
14,qm,red,3495,7667,2643,46,46,15,31,4,21,6,0,0,15
14,qm,blue,6039,6814,1280,36,36,12,18,0,12,6,6,0,12
15,qm,red,6353,5104,852,52,52,15,37,4,24,9,0,0,15
15,qm,blue,253,299,192,70,70,15,37,10,18,9,18,0,15
16,qm,red,7308,4984,7528,23,23,12,8,2,0,6,3,0,12
16,qm,blue,6665,7777,1671,36,36,15,18,0,3,15,3,0,15
17,qm,red,5817,4255,6506,55,55,12,30,6,21,3,13,0,12
17,qm,blue,5823,4171,2073,39,39,3,36,12,21,3,0,0,3
18,qm,red,6410,581,3128,55,55,9,43,4,24,15,3,0,9
18,qm,blue,702,3256,5171,52,52,15,37,4,24,9,0,0,15
19,qm,red,6822,6665,3495,46,46,15,31,4,18,9,0,0,15
19,qm,blue,2035,2643,6353,34,34,15,19,4,6,9,0,0,15
20,qm,red,2073,852,5817,62,62,12,50,14,27,9,0,0,12
20,qm,blue,1671,7401,7667,48,48,12,36,0,18,18,0,0,12
21,qm,red,192,6884,702,55,55,15,40,4,24,12,0,0,15
21,qm,blue,3128,7528,5171,57,57,15,42,6,18,18,0,0,15
22,qm,red,4171,581,6506,41,41,9,32,2,21,9,0,0,9
22,qm,blue,6814,299,6410,38,38,15,23,2,12,9,0,0,15
23,qm,red,1280,253,7308,46,46,15,31,4,21,6,0,0,15
23,qm,blue,6059,4255,5823,39,39,9,27,0,9,18,3,0,9
24,qm,red,7777,3256,6039,32,32,9,23,2,3,18,0,0,9
24,qm,blue,4984,7413,5104,49,49,9,40,10,24,6,0,0,9
25,qm,red,6814,6884,852,47,47,15,19,10,6,3,13,0,15
25,qm,blue,2073,6353,6410,26,26,12,14,2,6,6,0,0,12
26,qm,red,4171,1671,1280,36,36,12,21,0,18,3,3,0,12
26,qm,blue,3128,6506,6665,50,50,15,35,2,18,15,0,0,15
27,qm,red,5823,7528,702,57,57,12,39,6,24,9,6,0,12
27,qm,blue,299,6822,2035,6,6,3,3,0,0,3,0,0,3
28,qm,red,7401,7777,6059,18,18,6,9,0,6,3,3,0,6
28,qm,blue,4255,581,6039,41,41,9,32,2,12,18,0,0,9
29,qm,red,5817,3256,7308,42,42,12,30,6,18,6,0,0,12
29,qm,blue,7413,253,3495,69,69,15,51,12,33,6,3,0,15
30,qm,red,4984,5171,7667,39,39,15,24,0,15,9,0,0,15
30,qm,blue,2643,192,5104,40,40,12,28,4,15,9,0,0,12
31,qm,red,6884,3128,7401,52,52,12,34,4,15,15,6,0,12
31,qm,blue,6665,5823,6353,39,39,12,27,0,15,12,0,0,12
32,qm,red,5817,6410,7413,56,56,12,44,8,24,12,0,0,12
32,qm,blue,1671,6059,299,44,44,6,38,2,18,18,0,0,6
