match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1584,1303,3374,38,38,6,32,2,12,18,0,0,6
1,qm,blue,662,4386,2240,42,42,12,27,6,3,18,3,0,12
2,qm,red,7737,1619,2341,101,101,9,56,14,27,15,36,0,9
2,qm,blue,4593,3807,4388,32,32,6,26,8,15,3,0,0,6
3,qm,red,159,2259,3288,14,14,12,2,2,0,0,0,0,12
3,qm,blue,2972,2261,7537,45,45,9,36,6,18,12,0,0,9
4,qm,red,5763,2036,2395,36,36,12,24,0,15,9,0,0,12
4,qm,blue,5657,7243,3729,23,23,6,17,2,9,6,0,0,6
5,qm,red,1339,4418,4944,63,63,15,48,12,27,9,0,0,15
5,qm,blue,1157,2996,4293,74,74,15,59,14,27,18,0,0,15
6,qm,red,1799,7479,1410,43,43,6,37,10,21,6,0,0,6
6,qm,blue,4550,3200,3172,51,51,6,42,6,27,9,3,0,6
7,qm,red,4499,5493,2083,44,44,9,35,8,18,9,0,0,9
7,qm,blue,7485,3648,2945,32,32,9,23,2,18,3,0,0,9
8,qm,red,7891,1977,5578,39,39,9,30,12,12,6,0,0,9
8,qm,blue,4068,1245,624,63,63,12,51,12,24,15,0,0,12
9,qm,red,3158,1583,1726,66,66,12,45,12,18,15,9,0,12
9,qm,blue,1332,6652,1339,31,31,9,22,4,9,9,0,0,9
10,qm,red,7537,4386,3172,18,18,6,12,0,12,0,0,0,6
10,qm,blue,4388,2972,1619,77,77,9,68,14,33,21,0,0,9
11,qm,red,5763,7485,5493,29,29,9,20,8,3,9,0,0,9
11,qm,blue,4418,662,2341,42,42,15,24,6,9,9,3,0,15
12,qm,red,5578,7479,4593,41,41,9,32,8,18,6,0,0,9
12,qm,blue,2036,159,1410,56,56,12,41,14,18,9,3,0,12
13,qm,red,3729,1332,4068,40,40,12,28,10,12,6,0,0,12
13,qm,blue,3288,1303,3648,40,40,12,18,0,9,9,10,0,12
14,qm,red,7737,624,3158,52,52,12,40,4,24,12,0,0,12
14,qm,blue,4550,5657,4944,47,47,9,38,14,21,3,0,0,9
15,qm,red,1583,1977,3200,46,46,15,31,10,15,6,0,0,15
15,qm,blue,7891,2395,2083,38,38,15,23,8,6,9,0,0,15
16,qm,red,3374,2240,2945,74,74,15,59,14,27,18,0,0,15
16,qm,blue,1799,2996,6652,56,56,9,47,8,21,18,0,0,9
