match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6023,6925,7315,39,39,9,30,6,18,6,0,0,9
1,qm,blue,6340,4026,3635,64,64,9,55,10,27,18,0,0,9
2,qm,red,5074,6715,2974,54,54,9,45,12,24,9,0,0,9
2,qm,blue,4941,5332,5840,52,52,9,43,10,24,9,0,0,9
3,qm,red,1795,7470,4516,5,5,3,2,2,0,0,0,0,3
3,qm,blue,6139,1648,7883,27,27,9,18,0,12,6,0,0,9
4,qm,red,3091,5482,5900,6,6,3,3,0,0,3,0,0,3
4,qm,blue,7499,4195,4910,53,53,12,41,8,15,18,0,0,12
5,qm,red,4188,6910,5828,37,37,15,22,4,12,6,0,0,15
5,qm,blue,4730,5219,3344,25,25,9,6,0,0,6,10,0,9
6,qm,red,1414,5632,1102,65,65,12,53,14,21,18,0,0,12
6,qm,blue,4193,7427,6023,27,27,6,21,6,6,9,0,0,6
7,qm,red,3344,5840,5482,52,52,12,31,4,18,9,9,0,12
7,qm,blue,4026,6139,4941,63,63,12,48,12,21,15,3,0,12
8,qm,red,5900,6910,5074,18,18,9,9,0,3,6,0,0,9
8,qm,blue,7883,7427,3091,38,38,9,29,2,21,6,0,0,9
9,qm,red,7470,5828,4910,65,65,15,50,8,27,15,0,0,15
9,qm,blue,1102,6340,7315,58,58,9,49,10,30,9,0,0,9
10,qm,red,3635,5219,4193,44,44,6,38,8,24,6,0,0,6
10,qm,blue,5332,1795,6715,25,25,6,19,4,12,3,0,0,6
11,qm,red,1648,7499,4188,31,31,15,13,4,3,6,3,0,15
11,qm,blue,1414,6925,2974,51,51,6,45,12,18,15,0,0,6
12,qm,red,4026,4195,4730,54,54,6,45,12,15,18,3,0,6
12,qm,blue,5332,5632,4516,46,46,12,34,10,18,6,0,0,12
13,qm,red,2974,7315,4188,61,61,9,52,16,33,3,0,0,9
13,qm,blue,3344,4910,7427,51,51,15,36,6,12,18,0,0,15
14,qm,red,3091,1414,6340,68,68,6,52,10,27,15,10,0,6
14,qm,blue,6715,5828,4195,12,12,9,3,0,0,3,0,0,9
15,qm,red,1648,4516,4193,28,28,9,19,4,9,6,0,0,9
15,qm,blue,5840,6023,3635,50,50,12,38,8,24,6,0,0,12
16,qm,red,6925,6139,5074,34,34,9,25,4,12,9,0,0,9
