match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5906,5041,1732,42,42,9,30,6,21,3,3,0,9
1,qm,blue,967,7646,3206,26,26,9,17,2,0,15,0,0,9
2,qm,red,1622,6630,2957,50,50,15,29,2,12,15,6,0,15
2,qm,blue,6455,6164,6889,42,42,12,30,12,9,9,0,0,12
3,qm,red,3633,7309,2538,36,36,9,27,6,15,6,0,0,9
3,qm,blue,2530,7541,1985,48,48,12,36,12,3,21,0,0,12
4,qm,red,3352,4260,7531,26,26,9,17,2,12,3,0,0,9
4,qm,blue,5935,5013,6217,54,54,9,42,12,12,18,3,0,9
5,qm,red,6732,6379,7142,20,20,6,14,2,9,3,0,0,6
5,qm,blue,3928,6317,6424,64,64,12,52,10,27,15,0,0,12
6,qm,red,4021,930,6391,73,73,15,55,16,21,18,3,0,15
6,qm,blue,6420,171,5837,18,18,12,6,0,3,3,0,0,12
7,qm,red,648,5914,904,31,31,3,22,4,12,6,6,0,3
7,qm,blue,525,2526,7021,77,77,15,62,14,27,21,0,0,15
8,qm,red,6166,7411,4536,45,45,9,27,12,12,3,9,0,9
8,qm,blue,5576,1625,469,52,52,15,37,10,21,6,0,0,15
9,qm,red,5906,4260,6455,38,38,15,20,14,3,3,3,0,15
9,qm,blue,3633,6317,7531,35,35,9,26,8,18,0,0,0,9
10,qm,red,967,5837,3928,79,79,15,58,16,30,12,6,0,15
10,qm,blue,3352,7309,6630,49,49,15,34,4,21,9,0,0,15
11,qm,red,904,1985,171,45,45,12,30,6,15,9,3,0,12
11,qm,blue,1732,7646,5935,57,57,12,45,6,24,15,0,0,12
12,qm,red,4536,7541,5013,58,58,9,49,10,21,18,0,0,9
12,qm,blue,6391,3206,7021,65,65,15,50,8,27,15,0,0,15
13,qm,red,6420,469,6379,20,20,9,11,8,3,0,0,0,9
13,qm,blue,7411,2957,525,58,58,9,43,16,15,12,6,0,9
14,qm,red,6424,648,6732,51,51,9,42,6,18,18,0,0,9
14,qm,blue,1622,1625,4021,69,69,15,32,8,15,9,22,0,15
15,qm,red,7142,5576,930,47,47,15,32,14,9,9,0,0,15
15,qm,blue,5914,5041,2530,37,37,12,25,10,6,9,0,0,12
