match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,81,2704,1781,49,49,6,40,4,18,18,3,0,6
1,qm,blue,4256,4212,4241,60,60,15,45,12,24,9,0,0,15
2,qm,red,2081,4645,1736,45,45,15,24,0,15,9,6,0,15
2,qm,blue,4655,1756,2039,65,65,15,47,8,18,21,3,0,15
3,qm,red,1094,2040,5690,46,46,15,31,4,18,9,0,0,15
3,qm,blue,2481,2709,1329,19,19,3,16,4,6,6,0,0,3
4,qm,red,5822,4143,7848,62,62,15,47,14,18,15,0,0,15
4,qm,blue,2022,4156,5442,39,39,12,24,6,3,15,3,0,12
5,qm,red,6651,2013,6237,44,44,15,29,2,18,9,0,0,15
5,qm,blue,3695,7417,4096,66,66,15,51,12,21,18,0,0,15
6,qm,red,5847,5126,4314,46,46,15,31,16,3,12,0,0,15
6,qm,blue,4646,1288,6055,51,51,15,33,6,21,6,3,0,15
7,qm,red,2358,7465,4156,66,66,12,54,12,24,18,0,0,12
7,qm,blue,323,4213,1094,71,71,15,56,14,30,12,0,0,15
8,qm,red,1756,6237,2709,43,43,12,31,4,9,18,0,0,12
8,qm,blue,4143,4256,2481,81,81,12,66,12,36,18,3,0,12
9,qm,red,5690,1736,2704,47,47,9,35,8,18,9,3,0,9
9,qm,blue,7848,6055,6651,42,42,9,33,0,18,15,0,0,9
10,qm,red,2013,4096,1781,54,54,12,42,12,12,18,0,0,12
10,qm,blue,2039,2022,1288,56,56,12,44,8,27,9,0,0,12
11,qm,red,7417,4314,4212,49,49,6,43,10,24,9,0,0,6
11,qm,blue,2081,4655,5442,62,62,15,47,8,21,18,0,0,15
12,qm,red,2358,4213,3695,71,71,15,56,14,21,21,0,0,15
12,qm,blue,4645,5126,4241,33,33,12,18,0,9,9,3,0,12
13,qm,red,7465,5822,2040,43,43,12,31,10,12,9,0,0,12
13,qm,blue,81,5847,4646,56,56,15,41,14,9,18,0,0,15
14,qm,red,4096,2022,323,55,55,15,40,16,15,9,0,0,15
14,qm,blue,1756,1329,1288,74,74,12,62,14,30,18,0,0,12
15,qm,red,2358,4241,5442,33,33,6,27,12,9,6,0,0,6
15,qm,blue,2709,4143,6651,57,57,9,48,6,24,18,0,0,9
16,qm,red,5126,4646,1094,40,40,15,25,4,12,9,0,0,15
16,qm,blue,4655,81,4213,63,63,15,45,6,18,21,3,0,15
17,qm,red,3695,2039,1736,67,67,15,52,10,30,12,0,0,15
17,qm,blue,5690,5822,4212,54,54,12,42,12,18,12,0,0,12
18,qm,red,4156,7848,2081,48,48,15,33,0,12,21,0,0,15
18,qm,blue,2481,7465,7417,49,49,9,40,10,21,9,0,0,9
19,qm,red,6237,6055,323,65,65,15,50,14,24,12,0,0,15
19,qm,blue,2013,4256,2040,68,68,15,53,14,24,15,0,0,15
20,qm,red,1329,2704,4314,40,40,12,28,10,3,15,0,0,12
20,qm,blue,5847,1781,4645,64,64,15,49,10,15,24,0,0,15
21,qm,red,4646,7417,2039,54,54,15,39,6,21,12,0,0,15
21,qm,blue,4213,4143,4156,75,75,15,57,12,24,21,3,0,15
22,qm,red,4256,323,2709,54,54,9,45,12,30,3,0,0,9
22,qm,blue,4655,5822,2022,78,78,15,63,12,33,18,0,0,15
23,qm,red,1329,1094,7848,52,52,15,37,4,24,9,0,0,15
23,qm,blue,4241,3695,2013,72,72,15,45,6,21,18,12,0,15
24,qm,red,1781,1288,4314,60,60,12,45,12,15,18,3,0,12
24,qm,blue,2040,6651,2358,52,52,12,40,10,24,6,0,0,12
25,qm,red,4645,4212,2481,29,29,3,26,14,3,9,0,0,3
25,qm,blue,6055,7465,5126,36,36,15,21,0,15,6,0,0,15
26,qm,red,2704,1756,4096,59,59,15,44,14,12,18,0,0,15
26,qm,blue,5847,5442,5690,53,53,15,38,8,21,9,0,0,15
27,qm,red,81,2081,1329,65,65,12,53,8,24,21,0,0,12
27,qm,blue,1781,1736,6237,63,63,15,48,6,21,21,0,0,15
28,qm,red,4655,4212,323,47,47,15,32,8,18,6,0,0,15
28,qm,blue,7848,2040,4213,68,68,15,53,8,24,21,0,0,15
29,qm,red,5822,4645,4646,51,51,15,36,18,3,15,0,0,15
29,qm,blue,1094,2481,1756,68,68,15,53,14,21,18,0,0,15
30,qm,red,6651,5442,7465,41,41,9,32,2,18,12,0,0,9
30,qm,blue,5126,4096,2709,37,37,9,28,4,9,15,0,0,9
31,qm,red,81,2022,3695,73,73,12,61,10,30,21,0,0,12
31,qm,blue,2013,2081,6055,61,61,15,46,4,24,18,0,0,15
32,qm,red,4143,2039,2704,50,50,15,35,2,15,18,0,0,15
32,qm,blue,4314,5690,6237,55,55,15,40,10,9,21,0,0,15
33,qm,red,4156,7417,4256,50,50,12,38,8,24,6,0,0,12
33,qm,blue,1288,1736,5847,56,56,15,41,8,24,9,0,0,15
34,qm,red,5822,4241,1756,59,59,15,44,14,9,21,0,0,15
34,qm,blue,2358,4655,1329,77,77,12,59,14,24,21,6,0,12
35,qm,red,4213,6055,4096,84,84,15,69,12,33,24,0,0,15
35,qm,blue,4646,2040,4143,66,66,15,51,12,21,18,0,0,15
36,qm,red,5442,1736,4256,77,77,15,59,14,30,15,3,0,15
36,qm,blue,1781,3695,7465,43,43,6,34,4,24,6,3,0,6
37,qm,red,1288,5126,81,44,44,12,32,2,21,9,0,0,12
37,qm,blue,2709,7848,2704,36,36,12,18,0,0,18,6,0,12
38,qm,red,6237,2081,2022,69,69,9,57,12,30,15,3,0,9
38,qm,blue,1094,4314,6651,57,57,12,45,12,24,9,0,0,12
39,qm,red,7417,323,5847,65,65,12,50,14,18,18,3,0,12
39,qm,blue,2358,5690,4645,62,62,12,47,8,24,15,3,0,12
40,qm,red,4156,4241,2481,62,62,15,47,14,15,18,0,0,15
40,qm,blue,4212,2039,2013,46,46,15,31,4,18,9,0,0,15
41,qm,red,1329,6055,2022,66,66,15,51,12,27,12,0,0,15
41,qm,blue,7465,4213,2704,59,59,15,44,8,24,12,0,0,15
42,qm,red,1781,4646,1756,75,75,15,60,12,27,21,0,0,15
42,qm,blue,2081,3695,2709,52,52,12,40,4,18,18,0,0,12
43,qm,red,1288,4645,1094,60,60,15,42,6,24,12,3,0,15
43,qm,blue,4212,5442,4143,53,53,9,41,2,18,21,3,0,9
44,qm,red,323,2481,2039,85,85,15,67,16,33,18,3,0,15
44,qm,blue,6651,4096,81,59,59,12,47,14,24,9,0,0,12
45,qm,red,4241,4314,2040,77,77,15,52,16,21,15,10,0,15
45,qm,blue,1736,7417,5822,72,72,15,54,12,27,15,3,0,15
