match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1747,3940,3487,55,55,12,43,10,18,15,0,0,12
1,qm,blue,2171,2909,2197,43,43,15,25,10,6,9,3,0,15
2,qm,red,3865,7454,7477,40,40,9,28,4,18,6,3,0,9
2,qm,blue,3936,4982,71,49,49,12,37,4,24,9,0,0,12
3,qm,red,3147,4272,4103,67,67,15,49,10,24,15,3,0,15
3,qm,blue,1720,7198,7617,56,56,15,41,2,18,21,0,0,15
4,qm,red,5484,5944,5188,31,31,12,19,10,6,3,0,0,12
4,qm,blue,7457,868,4485,57,57,6,45,12,15,18,6,0,6
5,qm,red,7657,1018,5403,43,43,12,31,4,21,6,0,0,12
5,qm,blue,5010,4926,461,58,58,9,43,10,27,6,6,0,9
6,qm,red,3494,135,6956,40,40,12,28,4,24,0,0,0,12
6,qm,blue,1646,6451,45,68,68,15,44,8,30,6,9,0,15
7,qm,red,4008,1747,6498,48,48,9,39,12,21,6,0,0,9
7,qm,blue,5402,3865,5484,82,82,15,47,14,21,12,20,0,15
8,qm,red,4272,1720,4982,64,64,15,49,10,18,21,0,0,15
8,qm,blue,71,3487,1018,71,71,12,56,14,27,15,3,0,12
9,qm,red,2197,3147,461,40,40,15,25,4,15,6,0,0,15
9,qm,blue,7454,6451,5010,41,41,15,26,2,15,9,0,0,15
10,qm,red,5402,2171,3494,54,54,15,30,6,12,12,9,0,15
10,qm,blue,5188,7457,6956,44,44,12,32,2,21,9,0,0,12
11,qm,red,868,4103,7617,72,72,9,63,12,33,18,0,0,9
11,qm,blue,4485,7657,1646,56,56,12,34,4,21,9,10,0,12
12,qm,red,5944,7477,5403,38,38,15,23,2,12,9,0,0,15
12,qm,blue,7198,45,4008,54,54,12,36,6,21,9,6,0,12
13,qm,red,3936,135,4926,47,47,15,32,8,18,6,0,0,15
13,qm,blue,2909,3940,6498,67,67,9,58,10,30,18,0,0,9
14,qm,red,7657,4103,5188,48,48,12,36,6,24,6,0,0,12
14,qm,blue,1018,2197,5484,75,75,15,60,12,24,24,0,0,15
15,qm,red,7457,2171,71,81,81,12,60,12,30,18,9,0,12
15,qm,blue,5403,5010,45,59,59,15,44,8,27,9,0,0,15
16,qm,red,7454,1747,868,68,68,15,53,14,36,3,0,0,15
16,qm,blue,135,3147,7617,68,68,12,56,8,24,24,0,0,12
17,qm,red,3487,6498,6451,58,58,12,46,10,21,15,0,0,12
