match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3937,6923,6677,28,28,3,25,10,12,3,0,0,3
1,qm,blue,4978,5965,1421,51,51,6,45,6,21,18,0,0,6
2,qm,red,2080,7648,3606,23,23,9,14,2,3,9,0,0,9
2,qm,blue,7288,7474,6489,11,11,6,5,2,0,3,0,0,6
3,qm,red,281,7331,2992,40,40,9,31,10,15,6,0,0,9
3,qm,blue,364,2283,1369,64,64,15,49,4,24,21,0,0,15
4,qm,red,6068,5863,3946,27,27,9,18,0,6,12,0,0,9
4,qm,blue,7899,5785,7836,17,17,3,11,2,6,3,3,0,3
5,qm,red,6025,2078,7562,33,33,9,21,6,12,3,3,0,9
5,qm,blue,7874,590,7834,25,25,9,6,0,0,6,10,0,9
6,qm,red,4087,5168,4336,49,49,12,34,16,0,18,3,0,12
6,qm,blue,7094,7316,7412,22,22,9,13,4,3,6,0,0,9
7,qm,red,1818,3039,5971,48,48,3,45,6,24,15,0,0,3
7,qm,blue,3753,3991,4107,29,29,3,14,2,9,3,12,0,3
8,qm,red,6419,1927,5997,48,48,15,27,0,18,9,6,0,15
8,qm,blue,3966,5412,945,39,39,9,30,6,15,9,0,0,9
9,qm,red,6103,2221,4013,20,20,6,14,2,12,0,0,0,6
9,qm,blue,2183,1912,7275,40,40,15,25,4,15,6,0,0,15
10,qm,red,7661,3468,7874,22,22,6,16,4,3,9,0,0,6
10,qm,blue,456,3616,3337,77,77,9,41,8,18,15,27,0,9
11,qm,red,1369,3946,6025,75,75,15,60,12,33,15,0,0,15
11,qm,blue,6923,7316,7562,27,27,6,21,0,12,9,0,0,6
12,qm,red,5785,1421,2992,66,66,15,45,12,15,18,6,0,15
12,qm,blue,7648,3039,5168,49,49,9,40,4,24,12,0,0,9
13,qm,red,4336,5997,3753,44,44,12,32,14,9,9,0,0,12
13,qm,blue,7836,7474,1927,32,32,6,10,4,3,3,16,0,6
14,qm,red,3606,4087,7834,48,48,15,27,12,0,15,6,0,15
14,qm,blue,6677,2221,7331,14,14,6,8,2,0,6,0,0,6
15,qm,red,281,6419,7412,57,57,12,39,6,12,21,6,0,12
15,qm,blue,3937,5971,5863,45,45,9,33,12,18,3,3,0,9
