match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3597,7822,97,41,41,9,32,8,6,18,0,0,9
1,qm,blue,125,5687,5735,94,94,12,64,16,30,18,18,0,12
2,qm,red,5563,1721,5491,46,46,9,34,16,12,6,3,0,9
2,qm,blue,467,1307,6763,35,35,12,20,2,9,9,3,0,12
3,qm,red,7795,6529,6301,41,41,12,26,2,18,6,3,0,12
3,qm,blue,246,2423,1474,53,53,15,38,2,21,15,0,0,15
4,qm,red,348,7266,6201,24,24,12,12,6,0,6,0,0,12
4,qm,blue,5556,1761,4311,107,107,12,47,20,15,12,48,0,12
5,qm,red,6367,1768,5687,41,41,6,35,20,0,15,0,0,6
5,qm,blue,5752,4909,467,55,55,12,40,10,18,12,3,0,12
6,qm,red,6763,97,1721,51,51,12,39,12,12,15,0,0,12
6,qm,blue,7266,5556,1474,65,65,9,50,14,24,12,6,0,9
7,qm,red,4311,2423,348,68,68,15,50,14,15,21,3,0,15
7,qm,blue,125,7795,5491,38,38,9,29,2,21,6,0,0,9
8,qm,red,5752,1768,6301,40,40,9,31,10,12,9,0,0,9
8,qm,blue,7822,5563,6367,28,28,9,19,10,0,9,0,0,9
9,qm,red,6529,1307,246,34,34,15,19,10,3,6,0,0,15
9,qm,blue,5735,1761,4909,44,44,15,29,8,12,9,0,0,15
10,qm,red,3597,5752,348,25,25,12,13,10,0,3,0,0,12
10,qm,blue,6201,97,4311,43,43,15,25,16,3,6,3,0,15
11,qm,red,125,1474,467,63,63,12,51,12,27,12,0,0,12
11,qm,blue,1307,7822,2423,25,25,6,19,10,3,6,0,0,6
12,qm,red,6201,6301,1721,76,76,12,44,14,12,18,20,0,12
12,qm,blue,6529,1768,1761,59,59,12,47,8,30,9,0,0,12
13,qm,red,5735,5556,7795,60,60,12,42,12,21,9,6,0,12
13,qm,blue,4909,7266,5563,67,67,15,49,10,21,18,3,0,15
14,qm,red,6367,5491,6763,33,33,12,21,0,12,9,0,0,12
14,qm,blue,246,5687,3597,53,53,6,29,2,12,15,18,0,6
15,qm,red,7795,467,2423,36,36,9,27,6,15,6,0,0,9
15,qm,blue,1761,5752,97,53,53,9,28,10,3,15,16,0,9
16,qm,red,6529,7822,4311,51,51,15,33,18,6,9,3,0,15
16,qm,blue,5735,1721,6367,31,31,12,19,10,9,0,0,0,12
17,qm,red,4909,125,246,51,51,9,42,12,15,15,0,0,9
17,qm,blue,5556,6201,5687,65,65,12,53,20,15,18,0,0,12
18,qm,red,7266,5491,3597,27,27,9,18,6,0,12,0,0,9
18,qm,blue,1474,1307,1768,46,46,12,31,16,6,9,3,0,12
19,qm,red,6763,5563,6201,36,36,9,27,6,15,6,0,0,9
19,qm,blue,348,6301,7822,22,22,12,10,4,0,6,0,0,12
20,qm,red,5556,4311,125,53,53,12,41,20,12,9,0,0,12
20,qm,blue,4909,1721,1768,60,60,12,48,12,21,15,0,0,12
21,qm,red,5735,5491,2423,42,42,12,27,0,9,18,3,0,12
21,qm,blue,97,246,348,28,28,15,13,10,3,0,0,0,15
22,qm,red,467,1474,3597,59,59,12,47,8,21,18,0,0,12
22,qm,blue,6529,5687,5563,56,56,15,41,8,18,15,0,0,15
23,qm,red,1761,6301,1307,49,49,12,37,4,24,9,0,0,12
23,qm,blue,7266,7795,5752,47,47,9,35,8,18,9,3,0,9
24,qm,red,6763,6529,5556,35,35,6,19,10,3,6,10,0,6
24,qm,blue,6367,6201,5735,47,47,15,32,2,15,15,0,0,15
25,qm,red,4909,97,467,67,67,12,45,6,21,18,10,0,12
25,qm,blue,1307,6301,5491,34,34,12,22,4,15,3,0,0,12
26,qm,red,5687,1474,4311,98,98,15,83,26,36,21,0,0,15
26,qm,blue,2423,5563,5752,62,62,12,50,14,18,18,0,0,12
27,qm,red,1768,348,6763,67,67,15,43,16,18,9,9,0,15
27,qm,blue,7822,6367,7266,39,39,12,27,6,15,6,0,0,12
28,qm,red,246,1761,7795,30,30,6,24,0,18,6,0,0,6
28,qm,blue,1721,3597,125,45,45,9,36,6,21,9,0,0,9
29,qm,red,5556,4909,5752,49,49,12,28,10,9,9,9,0,12
29,qm,blue,6301,1768,7266,46,46,15,31,4,9,18,0,0,15
30,qm,red,1474,5563,5491,55,55,15,30,6,15,9,10,0,15
30,qm,blue,7795,6763,6201,57,57,15,39,6,15,18,3,0,15
31,qm,red,467,6367,1761,41,41,9,23,2,12,9,9,0,9
31,qm,blue,1721,4311,246,48,48,15,33,18,6,9,0,0,15
32,qm,red,5687,1307,97,79,79,12,67,16,33,18,0,0,12
32,qm,blue,348,125,6529,50,50,15,35,8,21,6,0,0,15
33,qm,red,7822,5735,4909,61,61,15,46,10,15,21,0,0,15
33,qm,blue,2423,3597,6201,41,41,12,26,2,12,12,3,0,12
34,qm,red,1761,125,7266,71,71,12,43,10,15,18,16,0,12
34,qm,blue,5491,467,6529,48,48,9,15,6,3,6,24,0,9
35,qm,red,5563,246,1768,60,60,15,42,18,15,9,3,0,15
35,qm,blue,97,2423,6367,23,23,6,17,2,12,3,0,0,6
36,qm,red,6301,5735,3597,43,43,15,28,4,6,18,0,0,15
36,qm,blue,1721,7795,1474,67,67,12,52,10,30,12,3,0,12
37,qm,red,7822,348,5556,30,30,12,18,12,0,6,0,0,12
37,qm,blue,5687,5752,6763,70,70,12,58,16,24,18,0,0,12
38,qm,red,246,6201,1307,39,39,15,24,6,12,6,0,0,15
38,qm,blue,4311,6301,125,66,66,15,48,18,9,21,3,0,15
39,qm,red,1768,3597,5556,63,63,9,54,18,21,15,0,0,9
39,qm,blue,6763,467,7822,55,55,12,43,16,18,9,0,0,12
40,qm,red,1761,2423,1721,49,49,9,40,10,24,6,0,0,9
40,qm,blue,348,7795,5563,50,50,15,35,14,12,9,0,0,15
41,qm,red,5491,4909,5687,64,64,6,49,10,24,15,9,0,6
41,qm,blue,1307,7266,5735,52,52,15,27,0,18,9,10,0,15
42,qm,red,5752,4311,6367,58,58,12,37,16,12,9,9,0,12
42,qm,blue,97,1474,6529,57,57,12,42,6,24,12,3,0,12
43,qm,red,5563,3597,1761,31,31,12,19,4,12,3,0,0,12
43,qm,blue,6301,5556,246,39,39,15,24,12,3,9,0,0,15
44,qm,red,6201,7822,1768,55,55,15,28,10,9,9,12,0,15
44,qm,blue,1721,467,5687,68,68,9,49,10,24,15,10,0,9
45,qm,red,4311,6763,7266,45,45,9,36,12,18,6,0,0,9
45,qm,blue,2423,6529,4909,65,65,12,53,8,24,21,0,0,12
46,qm,red,1474,5752,5735,58,58,15,40,10,18,12,3,0,15
46,qm,blue,125,348,1307,51,51,15,36,6,12,18,0,0,15
47,qm,red,7795,6367,6529,48,48,9,39,6,24,9,0,0,9
47,qm,blue,97,5491,5556,25,25,6,19,10,3,6,0,0,6
48,qm,red,1307,1721,5752,56,56,12,44,14,21,9,0,0,12
48,qm,blue,3597,6763,2423,60,60,9,31,4,12,15,20,0,9
49,qm,red,4311,5735,467,47,47,9,38,14,9,15,0,0,9
49,qm,blue,6201,1761,1474,69,69,15,51,6,24,21,3,0,15
50,qm,red,6301,5687,7795,66,66,12,54,12,36,6,0,0,12
50,qm,blue,5491,246,7822,27,27,6,21,12,3,6,0,0,6
51,qm,red,5563,97,125,62,62,12,41,8,15,18,9,0,12
51,qm,blue,6367,4909,348,47,47,12,35,2,15,18,0,0,12
52,qm,red,7266,6529,1721,39,39,12,27,12,12,3,0,0,12
52,qm,blue,1768,4311,7795,77,77,12,55,16,30,9,10,0,12
53,qm,red,2423,5556,5687,73,73,9,61,16,27,18,3,0,9
53,qm,blue,1474,6763,6301,53,53,15,38,8,18,12,0,0,15
54,qm,red,5752,125,7822,62,62,9,53,20,18,15,0,0,9
54,qm,blue,5491,348,1761,34,34,12,22,10,9,3,0,0,12
55,qm,red,467,6201,7266,40,40,15,25,4,3,18,0,0,15
55,qm,blue,3597,6367,4909,64,64,12,49,10,21,18,3,0,12
56,qm,red,1768,246,97,58,58,12,36,18,15,3,10,0,12
56,qm,blue,1307,5735,5563,34,34,15,19,4,9,6,0,0,15
1,qf,red,125,5687,1307,69,69,9,57,12,27,18,3,0,9
1,qf,blue,7795,3597,246,38,38,6,32,2,15,15,0,0,6
2,qf,red,125,5687,1307,79,79,12,64,16,30,18,3,0,12
2,qf,blue,7795,3597,246,40,40,12,25,4,18,3,3,0,12
1,qf,red,1761,4311,348,70,70,15,55,22,21,12,0,0,15
1,qf,blue,2423,5752,5563,62,62,12,47,14,15,18,3,0,12
2,qf,red,1761,4311,348,57,57,15,42,18,15,9,0,0,15
2,qf,blue,2423,5752,5563,41,41,12,26,14,3,9,3,0,12
1,qf,red,1768,4909,6763,85,85,15,61,10,33,18,9,0,15
1,qf,blue,1721,97,5556,58,58,12,46,10,24,12,0,0,12
2,qf,red,1768,4909,6763,88,88,15,67,16,36,15,6,0,15
2,qf,blue,1721,97,5556,58,58,15,43,10,24,9,0,0,15
1,qf,red,5735,1474,467,35,35,15,20,2,6,12,0,0,15
1,qf,blue,6367,6201,6301,44,44,15,29,8,15,6,0,0,15
2,qf,red,5735,1474,467,58,58,15,37,10,15,12,6,0,15
2,qf,blue,6367,6201,6301,44,44,15,29,8,3,18,0,0,15
3,qf,red,5735,1474,467,19,19,6,13,10,3,0,0,0,6
3,qf,blue,6367,6201,6301,33,33,12,21,6,0,15,0,0,12
1,sf,red,125,5687,1307,88,88,12,76,22,45,9,0,0,12
1,sf,blue,1761,4311,348,74,74,15,53,20,21,12,6,0,15
2,sf,red,125,5687,1307,68,68,12,56,14,39,3,0,0,12
2,sf,blue,1761,4311,348,67,67,15,52,22,18,12,0,0,15
1,sf,red,1768,4909,6763,103,103,15,82,22,45,15,6,0,15
1,sf,blue,6367,6201,6301,36,36,15,18,6,3,9,3,0,15
2,sf,red,1768,4909,6763,84,84,15,69,24,27,18,0,0,15
2,sf,blue,6367,6201,6301,64,64,12,52,10,24,18,0,0,12
1,f,red,125,5687,1307,69,69,12,51,12,24,15,6,0,12
1,f,blue,1768,4909,6763,59,59,15,44,8,30,6,0,0,15
2,f,red,125,5687,1307,83,83,12,68,14,36,18,3,0,12
2,f,blue,1768,4909,6763,70,70,15,55,16,33,6,0,0,15
