match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,228,4557,7462,37,37,9,28,10,3,15,0,0,9
1,qm,blue,195,230,1099,77,77,15,62,20,21,21,0,0,15
2,qm,red,7869,571,1071,60,60,15,45,12,30,3,0,0,15
2,qm,blue,2370,155,6328,28,28,6,22,4,12,6,0,0,6
3,qm,red,3654,1699,3634,17,17,6,11,2,3,6,0,0,6
3,qm,blue,1027,178,176,61,61,9,49,10,21,18,3,0,9
4,qm,red,3461,3555,6723,45,45,15,30,18,3,9,0,0,15
4,qm,blue,839,7694,3464,43,43,15,28,16,0,12,0,0,15
5,qm,red,181,7153,7127,51,51,15,36,6,9,21,0,0,15
5,qm,blue,4055,7407,2064,45,45,9,26,2,12,12,10,0,9
6,qm,red,3634,7694,1071,39,39,9,30,6,18,6,0,0,9
6,qm,blue,3555,3464,1027,68,68,15,47,8,24,15,6,0,15
7,qm,red,228,178,2064,82,82,12,51,6,24,21,19,0,12
7,qm,blue,7127,155,195,40,40,12,28,10,12,6,0,0,12
8,qm,red,230,6723,4557,75,75,15,60,24,15,21,0,0,15
8,qm,blue,181,3461,571,72,72,15,57,18,18,21,0,0,15
9,qm,red,176,6328,7153,57,57,9,48,6,24,18,0,0,9
9,qm,blue,7407,1099,7462,25,25,12,13,4,3,6,0,0,12
10,qm,red,1699,7869,4055,30,30,15,15,0,12,3,0,0,15
10,qm,blue,2370,839,3654,53,53,12,41,8,12,21,0,0,12
11,qm,red,1071,6723,7407,41,41,12,29,14,6,9,0,0,12
11,qm,blue,195,228,176,99,99,12,84,18,42,24,3,0,12
12,qm,red,155,839,7153,17,17,9,8,2,0,6,0,0,9
12,qm,blue,230,3654,571,90,90,15,72,18,33,21,3,0,15
13,qm,red,4557,6328,178,61,61,12,49,10,18,21,0,0,12
13,qm,blue,3634,181,2064,45,45,12,27,6,12,9,6,0,12
14,qm,red,1027,2370,7462,48,48,6,42,6,18,18,0,0,6
14,qm,blue,3461,1099,4055,64,64,15,49,22,9,18,0,0,15
15,qm,red,3464,7869,7127,29,29,12,17,2,9,6,0,0,12
15,qm,blue,3555,7694,1699,29,29,15,14,2,3,9,0,0,15
16,qm,red,178,3461,839,52,52,12,40,10,12,18,0,0,12
16,qm,blue,1071,230,228,88,88,12,76,16,42,18,0,0,12
17,qm,red,195,7694,7407,70,70,12,58,10,27,21,0,0,12
17,qm,blue,7869,6723,2064,53,53,15,38,2,15,21,0,0,15
18,qm,red,7462,2370,3464,59,59,9,50,8,24,18,0,0,9
18,qm,blue,7127,1027,571,43,43,12,31,4,24,3,0,0,12
19,qm,red,176,3634,4557,54,54,9,45,18,6,21,0,0,9
19,qm,blue,4055,1699,155,30,30,12,18,6,3,9,0,0,12
20,qm,red,7153,181,3555,54,54,15,39,6,15,18,0,0,15
20,qm,blue,6328,3654,1099,38,38,15,23,8,6,9,0,0,15
21,qm,red,1071,2370,7127,74,74,12,62,14,30,18,0,0,12
21,qm,blue,4557,3464,230,64,64,15,49,16,12,21,0,0,15
22,qm,red,7869,839,3555,44,44,12,26,2,12,12,6,0,12
22,qm,blue,176,7407,1699,65,65,12,53,8,27,18,0,0,12
23,qm,red,6328,1027,195,59,59,12,47,8,21,18,0,0,12
23,qm,blue,6723,571,155,55,55,15,40,16,12,12,0,0,15
24,qm,red,7153,2064,1099,49,49,15,34,4,21,9,0,0,15
24,qm,blue,4055,228,3634,46,46,9,31,4,9,18,6,0,9
25,qm,red,3461,7462,7694,45,45,9,36,12,3,21,0,0,9
25,qm,blue,181,178,3654,70,70,15,55,16,15,24,0,0,15
26,qm,red,1699,195,571,72,72,15,47,8,21,18,10,0,15
26,qm,blue,4557,2064,7407,55,55,15,40,4,21,15,0,0,15
27,qm,red,3634,6723,7462,32,32,9,23,8,6,9,0,0,9
27,qm,blue,1071,6328,181,46,46,15,31,10,15,6,0,0,15
28,qm,red,3654,3555,230,63,63,15,48,18,9,21,0,0,15
28,qm,blue,1027,839,228,45,45,9,36,0,18,18,0,0,9
29,qm,red,3464,176,4055,59,59,15,44,14,24,6,0,0,15
29,qm,blue,7153,3461,7869,37,37,15,22,4,9,9,0,0,15
30,qm,red,7127,178,155,58,58,12,46,10,15,21,0,0,12
30,qm,blue,1099,2370,7694,62,62,15,47,8,21,18,0,0,15
31,qm,red,571,2064,839,49,49,15,34,4,21,9,0,0,15
31,qm,blue,4055,1071,4557,69,69,15,51,12,27,12,3,0,15
32,qm,red,7462,230,178,57,57,12,42,6,21,15,3,0,12
32,qm,blue,3555,195,7153,54,54,15,36,6,12,18,3,0,15
33,qm,red,155,1099,3464,53,53,15,38,20,3,15,0,0,15
33,qm,blue,6723,176,2370,71,71,12,56,14,18,24,3,0,12
34,qm,red,7694,228,181,67,67,15,49,10,21,18,3,0,15
34,qm,blue,1699,1027,3461,58,58,15,43,10,24,9,0,0,15
35,qm,red,7869,3654,7127,52,52,15,37,4,21,12,0,0,15
35,qm,blue,6328,7407,3634,47,47,9,38,8,21,9,0,0,9
36,qm,red,2370,195,3461,80,80,12,68,26,27,15,0,0,12
36,qm,blue,155,4557,181,62,62,15,47,26,0,21,0,0,15
37,qm,red,1099,571,3634,44,44,15,26,2,12,12,3,0,15
37,qm,blue,7694,7869,1027,42,42,15,24,0,18,6,3,0,15
38,qm,red,1699,1071,3464,55,55,15,40,10,21,9,0,0,15
38,qm,blue,228,7153,6723,35,35,15,20,2,0,18,0,0,15
39,qm,red,2064,7127,6328,60,60,15,45,6,24,15,0,0,15
39,qm,blue,839,176,230,70,70,12,55,16,21,18,3,0,12
40,qm,red,178,7407,3555,73,73,12,61,10,27,24,0,0,12
40,qm,blue,7462,4055,3654,34,34,9,25,4,9,12,0,0,9
41,qm,red,181,1699,2370,38,38,12,26,8,9,9,0,0,12
41,qm,blue,3464,571,228,65,65,15,47,8,18,21,3,0,15
42,qm,red,1027,7153,7407,38,38,6,32,2,21,9,0,0,6
42,qm,blue,839,4557,195,49,49,15,34,16,12,6,0,0,15
43,qm,red,230,3634,7869,57,57,12,42,6,21,15,3,0,12
43,qm,blue,7694,4055,178,63,63,15,48,6,24,18,0,0,15
44,qm,red,155,2064,3461,64,64,15,49,16,15,18,0,0,15
44,qm,blue,7462,3555,6328,49,49,9,40,4,15,21,0,0,9
45,qm,red,3654,1071,176,75,75,12,57,12,24,21,6,0,12
45,qm,blue,1099,7127,6723,58,58,15,43,10,18,15,0,0,15
46,qm,red,7407,181,839,59,59,9,50,8,21,21,0,0,9
46,qm,blue,178,3464,7153,64,64,15,49,10,18,21,0,0,15
47,qm,red,6723,4055,195,56,56,15,41,8,18,15,0,0,15
47,qm,blue,6328,7127,7694,40,40,15,25,4,9,12,0,0,15
