match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4242,5587,1895,57,57,15,42,12,21,9,0,0,15
1,qm,blue,4472,4541,339,52,52,12,40,10,24,6,0,0,12
2,qm,red,1418,3714,1885,72,72,6,39,24,15,0,27,0,6
2,qm,blue,6213,1731,6543,50,50,12,38,8,21,9,0,0,12
3,qm,red,4514,6312,611,17,17,3,8,2,3,3,6,0,3
3,qm,blue,2900,5115,5841,29,29,12,17,8,0,9,0,0,12
4,qm,red,2819,7879,836,42,42,9,27,6,12,9,6,0,9
4,qm,blue,4638,2912,4821,77,77,15,32,14,6,12,30,0,15
5,qm,red,612,2534,7714,70,70,9,43,4,21,18,18,0,9
5,qm,blue,116,6893,2377,41,41,9,32,8,18,6,0,0,9
6,qm,red,3650,2914,5724,39,39,9,27,0,18,9,3,0,9
6,qm,blue,1446,2421,5243,30,30,15,12,0,6,6,3,0,15
7,qm,red,623,620,2819,36,36,9,27,6,18,3,0,0,9
7,qm,blue,1727,6312,5587,49,49,12,37,10,24,3,0,0,12
8,qm,red,4638,6213,116,39,39,15,24,12,0,12,0,0,15
8,qm,blue,5841,339,612,55,55,9,36,6,15,15,10,0,9
9,qm,red,2377,5115,836,63,63,12,51,12,21,18,0,0,12
9,qm,blue,1885,4514,2914,78,78,9,69,18,36,15,0,0,9
10,qm,red,3714,4472,5243,40,40,9,31,4,21,6,0,0,9
10,qm,blue,2900,4541,6543,41,41,12,26,2,15,9,3,0,12
11,qm,red,7714,1418,7879,44,44,6,32,8,12,12,6,0,6
11,qm,blue,5724,1895,611,29,29,12,14,2,3,9,3,0,12
12,qm,red,620,3650,2912,55,55,12,43,10,24,9,0,0,12
12,qm,blue,2534,1727,1731,56,56,12,44,14,24,6,0,0,12
13,qm,red,2421,623,4821,42,42,9,33,6,21,6,0,0,9
13,qm,blue,4242,6893,1446,50,50,15,35,2,21,12,0,0,15
14,qm,red,2914,6543,612,46,46,12,34,4,12,18,0,0,12
14,qm,blue,4472,5587,611,60,60,12,48,12,33,3,0,0,12
15,qm,red,2534,116,620,74,74,12,56,8,27,21,6,0,12
15,qm,blue,7879,6213,6312,26,26,12,11,2,3,6,3,0,12
16,qm,red,836,6893,1895,77,77,12,38,8,24,6,27,0,12
16,qm,blue,3714,5115,2421,3,3,3,0,0,0,0,0,0,3
17,qm,red,1731,5243,4514,70,70,12,37,10,18,9,21,0,12
17,qm,blue,2377,1446,4821,62,62,15,37,4,24,9,10,0,15
18,qm,red,623,4242,339,61,61,15,46,10,21,15,0,0,15
18,qm,blue,2819,4638,1418,67,67,9,58,16,30,12,0,0,9
19,qm,red,1885,5841,7714,51,51,12,39,12,9,18,0,0,12
19,qm,blue,2912,4541,1727,68,68,15,50,14,24,12,3,0,15
20,qm,red,2534,3650,6543,70,70,12,55,10,27,18,3,0,12
20,qm,blue,2900,836,5724,56,56,15,41,14,9,18,0,0,15
21,qm,red,5587,2421,116,38,38,12,26,8,12,6,0,0,12
21,qm,blue,2914,620,7879,45,45,15,30,6,18,6,0,0,15
22,qm,red,4514,1727,5115,48,48,12,36,6,21,9,0,0,12
22,qm,blue,2912,3714,339,53,53,15,38,8,15,15,0,0,15
23,qm,red,1895,4541,1731,60,60,12,48,12,21,15,0,0,12
23,qm,blue,611,6213,623,69,69,12,47,14,21,12,10,0,12
24,qm,red,4638,2900,612,54,54,12,42,12,12,18,0,0,12
24,qm,blue,2819,4821,7714,63,63,3,21,0,15,6,39,0,3
25,qm,red,1418,6312,1446,40,40,9,31,10,12,9,0,0,9
25,qm,blue,1885,6893,3650,61,61,9,52,16,18,18,0,0,9
26,qm,red,5724,5243,2377,70,70,15,55,10,33,12,0,0,15
26,qm,blue,5841,4472,4242,52,52,12,40,10,24,6,0,0,12
27,qm,red,4821,611,1727,72,72,12,60,12,33,15,0,0,12
27,qm,blue,3714,6213,5587,56,56,15,38,8,21,9,3,0,15
28,qm,red,6543,339,6893,39,39,12,27,6,9,12,0,0,12
28,qm,blue,4514,2900,7879,36,36,15,21,0,15,6,0,0,15
29,qm,red,7714,1731,620,31,31,6,25,4,6,15,0,0,6
29,qm,blue,4242,2914,4638,66,66,15,51,12,24,15,0,0,15
30,qm,red,2912,5115,2534,62,62,12,50,14,24,12,0,0,12
30,qm,blue,5724,1418,623,59,59,12,47,14,24,9,0,0,12
31,qm,red,612,836,116,62,62,12,50,14,18,18,0,0,12
31,qm,blue,6312,3650,2377,54,54,12,42,6,24,12,0,0,12
32,qm,red,1446,2819,1885,36,36,12,18,12,0,6,6,0,12
32,qm,blue,4472,2421,1895,46,46,12,34,4,24,6,0,0,12
33,qm,red,4541,5841,3714,39,39,6,33,6,24,3,0,0,6
33,qm,blue,5243,2912,6893,39,39,15,24,0,12,12,0,0,15
34,qm,red,4821,4514,6213,32,32,12,20,2,12,6,0,0,12
34,qm,blue,2914,7714,836,33,33,6,27,6,15,6,0,0,6
35,qm,red,5724,1727,4242,64,64,15,49,10,27,12,0,0,15
35,qm,blue,612,1895,1885,87,87,12,72,18,33,21,3,0,12
36,qm,red,4541,2819,2421,50,50,9,41,8,24,9,0,0,9
36,qm,blue,1418,116,3650,70,70,12,45,12,15,18,13,0,12
37,qm,red,5243,2900,6312,39,39,12,21,0,15,6,6,0,12
37,qm,blue,5115,4638,5587,57,57,15,42,12,18,12,0,0,15
38,qm,red,1731,4472,1446,51,51,12,39,6,21,12,0,0,12
38,qm,blue,7879,339,2534,58,58,15,43,4,18,21,0,0,15
