match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5560,5183,7244,26,26,6,20,8,6,6,0,0,6
1,qm,blue,3536,6573,7154,64,64,15,49,10,21,18,0,0,15
2,qm,red,5709,7171,2246,12,12,6,3,0,0,3,3,0,6
2,qm,blue,7808,5230,6599,24,24,3,21,0,12,9,0,0,3
3,qm,red,6087,5714,5534,31,31,6,25,4,12,9,0,0,6
3,qm,blue,5525,4737,2137,49,49,6,43,4,24,15,0,0,6
4,qm,red,5314,4380,6637,35,35,12,23,2,12,9,0,0,12
4,qm,blue,6077,5260,7250,76,76,12,28,10,9,9,36,0,12
5,qm,red,7823,7020,6121,53,53,15,23,2,12,9,15,0,15
5,qm,blue,7155,5505,4983,24,24,6,18,0,9,9,0,0,6
6,qm,red,4392,7172,3537,37,37,6,28,4,18,6,3,0,6
6,qm,blue,2075,7084,6079,65,65,15,50,8,24,18,0,0,15
7,qm,red,862,5072,5230,54,54,9,22,4,12,6,23,0,9
7,qm,blue,3536,7109,4380,12,12,12,0,0,0,0,0,0,12
8,qm,red,7154,7171,5534,35,35,9,23,2,18,3,3,0,9
8,qm,blue,2137,6121,6087,43,43,9,34,4,18,12,0,0,9
9,qm,red,5714,7250,7244,23,23,6,11,2,3,6,6,0,6
9,qm,blue,7808,7823,7172,42,42,12,27,0,18,9,3,0,12
10,qm,red,7109,862,7020,38,38,9,29,2,21,6,0,0,9
10,qm,blue,5525,5260,2246,27,27,6,21,12,6,3,0,0,6
11,qm,red,4392,6573,6637,63,63,12,42,6,24,12,9,0,12
11,qm,blue,6079,4737,4983,55,55,15,34,4,18,12,6,0,15
12,qm,red,2075,5560,7155,51,51,6,45,6,21,18,0,0,6
12,qm,blue,6077,5072,5183,39,39,15,24,6,12,6,0,0,15
13,qm,red,3537,5314,5505,50,50,15,35,8,24,3,0,0,15
13,qm,blue,7084,5709,6599,11,11,9,2,2,0,0,0,0,9
14,qm,red,5260,4380,4392,32,32,9,23,2,12,9,0,0,9
14,qm,blue,862,3536,6087,80,80,12,58,10,30,18,10,0,12
15,qm,red,6573,4737,7109,38,38,12,26,2,18,6,0,0,12
15,qm,blue,7171,7250,7020,24,24,6,18,6,3,9,0,0,6
16,qm,red,5709,2075,6077,81,81,12,63,12,30,21,6,0,12
16,qm,blue,2246,7244,4983,29,29,9,20,2,9,9,0,0,9
17,qm,red,5505,6079,6121,59,59,15,44,8,24,12,0,0,15
17,qm,blue,7823,5534,5560,55,55,12,33,0,15,18,10,0,12
18,qm,red,5714,6637,5230,36,36,6,30,0,18,12,0,0,6
18,qm,blue,7154,7808,3537,44,44,15,26,2,15,9,3,0,15
19,qm,red,5183,6599,7155,12,12,9,3,0,0,3,0,0,9
19,qm,blue,5314,5525,7172,42,42,12,24,0,15,9,6,0,12
20,qm,red,2137,7171,5072,62,62,6,46,4,24,18,10,0,6
20,qm,blue,7084,862,6573,57,57,15,42,6,15,21,0,0,15
