match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6592,5257,4362,43,43,15,28,4,15,9,0,0,15
1,qm,blue,1023,5502,7219,35,35,3,32,2,15,15,0,0,3
2,qm,red,247,7501,7857,54,54,9,45,12,24,9,0,0,9
2,qm,blue,7209,5688,2611,41,41,12,29,14,12,3,0,0,12
3,qm,red,4216,4327,6556,57,57,15,42,6,21,15,0,0,15
3,qm,blue,5623,6137,4408,34,34,9,25,4,12,9,0,0,9
4,qm,red,7289,4325,5907,61,61,12,49,10,21,18,0,0,12
4,qm,blue,7665,6635,6591,33,33,12,21,12,3,6,0,0,12
5,qm,red,6425,5676,5704,45,45,12,33,6,24,3,0,0,12
5,qm,blue,5685,5205,1481,61,61,12,49,10,21,18,0,0,12
6,qm,red,7817,7656,3604,65,65,15,44,2,21,21,6,0,15
6,qm,blue,7197,6580,6092,51,51,9,39,6,15,18,3,0,9
7,qm,red,7665,7221,302,18,18,15,3,0,0,3,0,0,15
7,qm,blue,7222,5523,4408,37,37,9,25,4,15,6,3,0,9
8,qm,red,6591,1481,4327,66,66,15,51,12,27,12,0,0,15
8,qm,blue,6592,4216,7857,52,52,15,31,4,12,15,6,0,15
9,qm,red,3604,2611,1023,63,63,12,51,12,21,18,0,0,12
9,qm,blue,5205,6580,6556,53,53,15,38,8,12,18,0,0,15
10,qm,red,6137,7656,7209,43,43,9,28,4,21,3,6,0,9
10,qm,blue,4325,7817,5502,65,65,15,50,14,18,18,0,0,15
11,qm,red,7501,5907,7197,26,26,12,14,2,6,6,0,0,12
11,qm,blue,7219,5704,5623,39,39,15,18,6,0,12,6,0,15
12,qm,red,6092,5685,302,41,41,9,32,2,18,12,0,0,9
12,qm,blue,7221,5257,7222,31,31,15,16,4,6,6,0,0,15
13,qm,red,7289,6635,5676,49,49,9,40,10,24,6,0,0,9
13,qm,blue,6425,5688,5523,36,36,12,24,0,18,6,0,0,12
14,qm,red,247,4408,4327,50,50,12,38,8,21,9,0,0,12
14,qm,blue,7665,1023,4362,69,69,12,57,12,27,18,0,0,12
15,qm,red,7197,6591,5704,36,36,15,21,12,3,6,0,0,15
15,qm,blue,6137,2611,6580,65,65,9,53,14,18,21,3,0,9
16,qm,red,7289,7209,7501,44,44,9,35,14,15,6,0,0,9
16,qm,blue,6556,6092,3604,46,46,12,31,10,21,0,3,0,12
17,qm,red,7219,302,6592,52,52,15,37,4,15,18,0,0,15
17,qm,blue,7656,5676,5685,68,68,15,47,8,27,12,6,0,15
18,qm,red,7221,5205,4216,49,49,15,31,4,9,18,3,0,15
18,qm,blue,5688,5502,247,40,40,15,25,4,21,0,0,0,15
19,qm,red,4362,5523,7817,48,48,9,39,6,24,9,0,0,9
19,qm,blue,4325,5257,6425,49,49,9,40,4,21,15,0,0,9
20,qm,red,6635,7222,7857,33,33,9,24,0,18,6,0,0,9
20,qm,blue,5907,1481,5623,57,57,9,48,6,24,18,0,0,9
21,qm,red,302,1023,5688,59,59,12,47,8,21,18,0,0,12
21,qm,blue,6092,7209,6591,48,48,12,36,18,12,6,0,0,12
22,qm,red,7656,4362,4216,60,60,15,45,12,21,12,0,0,15
22,qm,blue,7197,7665,6425,27,27,15,12,0,3,9,0,0,15
23,qm,red,7817,6556,1481,76,76,9,40,4,15,21,27,0,9
23,qm,blue,247,6580,7221,50,50,12,38,2,21,15,0,0,12
24,qm,red,5502,5907,4408,25,25,9,16,4,3,9,0,0,9
24,qm,blue,5257,7501,5685,41,41,9,32,8,18,6,0,0,9
25,qm,red,5676,5205,2611,81,81,15,66,24,24,18,0,0,15
25,qm,blue,7222,4327,7289,50,50,12,38,8,24,6,0,0,12
26,qm,red,5704,3604,5523,39,39,6,33,0,15,18,0,0,6
26,qm,blue,7219,7857,4325,58,58,15,43,4,21,18,0,0,15
27,qm,red,6592,5623,6092,30,30,12,18,0,12,6,0,0,12
27,qm,blue,6635,4362,6137,37,37,9,22,4,15,3,6,0,9
28,qm,red,5688,7222,4216,46,46,15,31,4,18,9,0,0,15
28,qm,blue,7209,7197,6556,30,30,9,21,6,12,3,0,0,9
29,qm,red,1023,1481,247,78,78,12,63,12,30,21,3,0,12
29,qm,blue,4325,4408,5685,38,38,9,29,8,15,6,0,0,9
30,qm,red,5704,5907,6137,44,44,15,29,2,18,9,0,0,15
30,qm,blue,7665,5676,3604,81,81,15,53,8,27,18,13,0,15
31,qm,red,4327,5623,5205,80,80,15,65,14,33,18,0,0,15
31,qm,blue,7501,6591,7817,67,67,15,52,16,18,18,0,0,15
32,qm,red,7221,7289,7219,36,36,6,30,6,18,6,0,0,6
32,qm,blue,6580,6592,6635,48,48,12,33,6,9,18,3,0,12
33,qm,red,5257,2611,7857,53,53,12,38,14,6,18,3,0,12
33,qm,blue,302,6425,7656,56,56,15,41,2,18,21,0,0,15
34,qm,red,5502,7665,5205,49,49,15,34,4,15,15,0,0,15
34,qm,blue,7501,5523,6092,34,34,6,28,4,15,9,0,0,6
35,qm,red,1481,7197,3604,67,67,15,49,10,18,21,3,0,15
35,qm,blue,5676,4408,7219,57,57,15,42,6,27,9,0,0,15
36,qm,red,5257,6137,247,36,36,9,27,6,15,6,0,0,9
36,qm,blue,6635,4327,5907,48,48,12,36,6,24,6,0,0,12
37,qm,red,6580,7222,302,76,76,12,55,10,24,21,9,0,12
37,qm,blue,5688,4325,6592,55,55,15,40,10,21,9,0,0,15
38,qm,red,5523,7656,2611,49,49,9,40,10,9,21,0,0,9
38,qm,blue,5623,4362,7221,51,51,9,42,6,15,21,0,0,9
39,qm,red,4216,7817,6425,42,42,9,15,0,12,3,18,0,9
39,qm,blue,5704,1023,7209,65,65,12,50,8,24,18,3,0,12
40,qm,red,7857,6591,5685,43,43,15,28,10,15,3,0,0,15
40,qm,blue,5502,6556,7289,33,33,6,24,12,6,6,3,0,6
41,qm,red,5688,7197,6137,34,34,9,25,4,18,3,0,0,9
41,qm,blue,1481,5523,5257,66,66,12,44,8,18,18,10,0,12
42,qm,red,6092,7221,6635,21,21,3,18,0,15,3,0,0,3
42,qm,blue,4216,7501,5676,81,81,15,66,12,36,18,0,0,15
43,qm,red,247,5623,4325,58,58,9,49,10,24,15,0,0,9
43,qm,blue,6425,5502,6592,24,24,15,9,6,0,3,0,0,15
44,qm,red,7817,7219,5907,41,41,15,26,2,12,12,0,0,15
44,qm,blue,4362,302,2611,73,73,3,67,22,24,21,3,0,3
45,qm,red,7209,3604,7222,80,80,12,65,14,33,18,3,0,12
45,qm,blue,7656,5704,4327,63,63,15,48,12,24,12,0,0,15
46,qm,red,6591,1023,6580,78,78,12,66,18,27,21,0,0,12
46,qm,blue,4408,7665,6556,40,40,12,28,10,6,12,0,0,12
47,qm,red,5685,7289,4362,69,69,9,60,12,27,21,0,0,9
