match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,830,6954,503,51,51,12,39,12,21,6,0,0,12
1,qm,blue,1502,6528,5530,102,102,15,57,12,27,18,30,0,15
2,qm,red,67,5853,4237,63,63,9,54,12,27,15,0,0,9
2,qm,blue,7660,5053,5695,51,51,15,36,12,15,9,0,0,15
3,qm,red,6618,1528,5050,74,74,12,62,14,30,18,0,0,12
3,qm,blue,6101,4395,3547,36,36,15,21,6,3,12,0,0,15
4,qm,red,5066,6538,240,46,46,15,31,16,9,6,0,0,15
4,qm,blue,6150,7147,6583,27,27,9,18,0,12,6,0,0,9
5,qm,red,2620,6570,7225,39,39,15,24,12,3,9,0,0,15
5,qm,blue,6914,7175,7145,32,32,15,17,2,6,9,0,0,15
6,qm,red,6081,573,3773,48,48,15,33,12,12,9,0,0,15
6,qm,blue,6615,3542,314,55,55,12,43,10,27,6,0,0,12
7,qm,red,66,5067,6150,74,74,15,47,8,30,9,12,0,15
7,qm,blue,7912,3656,280,52,52,15,37,4,18,15,0,0,15
8,qm,red,5053,3547,6914,48,48,15,33,12,15,6,0,0,15
8,qm,blue,5050,240,6954,57,57,15,42,12,15,15,0,0,15
9,qm,red,5530,314,6618,65,65,12,53,14,30,9,0,0,12
9,qm,blue,4237,6538,7145,63,63,12,51,6,27,18,0,0,12
10,qm,red,503,5067,1502,69,69,15,54,12,24,18,0,0,15
10,qm,blue,5066,3773,66,57,57,15,42,6,27,9,0,0,15
11,qm,red,7660,3542,7912,60,60,9,51,12,30,9,0,0,9
11,qm,blue,7225,1528,280,29,29,12,17,2,9,6,0,0,12
12,qm,red,6615,7175,5853,46,46,15,31,4,18,9,0,0,15
12,qm,blue,6081,2620,830,50,50,15,35,8,12,15,0,0,15
13,qm,red,6101,5695,7147,26,26,9,17,8,3,6,0,0,9
13,qm,blue,573,3656,6528,75,75,15,60,12,27,21,0,0,15
14,qm,red,6570,67,6954,58,58,15,43,10,15,18,0,0,15
14,qm,blue,5067,4395,6583,48,48,15,33,6,18,9,0,0,15
15,qm,red,5053,66,5530,72,72,15,57,12,33,12,0,0,15
15,qm,blue,6914,6618,6615,48,48,9,39,6,21,12,0,0,9
16,qm,red,2620,573,6101,56,56,15,41,8,12,21,0,0,15
16,qm,blue,7660,280,314,64,64,15,49,10,30,9,0,0,15
17,qm,red,1528,830,5695,54,54,12,42,12,21,9,0,0,12
17,qm,blue,6583,3656,6570,72,72,15,57,12,24,21,0,0,15
18,qm,red,6528,5066,3542,67,67,15,52,10,30,12,0,0,15
18,qm,blue,6538,3547,5853,73,73,12,58,10,27,21,3,0,12
19,qm,red,7225,6081,7147,50,50,12,38,2,18,18,0,0,12
19,qm,blue,6150,503,4395,51,51,15,36,6,18,12,0,0,15
20,qm,red,7145,67,7912,55,55,15,40,4,24,12,0,0,15
20,qm,blue,5050,3773,1502,71,71,15,56,14,24,18,0,0,15
21,qm,red,7175,573,4237,61,61,15,46,4,24,18,0,0,15
21,qm,blue,240,6101,830,45,45,15,30,12,3,15,0,0,15
22,qm,red,1528,3547,7147,38,38,15,23,8,0,15,0,0,15
22,qm,blue,2620,280,6615,45,45,15,30,0,18,12,0,0,15
23,qm,red,3656,7225,3773,73,73,15,58,10,30,18,0,0,15
23,qm,blue,4395,5053,5066,60,60,15,45,6,18,21,0,0,15
24,qm,red,5695,5050,3542,57,57,9,48,12,21,15,0,0,9
24,qm,blue,5530,5853,7660,46,46,12,34,10,18,6,0,0,12
25,qm,red,5067,6914,6570,71,71,15,56,14,30,12,0,0,15
25,qm,blue,6150,4237,6618,73,73,12,61,16,36,9,0,0,12
26,qm,red,240,7145,503,59,59,15,44,8,18,18,0,0,15
26,qm,blue,6528,6538,67,78,78,12,63,18,27,18,3,0,12
27,qm,red,314,6954,6081,48,48,15,33,6,18,9,0,0,15
27,qm,blue,7912,66,6583,55,55,15,37,4,24,9,3,0,15
28,qm,red,7660,1502,1528,42,42,15,24,6,15,3,3,0,15
28,qm,blue,7175,830,3547,66,66,15,51,18,15,18,0,0,15
29,qm,red,6570,280,6538,64,64,15,49,10,27,12,0,0,15
29,qm,blue,6615,3773,240,38,38,9,29,2,15,12,0,0,9
30,qm,red,573,5050,6583,62,62,9,53,8,27,18,0,0,9
30,qm,blue,3542,66,6618,64,64,9,55,16,33,6,0,0,9
31,qm,red,6954,6528,6101,57,57,15,42,6,24,12,0,0,15
31,qm,blue,503,7225,5066,61,61,9,52,10,18,24,0,0,9
32,qm,red,7175,7147,5067,44,44,15,29,2,21,6,0,0,15
32,qm,blue,314,6914,67,67,67,12,52,10,24,18,3,0,12
33,qm,red,5053,1502,6150,62,62,15,47,14,24,9,0,0,15
33,qm,blue,5695,2620,5530,71,71,12,59,14,27,18,0,0,12
34,qm,red,3656,7145,4395,55,55,15,40,4,15,21,0,0,15
34,qm,blue,5853,7912,6081,52,52,15,37,4,21,12,0,0,15
35,qm,red,4237,830,66,68,68,12,56,14,36,6,0,0,12
35,qm,blue,3547,5066,280,60,60,15,45,12,18,15,0,0,15
36,qm,red,3773,6583,6914,36,36,15,21,6,3,12,0,0,15
36,qm,blue,6528,7660,6615,68,68,15,53,14,36,3,0,0,15
37,qm,red,7912,7175,6150,39,39,15,24,0,15,9,0,0,15
37,qm,blue,5853,6101,5067,68,68,15,44,8,24,12,9,0,15
38,qm,red,4395,4237,6954,49,49,15,34,4,21,9,0,0,15
38,qm,blue,5695,3656,6538,80,80,12,68,14,33,21,0,0,12
39,qm,red,67,5530,7225,62,62,9,53,8,21,24,0,0,9
39,qm,blue,573,314,1528,55,55,15,40,4,21,15,0,0,15
40,qm,red,6618,240,2620,76,76,15,51,12,27,12,10,0,15
40,qm,blue,503,5050,6081,73,73,15,58,10,30,18,0,0,15
41,qm,red,7145,1502,6570,37,37,15,22,16,0,6,0,0,15
41,qm,blue,7147,5053,3542,48,48,15,27,0,18,9,6,0,15
42,qm,red,5530,6615,7912,43,43,15,28,4,15,9,0,0,15
42,qm,blue,67,5066,7175,64,64,12,43,4,18,21,9,0,12
43,qm,red,3656,6618,3547,73,73,15,58,10,30,18,0,0,15
43,qm,blue,573,6914,7225,72,72,12,60,12,27,21,0,0,12
44,qm,red,830,5853,5050,70,70,15,55,10,27,18,0,0,15
44,qm,blue,7147,6570,314,34,34,12,22,10,3,9,0,0,12
45,qm,red,6150,2620,7660,67,67,15,52,10,30,12,0,0,15
45,qm,blue,6954,66,7145,32,32,9,23,2,18,3,0,0,9
46,qm,red,3773,4395,6528,72,72,15,57,12,24,21,0,0,15
46,qm,blue,1502,4237,240,51,51,12,39,12,21,6,0,0,12
47,qm,red,6101,6081,6538,52,52,9,43,4,18,21,0,0,9
47,qm,blue,1528,5067,5053,57,57,15,42,12,27,3,0,0,15
48,qm,red,280,6583,5695,47,47,15,32,2,21,9,0,0,15
48,qm,blue,3542,503,5853,50,50,9,41,8,15,18,0,0,9
49,qm,red,6615,1502,4395,32,32,9,20,2,12,6,3,0,9
49,qm,blue,5050,6150,6914,84,84,15,66,12,33,21,3,0,15
50,qm,red,3773,4237,7147,50,50,9,41,8,27,6,0,0,9
50,qm,blue,6618,6954,7175,33,33,9,24,0,15,9,0,0,9
51,qm,red,5067,7225,6528,79,79,15,64,16,30,18,0,0,15
51,qm,blue,2620,67,1528,56,56,15,41,2,18,21,0,0,15
52,qm,red,280,6101,503,59,59,12,47,8,18,21,0,0,12
52,qm,blue,7145,6583,5530,44,44,15,29,2,18,9,0,0,15
53,qm,red,66,573,6538,81,81,15,66,18,27,21,0,0,15
53,qm,blue,5695,6570,5066,65,65,15,50,20,21,9,0,0,15
54,qm,red,5053,240,3656,57,57,15,39,6,18,15,3,0,15
54,qm,blue,3547,7912,314,65,65,15,50,8,24,18,0,0,15
