match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5509,6533,7784,25,25,6,19,4,6,9,0,0,6
1,qm,blue,6611,5156,5166,24,24,6,18,6,6,6,0,0,6
2,qm,red,5661,6753,5224,29,29,3,26,2,12,12,0,0,3
2,qm,blue,5203,6071,6067,52,52,12,40,4,18,18,0,0,12
3,qm,red,5982,4382,5603,6,6,0,6,0,0,6,0,0,0
3,qm,blue,2834,3414,3770,75,75,15,60,12,33,15,0,0,15
4,qm,red,5229,7213,5216,43,43,9,34,4,18,12,0,0,9
4,qm,blue,6631,7150,5504,18,18,6,12,6,0,6,0,0,6
5,qm,red,5712,5235,6020,65,65,12,47,14,12,21,6,0,12
5,qm,blue,5046,5517,6193,55,55,15,40,16,15,9,0,0,15
6,qm,red,6597,5538,5193,49,49,9,30,6,18,6,10,0,9
6,qm,blue,7751,5424,4819,37,37,9,28,4,15,9,0,0,9
7,qm,red,5222,6073,6533,30,30,3,27,6,12,9,0,0,3
7,qm,blue,2619,5203,7213,29,29,9,20,2,9,9,0,0,9
8,qm,red,6020,6631,6193,77,77,12,62,14,27,21,3,0,12
8,qm,blue,7784,5982,2834,17,17,6,11,2,0,9,0,0,6
9,qm,red,5603,5517,3770,55,55,15,37,10,15,12,3,0,15
9,qm,blue,5509,5166,6071,58,58,15,40,4,18,18,3,0,15
10,qm,red,2619,6597,5504,48,48,12,36,6,24,6,0,0,12
10,qm,blue,5235,5193,5424,50,50,6,44,8,27,9,0,0,6
11,qm,red,5216,4819,5712,60,60,12,48,12,18,18,0,0,12
11,qm,blue,5156,6073,6753,36,36,9,27,12,6,9,0,0,9
12,qm,red,4382,5046,5538,49,49,6,43,10,18,15,0,0,6
12,qm,blue,5661,7150,7751,0,0,0,0,0,0,0,0,0,0
13,qm,red,5229,6611,6067,47,47,15,32,8,6,18,0,0,15
13,qm,blue,5224,3414,5222,38,38,9,29,2,21,6,0,0,9
14,qm,red,5166,6020,2834,95,95,12,65,14,33,18,18,0,12
14,qm,blue,6193,6533,6071,49,49,12,37,4,24,9,0,0,12
15,qm,red,7784,5216,5203,40,40,9,31,10,12,9,0,0,9
15,qm,blue,5982,5538,7751,6,6,3,3,0,0,3,0,0,3
16,qm,red,5517,6067,6631,63,63,9,48,6,24,18,6,0,9
16,qm,blue,6611,6753,5424,47,47,15,32,2,18,12,0,0,15
17,qm,red,5603,5509,5229,38,38,9,29,8,12,9,0,0,9
17,qm,blue,2619,6073,5193,51,51,15,36,6,15,15,0,0,15
18,qm,red,7213,3414,4819,38,38,15,23,2,9,12,0,0,15
18,qm,blue,5661,5046,5712,57,57,12,45,12,15,18,0,0,12
19,qm,red,7150,5224,6597,44,44,3,32,2,12,18,9,0,3
19,qm,blue,5504,3770,5222,29,29,3,26,8,0,18,0,0,3
20,qm,red,5235,7751,6073,47,47,6,18,6,3,9,23,0,6
20,qm,blue,4382,5156,2834,37,37,6,31,10,12,9,0,0,6
21,qm,red,3414,5712,5509,54,54,15,39,12,6,21,0,0,15
21,qm,blue,5538,6071,6631,48,48,15,27,6,18,3,6,0,15
22,qm,red,5193,5224,6611,61,61,12,49,4,24,21,0,0,12
22,qm,blue,5982,6020,7213,40,40,9,31,4,12,15,0,0,9
23,qm,red,5216,5424,5517,64,64,9,55,10,24,21,0,0,9
23,qm,blue,5603,6533,5203,15,15,3,12,6,0,6,0,0,3
24,qm,red,5222,5046,6067,64,64,12,43,4,21,18,9,0,12
24,qm,blue,5504,5156,5235,27,27,9,18,6,3,9,0,0,9
25,qm,red,6193,5661,2619,37,37,12,25,4,3,18,0,0,12
25,qm,blue,3770,5229,7150,25,25,6,16,4,3,9,3,0,6
26,qm,red,4819,6753,6597,46,46,12,31,4,18,9,3,0,12
26,qm,blue,5166,7784,4382,52,52,12,30,6,15,9,10,0,12
27,qm,red,5424,6071,6073,54,54,15,39,6,24,9,0,0,15
27,qm,blue,5046,5193,6020,59,59,15,44,2,21,21,0,0,15
28,qm,red,5538,5222,5603,42,42,15,24,0,15,9,3,0,15
28,qm,blue,5982,2619,6631,33,33,12,21,12,3,6,0,0,12
29,qm,red,6193,4819,5166,75,75,15,60,12,27,21,0,0,15
29,qm,blue,5509,6067,5224,50,50,12,38,2,18,18,0,0,12
30,qm,red,5203,7150,4382,29,29,6,23,8,6,9,0,0,6
30,qm,blue,7784,6611,5712,55,55,12,43,22,6,15,0,0,12
31,qm,red,6533,5517,7751,21,21,3,18,0,12,6,0,0,3
