match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5927,6094,3620,69,69,15,54,12,24,18,0,0,15
1,qm,blue,5227,107,6043,69,69,15,44,8,12,24,10,0,15
2,qm,red,1243,4003,6066,40,40,15,25,4,3,18,0,0,15
2,qm,blue,6114,5980,5963,21,21,6,15,6,3,6,0,0,6
3,qm,red,7234,3458,5316,42,42,15,27,12,9,6,0,0,15
3,qm,blue,5173,7812,6548,50,50,15,25,10,9,6,10,0,15
4,qm,red,5448,5567,7054,39,39,15,24,6,12,6,0,0,15
4,qm,blue,2054,5622,6065,63,63,12,51,12,24,15,0,0,12
5,qm,red,5610,85,141,46,46,15,31,10,12,9,0,0,15
5,qm,blue,4453,3234,5710,44,44,9,35,8,18,9,0,0,9
6,qm,red,6877,7203,2474,62,62,12,40,4,18,18,10,0,12
6,qm,blue,74,6589,5470,41,41,12,29,2,21,6,0,0,12
7,qm,red,5535,6428,6065,33,33,9,24,0,18,6,0,0,9
7,qm,blue,5963,7248,6066,30,30,12,18,6,0,12,0,0,12
8,qm,red,5980,7812,5622,27,27,9,18,0,15,3,0,0,9
8,qm,blue,5316,3234,5927,38,38,9,29,8,15,6,0,0,9
9,qm,red,5567,6877,3620,70,70,15,55,10,24,21,0,0,15
9,qm,blue,6548,107,6094,78,78,15,60,12,30,18,3,0,15
10,qm,red,1243,7054,141,62,62,15,47,8,21,18,0,0,15
10,qm,blue,5710,3458,7203,36,36,15,21,6,9,6,0,0,15
11,qm,red,7248,74,5448,38,38,12,26,2,18,6,0,0,12
11,qm,blue,4003,5610,5470,46,46,6,34,4,15,15,6,0,6
12,qm,red,5227,2054,2474,57,57,15,42,18,9,15,0,0,15
12,qm,blue,7234,4453,6428,20,20,15,5,2,0,3,0,0,15
13,qm,red,6114,5173,85,36,36,9,27,6,12,9,0,0,9
13,qm,blue,6589,6043,5535,37,37,12,15,0,9,6,10,0,12
14,qm,red,7054,5610,6066,26,26,12,14,2,6,6,0,0,12
14,qm,blue,7248,107,141,55,55,15,40,4,15,21,0,0,15
15,qm,red,5227,1243,3458,44,44,9,35,14,6,15,0,0,9
15,qm,blue,4453,5470,5622,12,12,0,12,6,0,6,0,0,0
16,qm,red,7234,2054,5963,50,50,15,35,8,12,15,0,0,15
16,qm,blue,6589,5927,7203,43,43,12,31,4,21,6,0,0,12
17,qm,red,5316,6094,6114,34,34,9,15,0,6,9,10,0,9
17,qm,blue,6043,85,2474,77,77,15,41,8,15,18,21,0,15
18,qm,red,3234,6428,5173,36,36,12,24,0,15,9,0,0,12
18,qm,blue,7812,4003,5567,48,48,9,39,12,15,12,0,0,9
19,qm,red,5710,5535,3620,60,60,15,45,6,18,21,0,0,15
19,qm,blue,6877,74,6065,47,47,9,38,2,18,18,0,0,9
20,qm,red,6548,5448,5316,27,27,15,12,6,3,3,0,0,15
20,qm,blue,5980,5227,6094,58,58,15,37,4,24,9,6,0,15
21,qm,red,3458,7812,3234,29,29,12,17,8,0,9,0,0,12
21,qm,blue,5173,6066,2474,44,44,15,29,2,15,12,0,0,15
22,qm,red,5927,4453,1243,72,72,15,57,12,30,15,0,0,15
22,qm,blue,6428,141,74,49,49,15,34,4,21,9,0,0,15
23,qm,red,5535,5622,7248,18,18,9,9,0,0,9,0,0,9
23,qm,blue,85,5710,107,78,78,15,57,12,21,24,6,0,15
24,qm,red,6548,7203,7234,26,26,9,17,8,0,9,0,0,9
24,qm,blue,6114,7054,4003,51,51,15,36,6,21,9,0,0,15
25,qm,red,6043,6877,5610,52,52,15,34,4,12,18,3,0,15
25,qm,blue,5963,5470,6065,26,26,6,20,2,12,6,0,0,6
26,qm,red,3620,5448,5980,66,66,15,51,6,27,18,0,0,15
26,qm,blue,2054,6589,5567,68,68,15,40,10,9,21,13,0,15
27,qm,red,6094,6066,6428,27,27,15,12,0,9,3,0,0,15
27,qm,blue,5710,6114,5227,49,49,15,24,0,9,15,10,0,15
28,qm,red,1243,2474,7812,43,43,15,28,4,12,12,0,0,15
28,qm,blue,4003,7248,5927,89,89,12,77,20,36,21,0,0,12
29,qm,red,74,2054,3234,63,63,15,48,6,27,15,0,0,15
29,qm,blue,5448,7234,6043,36,36,15,21,0,15,6,0,0,15
30,qm,red,7203,5567,5980,41,41,6,35,8,18,9,0,0,6
30,qm,blue,3458,3620,5963,64,64,15,46,10,18,18,3,0,15
31,qm,red,5470,5173,141,47,47,15,29,2,18,9,3,0,15
31,qm,blue,5316,85,5535,52,52,15,37,4,12,21,0,0,15
32,qm,red,107,6589,6877,53,53,15,38,2,18,18,0,0,15
32,qm,blue,4453,7054,6548,45,45,15,30,6,9,15,0,0,15
33,qm,red,5610,6065,3234,51,51,12,39,6,24,9,0,0,12
33,qm,blue,5622,5227,4003,63,63,15,48,6,24,18,0,0,15
