match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2353,2357,1810,22,22,9,13,4,0,9,0,0,9
1,qm,blue,1730,5801,2335,77,77,9,56,8,30,18,12,0,9
2,qm,red,6542,1984,1763,28,28,9,19,4,6,9,0,0,9
2,qm,blue,1785,1986,1764,56,56,12,31,4,15,12,13,0,12
3,qm,red,1802,5189,1806,15,15,6,9,0,3,6,0,0,6
3,qm,blue,5082,6805,1982,32,32,12,20,2,9,9,0,0,12
4,qm,red,2410,1847,1108,38,38,6,32,2,18,12,0,0,6
4,qm,blue,2723,937,5098,36,36,12,24,6,9,9,0,0,12
5,qm,red,5809,3284,1777,46,46,9,37,4,24,9,0,0,9
5,qm,blue,5968,1723,4809,32,32,6,26,2,15,9,0,0,6
6,qm,red,1769,7064,5268,38,38,9,29,2,21,6,0,0,9
6,qm,blue,2352,5918,1775,33,33,9,24,0,18,6,0,0,9
7,qm,red,2410,1802,1763,60,60,12,48,6,21,21,0,0,12
7,qm,blue,1810,1730,1108,65,65,12,53,8,27,18,0,0,12
8,qm,red,2353,5809,5968,33,33,12,21,0,15,6,0,0,12
8,qm,blue,6542,1806,1982,49,49,12,21,6,6,9,16,0,12
9,qm,red,5082,1785,2357,44,44,12,32,2,12,18,0,0,12
9,qm,blue,5801,5918,1986,68,68,9,59,8,30,21,0,0,9
10,qm,red,1723,3284,2723,59,59,12,47,8,24,15,0,0,12
10,qm,blue,2335,1764,7064,29,29,9,20,2,15,3,0,0,9
11,qm,red,5189,937,6805,6,6,0,6,0,6,0,0,0,0
11,qm,blue,1777,1984,1769,40,40,6,31,4,24,3,3,0,6
12,qm,red,1847,2352,5268,30,30,12,18,0,18,0,0,0,12
12,qm,blue,1775,4809,5098,45,45,12,33,6,18,9,0,0,12
13,qm,red,1723,1810,5801,65,65,15,50,8,24,18,0,0,15
13,qm,blue,1764,2723,2410,54,54,15,36,6,24,6,3,0,15
14,qm,red,6805,2335,1769,32,32,9,23,2,15,6,0,0,9
14,qm,blue,6542,5968,1108,41,41,15,26,2,18,6,0,0,15
15,qm,red,1775,1730,1806,53,53,9,35,2,15,18,9,0,9
15,qm,blue,3284,1847,5098,54,54,15,36,6,15,15,3,0,15
16,qm,red,5809,5082,1984,47,47,12,35,8,12,15,0,0,12
16,qm,blue,1785,1777,2353,26,26,6,17,2,12,3,3,0,6
17,qm,red,1982,5918,937,12,12,6,6,0,3,3,0,0,6
17,qm,blue,4809,5268,1986,54,54,9,45,6,24,15,0,0,9
18,qm,red,2357,1802,7064,47,47,12,32,2,18,12,3,0,12
18,qm,blue,1763,5189,2352,30,30,6,24,0,18,6,0,0,6
19,qm,red,1730,5098,1785,50,50,3,47,8,21,18,0,0,3
19,qm,blue,1806,1777,1723,18,18,3,15,0,12,3,0,0,3
20,qm,red,5268,1984,1982,43,43,12,31,4,18,9,0,0,12
20,qm,blue,5082,1810,1769,42,42,9,33,6,21,6,0,0,9
21,qm,red,5801,2723,5189,54,54,12,42,6,18,18,0,0,12
21,qm,blue,5918,6542,7064,18,18,9,9,0,0,9,0,0,9
22,qm,red,1802,4809,3284,47,47,12,35,2,18,15,0,0,12
22,qm,blue,937,2357,1847,24,24,6,15,0,9,6,3,0,6
23,qm,red,2335,1775,5968,39,39,9,24,0,15,9,6,0,9
23,qm,blue,5809,2352,2410,60,60,9,51,12,24,15,0,0,9
24,qm,red,1986,6805,1108,45,45,12,33,6,15,12,0,0,12
24,qm,blue,1764,1763,2353,27,27,9,15,0,12,3,3,0,9
25,qm,red,2723,1982,1810,66,66,15,48,6,24,18,3,0,15
25,qm,blue,1777,5082,1847,44,44,15,29,2,9,18,0,0,15
26,qm,red,5918,2410,1785,49,49,6,43,4,21,18,0,0,6
26,qm,blue,2352,1769,1723,46,46,15,31,4,21,6,0,0,15
27,qm,red,2357,1730,6805,57,57,6,51,6,27,18,0,0,6
27,qm,blue,1986,7064,937,64,64,6,46,4,24,18,12,0,6
28,qm,red,5268,5098,2335,32,32,12,20,2,9,9,0,0,12
28,qm,blue,1984,1802,5968,40,40,6,34,4,21,9,0,0,6
29,qm,red,1764,5189,4809,34,34,9,25,4,18,3,0,0,9
29,qm,blue,1806,2353,3284,53,53,12,41,8,18,15,0,0,12
30,qm,red,6542,5801,1775,60,60,15,45,6,21,18,0,0,15
30,qm,blue,1108,1763,5809,9,9,6,3,0,0,3,0,0,6
31,qm,red,1777,1982,2335,33,33,12,21,0,12,9,0,0,12
31,qm,blue,1802,1723,5918,36,36,9,24,0,12,12,3,0,9
32,qm,red,1730,1986,2353,84,84,12,63,12,33,18,9,0,12
32,qm,blue,5968,5189,2410,45,45,6,39,6,21,12,0,0,6
33,qm,red,1984,1810,1764,53,53,15,38,8,21,9,0,0,15
33,qm,blue,1785,1847,1775,41,41,12,26,2,18,6,3,0,12
34,qm,red,1769,6542,5098,46,46,15,31,10,15,6,0,0,15
34,qm,blue,1763,2357,2723,66,66,9,39,6,24,9,18,0,9
35,qm,red,7064,5082,2352,70,70,15,55,10,27,18,0,0,15
35,qm,blue,1806,1108,4809,45,45,9,27,6,18,3,9,0,9
36,qm,red,3284,937,5268,43,43,6,37,4,21,12,0,0,6
36,qm,blue,5801,6805,5809,58,58,15,37,4,18,15,6,0,15
37,qm,red,1847,5918,5968,39,39,12,18,0,12,6,9,0,12
37,qm,blue,5189,6542,1785,33,33,9,21,0,15,6,3,0,9
38,qm,red,5098,1777,2357,40,40,12,28,10,12,6,0,0,12
38,qm,blue,2723,2353,2335,57,57,15,42,6,24,12,0,0,15
39,qm,red,1763,1775,5082,52,52,15,37,4,15,18,0,0,15
39,qm,blue,4809,937,1730,47,47,9,38,2,18,18,0,0,9
40,qm,red,7064,1806,5809,20,20,6,14,2,6,6,0,0,6
40,qm,blue,6805,2410,1810,56,56,12,38,2,21,15,6,0,12
41,qm,red,1984,1986,2352,75,75,9,57,12,27,18,9,0,9
41,qm,blue,1723,1108,5268,36,36,15,18,0,9,9,3,0,15
42,qm,red,3284,1764,5801,62,62,15,47,14,27,6,0,0,15
42,qm,blue,1769,1982,1802,46,46,15,28,4,15,9,3,0,15
43,qm,red,937,1775,1777,37,37,6,31,4,18,9,0,0,6
43,qm,blue,1730,2723,6542,54,54,15,36,6,24,6,3,0,15
44,qm,red,2352,6805,4809,43,43,12,31,4,18,9,0,0,12
44,qm,blue,1810,2335,5189,36,36,12,24,0,18,6,0,0,12
45,qm,red,1982,5801,1847,47,47,15,29,2,15,12,3,0,15
45,qm,blue,7064,1723,1984,49,49,12,37,4,24,9,0,0,12
46,qm,red,2410,2353,5268,41,41,12,29,2,15,12,0,0,12
46,qm,blue,1806,1769,1763,55,55,15,21,0,12,9,19,0,15
47,qm,red,2357,1108,5918,35,35,3,26,2,15,9,6,0,3
47,qm,blue,5809,1764,1802,39,39,15,24,0,12,12,0,0,15
48,qm,red,1785,5968,3284,40,40,9,28,4,18,6,3,0,9
48,qm,blue,1986,5098,5082,67,67,15,49,10,12,27,3,0,15
49,qm,red,1769,5801,2410,70,70,15,42,12,21,9,13,0,15
49,qm,blue,2335,4809,1984,45,45,9,36,6,21,9,0,0,9
50,qm,red,1723,1764,1847,45,45,15,27,0,18,9,3,0,15
50,qm,blue,2353,2352,937,32,32,15,14,2,9,3,3,0,15
51,qm,red,5189,7064,1730,58,58,9,46,4,24,18,3,0,9
51,qm,blue,5268,5809,6542,33,33,15,18,6,3,9,0,0,15
52,qm,red,5968,1806,5082,36,36,12,24,6,9,9,0,0,12
52,qm,blue,5098,1763,5918,49,49,9,19,10,0,9,21,0,9
53,qm,red,6805,1785,2723,45,45,12,30,0,18,12,3,0,12
53,qm,blue,1775,1982,2357,44,44,9,25,4,15,6,10,0,9
54,qm,red,1108,1802,1777,52,52,12,37,4,21,12,3,0,12
54,qm,blue,1810,1986,3284,80,80,12,68,14,33,21,0,0,12
55,qm,red,5098,5968,7064,28,28,12,16,10,0,6,0,0,12
55,qm,blue,937,1769,1764,33,33,12,21,0,15,6,0,0,12
56,qm,red,1847,1730,1763,62,62,12,40,4,18,18,10,0,12
56,qm,blue,5918,2335,5082,35,35,9,26,2,6,18,0,0,9
57,qm,red,2723,1777,1986,58,58,12,37,4,18,15,9,0,12
57,qm,blue,5801,5268,1806,54,54,9,45,6,24,15,0,0,9
58,qm,red,2352,1810,6542,53,53,15,35,2,15,18,3,0,15
58,qm,blue,3284,2357,1984,66,66,9,54,12,33,9,3,0,9
59,qm,red,1775,2410,1723,56,56,15,38,2,21,15,3,0,15
59,qm,blue,1982,1108,5189,26,26,12,14,2,6,6,0,0,12
60,qm,red,4809,1785,5809,44,44,12,32,2,21,9,0,0,12
60,qm,blue,6805,2353,1802,45,45,9,30,0,18,12,6,0,9
61,qm,red,1984,1847,1806,49,49,6,40,10,27,3,3,0,6
61,qm,blue,5968,2357,5801,64,64,12,52,10,27,15,0,0,12
62,qm,red,1108,2352,2723,61,61,15,25,4,12,9,21,0,15
62,qm,blue,1982,3284,1730,94,94,12,79,16,42,21,3,0,12
63,qm,red,5918,1769,5189,21,21,12,9,0,3,6,0,0,12
63,qm,blue,5098,5809,1810,48,48,9,39,6,15,18,0,0,9
64,qm,red,1986,2335,1802,54,54,12,42,6,18,18,0,0,12
64,qm,blue,7064,1775,2353,15,15,12,3,0,3,0,0,0,12
65,qm,red,5082,6542,1764,44,44,15,29,2,18,9,0,0,15
65,qm,blue,4809,2410,1777,52,52,9,43,4,21,18,0,0,9
66,qm,red,937,1785,1723,39,39,12,24,0,18,6,3,0,12
66,qm,blue,5268,1763,6805,23,23,9,14,2,9,3,0,0,9
67,qm,red,5189,5809,1986,46,46,12,34,4,12,18,0,0,12
67,qm,blue,1847,2723,1769,47,47,15,32,2,21,9,0,0,15
68,qm,red,1764,5098,1982,41,41,15,26,2,12,12,0,0,15
68,qm,blue,2410,5082,1730,64,64,12,43,4,21,18,9,0,12
69,qm,red,2357,1723,6542,42,42,12,30,6,15,9,0,0,12
69,qm,blue,1802,5268,1775,80,80,15,29,2,15,12,36,0,15
70,qm,red,1763,4809,5801,49,49,9,40,4,18,18,0,0,9
70,qm,blue,1777,5968,2352,42,42,12,30,6,21,3,0,0,12
71,qm,red,1108,2335,937,30,30,9,21,0,15,6,0,0,9
71,qm,blue,1810,1806,1785,53,53,12,41,2,21,18,0,0,12
72,qm,red,2353,1984,5918,38,38,15,23,2,12,9,0,0,15
72,qm,blue,7064,3284,6805,58,58,9,39,6,24,9,10,0,9
1,qf,red,3284,1986,1806,64,64,9,52,10,21,21,3,0,9
1,qf,blue,1723,4809,1764,46,46,15,31,4,18,9,0,0,15
2,qf,red,3284,1986,1806,71,71,9,53,8,24,21,9,0,9
2,qf,blue,1723,4809,1764,43,43,15,25,4,18,3,3,0,15
1,qf,red,2352,2410,1777,57,57,12,45,6,21,18,0,0,12
1,qf,blue,5082,2723,1769,59,59,15,38,2,15,21,6,0,15
2,qf,red,2352,2410,1777,77,77,12,52,10,27,15,13,0,12
2,qf,blue,5082,2723,1769,43,43,15,28,4,15,9,0,0,15
3,qf,red,2352,2410,1777,68,68,12,56,8,27,21,0,0,12
3,qf,blue,5082,2723,1769,62,62,15,37,4,18,15,10,0,15
1,qf,red,1730,5801,2357,75,75,12,63,12,30,21,0,0,12
1,qf,blue,1982,1984,5968,55,55,12,43,10,24,9,0,0,12
