match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4355,5887,7161,19,19,3,16,4,6,6,0,0,3
1,qm,blue,7725,4735,5526,28,28,15,13,4,0,9,0,0,15
2,qm,red,6896,7421,7699,21,21,9,12,6,0,6,0,0,9
2,qm,blue,6170,7018,7669,12,12,6,3,0,3,0,3,0,6
3,qm,red,7577,7687,5312,38,38,3,26,2,15,9,9,0,3
3,qm,blue,4603,6608,4403,49,49,15,34,4,21,9,0,0,15
4,qm,red,3526,4775,6199,21,21,12,9,0,9,0,0,0,12
4,qm,blue,5344,6200,6483,22,22,3,16,10,3,3,3,0,3
5,qm,red,6965,5705,7037,23,23,6,14,8,0,6,3,0,6
5,qm,blue,6017,7040,7653,28,28,9,19,4,9,6,0,0,9
6,qm,red,4400,3472,7706,27,27,6,21,0,12,9,0,0,6
6,qm,blue,4401,4635,6647,54,54,9,45,6,24,15,0,0,9
7,qm,red,3526,7421,4403,46,46,12,34,4,21,9,0,0,12
7,qm,blue,6200,7699,6170,49,49,9,40,10,24,6,0,0,9
8,qm,red,5705,5344,5312,51,51,12,39,6,21,12,0,0,12
8,qm,blue,4735,6965,7577,16,16,6,10,4,0,6,0,0,6
9,qm,red,7018,7725,4603,28,28,12,16,4,9,3,0,0,12
9,qm,blue,6647,6483,6608,45,45,9,36,6,24,6,0,0,9
10,qm,red,7040,7687,6199,13,13,0,13,4,9,0,0,0,0
10,qm,blue,4355,4400,4401,50,50,12,35,2,18,15,3,0,12
11,qm,red,7161,7037,4635,37,37,6,31,4,18,9,0,0,6
11,qm,blue,7653,5887,4775,51,51,15,36,6,12,18,0,0,15
12,qm,red,6896,7669,7706,43,43,12,21,6,12,3,10,0,12
12,qm,blue,6017,5526,3472,35,35,12,23,2,18,3,0,0,12
13,qm,red,7577,6170,3526,36,36,12,24,0,18,6,0,0,12
13,qm,blue,4400,4735,6483,45,45,9,23,2,15,6,13,0,9
14,qm,red,6647,7040,5312,54,54,6,48,6,27,15,0,0,6
14,qm,blue,7699,7653,5344,17,17,9,8,2,3,3,0,0,9
15,qm,red,4403,3472,4355,45,45,9,36,6,24,6,0,0,9
15,qm,blue,6896,5705,7161,47,47,15,32,2,21,9,0,0,15
16,qm,red,6199,6200,4603,53,53,9,44,8,30,6,0,0,9
16,qm,blue,6965,4775,7669,38,38,9,29,2,12,15,0,0,9
17,qm,red,7018,5526,7037,9,9,3,6,0,3,3,0,0,3
17,qm,blue,4401,7706,6608,52,52,15,37,4,21,12,0,0,15
18,qm,red,5887,7725,6017,43,43,15,28,4,15,9,0,0,15
18,qm,blue,7421,4635,7687,57,57,12,45,12,24,9,0,0,12
19,qm,red,6483,6896,3472,41,41,9,29,2,21,6,3,0,9
19,qm,blue,7577,4403,5705,20,20,9,11,2,3,6,0,0,9
20,qm,red,4775,4401,7018,53,53,12,41,2,21,18,0,0,12
20,qm,blue,7040,3526,6965,22,22,9,13,4,0,9,0,0,9
21,qm,red,5887,5344,4400,41,41,9,32,2,21,9,0,0,9
21,qm,blue,7669,6608,6199,15,15,6,9,0,6,3,0,0,6
22,qm,red,7687,6647,6017,41,41,15,26,2,18,6,0,0,15
22,qm,blue,7161,6170,5312,39,39,12,27,0,18,9,0,0,12
23,qm,red,4635,4603,4735,57,57,15,42,12,21,9,0,0,15
23,qm,blue,7706,4355,7421,36,36,9,27,6,12,9,0,0,9
24,qm,red,7653,6200,5526,59,59,9,44,8,27,9,6,0,9
24,qm,blue,7699,7725,7037,20,20,6,14,2,6,6,0,0,6
25,qm,red,5344,7577,3472,39,39,6,23,8,9,6,10,0,6
25,qm,blue,7018,4400,7040,15,15,3,12,0,12,0,0,0,3
26,qm,red,6647,4735,3526,57,57,15,42,6,24,12,0,0,15
26,qm,blue,5887,6896,4603,49,49,15,34,4,21,9,0,0,15
27,qm,red,7669,7653,7421,29,29,6,23,8,6,9,0,0,6
27,qm,blue,5312,4355,6965,62,62,9,43,4,24,15,10,0,9
28,qm,red,7725,4403,4775,63,63,15,48,6,24,18,0,0,15
28,qm,blue,7706,7037,7687,24,24,9,15,6,3,6,0,0,9
29,qm,red,7699,6483,7161,27,27,3,24,0,15,9,0,0,3
29,qm,blue,4401,6017,6200,50,50,15,35,2,21,12,0,0,15
30,qm,red,6199,5705,6170,39,39,9,17,2,9,6,13,0,9
30,qm,blue,5526,6608,4635,33,33,12,21,6,6,9,0,0,12
31,qm,red,7706,4775,6647,60,60,12,48,6,24,18,0,0,12
31,qm,blue,7040,4355,5344,48,48,9,39,6,21,12,0,0,9
32,qm,red,7653,6965,4400,41,41,9,32,8,15,9,0,0,9
32,qm,blue,4735,6017,4403,59,59,15,34,10,15,9,10,0,15
33,qm,red,6483,7577,5887,6,6,0,6,0,0,6,0,0,0
33,qm,blue,6200,7161,7421,45,45,9,36,12,21,3,0,0,9
34,qm,red,7037,7669,4603,33,33,6,27,0,18,9,0,0,6
34,qm,blue,6170,6896,7725,60,60,15,45,12,24,9,0,0,15
35,qm,red,5526,7687,4401,29,29,12,17,2,6,9,0,0,12
35,qm,blue,3526,7018,5705,30,30,15,15,0,9,6,0,0,15
36,qm,red,6608,5312,7699,33,33,9,24,0,15,9,0,0,9
36,qm,blue,3472,6199,4635,34,34,6,28,10,15,3,0,0,6
37,qm,red,4403,7161,7653,53,53,9,34,10,18,6,10,0,9
37,qm,blue,7577,4603,4400,36,36,9,27,0,18,9,0,0,9
38,qm,red,5705,7706,6200,47,47,9,38,8,21,9,0,0,9
38,qm,blue,7669,3526,5887,30,30,6,24,0,18,6,0,0,6
39,qm,red,6483,6199,7018,12,12,3,9,0,3,6,0,0,3
39,qm,blue,5312,7037,6017,40,40,9,31,4,15,12,0,0,9
40,qm,red,6170,5526,6647,53,53,12,38,2,21,15,3,0,12
40,qm,blue,7421,6965,5344,25,25,9,16,4,3,9,0,0,9
41,qm,red,4735,6608,6896,57,57,15,42,12,21,9,0,0,15
41,qm,blue,4635,4775,7040,42,42,12,30,12,12,6,0,0,12
42,qm,red,4355,7687,7725,42,42,15,27,6,9,12,0,0,15
42,qm,blue,7699,3472,4401,38,38,9,29,2,18,9,0,0,9
43,qm,red,6017,7018,6965,27,27,15,12,0,6,6,0,0,15
43,qm,blue,6647,5887,4403,42,42,12,30,0,18,12,0,0,12
44,qm,red,5344,7706,6170,47,47,15,32,8,18,6,0,0,15
44,qm,blue,6199,7653,7577,14,14,3,11,2,3,6,0,0,3
45,qm,red,7161,4401,7040,44,44,12,32,2,18,12,0,0,12
45,qm,blue,4635,7669,6200,40,40,9,28,10,12,6,3,0,9
46,qm,red,4735,7037,4355,53,53,9,38,8,18,12,6,0,9
46,qm,blue,3472,3526,7687,41,41,15,26,2,18,6,0,0,15
47,qm,red,7421,7725,6608,41,41,15,26,8,12,6,0,0,15
47,qm,blue,4775,7699,5705,39,39,6,33,6,12,15,0,0,6
48,qm,red,5312,4603,6483,55,55,15,40,4,24,12,0,0,15
48,qm,blue,4400,5526,6896,39,39,9,30,0,18,12,0,0,9
49,qm,red,3472,7018,6200,45,45,6,39,6,24,9,0,0,6
49,qm,blue,7687,7653,6170,41,41,9,32,8,21,3,0,0,9
50,qm,red,6608,7161,6965,46,46,15,31,4,21,6,0,0,15
50,qm,blue,7706,4735,7699,47,47,9,26,8,12,6,12,0,9
51,qm,red,5705,7040,7725,42,42,15,27,12,3,12,0,0,15
51,qm,blue,4400,6647,6199,50,50,6,44,8,30,6,0,0,6
52,qm,red,6483,4635,3526,47,47,15,32,8,18,6,0,0,15
52,qm,blue,4403,5312,7669,63,63,9,51,12,33,6,3,0,9
53,qm,red,4775,7577,6017,45,45,12,33,0,18,15,0,0,12
