match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2640,6332,1225,26,26,15,11,8,0,3,0,0,15
1,qm,blue,4290,5679,3661,33,33,12,18,0,12,6,3,0,12
2,qm,red,5190,4935,6932,62,62,12,50,14,18,18,0,0,12
2,qm,blue,3196,2655,900,67,67,9,55,16,27,12,3,0,9
3,qm,red,3229,1533,6899,69,69,15,54,12,33,9,0,0,15
3,qm,blue,6894,587,6639,38,38,15,23,2,12,9,0,0,15
4,qm,red,5518,7815,5727,32,32,9,23,14,0,9,0,0,9
4,qm,blue,3459,6502,7443,42,42,6,30,6,6,18,6,0,6
5,qm,red,7890,3680,3506,51,51,15,33,6,15,12,3,0,15
5,qm,blue,6888,4828,6908,48,48,12,36,0,15,21,0,0,12
6,qm,red,2640,5854,6894,42,42,12,30,0,12,18,0,0,12
6,qm,blue,2655,4561,5518,57,57,15,42,12,21,9,0,0,15
7,qm,red,7443,6888,6639,28,28,12,16,4,3,9,0,0,12
7,qm,blue,5679,3459,6908,42,42,9,30,0,18,12,3,0,9
8,qm,red,4561,5190,5727,76,76,12,61,16,27,18,3,0,12
8,qm,blue,4290,3506,3196,56,56,12,41,2,21,18,3,0,12
9,qm,red,4828,6899,7890,44,44,9,29,2,6,21,6,0,9
9,qm,blue,6332,5854,4935,44,44,15,26,8,15,3,3,0,15
10,qm,red,3661,3680,6932,31,31,6,25,16,6,3,0,0,6
10,qm,blue,587,6502,1225,46,46,15,31,4,24,3,0,0,15
11,qm,red,900,1533,2640,56,56,9,47,14,15,18,0,0,9
11,qm,blue,7815,3229,6888,40,40,9,31,4,21,6,0,0,9
12,qm,red,6908,6639,5518,40,40,15,25,10,6,9,0,0,15
12,qm,blue,2655,1225,5190,63,63,6,57,12,27,18,0,0,6
13,qm,red,587,4935,4290,44,44,15,29,8,18,3,0,0,15
13,qm,blue,6932,3506,5854,35,35,9,26,14,9,3,0,0,9
14,qm,red,7443,3196,3229,55,55,12,43,4,21,18,0,0,12
14,qm,blue,4828,900,4561,51,51,15,36,6,21,9,0,0,15
15,qm,red,7815,3680,6899,39,39,15,24,6,12,6,0,0,15
15,qm,blue,6332,5727,3661,33,33,9,24,6,12,6,0,0,9
16,qm,red,6502,1533,5679,60,60,12,48,12,30,6,0,0,12
16,qm,blue,6894,3459,7890,36,36,12,24,0,9,15,0,0,12
17,qm,red,3661,587,4828,60,60,12,48,6,24,18,0,0,12
17,qm,blue,5727,6932,2640,56,56,9,47,20,9,18,0,0,9
18,qm,red,6639,3506,4935,55,55,15,37,4,18,15,3,0,15
18,qm,blue,900,3680,3229,43,43,15,28,10,15,3,0,0,15
19,qm,red,5190,7443,6908,60,60,9,48,6,21,21,3,0,9
19,qm,blue,5854,5679,7815,21,21,15,6,0,3,3,0,0,15
20,qm,red,1533,4561,4290,61,61,15,46,16,21,9,0,0,15
20,qm,blue,6888,5518,7890,45,45,12,30,6,9,15,3,0,12
21,qm,red,6899,6332,3196,39,39,15,24,0,9,15,0,0,15
21,qm,blue,6502,2655,6894,67,67,9,49,16,21,12,9,0,9
22,qm,red,1225,900,3661,45,45,9,36,6,15,15,0,0,9
22,qm,blue,587,6888,3459,65,65,12,53,8,27,18,0,0,12
23,qm,red,7443,5518,3680,49,49,15,34,10,15,9,0,0,15
23,qm,blue,6332,7815,1533,33,33,15,18,0,9,9,0,0,15
24,qm,red,6908,6899,6932,34,34,12,22,10,3,9,0,0,12
24,qm,blue,2640,6502,4290,52,52,12,40,10,24,6,0,0,12
25,qm,red,3459,5190,3506,52,52,12,40,4,15,21,0,0,12
25,qm,blue,2655,7890,5727,54,54,12,39,12,12,15,3,0,12
26,qm,red,4561,6894,3229,63,63,15,48,6,24,18,0,0,15
26,qm,blue,4935,5679,4828,28,28,12,13,4,0,9,3,0,12
