match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,219,7110,5310,29,29,6,23,2,21,0,0,0,6
1,qm,blue,1791,484,423,42,42,12,30,0,18,12,0,0,12
2,qm,red,203,341,3151,49,49,15,34,10,15,9,0,0,15
2,qm,blue,2729,6921,272,74,74,12,59,14,27,18,3,0,12
3,qm,red,5895,2600,2559,52,52,9,43,10,30,3,0,0,9
3,qm,blue,6226,1640,1807,74,74,12,62,14,27,21,0,0,12
4,qm,red,714,5420,5113,64,64,15,49,10,30,9,0,0,15
4,qm,blue,1647,5457,365,67,67,12,52,10,24,18,3,0,12
5,qm,red,75,6327,5490,32,32,9,20,2,3,15,3,0,9
5,qm,blue,1712,834,2191,59,59,12,47,8,24,15,0,0,12
6,qm,red,5684,204,2495,65,65,9,44,14,24,6,12,0,9
6,qm,blue,2729,1370,816,62,62,15,47,14,15,18,0,0,15
7,qm,red,5113,75,1807,70,70,15,55,16,21,18,0,0,15
7,qm,blue,714,341,2559,43,43,12,31,10,15,6,0,0,12
8,qm,red,423,816,1640,51,51,15,33,12,9,12,3,0,15
8,qm,blue,5457,5310,484,27,27,9,18,0,6,12,0,0,9
9,qm,red,5420,272,1370,71,71,12,59,14,30,15,0,0,12
9,qm,blue,5895,7110,1791,55,55,9,46,10,30,6,0,0,9
10,qm,red,203,204,6226,48,48,12,36,6,15,15,0,0,12
10,qm,blue,5684,834,365,82,82,15,64,16,36,12,3,0,15
11,qm,red,6921,1712,219,47,47,12,35,8,18,9,0,0,12
11,qm,blue,2495,2191,2600,35,35,9,26,2,18,6,0,0,9
12,qm,red,3151,5490,5113,31,31,9,22,4,12,6,0,0,9
12,qm,blue,6327,1647,1791,24,24,9,12,6,3,3,3,0,9
13,qm,red,6921,1640,2559,42,42,15,27,6,12,9,0,0,15
13,qm,blue,204,219,423,59,59,9,47,8,15,24,3,0,9
14,qm,red,365,714,5490,57,57,12,42,6,18,18,3,0,12
14,qm,blue,2191,203,5684,52,52,12,27,6,18,3,13,0,12
15,qm,red,816,341,75,45,45,15,30,12,9,9,0,0,15
15,qm,blue,1370,1647,5895,70,70,12,55,22,21,12,3,0,12
16,qm,red,834,5310,2729,60,60,15,45,6,24,15,0,0,15
16,qm,blue,2495,272,6327,48,48,12,36,6,21,9,0,0,12
17,qm,red,5420,2600,6226,52,52,9,43,10,24,9,0,0,9
17,qm,blue,5457,3151,1807,56,56,9,47,8,21,18,0,0,9
18,qm,red,484,1712,2495,54,54,12,42,6,21,15,0,0,12
18,qm,blue,7110,2559,204,43,43,6,37,4,21,12,0,0,6
19,qm,red,365,5310,2191,73,73,15,48,6,24,18,10,0,15
19,qm,blue,5457,2729,5420,72,72,15,57,12,24,21,0,0,15
