match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,514,4641,2875,41,41,9,32,8,15,9,0,0,9
1,qm,blue,6024,4567,1546,50,50,9,28,4,18,6,13,0,9
2,qm,red,7611,569,3646,54,54,9,45,6,21,18,0,0,9
2,qm,blue,7748,7239,2161,43,43,9,31,10,9,12,3,0,9
3,qm,red,2638,1601,7539,58,58,9,49,10,27,12,0,0,9
3,qm,blue,1803,6911,5298,38,38,12,23,2,12,9,3,0,12
4,qm,red,564,358,1468,46,46,6,40,10,21,9,0,0,6
4,qm,blue,2579,7280,2027,27,27,9,18,0,15,3,0,0,9
5,qm,red,7242,2347,11,45,45,12,24,6,15,3,9,0,12
5,qm,blue,7673,2869,1554,37,37,9,18,0,9,9,10,0,9
6,qm,red,6941,353,6636,30,30,3,27,6,18,3,0,0,3
6,qm,blue,28,3173,2905,51,51,9,36,6,21,9,6,0,9
7,qm,red,6024,1601,271,55,55,15,34,4,18,12,6,0,15
7,qm,blue,1468,2161,7539,57,57,9,32,8,12,12,16,0,9
8,qm,red,2579,2875,7748,35,35,9,26,2,18,6,0,0,9
8,qm,blue,514,1546,5298,38,38,6,26,2,15,9,6,0,6
9,qm,red,2347,4567,1554,39,39,9,27,0,18,9,3,0,9
9,qm,blue,564,2027,2905,61,61,15,23,2,9,12,23,0,15
10,qm,red,569,7239,6911,42,42,15,27,0,18,9,0,0,15
10,qm,blue,4641,11,1803,74,74,9,38,8,24,6,27,0,9
11,qm,red,7280,6636,358,38,38,9,5,2,0,3,24,0,9
11,qm,blue,2638,7611,2869,46,46,12,34,4,18,12,0,0,12
12,qm,red,6941,7673,3173,43,43,12,31,4,18,9,0,0,12
12,qm,blue,271,3646,353,61,61,9,43,4,21,18,9,0,9
13,qm,red,28,1803,564,37,37,9,28,4,15,9,0,0,9
13,qm,blue,4641,7242,1546,38,38,9,29,2,18,9,0,0,9
14,qm,red,1601,2579,5298,32,32,12,20,2,9,9,0,0,12
14,qm,blue,7611,2161,2905,20,20,9,11,2,3,6,0,0,9
15,qm,red,358,1554,3646,56,56,9,47,8,18,21,0,0,9
15,qm,blue,7748,7539,271,44,44,12,29,8,12,9,3,0,12
16,qm,red,2347,6024,2875,56,56,12,41,8,27,6,3,0,12
16,qm,blue,7239,2638,6941,69,69,12,57,12,36,9,0,0,12
17,qm,red,2027,7673,6911,52,52,15,34,4,18,12,3,0,15
17,qm,blue,6636,11,514,18,18,3,15,0,12,3,0,0,3
18,qm,red,28,2869,7242,38,38,12,20,2,9,9,6,0,12
18,qm,blue,1468,569,3173,71,71,9,53,8,21,24,9,0,9
19,qm,red,7280,4567,7239,33,33,12,21,6,9,6,0,0,12
19,qm,blue,353,1601,1803,38,38,15,23,2,12,9,0,0,15
20,qm,red,6636,6911,564,26,26,12,14,2,3,9,0,0,12
20,qm,blue,2027,271,6941,65,65,15,37,4,21,12,13,0,15
21,qm,red,1468,2638,2579,49,49,12,37,4,18,15,0,0,12
21,qm,blue,1554,4641,569,45,45,6,29,2,18,9,10,0,6
22,qm,red,2875,7611,5298,39,39,9,30,6,21,3,0,0,9
22,qm,blue,358,514,28,52,52,9,43,16,18,9,0,0,9
23,qm,red,7539,1546,7280,58,58,9,49,4,24,21,0,0,9
23,qm,blue,7673,2905,7242,46,46,15,31,4,21,6,0,0,15
24,qm,red,3173,2869,6024,54,54,9,45,6,21,18,0,0,9
24,qm,blue,4567,7748,3646,52,52,9,34,4,21,9,9,0,9
25,qm,red,2161,11,358,70,70,12,42,12,18,12,16,0,12
25,qm,blue,2347,353,2579,30,30,12,18,0,9,9,0,0,12
26,qm,red,7673,6636,1601,38,38,15,23,8,6,9,0,0,15
26,qm,blue,569,28,2875,50,50,12,35,8,21,6,3,0,12
27,qm,red,1546,2905,2638,50,50,9,41,8,24,9,0,0,9
27,qm,blue,7539,2027,7611,41,41,12,29,8,15,6,0,0,12
28,qm,red,7239,564,1554,51,51,12,39,6,18,15,0,0,12
28,qm,blue,7280,7748,6911,44,44,12,32,2,12,18,0,0,12
29,qm,red,1803,271,7242,31,31,3,25,4,15,6,3,0,3
29,qm,blue,3646,2347,514,68,68,12,50,14,18,18,6,0,12
30,qm,red,2161,353,4641,38,38,12,26,2,9,15,0,0,12
30,qm,blue,4567,6941,2869,53,53,9,44,8,30,6,0,0,9
31,qm,red,11,5298,3173,53,53,9,44,14,15,15,0,0,9
31,qm,blue,6024,1468,7280,76,76,9,48,6,24,18,19,0,9
32,qm,red,564,2579,7242,51,51,12,30,0,18,12,9,0,12
32,qm,blue,569,7539,7673,51,51,12,39,6,24,9,0,0,12
33,qm,red,7611,358,271,45,45,15,24,6,12,6,6,0,15
33,qm,blue,1803,2905,2875,37,37,9,25,4,12,9,3,0,9
34,qm,red,6941,7748,2347,47,47,12,25,4,15,6,10,0,12
34,qm,blue,7239,6636,6024,50,50,9,41,8,24,9,0,0,9
35,qm,red,3173,1554,1546,45,45,15,27,6,9,12,3,0,15
35,qm,blue,2638,514,2161,53,53,12,41,14,15,12,0,0,12
36,qm,red,11,3646,2027,85,85,12,73,16,36,21,0,0,12
36,qm,blue,4641,1601,28,59,59,15,41,8,21,12,3,0,15
37,qm,red,2869,5298,1468,38,38,9,26,2,15,9,3,0,9
37,qm,blue,6911,353,4567,36,36,15,21,0,18,3,0,0,15
38,qm,red,514,3173,1803,52,52,12,37,16,3,18,3,0,12
38,qm,blue,7748,569,358,53,53,15,38,8,21,9,0,0,15
39,qm,red,2905,3646,2579,86,86,15,44,8,21,15,27,0,15
39,qm,blue,7280,564,2638,69,69,12,54,6,24,24,3,0,12
40,qm,red,4567,7673,2161,41,41,12,29,2,12,15,0,0,12
40,qm,blue,6911,28,11,50,50,15,35,2,18,15,0,0,15
41,qm,red,1554,6941,1468,71,71,12,59,14,33,12,0,0,12
41,qm,blue,1546,7611,7239,73,73,12,49,10,24,15,12,0,12
42,qm,red,1601,2875,2027,52,52,15,37,4,18,15,0,0,15
42,qm,blue,6024,7242,353,52,52,12,40,10,21,9,0,0,12
43,qm,red,2347,7539,2869,60,60,12,38,8,24,6,10,0,12
43,qm,blue,5298,4641,6636,36,36,12,24,0,15,9,0,0,12
44,qm,red,2638,271,4567,62,62,15,47,8,27,12,0,0,15
44,qm,blue,2579,6941,28,35,35,3,32,2,18,12,0,0,3
45,qm,red,2161,6911,6024,46,46,12,25,4,12,9,9,0,12
45,qm,blue,7242,7611,7280,36,36,6,30,6,9,15,0,0,6
46,qm,red,353,358,7239,49,49,15,34,10,15,9,0,0,15
46,qm,blue,1546,1803,7673,53,53,12,41,8,24,9,0,0,12
47,qm,red,3173,4641,271,55,55,15,40,4,18,18,0,0,15
47,qm,blue,5298,564,569,33,33,6,27,0,15,12,0,0,6
48,qm,red,2869,7748,514,29,29,9,20,14,0,6,0,0,9
48,qm,blue,1601,1468,2347,59,59,15,44,8,24,12,0,0,15
