match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1796,6880,4571,66,66,12,48,18,12,18,6,0,12
1,qm,blue,3950,5016,6806,49,49,15,34,10,18,6,0,0,15
2,qm,red,7730,383,7004,21,21,6,15,0,9,6,0,0,6
2,qm,blue,7318,6969,303,40,40,3,37,4,21,12,0,0,3
3,qm,red,3017,871,7718,20,20,12,8,2,0,6,0,0,12
3,qm,blue,6593,5943,1880,36,36,15,21,6,6,9,0,0,15
4,qm,red,7539,6401,1660,42,42,9,30,12,9,9,3,0,9
4,qm,blue,4122,1156,354,44,44,15,29,8,9,12,0,0,15
5,qm,red,2872,5123,7016,20,20,6,14,8,3,3,0,0,6
5,qm,blue,3419,2265,6911,15,15,3,12,0,12,0,0,0,3
6,qm,red,6459,5865,7759,36,36,6,30,0,18,12,0,0,6
6,qm,blue,3314,20,7504,83,83,12,59,14,27,18,12,0,12
7,qm,red,250,1155,4091,37,37,15,22,4,9,9,0,0,15
7,qm,blue,6648,4012,5202,11,11,0,5,2,0,3,6,0,0
8,qm,red,6024,2601,1880,49,49,15,31,4,18,9,3,0,15
8,qm,blue,5806,2265,527,41,41,15,23,2,15,6,3,0,15
9,qm,red,5943,3950,7004,39,39,15,21,0,12,9,3,0,15
9,qm,blue,7016,6401,5865,48,48,15,20,2,9,9,13,0,15
10,qm,red,6806,871,4091,45,45,15,30,6,15,9,0,0,15
10,qm,blue,6459,354,7730,41,41,9,22,4,9,9,10,0,9
11,qm,red,4012,3419,3314,48,48,6,32,8,21,3,10,0,6
11,qm,blue,6648,7318,6593,39,39,3,23,8,0,15,13,0,3
12,qm,red,1796,3017,5202,48,48,6,32,8,15,9,10,0,6
12,qm,blue,6024,2872,7539,37,37,9,28,4,18,6,0,0,9
13,qm,red,527,4122,7759,45,45,3,32,8,12,12,10,0,3
13,qm,blue,303,1156,1155,53,53,9,41,8,21,12,3,0,9
14,qm,red,1660,6911,5123,15,15,6,9,6,0,3,0,0,6
14,qm,blue,250,2601,6969,19,19,3,10,4,3,3,6,0,3
15,qm,red,7718,5806,7504,28,28,15,13,4,3,6,0,0,15
15,qm,blue,5016,6880,383,38,38,9,29,8,12,9,0,0,9
16,qm,red,20,1796,7759,81,81,6,66,12,36,18,9,0,6
16,qm,blue,354,4571,1155,32,32,15,17,8,3,6,0,0,15
17,qm,red,6911,3314,3950,45,45,3,42,6,24,12,0,0,3
17,qm,blue,871,1660,6024,45,45,9,36,12,18,6,0,0,9
18,qm,red,3419,7016,250,35,35,15,20,2,9,9,0,0,15
18,qm,blue,383,6969,5865,37,37,9,22,4,12,6,6,0,9
19,qm,red,2265,1156,7730,35,35,12,23,2,18,3,0,0,12
19,qm,blue,7504,4571,6593,53,53,15,35,14,12,9,3,0,15
20,qm,red,4122,7004,6880,40,40,12,28,4,15,9,0,0,12
20,qm,blue,4012,6459,3017,27,27,6,21,6,12,3,0,0,6
21,qm,red,2601,303,5016,68,68,12,50,14,27,9,6,0,12
21,qm,blue,4091,20,6648,59,59,12,41,2,21,18,6,0,12
22,qm,red,5202,1880,7318,42,42,9,27,0,12,15,6,0,9
22,qm,blue,7539,5943,5123,36,36,12,24,6,6,12,0,0,12
23,qm,red,5806,6806,6401,42,42,15,27,0,18,9,0,0,15
23,qm,blue,527,2872,7718,44,44,12,29,2,18,9,3,0,12
24,qm,red,250,2265,4122,41,41,15,26,2,12,12,0,0,15
24,qm,blue,1796,4091,7004,32,32,6,20,2,12,6,6,0,6
25,qm,red,6911,383,1880,38,38,12,26,2,15,9,0,0,12
25,qm,blue,7759,6880,7730,22,22,9,13,4,0,9,0,0,9
26,qm,red,354,2872,6969,24,24,12,12,0,0,12,0,0,12
26,qm,blue,6648,527,3950,23,23,6,14,2,9,3,3,0,6
