match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,907,7013,6977,39,39,12,27,0,18,9,0,0,12
1,qm,blue,5921,4914,1075,29,29,9,14,2,3,9,6,0,9
2,qm,red,4618,5288,5699,57,57,6,19,4,9,6,32,0,6
2,qm,blue,6917,6130,7520,41,41,12,29,2,18,9,0,0,12
3,qm,red,2708,854,5719,64,64,15,43,10,18,15,6,0,15
3,qm,blue,6140,4252,6397,52,52,15,34,4,18,12,3,0,15
4,qm,red,4343,1360,6632,45,45,15,27,12,6,9,3,0,15
4,qm,blue,7603,7659,7712,38,38,9,29,2,21,6,0,0,9
5,qm,red,7200,7614,919,28,28,9,19,4,9,6,0,0,9
5,qm,blue,6323,5596,6975,9,9,3,6,0,6,0,0,0,3
6,qm,red,4777,7721,6141,44,44,15,20,2,15,3,9,0,15
6,qm,blue,7558,7735,6378,61,61,12,37,4,24,9,12,0,12
7,qm,red,7712,4343,5699,51,51,9,42,6,24,12,0,0,9
7,qm,blue,6977,5921,6130,28,28,3,22,4,9,9,3,0,3
8,qm,red,4618,6975,7520,42,42,12,21,0,12,9,9,0,12
8,qm,blue,5596,2708,6632,33,33,15,15,0,9,6,3,0,15
9,qm,red,6378,6323,7659,24,24,6,3,0,0,3,15,0,6
9,qm,blue,6140,7721,1075,47,47,15,29,2,9,18,3,0,15
10,qm,red,854,5288,7558,83,83,15,53,8,24,21,15,0,15
10,qm,blue,7200,6141,6917,36,36,15,21,0,18,3,0,0,15
11,qm,red,7735,4777,6397,48,48,15,33,6,18,9,0,0,15
11,qm,blue,7013,4914,7614,28,28,3,25,4,15,6,0,0,3
12,qm,red,5719,1360,919,43,43,12,31,4,15,12,0,0,12
12,qm,blue,7603,907,4252,42,42,12,30,6,15,9,0,0,12
13,qm,red,6917,7659,5288,30,30,15,15,0,6,9,0,0,15
13,qm,blue,4343,2708,6977,68,68,9,28,4,12,12,31,0,9
14,qm,red,5699,6130,6323,24,24,9,12,0,6,6,3,0,9
14,qm,blue,854,6378,6975,43,43,12,31,10,9,12,0,0,12
15,qm,red,6632,7735,4914,59,59,12,38,8,15,15,9,0,12
15,qm,blue,7721,7200,907,50,50,15,35,8,18,9,0,0,15
16,qm,red,6141,5596,4252,35,35,15,20,8,9,3,0,0,15
16,qm,blue,7013,7603,6140,37,37,9,28,4,18,6,0,0,9
17,qm,red,7558,5921,4618,44,44,6,38,2,21,15,0,0,6
17,qm,blue,6397,5719,7520,44,44,15,29,2,18,9,0,0,15
18,qm,red,7712,1360,7614,40,40,9,31,4,18,9,0,0,9
