match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7022,5912,4920,36,36,6,30,6,18,6,0,0,6
1,qm,blue,6854,5032,4976,15,15,6,9,0,0,9,0,0,6
2,qm,red,7475,5039,6856,30,30,0,20,2,18,0,10,0,0
2,qm,blue,2056,2609,4678,72,72,15,51,12,21,18,6,0,15
3,qm,red,772,2702,4069,54,54,9,45,12,15,18,0,0,9
3,qm,blue,4814,4968,6330,39,39,9,20,2,15,3,10,0,9
4,qm,red,3756,6992,7722,34,34,15,19,4,12,3,0,0,15
4,qm,blue,5672,7664,1241,63,63,12,38,8,24,6,13,0,12
5,qm,red,4617,7800,4917,38,38,15,23,8,0,15,0,0,15
5,qm,blue,5483,3161,3683,49,49,12,27,6,12,9,10,0,12
6,qm,red,4920,6992,3739,39,39,9,30,6,15,9,0,0,9
6,qm,blue,6875,7022,4678,39,39,15,24,0,15,9,0,0,15
7,qm,red,7475,3756,2609,38,38,15,23,14,3,6,0,0,15
7,qm,blue,4617,4814,6854,37,37,3,24,6,12,6,10,0,3
8,qm,red,5483,2056,772,68,68,12,53,14,24,15,3,0,12
8,qm,blue,3161,6856,7664,30,30,12,18,0,9,9,0,0,12
9,qm,red,5039,3739,7800,47,47,15,32,2,21,9,0,0,15
9,qm,blue,4968,2702,6875,35,35,12,23,8,6,9,0,0,12
10,qm,red,5032,3683,5672,35,35,9,26,8,12,6,0,0,9
10,qm,blue,5912,4069,6330,35,35,6,29,2,21,6,0,0,6
11,qm,red,6992,4917,4976,33,33,15,15,0,6,9,3,0,15
11,qm,blue,7800,1241,7722,40,40,15,25,4,18,3,0,0,15
12,qm,red,3756,4617,4968,29,29,15,11,2,0,9,3,0,15
12,qm,blue,2702,4920,4678,47,47,15,29,8,12,9,3,0,15
13,qm,red,6856,3739,1241,50,50,15,35,8,18,9,0,0,15
13,qm,blue,4069,6854,7664,54,54,9,27,6,6,15,18,0,9
14,qm,red,6330,3683,7722,45,45,9,36,6,24,6,0,0,9
14,qm,blue,3161,772,2609,33,33,9,24,6,6,12,0,0,9
15,qm,red,5039,4814,6875,71,71,15,40,10,24,6,16,0,15
15,qm,blue,5912,5672,7475,40,40,9,31,4,21,6,0,0,9
16,qm,red,7022,4976,2056,86,86,15,71,20,33,18,0,0,15
16,qm,blue,4917,5032,5483,57,57,9,48,12,18,18,0,0,9
17,qm,red,6875,6856,3756,15,15,15,0,0,0,0,0,0,15
17,qm,blue,3683,5039,5912,74,74,15,59,20,33,6,0,0,15
18,qm,red,4968,4920,6854,34,34,12,22,4,0,18,0,0,12
18,qm,blue,5483,2609,4814,62,62,15,47,8,27,12,0,0,15
19,qm,red,4678,4069,3739,38,38,15,23,2,15,6,0,0,15
19,qm,blue,2056,4917,5672,80,80,12,68,14,33,21,0,0,12
20,qm,red,4617,7664,4976,53,53,15,38,2,21,15,0,0,15
20,qm,blue,7022,6330,7475,30,30,6,15,0,9,6,9,0,6
21,qm,red,2702,3161,6992,47,47,12,35,8,21,6,0,0,12
21,qm,blue,772,5032,1241,55,55,12,43,4,21,18,0,0,12
22,qm,red,4678,7800,7475,50,50,15,35,2,15,18,0,0,15
22,qm,blue,7722,6856,4917,43,43,9,31,4,12,15,3,0,9
23,qm,red,6992,3683,4968,56,56,15,38,8,24,6,3,0,15
23,qm,blue,7022,7664,3739,39,39,6,33,6,21,6,0,0,6
24,qm,red,772,5672,6854,32,32,9,20,2,15,3,3,0,9
24,qm,blue,4920,7800,2056,67,67,15,42,12,12,18,10,0,15
25,qm,red,5032,2609,6875,19,19,6,13,10,0,3,0,0,6
25,qm,blue,4617,5483,4069,60,60,12,48,6,24,18,0,0,12
26,qm,red,4814,3756,2702,52,52,9,43,10,27,6,0,0,9
26,qm,blue,5039,4976,3161,46,46,6,30,0,15,15,10,0,6
27,qm,red,5912,7722,4678,62,62,12,50,8,24,18,0,0,12
27,qm,blue,1241,6330,5483,68,68,9,44,8,27,9,15,0,9
28,qm,red,6854,6875,3161,27,27,12,15,0,9,6,0,0,12
28,qm,blue,7664,4968,4917,49,49,6,43,4,21,18,0,0,6
29,qm,red,1241,7475,4976,73,73,15,58,16,27,15,0,0,15
29,qm,blue,3739,772,3756,45,45,15,24,6,9,9,6,0,15
30,qm,red,7722,4069,7022,46,46,9,37,4,15,18,0,0,9
30,qm,blue,6856,4814,4920,33,33,15,12,6,6,0,6,0,15
31,qm,red,5912,7800,5032,42,42,12,30,6,18,6,0,0,12
31,qm,blue,2609,5039,6992,68,68,15,43,10,24,9,10,0,15
32,qm,red,6330,2702,5672,38,38,9,29,8,12,9,0,0,9
32,qm,blue,3683,4617,2056,74,74,9,65,14,33,18,0,0,9
33,qm,red,7664,5483,4920,47,47,12,32,2,21,9,3,0,12
33,qm,blue,3739,3161,5032,33,33,12,21,0,18,3,0,0,12
34,qm,red,772,4678,5039,69,69,15,41,8,27,6,13,0,15
34,qm,blue,5672,7022,7800,38,38,12,26,2,18,6,0,0,12
35,qm,red,4069,4968,2609,65,65,15,50,8,24,18,0,0,15
35,qm,blue,3756,4976,3683,73,73,15,58,16,24,18,0,0,15
36,qm,red,6875,5912,2056,69,69,12,48,12,21,15,9,0,12
36,qm,blue,7475,4917,2702,43,43,9,34,10,6,18,0,0,9
37,qm,red,6992,1241,4814,62,62,15,44,14,27,3,3,0,15
37,qm,blue,6330,4617,6856,21,21,12,6,0,3,3,3,0,12
38,qm,red,6854,3739,3683,80,80,15,44,8,27,9,21,0,15
38,qm,blue,7722,7475,772,44,44,15,29,2,18,9,0,0,15
39,qm,red,4069,4814,4917,34,34,12,19,4,6,9,3,0,12
39,qm,blue,7800,6992,7664,48,48,6,42,6,27,9,0,0,6
40,qm,red,6854,2702,7022,39,39,12,27,6,12,9,0,0,12
40,qm,blue,5672,4678,3161,41,41,12,29,2,18,9,0,0,12
41,qm,red,4968,4976,5912,55,55,9,43,4,21,18,3,0,9
41,qm,blue,6856,2056,5032,63,63,12,48,12,24,12,3,0,12
42,qm,red,7722,4617,2609,35,35,15,17,8,0,9,3,0,15
42,qm,blue,6330,5039,4920,39,39,9,24,0,18,6,6,0,9
43,qm,red,1241,3756,7022,53,53,9,44,14,27,3,0,0,9
43,qm,blue,5483,6875,7800,30,30,15,15,6,6,3,0,0,15
44,qm,red,5032,7475,4814,32,32,9,23,2,15,6,0,0,9
44,qm,blue,6992,772,4617,36,36,12,24,0,18,6,0,0,12
45,qm,red,7664,4678,3683,75,75,15,60,12,27,21,0,0,15
45,qm,blue,1241,4920,2609,53,53,15,38,8,24,6,0,0,15
46,qm,red,4976,6330,6875,33,33,15,18,0,0,18,0,0,15
46,qm,blue,2056,6854,5039,72,72,15,57,12,27,18,0,0,15
47,qm,red,3161,4917,5912,40,40,9,31,10,12,9,0,0,9
47,qm,blue,3739,7722,4968,38,38,15,23,2,15,6,0,0,15
48,qm,red,6856,2702,5483,45,45,9,36,12,24,0,0,0,9
48,qm,blue,3756,5672,4069,35,35,12,23,8,6,9,0,0,12
49,qm,red,4814,2056,3161,61,61,12,49,16,24,9,0,0,12
49,qm,blue,5912,6854,6992,44,44,12,29,2,18,9,3,0,12
50,qm,red,3683,1241,4069,101,101,15,86,26,36,24,0,0,15
50,qm,blue,5672,7722,5039,41,41,15,26,2,15,9,0,0,15
51,qm,red,4920,6875,4617,30,30,15,15,6,0,9,0,0,15
51,qm,blue,4976,6856,772,42,42,9,33,0,18,15,0,0,9
52,qm,red,3739,7475,5483,25,25,9,10,4,0,6,6,0,9
52,qm,blue,7800,2609,2702,51,51,15,30,6,12,12,6,0,15
