match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,144,4467,379,71,71,12,59,14,30,15,0,0,12
1,qm,blue,3492,3201,5740,45,45,15,30,6,15,9,0,0,15
2,qm,red,156,7165,4145,54,54,15,29,14,9,6,10,0,15
2,qm,blue,7460,2656,3062,32,32,12,20,2,12,6,0,0,12
3,qm,red,1787,102,291,15,15,6,9,0,6,3,0,0,6
3,qm,blue,2053,63,4049,29,29,6,23,2,3,18,0,0,6
4,qm,red,677,2641,4150,81,81,15,50,14,24,12,16,0,15
4,qm,blue,4085,7515,4050,30,30,15,15,6,6,3,0,0,15
5,qm,red,4027,7670,337,32,32,9,23,2,18,3,0,0,9
5,qm,blue,3324,7274,3504,79,79,6,73,16,36,21,0,0,6
6,qm,red,4547,1743,2051,24,24,12,12,6,0,6,0,0,12
6,qm,blue,5842,117,4780,38,38,9,29,2,18,9,0,0,9
7,qm,red,4991,1708,3954,79,79,15,55,10,27,18,9,0,15
7,qm,blue,6032,3957,48,58,58,9,49,10,21,18,0,0,9
8,qm,red,63,3062,4269,53,53,15,38,8,18,12,0,0,15
8,qm,blue,3260,144,5811,49,49,15,31,10,12,9,3,0,15
9,qm,red,337,4547,677,39,39,15,24,6,12,6,0,0,15
9,qm,blue,4145,1743,3492,38,38,12,23,2,12,9,3,0,12
10,qm,red,4150,291,4467,50,50,12,38,8,24,6,0,0,12
10,qm,blue,6032,3504,117,71,71,12,59,14,27,18,0,0,12
11,qm,red,2641,48,379,36,36,6,30,6,6,18,0,0,6
11,qm,blue,5842,102,5811,48,48,12,36,12,18,6,0,0,12
12,qm,red,4780,7515,7670,36,36,12,24,0,18,6,0,0,12
12,qm,blue,2053,4050,1708,65,65,12,53,8,30,15,0,0,12
13,qm,red,7274,4049,7460,41,41,15,26,2,15,9,0,0,15
13,qm,blue,3954,2656,2051,67,67,15,52,16,18,18,0,0,15
14,qm,red,3957,4027,3324,58,58,6,52,16,24,12,0,0,6
14,qm,blue,3201,3260,156,49,49,15,34,10,21,3,0,0,15
15,qm,red,1787,4269,4085,62,62,15,47,14,24,9,0,0,15
15,qm,blue,5740,4991,7165,49,49,12,37,10,18,9,0,0,12
16,qm,red,117,4150,7515,43,43,6,37,10,18,9,0,0,6
16,qm,blue,144,102,3062,69,69,15,54,12,30,12,0,0,15
17,qm,red,63,48,3201,69,69,15,51,6,24,21,3,0,15
17,qm,blue,4780,7274,2051,64,64,15,49,10,21,18,0,0,15
18,qm,red,4049,156,677,43,43,15,28,10,9,9,0,0,15
18,qm,blue,337,379,4269,59,59,9,47,14,21,12,3,0,9
19,qm,red,3260,4027,3954,48,48,9,39,12,9,18,0,0,9
19,qm,blue,2641,1787,3492,72,72,15,57,12,36,9,0,0,15
20,qm,red,4085,7165,3957,42,42,15,27,12,3,12,0,0,15
20,qm,blue,291,7670,4145,42,42,15,27,0,18,9,0,0,15
21,qm,red,5740,7460,6032,48,48,12,36,12,18,6,0,0,12
21,qm,blue,2053,4991,1743,31,31,6,25,4,15,6,0,0,6
22,qm,red,3504,5811,4050,60,60,12,48,12,18,18,0,0,12
22,qm,blue,4547,2656,3324,65,65,12,40,10,21,9,13,0,12
23,qm,red,4467,5842,2641,58,58,15,43,16,18,9,0,0,15
23,qm,blue,1787,677,1708,58,58,15,43,10,24,9,0,0,15
24,qm,red,48,4085,5740,62,62,9,50,8,24,18,3,0,9
24,qm,blue,4049,6032,4027,52,52,6,46,10,18,18,0,0,6
25,qm,red,5811,2051,291,60,60,12,48,18,15,15,0,0,12
25,qm,blue,7670,156,2656,49,49,15,34,10,12,12,0,0,15
26,qm,red,1743,3260,7274,41,41,12,29,2,21,6,0,0,12
26,qm,blue,4467,4145,7515,42,42,15,27,0,18,9,0,0,15
27,qm,red,4150,63,337,54,54,15,39,12,15,12,0,0,15
27,qm,blue,7460,1708,3957,65,65,15,50,8,27,15,0,0,15
28,qm,red,144,2053,4269,55,55,15,40,10,21,9,0,0,15
28,qm,blue,3504,3954,5842,70,70,12,48,6,21,21,10,0,12
29,qm,red,3062,3324,117,67,67,9,58,22,24,12,0,0,9
29,qm,blue,379,4780,3492,71,71,12,56,14,27,15,3,0,12
30,qm,red,4547,4050,7165,39,39,15,24,6,18,0,0,0,15
30,qm,blue,4991,3201,102,45,45,15,30,12,15,3,0,0,15
31,qm,red,3504,63,156,57,57,12,45,18,6,21,0,0,12
31,qm,blue,1743,2641,144,58,58,12,46,16,18,12,0,0,12
32,qm,red,4145,3260,2656,40,40,15,25,4,15,6,0,0,15
32,qm,blue,5740,4150,5842,38,38,9,29,8,18,3,0,0,9
33,qm,red,3324,7515,4049,67,67,12,55,16,27,12,0,0,12
33,qm,blue,2051,677,4991,44,44,15,29,14,9,6,0,0,15
34,qm,red,7670,48,1708,65,65,15,50,8,24,18,0,0,15
34,qm,blue,379,1787,4547,49,49,15,31,4,18,9,3,0,15
35,qm,red,6032,3062,4050,54,54,9,45,12,24,9,0,0,9
