match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2712,4097,1100,37,37,9,28,10,3,15,0,0,9
1,qm,blue,716,2168,2713,68,68,15,53,8,27,18,0,0,15
2,qm,red,5000,173,78,65,65,12,53,14,21,18,0,0,12
2,qm,blue,4796,5846,4908,32,32,9,23,8,9,6,0,0,9
3,qm,red,1350,6620,2067,26,26,3,23,2,9,12,0,0,3
3,qm,blue,3719,3236,3146,53,53,15,38,20,6,12,0,0,15
4,qm,red,1740,190,4176,56,56,15,35,8,9,18,6,0,15
4,qm,blue,5494,133,5112,59,59,15,44,8,21,15,0,0,15
5,qm,red,121,4048,61,55,55,12,43,10,12,21,0,0,12
5,qm,blue,3146,4151,1153,57,57,9,48,12,27,9,0,0,9
6,qm,red,5112,78,1350,54,54,9,42,6,21,15,3,0,9
6,qm,blue,173,1740,1100,49,49,15,34,4,15,15,0,0,15
7,qm,red,4176,2168,2712,31,31,12,19,10,9,0,0,0,12
7,qm,blue,2713,61,3719,59,59,15,41,8,15,18,3,0,15
8,qm,red,121,2067,3236,58,58,12,43,4,21,18,3,0,12
8,qm,blue,4048,4796,6620,57,57,3,26,8,12,6,28,0,3
9,qm,red,133,4908,4097,64,64,12,52,16,21,15,0,0,12
9,qm,blue,4151,5846,190,69,69,15,54,12,27,15,0,0,15
10,qm,red,716,5494,1740,41,41,15,26,8,15,3,0,0,15
10,qm,blue,5000,1153,2067,68,68,12,50,8,24,18,6,0,12
11,qm,red,6620,173,121,73,73,12,61,16,27,18,0,0,12
11,qm,blue,1350,61,190,62,62,9,47,8,18,21,6,0,9
12,qm,red,4048,4908,5494,49,49,12,34,10,12,12,3,0,12
12,qm,blue,3146,5112,2712,60,60,15,42,12,24,6,3,0,15
13,qm,red,2168,133,5000,82,82,15,67,16,30,21,0,0,15
13,qm,blue,1153,4176,2713,59,59,15,44,8,27,9,0,0,15
14,qm,red,3719,716,4151,45,45,15,30,12,15,3,0,0,15
14,qm,blue,5846,78,3236,76,76,15,55,10,24,21,6,0,15
15,qm,red,4796,4176,173,65,65,9,36,12,15,9,20,0,9
15,qm,blue,4097,1100,4048,49,49,12,37,4,15,18,0,0,12
16,qm,red,5112,6620,2168,69,69,15,54,12,24,18,0,0,15
16,qm,blue,716,5000,2712,45,45,6,39,12,21,6,0,0,6
17,qm,red,4097,4796,2067,52,52,6,46,4,24,18,0,0,6
17,qm,blue,61,1350,190,56,56,9,47,8,18,21,0,0,9
18,qm,red,4908,1153,1740,35,35,9,26,2,18,6,0,0,9
18,qm,blue,3236,5494,4151,61,61,15,40,4,21,15,6,0,15
19,qm,red,3719,78,1100,95,95,9,61,10,27,24,25,0,9
19,qm,blue,133,5846,121,80,80,15,53,8,24,21,12,0,15
20,qm,red,3146,4048,716,38,38,9,29,8,12,9,0,0,9
20,qm,blue,2713,1350,3236,54,54,15,36,12,15,9,3,0,15
21,qm,red,4151,2168,4908,65,65,9,40,4,21,15,16,0,9
21,qm,blue,6620,3719,5494,34,34,15,19,10,0,9,0,0,15
22,qm,red,121,3146,4176,77,77,15,56,8,30,18,6,0,15
22,qm,blue,78,4097,1740,67,67,12,55,10,27,18,0,0,12
23,qm,red,2713,5000,5846,62,62,15,47,8,27,12,0,0,15
23,qm,blue,190,2067,173,66,66,15,51,12,21,18,0,0,15
24,qm,red,133,61,1153,85,85,15,70,16,30,24,0,0,15
24,qm,blue,1100,4796,5112,49,49,12,37,10,9,18,0,0,12
25,qm,red,2712,3236,4908,40,40,12,28,4,15,9,0,0,12
25,qm,blue,716,2067,78,82,82,9,60,12,30,18,13,0,9
26,qm,red,1350,4048,1153,70,70,15,55,10,30,15,0,0,15
26,qm,blue,4097,1100,61,64,64,12,52,10,21,21,0,0,12
27,qm,red,5112,2713,121,46,46,15,28,4,18,6,3,0,15
27,qm,blue,4176,3719,5846,57,57,15,42,12,21,9,0,0,15
28,qm,red,2168,190,5494,52,52,12,37,4,15,18,3,0,12
28,qm,blue,173,3146,133,95,95,15,77,20,36,21,3,0,15
29,qm,red,4151,4796,6620,33,33,9,24,6,9,9,0,0,9
29,qm,blue,5000,1740,2712,39,39,12,27,6,12,9,0,0,12
30,qm,red,3236,4176,61,78,78,15,53,14,33,6,10,0,15
30,qm,blue,4048,173,2168,97,97,15,82,16,42,24,0,0,15
31,qm,red,2067,5494,1350,43,43,12,31,4,21,6,0,0,12
31,qm,blue,4908,5112,716,42,42,12,30,6,15,9,0,0,12
32,qm,red,2712,4151,133,57,57,15,42,6,21,15,0,0,15
32,qm,blue,5000,3146,1100,50,50,15,35,2,15,18,0,0,15
33,qm,red,2713,190,6620,35,35,9,26,2,9,15,0,0,9
33,qm,blue,78,121,4796,54,54,9,45,6,21,18,0,0,9
34,qm,red,5846,1153,4097,61,61,15,43,4,24,15,3,0,15
34,qm,blue,3719,4048,1740,54,54,15,39,6,24,9,0,0,15
35,qm,red,78,2713,3146,49,49,3,46,10,21,15,0,0,3
35,qm,blue,4796,2168,3236,72,72,12,60,12,27,21,0,0,12
36,qm,red,4097,716,173,71,71,12,59,14,27,18,0,0,12
36,qm,blue,5494,133,4176,54,54,9,45,18,12,15,0,0,9
37,qm,red,1350,1740,5846,54,54,15,39,6,21,12,0,0,15
37,qm,blue,1153,2712,121,73,73,15,58,10,30,18,0,0,15
38,qm,red,61,5112,4151,53,53,15,38,8,12,18,0,0,15
38,qm,blue,2067,4908,5000,58,58,9,40,4,18,18,9,0,9
39,qm,red,190,3719,4796,57,57,9,42,6,15,21,6,0,9
39,qm,blue,6620,1100,5494,53,53,15,38,8,18,12,0,0,15
40,qm,red,2712,173,78,76,76,12,64,16,30,18,0,0,12
40,qm,blue,4048,2713,133,61,61,9,52,10,24,18,0,0,9
41,qm,red,5846,716,3146,77,77,12,65,14,33,18,0,0,12
