match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7492,1477,1817,59,59,9,41,2,18,21,9,0,9
1,qm,blue,7750,6315,7264,32,32,12,20,2,9,9,0,0,12
2,qm,red,4378,3240,1164,44,44,15,29,2,18,9,0,0,15
2,qm,blue,6830,6377,4063,47,47,3,41,8,12,21,3,0,3
3,qm,red,6935,653,5894,32,32,3,29,2,21,6,0,0,3
3,qm,blue,4734,4332,7063,32,32,15,17,2,6,9,0,0,15
4,qm,red,3481,5892,7088,63,63,15,48,6,24,18,0,0,15
4,qm,blue,6682,6800,3545,42,42,12,30,12,12,6,0,0,12
5,qm,red,7138,3345,5572,55,55,15,40,4,24,12,0,0,15
5,qm,blue,6180,4639,3035,19,19,6,13,4,6,3,0,0,6
6,qm,red,5986,3997,5960,52,52,15,34,4,21,9,3,0,15
6,qm,blue,7521,4412,4219,46,46,12,34,10,18,6,0,0,12
7,qm,red,5726,6830,457,37,37,12,25,4,15,6,0,0,12
7,qm,blue,5427,4694,653,29,29,6,23,2,18,3,0,0,6
8,qm,red,6315,4734,3545,36,36,9,24,0,18,6,3,0,9
8,qm,blue,3345,6180,7750,48,48,12,26,2,15,9,10,0,12
9,qm,red,5960,6682,7264,55,55,15,40,10,18,12,0,0,15
9,qm,blue,4063,5986,7492,58,58,12,43,4,18,21,3,0,12
10,qm,red,4378,3481,7521,80,80,15,35,8,21,6,30,0,15
10,qm,blue,7063,5726,3035,51,51,15,36,6,24,6,0,0,15
11,qm,red,4219,4694,4639,37,37,12,22,4,9,9,3,0,12
11,qm,blue,1477,1164,3997,59,59,15,38,2,18,18,6,0,15
12,qm,red,5892,3240,5427,89,89,15,52,10,30,12,22,0,15
12,qm,blue,4412,5572,6935,75,75,9,36,6,21,9,30,0,9
13,qm,red,6800,457,7138,42,42,12,30,6,18,6,0,0,12
13,qm,blue,6377,4332,1817,45,45,12,33,6,21,6,0,0,12
14,qm,red,7088,6830,7521,57,57,15,33,6,18,9,9,0,15
14,qm,blue,5894,7750,3481,52,52,15,37,4,24,9,0,0,15
15,qm,red,3035,653,5892,47,47,12,35,2,21,12,0,0,12
15,qm,blue,4063,4694,6180,50,50,9,41,8,15,18,0,0,9
16,qm,red,1164,7264,5726,27,27,6,21,0,15,6,0,0,6
16,qm,blue,6800,6935,7063,44,44,9,35,8,18,9,0,0,9
17,qm,red,4219,5894,6315,38,38,12,26,2,15,9,0,0,12
17,qm,blue,7138,3240,5986,34,34,9,25,4,15,6,0,0,9
18,qm,red,1817,3997,5572,54,54,15,26,2,18,6,13,0,15
18,qm,blue,3545,4639,4332,26,26,15,11,2,6,3,0,0,15
19,qm,red,4412,7088,6377,40,40,9,31,10,12,9,0,0,9
19,qm,blue,7492,457,3345,51,51,9,36,6,21,9,6,0,9
20,qm,red,4734,6682,5427,52,52,6,43,10,21,12,3,0,6
20,qm,blue,5960,1477,4378,57,57,15,42,6,18,18,0,0,15
21,qm,red,3035,3997,3240,52,52,15,37,10,21,6,0,0,15
21,qm,blue,653,5986,3545,30,30,9,21,0,12,9,0,0,9
22,qm,red,457,5892,1164,59,59,15,41,8,24,9,3,0,15
22,qm,blue,7138,7492,6315,43,43,12,31,4,18,9,0,0,12
23,qm,red,7063,4378,6180,38,38,12,16,4,3,9,10,0,12
23,qm,blue,7088,1817,4694,57,57,15,26,2,18,6,16,0,15
24,qm,red,5726,5427,7750,33,33,6,27,6,15,6,0,0,6
24,qm,blue,4412,6682,4639,43,43,6,37,10,15,12,0,0,6
25,qm,red,6377,4219,1477,55,55,12,40,10,12,18,3,0,12
25,qm,blue,6800,5572,6830,48,48,12,36,6,24,6,0,0,12
26,qm,red,6935,3345,4332,50,50,12,26,2,18,6,12,0,12
26,qm,blue,7521,7264,5894,58,58,15,43,10,24,9,0,0,15
