match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,647,4587,5242,39,39,12,27,12,6,9,0,0,12
1,qm,blue,6357,6526,4295,24,24,3,21,6,12,3,0,0,3
2,qm,red,7319,7179,3310,85,85,15,70,16,36,18,0,0,15
2,qm,blue,7503,5888,5431,47,47,12,35,2,15,18,0,0,12
3,qm,red,2158,5829,6768,22,22,9,13,4,0,9,0,0,9
3,qm,blue,7121,3735,3743,39,39,6,23,8,3,12,10,0,6
4,qm,red,7125,6171,3005,40,40,9,31,4,18,9,0,0,9
4,qm,blue,5908,2468,3370,42,42,3,39,6,15,18,0,0,3
5,qm,red,5414,7511,6646,78,78,15,63,18,24,21,0,0,15
5,qm,blue,3847,7708,7506,53,53,9,34,16,18,0,10,0,9
6,qm,red,1745,2583,418,63,63,15,48,12,24,12,0,0,15
6,qm,blue,3355,5411,2582,50,50,3,47,8,24,15,0,0,3
7,qm,red,3037,7535,7510,12,12,6,6,0,0,6,0,0,6
7,qm,blue,6369,3802,2805,27,27,9,15,6,3,6,3,0,9
8,qm,red,7511,6357,6768,14,14,3,11,2,0,9,0,0,3
8,qm,blue,4295,7179,5829,40,40,15,25,4,18,3,0,0,15
9,qm,red,6171,7503,7708,39,39,15,24,6,15,3,0,0,15
9,qm,blue,2582,7121,3847,92,92,9,65,20,27,18,18,0,9
10,qm,red,5431,6646,3743,69,69,12,57,12,24,21,0,0,12
10,qm,blue,7125,647,5908,16,16,3,13,4,0,9,0,0,3
11,qm,red,6526,3802,5414,79,79,9,54,12,24,18,16,0,9
11,qm,blue,2805,3310,1745,60,60,9,51,12,24,15,0,0,9
12,qm,red,7535,4587,7506,31,31,6,25,10,0,15,0,0,6
12,qm,blue,3735,2468,2583,69,69,15,48,18,15,15,6,0,15
13,qm,red,418,7510,5888,38,38,12,20,2,9,9,6,0,12
13,qm,blue,5242,2158,3037,58,58,9,37,4,24,9,12,0,9
14,qm,red,7319,3005,3355,36,36,12,18,0,9,9,6,0,12
14,qm,blue,6369,3370,5411,52,52,12,37,4,15,18,3,0,12
15,qm,red,7535,4295,1745,30,30,12,18,6,3,9,0,0,12
15,qm,blue,3847,647,3310,68,68,9,49,22,12,15,10,0,9
16,qm,red,2158,5431,6526,49,49,12,37,4,18,15,0,0,12
16,qm,blue,6171,5414,2583,70,70,15,55,16,30,9,0,0,15
17,qm,red,2805,418,2468,75,75,12,63,18,39,6,0,0,12
17,qm,blue,7319,5908,5829,47,47,15,32,2,21,9,0,0,15
18,qm,red,7510,7506,2582,52,52,9,37,4,18,15,6,0,9
18,qm,blue,6646,6768,3370,46,46,15,28,10,6,12,3,0,15
19,qm,red,6369,7121,3355,23,23,9,11,2,3,6,3,0,9
19,qm,blue,3037,5888,6357,37,37,12,25,10,6,9,0,0,12
20,qm,red,5242,7179,3735,65,65,9,56,14,33,9,0,0,9
20,qm,blue,3005,7708,5411,52,52,12,40,10,21,9,0,0,12
21,qm,red,4587,7503,7125,48,48,15,33,12,6,15,0,0,15
21,qm,blue,7511,3743,3802,50,50,6,44,20,15,9,0,0,6
22,qm,red,6646,3037,2583,38,38,12,26,14,6,6,0,0,12
22,qm,blue,5829,5431,2468,79,79,9,70,16,39,15,0,0,9
23,qm,red,3310,3370,6526,66,66,9,57,12,27,18,0,0,9
23,qm,blue,5908,4295,6369,35,35,9,26,2,12,12,0,0,9
24,qm,red,2805,5242,7121,43,43,12,31,4,21,6,0,0,12
24,qm,blue,2582,4587,3735,55,55,15,37,16,12,9,3,0,15
25,qm,red,6768,3355,5414,59,59,9,50,8,24,18,0,0,9
25,qm,blue,7511,647,7535,34,34,3,28,10,9,9,3,0,3
26,qm,red,3847,3743,7503,68,68,12,56,14,33,9,0,0,12
26,qm,blue,1745,3005,7510,47,47,15,32,8,9,15,0,0,15
27,qm,red,6171,7319,5411,54,54,15,39,6,27,6,0,0,15
27,qm,blue,3802,6357,7708,35,35,6,29,20,3,6,0,0,6
28,qm,red,5888,7506,7179,46,46,9,34,4,21,9,3,0,9
28,qm,blue,418,2158,7125,48,48,12,36,6,18,12,0,0,12
29,qm,red,5431,5242,6768,70,70,12,55,10,27,18,3,0,12
29,qm,blue,5908,2582,6646,56,56,9,44,8,18,18,3,0,9
30,qm,red,2583,3802,7535,46,46,9,37,16,12,9,0,0,9
30,qm,blue,7510,3743,6357,48,48,12,36,12,15,9,0,0,12
31,qm,red,7708,2158,7179,66,66,15,51,12,30,9,0,0,15
31,qm,blue,4587,6369,3005,77,77,15,59,14,27,18,3,0,15
32,qm,red,3370,7511,1745,29,29,9,17,8,0,9,3,0,9
32,qm,blue,3037,418,7121,52,52,12,40,4,21,15,0,0,12
33,qm,red,7125,3847,3735,59,59,12,47,20,24,3,0,0,12
33,qm,blue,7503,7319,6526,28,28,15,13,4,0,9,0,0,15
34,qm,red,2468,5411,5414,86,86,9,77,20,39,18,0,0,9
34,qm,blue,5888,647,6171,50,50,12,38,8,21,9,0,0,12
35,qm,red,4295,7506,3310,60,60,15,42,12,27,3,3,0,15
35,qm,blue,5829,2805,3355,33,33,9,24,0,15,9,0,0,9
36,qm,red,3037,2582,7319,55,55,15,40,4,18,18,0,0,15
36,qm,blue,6526,7535,7179,42,42,6,33,6,21,6,3,0,6
37,qm,red,5242,6369,7708,54,54,12,42,6,24,12,0,0,12
37,qm,blue,1745,5414,5431,82,82,9,70,16,33,21,3,0,9
38,qm,red,5829,6357,418,49,49,9,40,4,24,12,0,0,9
38,qm,blue,3802,6646,7503,66,66,15,51,24,6,21,0,0,15
39,qm,red,3005,6768,5908,69,69,15,54,6,27,21,0,0,15
39,qm,blue,6171,7511,4587,66,66,9,54,12,27,15,3,0,9
40,qm,red,5411,3847,4295,88,88,12,66,18,36,12,10,0,12
40,qm,blue,3743,5888,2158,30,30,12,18,0,12,6,0,0,12
41,qm,red,2468,7121,7510,66,66,12,54,12,24,18,0,0,12
41,qm,blue,3735,3355,3310,73,73,9,58,22,21,15,6,0,9
42,qm,red,7506,2583,647,40,40,15,25,4,9,12,0,0,15
42,qm,blue,2805,3370,7125,25,25,12,13,4,0,9,0,0,12
43,qm,red,6526,3037,3847,51,51,15,36,12,18,6,0,0,15
43,qm,blue,5829,6171,5242,66,66,12,44,8,27,9,10,0,12
44,qm,red,6768,6369,7535,48,48,12,36,6,18,12,0,0,12
44,qm,blue,7708,418,5431,68,68,12,56,8,27,21,0,0,12
45,qm,red,5411,7179,6357,72,72,12,60,18,30,12,0,0,12
45,qm,blue,6646,3310,2468,97,97,12,85,22,39,24,0,0,12
46,qm,red,3370,3735,3005,69,69,15,54,12,24,18,0,0,15
46,qm,blue,3802,1745,5888,56,56,9,47,20,6,21,0,0,9
