match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1294,4915,2928,36,36,9,27,6,12,9,0,0,9
1,qm,blue,4089,4683,7461,44,44,9,35,8,9,18,0,0,9
2,qm,red,488,4173,2930,51,51,12,39,12,15,12,0,0,12
2,qm,blue,3588,3663,1899,78,78,15,60,12,30,18,3,0,15
3,qm,red,2910,1778,2976,79,79,12,67,22,30,15,0,0,12
3,qm,blue,7627,4681,4180,43,43,12,31,10,15,6,0,0,12
4,qm,red,3268,3826,1258,37,37,6,28,10,12,6,3,0,6
4,qm,blue,3070,4512,2412,32,32,15,17,2,6,9,0,0,15
5,qm,red,4911,1983,3681,113,113,12,68,20,30,18,33,0,12
5,qm,blue,4682,949,5803,60,60,15,45,12,18,15,0,0,15
6,qm,red,4205,2522,5588,58,58,15,43,16,6,21,0,0,15
6,qm,blue,492,7118,4450,46,46,9,37,10,21,6,0,0,9
7,qm,red,2910,4309,3268,85,85,15,67,22,27,18,3,0,15
7,qm,blue,5827,1899,2930,62,62,12,50,8,24,18,0,0,12
8,qm,red,2928,4089,3588,75,75,15,60,12,27,21,0,0,15
8,qm,blue,3070,7461,1258,27,27,15,12,0,3,9,0,0,15
9,qm,red,4682,4180,4915,38,38,9,26,2,6,18,3,0,9
9,qm,blue,7627,4450,3681,32,32,9,23,2,9,12,0,0,9
10,qm,red,492,2412,3826,53,53,15,38,8,15,15,0,0,15
10,qm,blue,1778,488,4911,79,79,12,64,16,30,18,3,0,12
11,qm,red,4205,4683,1983,51,51,9,42,6,21,15,0,0,9
11,qm,blue,3663,4512,2976,67,67,15,52,16,18,18,0,0,15
12,qm,red,4309,5827,949,34,34,9,25,10,0,15,0,0,9
12,qm,blue,4173,2522,1294,49,49,15,34,16,3,15,0,0,15
13,qm,red,7118,5803,4180,52,52,12,40,10,15,15,0,0,12
13,qm,blue,3826,4681,5588,69,69,15,54,18,30,6,0,0,15
14,qm,red,492,2928,4512,62,62,15,47,14,12,21,0,0,15
14,qm,blue,2976,4915,1899,28,28,9,19,4,9,6,0,0,9
15,qm,red,3663,4682,2412,75,75,9,63,12,30,21,3,0,9
15,qm,blue,1294,949,3070,54,54,15,39,6,24,9,0,0,15
16,qm,red,4681,3681,4683,44,44,9,35,8,18,9,0,0,9
16,qm,blue,4173,4205,5803,65,65,15,50,8,21,21,0,0,15
17,qm,red,2930,1778,4089,64,64,9,52,10,24,18,3,0,9
17,qm,blue,7118,2522,4309,49,49,12,37,22,9,6,0,0,12
18,qm,red,1258,488,5827,69,69,15,51,24,9,18,3,0,15
18,qm,blue,3268,7627,7461,47,47,15,32,8,15,9,0,0,15
19,qm,red,5588,1983,4450,45,45,15,30,6,18,6,0,0,15
19,qm,blue,3588,4911,2910,79,79,15,64,22,27,15,0,0,15
20,qm,red,2522,2976,3681,60,60,12,48,24,18,6,0,0,12
20,qm,blue,1778,4683,3663,65,65,9,56,8,30,18,0,0,9
21,qm,red,3268,5803,5827,62,62,9,53,14,24,15,0,0,9
21,qm,blue,4915,4205,1258,64,64,15,46,10,15,21,3,0,15
22,qm,red,1294,7118,4681,39,39,15,24,0,18,6,0,0,15
22,qm,blue,3588,492,1983,62,62,15,47,14,27,6,0,0,15
23,qm,red,7461,488,3826,51,51,15,36,12,15,9,0,0,15
23,qm,blue,7627,2910,2412,84,84,15,69,18,36,15,0,0,15
24,qm,red,4512,1899,4089,64,64,12,52,10,24,18,0,0,12
24,qm,blue,4911,4173,4682,51,51,9,42,12,24,6,0,0,9
25,qm,red,4180,949,4450,31,31,9,19,4,6,9,3,0,9
25,qm,blue,2930,3070,2928,77,77,15,59,14,27,18,3,0,15
26,qm,red,5588,2976,7461,57,57,15,42,12,18,12,0,0,15
26,qm,blue,3681,4309,492,58,58,9,49,16,15,18,0,0,9
27,qm,red,4681,4089,2910,65,65,15,50,14,24,12,0,0,15
27,qm,blue,1899,4911,2522,68,68,15,50,20,24,6,3,0,15
28,qm,red,1778,4173,3070,33,33,9,24,0,18,6,0,0,9
28,qm,blue,1258,5803,2928,84,84,15,69,30,21,18,0,0,15
29,qm,red,7118,7627,2930,57,57,6,48,6,24,18,3,0,6
29,qm,blue,4683,1294,4682,17,17,6,8,2,3,3,3,0,6
30,qm,red,4309,4450,4205,74,74,12,62,14,27,21,0,0,12
30,qm,blue,4915,3826,949,57,57,12,45,6,24,15,0,0,12
31,qm,red,3663,4180,5588,37,37,15,22,16,6,0,0,0,15
31,qm,blue,488,3268,4512,70,70,12,55,22,15,18,3,0,12
32,qm,red,2412,3588,2522,68,68,15,47,14,24,9,6,0,15
32,qm,blue,5827,1983,2976,65,65,12,53,14,18,21,0,0,12
33,qm,red,7461,4205,1294,40,40,15,25,4,15,6,0,0,15
33,qm,blue,4915,4173,4089,48,48,12,36,6,21,9,0,0,12
34,qm,red,3681,2910,4512,65,65,15,47,20,9,18,3,0,15
34,qm,blue,3268,2928,4681,57,57,15,42,6,27,9,0,0,15
35,qm,red,1258,7118,1899,48,48,12,36,12,15,9,0,0,12
35,qm,blue,488,4450,3663,65,65,9,50,8,21,21,6,0,9
36,qm,red,1983,3826,4682,65,65,15,50,20,15,15,0,0,15
36,qm,blue,5588,4309,1778,53,53,12,41,20,15,6,0,0,12
37,qm,red,3070,3588,7627,42,42,15,27,12,9,6,0,0,15
37,qm,blue,492,949,4911,66,66,9,54,12,24,18,3,0,9
38,qm,red,5803,2930,4683,59,59,9,47,8,21,18,3,0,9
38,qm,blue,5827,2412,4180,63,63,12,48,12,18,18,3,0,12
39,qm,red,4512,4450,3826,81,81,15,56,20,27,9,10,0,15
39,qm,blue,4682,7461,4681,48,48,12,36,6,21,9,0,0,12
40,qm,red,4205,3588,488,64,64,9,52,10,21,21,3,0,9
40,qm,blue,2910,1294,5588,79,79,15,64,22,27,15,0,0,15
41,qm,red,1983,1899,1778,64,64,12,40,10,24,6,12,0,12
41,qm,blue,4915,5827,3070,47,47,12,35,8,18,9,0,0,12
42,qm,red,4089,492,7627,57,57,9,32,14,12,6,16,0,9
42,qm,blue,3681,2930,3268,69,69,12,57,12,27,18,0,0,12
43,qm,red,4911,3663,4309,65,65,12,43,10,27,6,10,0,12
43,qm,blue,2522,4683,4180,35,35,9,23,14,0,9,3,0,9
44,qm,red,949,1258,4173,42,42,15,27,12,12,3,0,0,15
44,qm,blue,2976,2412,7118,69,69,12,54,12,27,15,3,0,12
45,qm,red,2928,7627,488,56,56,9,47,20,6,21,0,0,9
45,qm,blue,5803,4089,1983,67,67,15,49,10,15,24,3,0,15
46,qm,red,3826,3663,5827,81,81,15,66,18,27,21,0,0,15
46,qm,blue,4512,3588,4309,87,87,12,56,20,18,18,19,0,12
47,qm,red,1258,1778,492,68,68,12,53,14,21,18,3,0,12
47,qm,blue,4683,2910,4173,64,64,3,61,16,27,18,0,0,3
48,qm,red,7461,2930,4915,56,56,12,38,2,18,18,6,0,12
48,qm,blue,4911,5588,7118,57,57,12,42,18,15,9,3,0,12
49,qm,red,4180,2928,1899,59,59,12,44,14,21,9,3,0,12
49,qm,blue,2412,4681,4205,48,48,15,33,0,15,18,0,0,15
50,qm,red,2976,3268,949,52,52,12,40,10,21,9,0,0,12
50,qm,blue,4450,1294,5803,78,78,15,63,12,27,24,0,0,15
51,qm,red,3681,3070,488,43,43,12,31,22,6,3,0,0,12
51,qm,blue,2522,4682,4512,53,53,15,32,20,6,6,6,0,15
52,qm,red,5588,1258,2412,62,62,15,47,8,21,18,0,0,15
52,qm,blue,1899,4309,4681,56,56,15,35,8,24,3,6,0,15
53,qm,red,949,7461,1778,49,49,12,34,4,21,9,3,0,12
53,qm,blue,1983,3268,4173,61,61,15,43,10,24,9,3,0,15
54,qm,red,4682,3070,7118,31,31,15,16,4,9,3,0,0,15
54,qm,blue,2930,2910,4205,102,102,15,78,18,36,24,9,0,15
55,qm,red,4683,2976,3588,66,66,9,47,14,27,6,10,0,9
55,qm,blue,3826,4180,4089,72,72,12,60,12,30,18,0,0,12
56,qm,red,4450,4911,2928,67,67,12,55,16,33,6,0,0,12
56,qm,blue,1294,3681,5827,55,55,12,43,10,15,18,0,0,12
57,qm,red,3663,2522,492,69,69,15,54,18,21,15,0,0,15
57,qm,blue,5803,4915,7627,66,66,12,54,18,21,15,0,0,12
58,qm,red,949,7118,3588,38,38,12,23,2,15,6,3,0,12
58,qm,blue,4512,1258,4180,49,49,15,34,22,3,9,0,0,15
59,qm,red,4450,3268,4683,24,24,6,18,0,12,6,0,0,6
59,qm,blue,4681,1983,3070,69,69,15,51,6,27,18,3,0,15
60,qm,red,4173,5588,7627,48,48,12,36,12,18,6,0,0,12
60,qm,blue,2522,5827,2910,102,102,9,93,24,48,21,0,0,9
61,qm,red,4911,2930,1294,82,82,12,70,16,36,18,0,0,12
61,qm,blue,1778,3826,4205,78,78,15,63,12,33,18,0,0,15
62,qm,red,1899,2412,5803,85,85,15,40,16,21,3,30,0,15
62,qm,blue,4089,3681,3663,68,68,12,35,2,18,15,21,0,12
63,qm,red,2928,4682,4309,69,69,15,54,18,21,15,0,0,15
63,qm,blue,488,492,4915,72,72,12,60,12,30,18,0,0,12
64,qm,red,7461,5827,7118,55,55,12,40,10,12,18,3,0,12
64,qm,blue,2976,3070,4911,71,71,6,65,20,39,6,0,0,6
65,qm,red,1983,1258,1294,77,77,15,62,14,27,21,0,0,15
65,qm,blue,1899,3681,3826,53,53,9,34,16,15,3,10,0,9
66,qm,red,4309,4915,4683,40,40,9,31,4,6,21,0,0,9
66,qm,blue,949,488,2910,70,70,15,55,16,24,15,0,0,15
67,qm,red,4180,4205,3268,62,62,15,47,8,21,18,0,0,15
67,qm,blue,2928,7461,2522,82,82,15,67,16,36,15,0,0,15
68,qm,red,4681,3663,4173,54,54,15,36,6,24,6,3,0,15
68,qm,blue,7627,4682,2976,74,74,12,50,20,21,9,12,0,12
69,qm,red,5803,4512,1778,65,65,15,50,14,18,18,0,0,15
69,qm,blue,4450,3588,2930,73,73,12,61,10,30,21,0,0,12
70,qm,red,2412,4089,949,51,51,12,39,0,18,21,0,0,12
70,qm,blue,4683,5588,492,63,63,9,51,18,15,18,3,0,9
71,qm,red,3826,3070,2522,84,84,15,66,18,39,9,3,0,15
71,qm,blue,7118,2928,3681,56,56,12,35,8,18,9,9,0,12
72,qm,red,4205,4512,4911,70,70,15,55,16,30,9,0,0,15
72,qm,blue,4309,7627,1258,62,62,15,47,26,3,18,0,0,15
73,qm,red,5827,4681,4450,71,71,12,59,14,24,21,0,0,12
73,qm,blue,4089,1294,488,71,71,15,56,14,36,6,0,0,15
74,qm,red,2910,1899,4682,85,85,15,67,16,36,15,3,0,15
74,qm,blue,7461,5803,3663,80,80,15,65,14,30,21,0,0,15
75,qm,red,3588,5588,4915,41,41,12,26,2,18,6,3,0,12
75,qm,blue,2412,1778,3268,48,48,12,36,0,18,18,0,0,12
76,qm,red,4173,2976,492,60,60,9,45,6,21,18,6,0,9
76,qm,blue,2930,4180,1983,69,69,12,57,12,27,18,0,0,12
1,qf,red,2930,2910,1294,82,82,15,67,16,36,15,0,0,15
1,qf,blue,5827,1258,1778,72,72,12,57,18,21,18,3,0,12
2,qf,red,2930,2910,1294,107,107,15,82,22,36,24,10,0,15
2,qf,blue,5827,1258,1778,52,52,15,37,16,6,15,0,0,15
1,qf,red,2976,1983,3070,90,90,15,75,18,39,18,0,0,15
1,qf,blue,4089,492,488,60,60,12,39,12,21,6,9,0,12
2,qf,red,2976,1983,3070,68,68,15,50,14,18,18,3,0,15
2,qf,blue,4089,492,488,65,65,12,53,8,24,21,0,0,12
1,qf,red,2522,4512,4309,61,61,15,43,10,12,21,3,0,15
1,qf,blue,3826,3663,1899,73,73,15,55,10,27,18,3,0,15
2,qf,red,2522,4512,4309,58,58,15,43,16,6,21,0,0,15
2,qf,blue,3826,3663,1899,60,60,15,45,12,24,9,0,0,15
1,qf,red,5803,4911,3588,66,66,15,51,12,24,15,0,0,15
1,qf,blue,2928,2412,5588,73,73,15,58,16,21,21,0,0,15
2,qf,red,5803,4911,3588,0,0,15,51,12,24,15,3,-69,15
2,qf,blue,2928,2412,5588,81,81,15,50,14,18,18,16,0,15
1,sf,red,2930,2910,1294,78,78,15,63,18,36,9,0,0,15
1,sf,blue,2976,1983,3070,75,75,15,60,12,30,18,0,0,15
2,sf,red,2930,2910,1294,87,87,15,63,18,30,15,9,0,15
2,sf,blue,2976,1983,3070,80,80,15,62,14,30,18,3,0,15
1,sf,red,3826,3663,1899,50,50,12,35,8,18,9,3,0,12
1,sf,blue,2928,2412,5588,54,54,15,39,12,6,21,0,0,15
2,sf,red,3826,3663,1899,47,47,12,35,8,18,9,0,0,12
2,sf,blue,2928,2412,5588,47,47,15,29,14,12,3,3,0,15
1,f,red,2930,2910,1294,72,72,15,57,12,30,15,0,0,15
1,f,blue,2928,2412,5588,73,73,15,52,16,18,18,6,0,15
2,f,red,2930,2910,1294,80,80,15,65,14,36,15,0,0,15
2,f,blue,2928,2412,5588,37,37,9,28,4,18,6,0,0,9
3,f,red,2930,2910,1294,83,83,15,65,14,27,24,3,0,15
3,f,blue,2928,2412,5588,59,59,15,44,14,15,15,0,0,15
