match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4104,3693,2903,15,15,6,9,0,6,3,0,0,6
1,qm,blue,2557,4469,4980,76,76,15,48,12,18,18,13,0,15
2,qm,red,4513,3876,2046,76,76,12,64,16,30,18,0,0,12
2,qm,blue,2147,753,2148,61,61,12,49,16,21,12,0,0,12
3,qm,red,4061,5920,4060,47,47,12,35,8,9,18,0,0,12
3,qm,blue,7696,2907,6442,41,41,15,26,2,18,6,0,0,15
4,qm,red,6076,2944,3218,60,60,15,42,6,24,12,3,0,15
4,qm,blue,3238,3220,3712,39,39,15,24,0,18,6,0,0,15
5,qm,red,7776,6129,1595,46,46,12,34,10,18,6,0,0,12
5,qm,blue,4061,3223,7803,44,44,12,32,2,15,15,0,0,12
6,qm,red,3220,3238,2907,48,48,15,33,6,21,6,0,0,15
6,qm,blue,4513,6442,2944,29,29,9,20,2,15,3,0,0,9
7,qm,red,2147,7803,2557,64,64,15,46,10,30,6,3,0,15
7,qm,blue,6076,7696,2148,24,24,9,15,12,0,3,0,0,9
8,qm,red,5920,3223,3876,44,44,9,35,2,15,18,0,0,9
8,qm,blue,3712,1595,2903,25,25,12,13,4,9,0,0,0,12
9,qm,red,6129,3218,4060,48,48,6,42,12,24,6,0,0,6
9,qm,blue,4104,4980,753,39,39,12,24,6,15,3,3,0,12
10,qm,red,7776,2907,2046,70,70,15,52,10,24,18,3,0,15
10,qm,blue,3693,6076,4469,65,65,9,46,4,24,18,10,0,9
11,qm,red,3238,2557,7803,55,55,9,46,4,24,18,0,0,9
11,qm,blue,3218,2903,4980,64,64,12,52,10,27,15,0,0,12
12,qm,red,7776,5920,3220,44,44,15,29,2,15,12,0,0,15
12,qm,blue,3223,6129,2148,50,50,9,41,8,15,18,0,0,9
13,qm,red,3876,4104,2944,12,12,9,3,0,0,3,0,0,9
13,qm,blue,7696,4060,4513,33,33,9,24,12,3,9,0,0,9
14,qm,red,6442,753,1595,57,57,15,32,8,21,3,10,0,15
14,qm,blue,2046,2147,4469,93,93,15,75,24,36,15,3,0,15
15,qm,red,4061,3712,2557,68,68,12,53,8,27,18,3,0,12
15,qm,blue,3693,4513,3238,39,39,12,27,6,12,9,0,0,12
16,qm,red,3220,4469,753,72,72,9,57,12,27,18,6,0,9
16,qm,blue,6442,3223,3218,66,66,12,54,12,24,18,0,0,12
17,qm,red,2907,2148,4061,54,54,15,30,6,12,12,9,0,15
17,qm,blue,4104,1595,7776,48,48,15,33,6,21,6,0,0,15
18,qm,red,3712,2944,4060,47,47,6,28,10,9,9,13,0,6
18,qm,blue,6129,2046,2903,42,42,9,33,12,6,15,0,0,9
19,qm,red,4980,3876,7696,41,41,12,29,2,12,15,0,0,12
19,qm,blue,5920,7803,3693,91,91,15,16,4,6,6,60,0,15
20,qm,red,4513,4061,6076,44,44,9,35,8,21,6,0,0,9
20,qm,blue,2147,6129,2944,37,37,9,28,10,12,6,0,0,9
21,qm,red,7803,7696,4469,40,40,9,31,4,15,12,0,0,9
