match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,751,2367,5737,46,46,15,28,4,21,3,3,0,15
1,qm,blue,6665,7419,1351,44,44,15,29,8,18,3,0,0,15
2,qm,red,604,1458,5849,74,74,12,49,10,21,18,13,0,12
2,qm,blue,1967,4255,299,32,32,12,20,2,15,3,0,0,12
3,qm,red,7308,7736,7667,35,35,12,23,2,15,6,0,0,12
3,qm,blue,6970,6036,5773,33,33,6,27,0,18,9,0,0,6
4,qm,red,7245,4171,1868,63,63,15,45,6,21,18,3,0,15
4,qm,blue,4186,6418,972,53,53,12,41,8,24,9,0,0,12
5,qm,red,649,2854,3482,67,67,12,46,10,18,18,9,0,12
5,qm,blue,4973,840,2489,38,38,15,23,14,0,9,0,0,15
6,qm,red,2473,5026,581,81,81,12,59,14,27,18,10,0,12
6,qm,blue,256,6619,5171,52,52,9,43,10,15,18,0,0,9
7,qm,red,192,4990,199,66,66,9,57,12,27,18,0,0,9
7,qm,blue,2135,7445,6238,55,55,15,40,4,24,12,0,0,15
8,qm,red,2813,5499,668,49,49,12,34,10,18,6,3,0,12
8,qm,blue,6241,846,254,69,69,9,60,18,24,18,0,0,9
9,qm,red,2220,8,5027,56,56,12,44,14,27,3,0,0,12
9,qm,blue,6039,766,2035,34,34,9,25,10,0,15,0,0,9
10,qm,red,670,5831,4159,59,59,15,34,10,15,9,10,0,15
10,qm,blue,841,4669,7308,35,35,12,20,2,12,6,3,0,12
11,qm,red,299,6619,840,38,38,15,13,4,0,9,10,0,15
11,qm,blue,5737,1868,7736,51,51,9,33,0,15,18,9,0,9
12,qm,red,6036,3482,2489,53,53,12,35,14,9,12,6,0,12
12,qm,blue,1351,5773,5026,32,32,12,20,2,12,6,0,0,12
13,qm,red,5499,846,2854,83,83,12,65,14,33,18,6,0,12
13,qm,blue,7445,5171,5849,39,39,12,27,6,15,6,0,0,12
14,qm,red,6665,6418,2135,45,45,15,30,0,18,12,0,0,15
14,qm,blue,604,7419,6238,75,75,12,57,12,27,18,6,0,12
15,qm,red,254,972,199,85,85,15,70,16,36,18,0,0,15
15,qm,blue,5831,8,766,46,46,15,28,10,9,9,3,0,15
16,qm,red,841,1967,4171,39,39,15,24,0,18,6,0,0,15
16,qm,blue,6039,5027,192,34,34,12,19,4,0,15,3,0,12
17,qm,red,256,649,4669,74,74,9,62,20,24,18,3,0,9
17,qm,blue,751,1458,4990,61,61,15,43,10,24,9,3,0,15
18,qm,red,2473,4186,2367,57,57,15,39,12,18,9,3,0,15
18,qm,blue,4159,668,2035,44,44,9,35,8,18,9,0,0,9
19,qm,red,4973,4255,2813,44,44,12,32,8,6,18,0,0,12
19,qm,blue,6970,7245,2220,59,59,12,41,8,21,12,6,0,12
20,qm,red,670,6241,5849,42,42,9,33,6,21,6,0,0,9
20,qm,blue,581,7667,199,48,48,15,30,6,21,3,3,0,15
21,qm,red,766,7445,254,85,85,15,70,22,30,18,0,0,15
21,qm,blue,7419,841,6036,61,61,15,46,4,24,18,0,0,15
22,qm,red,4669,5737,192,39,39,12,27,12,9,6,0,0,12
22,qm,blue,256,3482,5027,32,32,12,17,8,3,6,3,0,12
23,qm,red,2367,6238,8,62,62,9,47,14,27,6,6,0,9
23,qm,blue,299,751,5773,36,36,15,21,0,15,6,0,0,15
24,qm,red,2220,2135,4973,64,64,15,39,6,24,9,10,0,15
24,qm,blue,4171,2473,1351,38,38,9,26,2,15,9,3,0,9
25,qm,red,6970,1967,2854,50,50,12,38,8,24,6,0,0,12
25,qm,blue,670,4186,5499,62,62,12,40,10,30,0,10,0,12
26,qm,red,6619,1868,6241,55,55,15,40,4,18,18,0,0,15
26,qm,blue,5831,604,6665,47,47,15,32,8,18,6,0,0,15
27,qm,red,7736,5171,4255,48,48,6,39,6,15,18,3,0,6
27,qm,blue,6418,7308,668,38,38,12,26,2,18,6,0,0,12
28,qm,red,2489,7667,649,79,79,12,57,12,33,12,10,0,12
28,qm,blue,972,2813,6039,59,59,12,47,8,30,9,0,0,12
29,qm,red,1458,2035,846,67,67,12,52,10,24,18,3,0,12
29,qm,blue,840,7245,581,29,29,9,20,2,12,6,0,0,9
30,qm,red,4159,254,6970,73,73,15,58,16,30,12,0,0,15
30,qm,blue,4171,4990,5026,66,66,15,41,8,24,9,10,0,15
31,qm,red,6241,5737,5831,32,32,15,17,2,12,3,0,0,15
31,qm,blue,256,5773,4186,53,53,12,35,14,12,9,6,0,12
32,qm,red,1868,2367,6036,71,71,15,56,8,27,21,0,0,15
32,qm,blue,6238,3482,4255,51,51,12,30,6,15,9,9,0,12
33,qm,red,7419,751,668,50,50,15,35,8,12,15,0,0,15
33,qm,blue,7308,5849,5027,21,21,6,15,0,9,6,0,0,6
34,qm,red,766,581,2135,70,70,15,52,16,30,6,3,0,15
34,qm,blue,2854,299,7667,49,49,15,34,4,18,12,0,0,15
35,qm,red,1351,199,604,66,66,12,48,12,21,15,6,0,12
35,qm,blue,5171,649,1458,75,75,12,63,18,30,15,0,0,12
36,qm,red,4669,6418,2035,52,52,15,34,4,21,9,3,0,15
36,qm,blue,6619,2489,2813,25,25,15,10,4,0,6,0,0,15
37,qm,red,6039,5026,4973,49,49,9,40,4,18,18,0,0,9
37,qm,blue,846,7736,7445,79,79,9,57,12,27,18,13,0,9
38,qm,red,841,2473,840,30,30,6,24,0,18,6,0,0,6
38,qm,blue,1967,8,7245,61,61,12,31,10,15,6,18,0,12
39,qm,red,192,6665,670,49,49,15,34,10,24,0,0,0,15
39,qm,blue,972,4159,2220,63,63,15,45,12,30,3,3,0,15
40,qm,red,604,7667,5499,81,81,12,69,18,27,24,0,0,12
40,qm,blue,5027,2367,4990,54,54,9,45,6,24,15,0,0,9
41,qm,red,1868,256,254,74,74,15,59,14,36,9,0,0,15
41,qm,blue,2035,5849,2489,39,39,12,27,12,9,6,0,0,12
42,qm,red,7419,4171,5737,77,77,15,38,8,21,9,24,0,15
42,qm,blue,2813,2854,5171,66,66,15,38,8,21,9,13,0,15
43,qm,red,6238,6241,7736,27,27,15,12,6,3,3,0,0,15
43,qm,blue,649,1967,2473,70,70,9,52,16,21,15,9,0,9
44,qm,red,5773,7308,670,41,41,12,29,2,18,9,0,0,12
44,qm,blue,7245,6619,7445,30,30,12,15,0,9,6,3,0,12
45,qm,red,6418,299,4159,52,52,15,37,4,24,9,0,0,15
45,qm,blue,6036,5499,4973,52,52,12,37,4,24,9,3,0,12
46,qm,red,3482,841,846,81,81,12,59,8,30,21,10,0,12
46,qm,blue,972,2135,1458,47,47,15,32,2,21,9,0,0,15
47,qm,red,840,668,6665,12,12,9,3,0,3,0,0,0,9
47,qm,blue,4990,1351,6039,51,51,9,32,8,18,6,10,0,9
48,qm,red,5831,192,581,58,58,12,46,10,24,12,0,0,12
48,qm,blue,751,6970,766,39,39,9,30,12,12,6,0,0,9
49,qm,red,4255,2220,4186,49,49,12,37,10,24,3,0,0,12
49,qm,blue,4669,5026,8,66,66,15,51,6,27,18,0,0,15
50,qm,red,199,7419,5773,72,72,15,54,12,24,18,3,0,15
50,qm,blue,1967,4159,1868,54,54,15,39,6,18,15,0,0,15
51,qm,red,5171,670,4171,58,58,15,43,4,21,18,0,0,15
51,qm,blue,299,2035,3482,56,56,15,41,8,24,9,0,0,15
52,qm,red,1351,2813,7245,31,31,12,19,4,9,6,0,0,12
52,qm,blue,6238,256,7308,37,37,15,22,10,3,9,0,0,15
53,qm,red,4990,766,972,74,74,15,59,14,33,12,0,0,15
53,qm,blue,5849,7736,2367,30,30,9,21,0,15,6,0,0,9
54,qm,red,5026,7445,6970,65,65,12,53,8,27,18,0,0,12
