match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6553,4470,5199,50,50,15,32,14,15,3,3,0,15
1,qm,blue,7327,7650,7887,22,22,3,19,4,6,9,0,0,3
2,qm,red,4414,4201,6398,82,82,15,67,22,30,15,0,0,15
2,qm,blue,294,4486,580,70,70,15,49,4,24,21,6,0,15
3,qm,red,3303,3473,5510,51,51,15,36,12,24,0,0,0,15
3,qm,blue,3328,3863,115,76,76,15,55,16,27,12,6,0,15
4,qm,red,2486,5700,4711,41,41,12,26,2,21,3,3,0,12
4,qm,blue,5678,5869,5136,37,37,9,18,6,3,9,10,0,9
5,qm,red,6560,7324,5102,26,26,6,17,2,12,3,3,0,6
5,qm,blue,3512,2543,7323,64,64,12,52,10,24,18,0,0,12
6,qm,red,5137,6764,5107,41,41,9,32,8,12,12,0,0,9
6,qm,blue,114,6934,7326,51,51,6,35,8,21,6,10,0,6
7,qm,red,3925,599,5818,67,67,15,40,10,24,6,12,0,15
7,qm,blue,1138,5857,5477,53,53,9,38,2,21,15,6,0,9
8,qm,red,294,3303,5869,47,47,9,32,2,15,15,6,0,9
8,qm,blue,7324,580,3512,28,28,12,16,4,3,9,0,0,12
9,qm,red,5137,5510,7323,45,45,15,30,12,9,9,0,0,15
9,qm,blue,7327,4711,7326,18,18,12,6,0,3,3,0,0,12
10,qm,red,4486,5700,3328,56,56,12,44,14,21,9,0,0,12
10,qm,blue,4470,5678,5857,15,15,6,9,0,6,3,0,0,6
11,qm,red,5818,5107,114,59,59,12,41,14,18,9,6,0,12
11,qm,blue,7887,3473,4201,67,67,15,49,10,27,12,3,0,15
12,qm,red,5477,7650,5136,42,42,12,30,6,9,15,0,0,12
12,qm,blue,115,4414,5102,90,90,15,72,18,36,18,0,3,15
13,qm,red,3925,1138,6553,44,44,12,32,2,15,15,0,0,12
13,qm,blue,3863,2486,6934,51,51,15,33,0,15,18,3,0,15
14,qm,red,6560,2543,6398,60,60,15,42,6,15,21,3,0,15
14,qm,blue,6764,599,5199,68,68,9,59,14,27,18,0,0,9
15,qm,red,5137,5818,5136,76,76,15,61,16,24,21,0,0,15
15,qm,blue,4470,7323,5107,22,22,12,10,4,0,6,0,0,12
16,qm,red,5510,7327,5678,32,32,9,20,8,6,6,3,0,9
16,qm,blue,3303,580,5857,21,21,9,12,6,0,6,0,0,9
17,qm,red,7324,4201,294,46,46,12,34,10,9,15,0,0,12
17,qm,blue,5102,6553,599,48,48,12,33,6,18,9,3,0,12
18,qm,red,114,115,5477,71,71,15,56,20,21,15,0,0,15
18,qm,blue,1138,5199,2543,101,101,15,77,20,45,12,9,0,15
19,qm,red,6934,3512,6398,34,34,15,19,4,6,9,0,0,15
19,qm,blue,6560,5700,7887,40,40,15,25,4,15,6,0,0,15
20,qm,red,3473,2486,6764,39,39,12,27,6,18,3,0,0,12
20,qm,blue,4711,3328,7650,50,50,12,28,4,15,9,10,0,12
21,qm,red,4486,3925,4414,92,92,12,80,20,39,21,0,0,12
21,qm,blue,7326,3863,5869,36,36,6,30,12,12,6,0,0,6
22,qm,red,7323,7887,599,53,53,15,29,2,18,9,9,0,15
22,qm,blue,115,3512,5107,48,48,15,30,12,6,12,3,0,15
23,qm,red,5137,7327,5199,76,76,15,61,16,39,6,0,0,15
23,qm,blue,7650,5102,5678,50,50,9,41,8,21,12,0,0,9
24,qm,red,6934,5857,4201,40,40,6,34,10,18,6,0,0,6
24,qm,blue,4470,2486,5869,46,46,12,34,4,24,6,0,0,12
25,qm,red,4486,3303,6553,51,51,12,36,6,21,9,3,0,12
25,qm,blue,6560,3925,4711,51,51,15,36,6,21,9,0,0,15
26,qm,red,5136,294,6764,45,45,12,30,6,6,18,3,0,12
26,qm,blue,1138,5818,3473,71,71,15,53,14,21,18,3,0,15
27,qm,red,7324,2543,4414,62,62,15,44,8,21,15,3,0,15
27,qm,blue,114,6398,3328,48,48,12,36,12,18,6,0,0,12
28,qm,red,5700,3863,5477,60,60,15,42,12,21,9,3,0,15
28,qm,blue,580,7326,5510,24,24,12,12,6,0,6,0,0,12
