match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1523,1065,7026,55,55,15,37,4,24,9,3,0,15
1,qm,blue,5329,2797,7408,9,9,6,0,0,0,0,3,0,6
2,qm,red,6823,3164,1144,47,47,15,32,8,21,3,0,0,15
2,qm,blue,7833,7216,4471,33,33,6,24,0,18,6,3,0,6
3,qm,red,7442,6722,4592,40,40,15,25,4,12,9,0,0,15
3,qm,blue,5665,7403,744,69,69,12,39,6,15,18,18,0,12
4,qm,red,5872,5410,7152,35,35,6,23,2,15,6,6,0,6
4,qm,blue,7487,5472,386,48,48,6,39,12,18,9,3,0,6
5,qm,red,1369,3653,179,59,59,15,44,14,18,12,0,0,15
5,qm,blue,1251,6001,7488,15,15,9,6,0,0,6,0,0,9
6,qm,red,7107,7490,108,43,43,9,34,4,21,9,0,0,9
6,qm,blue,6415,7552,4064,25,25,6,19,4,9,6,0,0,6
7,qm,red,7431,7575,4707,50,50,6,35,8,21,6,9,0,6
7,qm,blue,7500,5949,7717,55,55,9,46,10,24,12,0,0,9
8,qm,red,79,3627,6686,54,54,15,29,2,15,12,10,0,15
8,qm,blue,7519,2383,3242,61,61,12,43,4,21,18,6,0,12
9,qm,red,4065,3932,7409,52,52,12,40,4,18,18,0,0,12
9,qm,blue,2152,7450,7652,82,82,15,43,4,21,18,24,0,15
10,qm,red,1744,3410,1592,42,42,6,33,6,18,9,3,0,6
10,qm,blue,5196,7489,6685,15,15,3,12,0,6,6,0,0,3
11,qm,red,180,7026,59,124,124,15,58,10,27,21,51,0,15
11,qm,blue,2425,5283,4064,30,30,12,18,0,9,9,0,0,12
12,qm,red,5410,5329,1369,45,45,9,36,6,15,15,0,0,9
12,qm,blue,7575,7442,7833,24,24,6,18,0,15,3,0,0,6
13,qm,red,3653,7717,5665,53,53,15,38,8,18,12,0,0,15
13,qm,blue,7487,6823,4471,37,37,12,25,4,18,3,0,0,12
14,qm,red,5472,1144,2797,46,46,15,31,10,18,3,0,0,15
14,qm,blue,2152,79,7500,45,45,15,30,12,15,3,0,0,15
15,qm,red,7489,1251,108,52,52,9,43,4,18,21,0,0,9
15,qm,blue,3627,4592,7450,49,49,15,24,0,15,9,10,0,15
16,qm,red,4707,2383,5283,59,59,9,44,8,24,12,6,0,9
16,qm,blue,6722,7216,7152,43,43,9,34,4,18,12,0,0,9
17,qm,red,3242,1592,7408,25,25,6,16,4,6,6,3,0,6
17,qm,blue,7431,59,3932,88,88,15,67,22,30,15,6,0,15
18,qm,red,7107,6685,179,84,84,15,39,12,18,9,30,0,15
18,qm,blue,180,7403,2425,59,59,12,47,8,24,15,0,0,12
19,qm,red,3164,7552,1523,34,34,12,16,4,12,0,6,0,12
19,qm,blue,7409,6001,5872,67,67,12,35,8,21,6,20,0,12
20,qm,red,5196,7488,744,42,42,3,33,6,9,18,6,0,3
20,qm,blue,5949,7490,6686,38,38,9,29,2,21,6,0,0,9
21,qm,red,7519,1065,3410,55,55,9,46,10,27,9,0,0,9
21,qm,blue,7652,1744,6415,67,67,15,49,4,24,21,3,0,15
22,qm,red,5283,386,59,66,66,15,51,12,27,12,0,0,15
22,qm,blue,4065,7717,7833,32,32,6,26,2,15,9,0,0,6
23,qm,red,7152,2797,3242,43,43,12,31,4,9,18,0,0,12
23,qm,blue,4471,180,7575,58,58,12,40,4,21,15,6,0,12
24,qm,red,7489,6001,7487,24,24,12,12,0,6,6,0,0,12
24,qm,blue,3932,7408,6722,54,54,12,42,6,21,15,0,0,12
25,qm,red,7488,7450,4707,15,15,3,6,0,3,3,6,0,3
25,qm,blue,6823,5472,1592,53,53,12,38,8,21,9,3,0,12
26,qm,red,1744,6686,2152,73,73,15,46,4,24,18,12,0,15
26,qm,blue,108,3653,3164,59,59,15,44,8,24,12,0,0,15
27,qm,red,7490,5410,7519,41,41,12,26,8,12,6,3,0,12
27,qm,blue,2425,4065,1144,29,29,6,23,2,18,3,0,0,6
28,qm,red,3410,7107,3627,42,42,9,33,6,12,15,0,0,9
28,qm,blue,5665,5329,7409,36,36,9,27,6,12,9,0,0,9
29,qm,red,5196,386,6415,59,59,15,35,2,18,15,9,0,15
