match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4112,3815,1261,46,46,6,40,10,18,12,0,0,6
1,qm,blue,5109,7514,5651,40,40,9,31,10,15,6,0,0,9
2,qm,red,7451,4189,5482,55,55,12,43,16,18,9,0,0,12
2,qm,blue,1771,5132,4749,47,47,6,41,8,18,15,0,0,6
3,qm,red,5293,6325,1311,35,35,15,20,2,12,6,0,0,15
3,qm,blue,4509,1746,7076,36,36,12,24,6,9,9,0,0,12
4,qm,red,6829,4080,7449,51,51,15,36,12,15,9,0,0,15
4,qm,blue,4459,6925,6944,20,20,9,11,2,0,9,0,0,9
5,qm,red,1683,6905,4468,27,27,9,18,0,12,6,0,0,9
5,qm,blue,7676,2415,6341,15,15,6,6,0,0,6,3,0,6
6,qm,red,4112,4509,5132,45,45,12,33,12,15,6,0,0,12
6,qm,blue,7076,1311,4080,51,51,15,36,6,21,9,0,0,15
7,qm,red,6944,6925,6341,34,34,15,19,4,9,6,0,0,15
7,qm,blue,4468,1261,7514,43,43,12,31,10,6,15,0,0,12
8,qm,red,4749,1746,7676,59,59,15,44,14,21,9,0,0,15
8,qm,blue,6905,4189,6325,42,42,9,33,6,21,6,0,0,9
9,qm,red,6829,5109,4459,72,72,12,60,18,24,18,0,0,12
9,qm,blue,3815,1683,7451,71,71,15,46,10,27,9,10,0,15
10,qm,red,5482,2415,1771,48,48,15,33,6,12,15,0,0,15
10,qm,blue,5293,7449,5651,54,54,12,42,12,18,12,0,0,12
11,qm,red,4509,4468,6829,50,50,12,38,8,21,9,0,0,12
11,qm,blue,6925,4749,4112,34,34,15,19,4,9,6,0,0,15
12,qm,red,1311,6341,7514,49,49,15,34,4,18,12,0,0,15
12,qm,blue,7676,5482,6944,34,34,15,19,10,0,9,0,0,15
13,qm,red,6905,5132,4080,23,23,9,14,8,0,6,0,0,9
13,qm,blue,1683,6325,1261,53,53,15,38,8,21,9,0,0,15
14,qm,red,5651,3815,1746,39,39,9,30,12,12,6,0,0,9
14,qm,blue,5293,5109,7451,51,51,12,39,6,18,15,0,0,12
15,qm,red,7076,2415,4189,45,45,12,33,6,18,9,0,0,12
15,qm,blue,1771,4459,7449,58,58,15,43,10,24,9,0,0,15
16,qm,red,5132,5651,6925,45,45,12,23,14,3,6,10,0,12
16,qm,blue,1746,6341,1683,55,55,12,43,10,27,6,0,0,12
17,qm,red,1261,5109,6905,65,65,12,53,8,27,18,0,0,12
17,qm,blue,4509,4459,4189,61,61,15,46,10,24,12,0,0,15
18,qm,red,5293,1771,4468,49,49,6,43,4,21,18,0,0,6
18,qm,blue,6829,7676,4112,46,46,9,37,10,21,6,0,0,9
19,qm,red,7449,5482,7076,45,45,12,33,6,15,12,0,0,12
19,qm,blue,4749,4080,6944,31,31,6,22,10,0,12,3,0,6
20,qm,red,6325,2415,7451,46,46,15,31,10,12,9,0,0,15
20,qm,blue,7514,1311,3815,50,50,15,35,8,18,9,0,0,15
21,qm,red,4459,1683,4749,54,54,9,45,18,18,9,0,0,9
21,qm,blue,5293,6944,7076,29,29,12,17,2,6,9,0,0,12
22,qm,red,4189,6829,6925,24,24,12,12,6,3,3,0,0,12
22,qm,blue,4468,1311,2415,45,45,15,27,0,18,9,3,0,15
23,qm,red,5132,5651,5482,41,41,9,32,20,3,9,0,0,9
23,qm,blue,7676,4509,5109,46,46,9,37,4,15,18,0,0,9
24,qm,red,6341,7451,4080,49,49,12,37,16,9,12,0,0,12
24,qm,blue,1746,1261,7449,71,71,12,59,14,30,15,0,0,12
25,qm,red,6325,7514,3815,49,49,15,34,4,21,9,0,0,15
25,qm,blue,6905,4112,1771,44,44,9,35,2,18,15,0,0,9
26,qm,red,4459,4468,7676,49,49,15,34,16,9,9,0,0,15
26,qm,blue,6944,5651,7451,39,39,15,24,18,3,3,0,0,15
27,qm,red,2415,4080,1746,45,45,12,33,12,15,6,0,0,12
27,qm,blue,4112,7514,5482,60,60,15,45,12,21,12,0,0,15
28,qm,red,5109,7076,5132,49,49,9,40,10,12,18,0,0,9
28,qm,blue,7449,4749,6905,41,41,12,29,8,12,9,0,0,12
