match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7898,7497,2465,18,18,9,9,6,0,3,0,0,9
1,qm,blue,2443,4270,2853,52,52,12,40,16,18,6,0,0,12
2,qm,red,2441,2090,4253,37,37,15,19,10,3,6,3,0,15
2,qm,blue,2439,7631,7548,6,6,3,3,0,0,3,0,0,3
3,qm,red,6909,2445,7505,28,28,12,16,4,6,6,0,0,12
3,qm,blue,3882,368,6998,65,65,12,44,14,15,15,9,0,12
4,qm,red,6766,2896,2504,35,35,9,17,2,0,15,9,0,9
4,qm,blue,2437,3878,3008,31,31,9,19,10,3,6,3,0,9
5,qm,red,5701,3800,6704,25,25,9,6,0,0,6,10,0,9
5,qm,blue,7724,3721,2438,59,59,15,32,8,15,9,12,0,15
6,qm,red,2437,2444,359,65,65,9,56,8,30,18,0,0,9
6,qm,blue,5515,2477,368,60,60,15,42,12,12,18,3,0,15
7,qm,red,3882,7548,3721,53,53,9,31,4,18,9,13,0,9
7,qm,blue,5701,6766,4253,47,47,12,35,2,18,15,0,0,12
8,qm,red,3008,4270,2439,12,12,6,6,0,0,6,0,0,6
8,qm,blue,2445,2477,2853,35,35,9,26,8,9,9,0,0,9
9,qm,red,5515,7898,2444,54,54,12,36,6,12,18,6,0,12
9,qm,blue,3800,7505,7497,26,26,12,14,2,6,6,0,0,12
10,qm,red,2443,6998,7724,60,60,12,48,12,33,3,0,0,12
10,qm,blue,6704,3878,2090,40,40,6,24,6,12,6,10,0,6
11,qm,red,359,2504,7631,68,68,9,53,8,30,15,6,0,9
11,qm,blue,6909,2465,2438,44,44,15,29,2,6,21,0,0,15
12,qm,red,2441,6998,4270,33,33,15,18,0,12,6,0,0,15
12,qm,blue,368,2896,2439,61,61,12,46,10,18,18,3,0,12
13,qm,red,7505,7548,2438,40,40,15,25,4,3,18,0,0,15
13,qm,blue,3008,359,3882,92,92,15,58,10,30,18,19,0,15
14,qm,red,2853,6909,3721,42,42,15,24,6,9,9,3,0,15
14,qm,blue,2444,2090,2896,35,35,12,23,2,18,3,0,0,12
15,qm,red,2445,2437,4253,52,52,12,40,4,21,15,0,0,12
15,qm,blue,2504,2443,2441,26,26,9,8,2,3,3,9,0,9
16,qm,red,3878,5701,7497,25,25,9,16,4,6,6,0,0,9
16,qm,blue,7631,7898,6704,25,25,15,10,4,0,6,0,0,15
17,qm,red,6766,2477,2465,38,38,3,20,8,3,9,15,0,3
17,qm,blue,7724,5515,3800,47,47,15,32,2,21,9,0,0,15
18,qm,red,2853,368,2504,58,58,9,46,10,18,18,3,0,9
18,qm,blue,6998,3878,7505,38,38,9,29,2,18,9,0,0,9
19,qm,red,7548,2090,6766,6,6,3,3,0,0,3,0,0,3
19,qm,blue,2438,5515,2437,45,45,12,18,0,15,3,15,0,12
20,qm,red,2439,4253,3882,59,59,9,50,14,21,15,0,0,9
20,qm,blue,2465,5701,2444,35,35,12,23,2,18,3,0,0,12
21,qm,red,7631,3008,7724,49,49,15,34,4,21,9,0,0,15
21,qm,blue,7898,3721,2443,60,60,15,45,18,24,3,0,0,15
22,qm,red,6909,2477,359,56,56,12,44,8,15,21,0,0,12
22,qm,blue,2441,2896,7497,49,49,15,34,10,12,12,0,0,15
23,qm,red,2444,3800,4270,45,45,9,36,0,18,18,0,0,9
23,qm,blue,2445,2504,6704,20,20,9,8,2,0,6,3,0,9
24,qm,red,359,2438,2441,71,71,12,56,8,30,18,3,0,12
24,qm,blue,6766,6998,5515,48,48,15,24,0,15,9,9,0,15
25,qm,red,2853,5701,2090,30,30,6,24,6,15,3,0,0,6
25,qm,blue,2437,7497,2443,40,40,12,28,4,18,6,0,0,12
26,qm,red,6704,2439,6909,12,12,3,9,6,0,3,0,0,3
26,qm,blue,368,7548,2465,60,60,9,48,12,21,15,3,0,9
27,qm,red,2445,2896,3008,30,30,15,9,0,3,6,6,0,15
27,qm,blue,7505,7898,7724,54,54,15,39,6,21,12,0,0,15
28,qm,red,7631,3878,2477,23,23,9,14,2,6,6,0,0,9
28,qm,blue,4253,3721,3800,44,44,12,32,8,18,6,0,0,12
29,qm,red,3882,2443,7505,65,65,12,47,14,27,6,6,0,12
29,qm,blue,4270,2437,6909,56,56,12,35,2,15,18,9,0,12
30,qm,red,2477,7898,2896,41,41,15,26,8,12,6,0,0,15
30,qm,blue,368,6766,2438,66,66,15,51,12,24,15,0,0,15
31,qm,red,7724,2465,3878,37,37,12,22,4,15,3,3,0,12
31,qm,blue,2441,2444,7548,33,33,9,24,0,18,6,0,0,9
32,qm,red,7497,3882,7631,42,42,15,21,6,12,3,6,0,15
32,qm,blue,3800,2853,359,61,61,15,46,4,24,18,0,0,15
33,qm,red,4270,2504,2090,29,29,12,14,2,12,0,3,0,12
33,qm,blue,4253,6704,3008,63,63,15,48,6,27,15,0,0,15
34,qm,red,3721,5515,2445,56,56,15,31,4,21,6,10,0,15
34,qm,blue,5701,2439,6998,33,33,9,24,0,15,9,0,0,9
35,qm,red,7724,2853,3882,60,60,12,45,12,24,9,3,0,12
35,qm,blue,2504,4253,2477,17,17,12,5,2,0,3,0,0,12
36,qm,red,2444,6909,3878,52,52,12,40,10,24,6,0,0,12
36,qm,blue,5515,2465,7631,43,43,9,34,4,21,9,0,0,9
37,qm,red,3008,368,2441,57,57,15,42,6,18,18,0,0,15
37,qm,blue,2438,2090,3800,37,37,15,19,4,6,9,3,0,15
38,qm,red,5701,7505,3721,46,46,15,31,4,21,6,0,0,15
38,qm,blue,2896,359,4270,71,71,15,56,8,27,21,0,0,15
39,qm,red,6704,7548,2437,35,35,9,26,8,6,12,0,0,9
39,qm,blue,6998,2445,7898,35,35,9,23,2,18,3,3,0,9
40,qm,red,7497,3721,2439,41,41,12,29,2,21,6,0,0,12
40,qm,blue,6766,2443,3878,47,47,12,32,14,18,0,3,0,12
41,qm,red,7548,2853,7898,43,43,9,34,10,15,9,0,0,9
41,qm,blue,2504,3008,5701,27,27,12,12,0,9,3,3,0,12
42,qm,red,7497,4270,368,69,69,15,51,12,21,18,3,0,15
42,qm,blue,2437,7724,6766,32,32,12,20,8,12,0,0,0,12
43,qm,red,2465,359,6704,59,59,6,47,14,18,15,6,0,6
43,qm,blue,2090,3882,2445,29,29,9,20,8,6,6,0,0,9
44,qm,red,2443,4253,2896,58,58,15,43,10,24,9,0,0,15
44,qm,blue,2441,7505,5515,33,33,9,24,0,18,6,0,0,9
45,qm,red,6998,2438,7631,44,44,15,26,2,9,15,3,0,15
45,qm,blue,2477,2439,2444,40,40,6,28,4,18,6,6,0,6
46,qm,red,3800,6766,7898,27,27,12,12,6,0,6,3,0,12
46,qm,blue,6909,7497,2090,43,43,12,28,10,3,15,3,0,12
47,qm,red,7505,4270,2465,50,50,12,35,2,21,12,3,0,12
47,qm,blue,2477,2441,2437,36,36,9,24,12,3,9,3,0,9
48,qm,red,3008,2438,2443,54,54,15,39,12,24,3,0,0,15
48,qm,blue,3878,3882,3800,27,27,15,12,0,12,0,0,0,15
49,qm,red,368,6909,4253,59,59,15,44,14,21,9,0,0,15
49,qm,blue,6998,359,3721,52,52,15,37,4,12,21,0,0,15
50,qm,red,2896,6704,5515,38,38,15,23,2,12,9,0,0,15
50,qm,blue,2504,7724,2439,44,44,15,19,4,12,3,10,0,15
51,qm,red,7548,2445,5701,15,15,9,6,0,0,6,0,0,9
51,qm,blue,2853,7631,2444,65,65,12,32,2,21,9,21,0,12
52,qm,red,2090,2437,368,67,67,12,55,16,21,18,0,0,12
52,qm,blue,3878,2504,7898,47,47,15,22,10,9,3,10,0,15
53,qm,red,2465,6998,2853,59,59,15,44,8,24,12,0,0,15
53,qm,blue,3721,6704,2477,53,53,12,31,4,21,6,10,0,12
54,qm,red,7631,2441,5701,15,15,12,3,0,0,3,0,0,12
54,qm,blue,7505,6766,3008,45,45,15,27,6,12,9,3,0,15
55,qm,red,2896,3800,6909,30,30,15,15,0,12,3,0,0,15
55,qm,blue,7548,5515,2443,59,59,12,47,14,30,3,0,0,12
56,qm,red,2444,7724,2445,58,58,12,43,4,21,18,3,0,12
