match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2643,7754,3145,47,47,12,29,2,6,21,6,0,12
1,qm,blue,1891,1983,3794,64,64,15,49,10,21,18,0,0,15
2,qm,red,7301,5871,2122,45,45,12,33,6,12,15,0,0,12
2,qm,blue,5012,6358,1160,86,86,15,71,20,45,6,0,0,15
3,qm,red,5461,6680,1566,11,11,3,8,2,0,6,0,0,3
3,qm,blue,2130,3562,1622,38,38,9,29,2,21,6,0,0,9
4,qm,red,7895,6237,2144,47,47,12,32,2,12,18,3,0,12
4,qm,blue,6918,2594,4698,61,61,12,46,10,21,15,3,0,12
5,qm,red,1569,4175,3794,56,56,15,38,8,12,18,3,0,15
5,qm,blue,3647,2130,6680,71,71,12,56,14,33,9,3,0,12
6,qm,red,1160,3145,6237,61,61,15,46,10,27,9,0,0,15
6,qm,blue,1622,5012,1566,55,55,15,40,10,18,12,0,0,15
7,qm,red,6358,1891,1569,57,57,15,42,12,18,12,0,0,15
7,qm,blue,7895,2594,7754,19,19,6,13,4,6,3,0,0,6
8,qm,red,3647,5871,1983,77,77,15,62,20,24,18,0,0,15
8,qm,blue,2144,4698,4175,57,57,12,45,6,24,15,0,0,12
9,qm,red,2122,5461,2643,62,62,12,50,8,24,18,0,0,12
9,qm,blue,6918,3562,7301,49,49,12,37,10,21,6,0,0,12
10,qm,red,5012,7895,6680,34,34,9,25,4,15,6,0,0,9
10,qm,blue,2594,1983,1566,58,58,15,43,10,15,18,0,0,15
11,qm,red,1160,3647,4698,70,70,9,61,22,33,6,0,0,9
11,qm,blue,5871,3145,3562,42,42,15,27,6,6,15,0,0,15
12,qm,red,5461,1622,1569,65,65,12,43,4,18,21,10,0,12
12,qm,blue,1891,2122,6237,62,62,15,47,14,18,15,0,0,15
13,qm,red,2130,6918,3794,68,68,12,56,14,33,9,0,0,12
13,qm,blue,7754,2144,7301,36,36,9,27,0,18,9,0,0,9
14,qm,red,2122,6358,4175,85,85,12,70,16,33,21,3,0,12
14,qm,blue,2643,1891,7895,48,48,15,33,12,12,9,0,0,15
15,qm,red,1566,6918,5871,60,60,12,48,12,27,9,0,0,12
15,qm,blue,3794,3647,2594,83,83,12,65,20,39,6,6,0,12
16,qm,red,1569,2130,5012,68,68,15,50,14,24,12,3,0,15
16,qm,blue,6358,4698,5461,66,66,15,51,12,30,9,0,0,15
17,qm,red,3562,2643,7754,48,48,12,24,6,12,6,12,0,12
17,qm,blue,6680,3145,2144,42,42,6,33,0,18,15,3,0,6
