match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3176,7502,292,18,18,6,12,6,0,6,0,0,6
1,qm,blue,3947,6721,5944,45,45,12,33,6,12,15,0,0,12
2,qm,red,3487,3494,1501,73,73,15,58,10,27,21,0,0,15
2,qm,blue,4580,6451,7617,54,54,12,42,6,21,15,0,0,12
3,qm,red,447,4008,868,59,59,15,44,8,18,18,0,0,15
3,qm,blue,234,5403,1555,58,58,15,43,10,21,12,0,0,15
4,qm,red,4926,7457,5402,74,74,15,49,10,21,18,10,0,15
4,qm,blue,1529,3180,1741,38,38,15,23,8,3,12,0,0,15
5,qm,red,2867,3559,5484,67,67,15,52,10,27,15,0,0,15
5,qm,blue,829,7695,4485,56,56,12,44,8,18,18,0,0,12
6,qm,red,5188,1018,292,50,50,15,35,8,21,6,0,0,15
6,qm,blue,5010,1024,1747,84,84,15,69,18,42,9,0,0,15
7,qm,red,1555,3180,7695,55,55,15,31,4,15,12,9,0,15
7,qm,blue,868,1529,3487,56,56,15,41,14,21,6,0,0,15
8,qm,red,5944,3494,234,75,75,15,60,18,21,21,0,0,15
8,qm,blue,1747,7617,4485,64,64,9,52,16,30,6,3,0,9
9,qm,red,1501,6721,5484,66,66,15,51,6,24,21,0,0,15
9,qm,blue,1024,447,829,83,83,15,59,14,27,18,9,0,15
10,qm,red,5403,4926,1018,37,37,9,25,4,12,9,3,0,9
10,qm,blue,3559,6451,7502,43,43,15,28,4,12,12,0,0,15
11,qm,red,5010,5402,4580,57,57,15,39,6,24,9,3,0,15
11,qm,blue,4008,7457,2867,67,67,15,52,10,24,18,0,0,15
12,qm,red,3947,5403,5188,65,65,15,50,8,24,18,0,0,15
12,qm,blue,3487,1741,3176,59,59,15,44,14,18,12,0,0,15
13,qm,red,7457,6451,5944,84,84,15,69,18,30,21,0,0,15
13,qm,blue,1024,1555,4008,43,43,15,28,10,9,9,0,0,15
14,qm,red,1529,1501,7502,61,61,15,46,10,21,15,0,0,15
14,qm,blue,1747,5484,292,70,70,15,55,16,33,6,0,0,15
15,qm,red,5402,447,3559,67,67,15,52,16,27,9,0,0,15
15,qm,blue,1018,3176,5010,61,61,6,55,16,33,6,0,0,6
16,qm,red,5188,829,4580,68,68,15,53,14,27,12,0,0,15
16,qm,blue,4926,7695,6721,43,43,9,34,4,24,6,0,0,9
17,qm,red,1741,2867,4485,59,59,6,53,8,30,15,0,0,6
17,qm,blue,3494,868,3180,80,80,15,62,14,30,18,3,0,15
18,qm,red,234,829,7617,58,58,15,43,4,18,21,0,0,15
18,qm,blue,7457,1529,3947,39,39,3,30,6,9,15,6,0,3
19,qm,red,447,7502,3180,68,68,15,50,14,30,6,3,0,15
19,qm,blue,5188,5484,4008,40,40,15,25,4,15,6,0,0,15
20,qm,red,1741,7617,1018,59,59,15,44,8,24,12,0,0,15
20,qm,blue,4580,292,7695,35,35,9,26,2,18,6,0,0,9
21,qm,red,5010,5944,5403,67,67,12,55,16,33,6,0,0,12
21,qm,blue,6451,3947,3494,83,83,15,68,14,30,24,0,0,15
22,qm,red,6721,5402,1024,39,39,15,24,12,9,3,0,0,15
22,qm,blue,3559,1501,234,67,67,15,52,10,18,24,0,0,15
23,qm,red,4926,1747,3487,66,66,15,51,12,24,15,0,0,15
23,qm,blue,3176,4485,868,77,77,12,65,14,30,21,0,0,12
24,qm,red,1555,3947,1741,61,61,15,46,10,15,21,0,0,15
24,qm,blue,2867,1501,5403,65,65,12,53,8,27,18,0,0,12
25,qm,red,829,5010,3487,81,81,15,66,18,30,18,0,0,15
25,qm,blue,234,447,4926,62,62,15,47,14,21,12,0,0,15
26,qm,red,7457,7617,292,65,65,12,50,8,21,21,3,0,12
