match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5614,3034,1574,46,46,9,37,10,21,6,0,0,9
1,qm,blue,5291,3388,5635,65,65,12,53,8,27,18,0,0,12
2,qm,red,2212,4784,2679,57,57,15,36,6,24,6,6,0,15
2,qm,blue,3316,1573,7554,47,47,12,35,8,18,9,0,0,12
3,qm,red,5554,3065,1690,89,89,9,71,14,36,21,9,0,9
3,qm,blue,4586,3075,1576,71,71,9,52,10,24,18,10,0,9
4,qm,red,5951,6740,7845,43,43,15,28,4,21,3,0,0,15
4,qm,blue,4590,5987,3211,63,63,12,48,6,21,21,3,0,12
5,qm,red,5654,7112,2630,36,36,9,18,0,15,3,9,0,9
5,qm,blue,1577,6738,4338,60,60,12,48,6,18,24,0,0,12
6,qm,red,2231,5135,7177,60,60,15,42,6,24,12,3,0,15
6,qm,blue,2096,5038,6736,47,47,12,35,8,15,12,0,0,12
7,qm,red,4744,1657,2230,50,50,15,35,8,21,6,0,0,15
7,qm,blue,1937,3339,6741,55,55,9,46,10,18,18,0,0,9
8,qm,red,6104,2679,5990,51,51,15,36,6,21,9,0,0,15
8,qm,blue,5614,7039,6738,68,68,15,40,10,12,18,13,0,15
9,qm,red,3316,5291,4586,74,74,15,56,14,24,18,3,0,15
9,qm,blue,1573,1577,5987,75,75,12,63,18,30,15,0,0,12
10,qm,red,2230,6741,7112,41,41,12,29,8,15,6,0,0,12
10,qm,blue,5554,5038,7845,80,80,12,65,14,30,21,3,0,12
11,qm,red,3034,3065,2212,74,74,15,59,14,36,9,0,0,15
11,qm,blue,5951,7177,2630,58,58,12,46,10,21,15,0,0,12
12,qm,red,7554,1937,6736,21,21,6,12,0,0,12,3,0,6
12,qm,blue,4784,3211,7039,52,52,12,37,10,6,21,3,0,12
13,qm,red,6740,6104,1657,55,55,15,31,4,24,3,9,0,15
13,qm,blue,5135,1690,5654,50,50,12,35,2,15,18,3,0,12
14,qm,red,2096,5635,1574,67,67,9,58,16,36,6,0,0,9
14,qm,blue,5990,2231,4744,51,51,15,33,6,24,3,3,0,15
15,qm,red,1576,4338,3388,66,66,9,57,12,27,18,0,0,9
15,qm,blue,4590,3339,3075,52,52,9,40,10,12,18,3,0,9
16,qm,red,6741,6740,7039,71,71,12,59,14,27,18,0,0,12
16,qm,blue,4586,1937,1577,84,84,9,66,12,36,18,9,0,9
17,qm,red,2212,5135,1657,49,49,15,24,0,15,9,10,0,15
17,qm,blue,6104,1573,5291,57,57,15,32,2,21,9,10,0,15
18,qm,red,4784,2096,1690,91,91,12,79,22,39,18,0,0,12
18,qm,blue,5635,5951,5614,64,64,15,43,10,24,9,6,0,15
19,qm,red,5654,3388,7554,46,46,9,37,4,21,12,0,0,9
19,qm,blue,2679,7845,1576,47,47,15,32,2,12,18,0,0,15
20,qm,red,3034,7177,3211,76,76,12,64,10,33,21,0,0,12
20,qm,blue,4338,5554,2231,76,76,12,64,16,30,18,0,0,12
21,qm,red,5987,1574,4744,60,60,9,48,12,18,18,3,0,9
21,qm,blue,3075,6736,3065,75,75,12,60,12,24,24,3,0,12
22,qm,red,2630,6738,3339,72,72,12,60,12,27,21,0,0,12
22,qm,blue,5038,3316,4590,45,45,12,30,6,6,18,3,0,12
23,qm,red,2230,5990,4586,74,74,12,53,14,30,9,9,0,12
23,qm,blue,4338,7112,7554,55,55,9,46,4,24,18,0,0,9
24,qm,red,3211,5951,4744,83,83,15,68,14,33,21,0,0,15
24,qm,blue,1576,5614,6104,60,60,15,45,6,24,15,0,0,15
25,qm,red,3034,4784,5038,51,51,15,36,6,15,15,0,0,15
25,qm,blue,3065,7039,1657,64,64,12,43,4,21,18,9,0,12
26,qm,red,2212,2231,5987,63,63,15,45,12,24,9,3,0,15
26,qm,blue,6738,2230,3388,48,48,9,39,6,18,15,0,0,9
27,qm,red,1573,2096,3075,65,65,12,50,14,33,3,3,0,12
27,qm,blue,1937,4590,2630,74,74,9,65,14,33,18,0,0,9
28,qm,red,3339,2679,5635,69,69,12,57,18,24,15,0,0,12
28,qm,blue,7177,5554,1577,83,83,9,74,14,39,21,0,0,9
29,qm,red,1574,1690,6736,61,61,12,43,10,15,18,6,0,12
29,qm,blue,6741,5654,3316,54,54,12,42,12,30,0,0,0,12
30,qm,red,6740,5135,5291,27,27,15,12,0,6,6,0,0,15
30,qm,blue,5990,7845,7112,50,50,12,26,2,15,9,12,0,12
31,qm,red,3065,5987,3339,41,41,9,32,2,21,9,0,0,9
31,qm,blue,6738,2231,6104,51,51,15,36,6,21,9,0,0,15
32,qm,red,1657,3316,4784,45,45,15,27,0,18,9,3,0,15
32,qm,blue,3388,4744,3075,83,83,12,71,20,36,15,0,0,12
