match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3623,1735,2262,42,42,12,30,6,15,9,0,0,12
1,qm,blue,125,1786,3205,69,69,15,54,12,24,18,0,0,15
2,qm,red,172,1100,5491,57,57,12,39,6,15,18,6,0,12
2,qm,blue,190,2079,5422,58,58,15,40,4,21,15,3,0,15
3,qm,red,157,1965,6620,47,47,12,35,8,12,15,0,0,12
3,qm,blue,2785,78,4987,66,66,9,54,12,24,18,3,0,9
4,qm,red,5813,126,7438,73,73,15,58,16,33,9,0,0,15
4,qm,blue,95,6731,88,68,68,9,59,14,36,9,0,0,9
5,qm,red,4796,2877,6328,59,59,12,47,8,21,18,0,0,12
5,qm,blue,61,1289,138,40,40,12,25,10,6,9,3,0,12
6,qm,red,4908,3323,2713,37,37,15,22,4,12,6,0,0,15
6,qm,blue,2876,58,155,65,65,15,50,14,18,18,0,0,15
7,qm,red,95,4048,7266,37,37,15,19,4,0,15,3,0,15
7,qm,blue,5459,1965,1100,50,50,15,35,2,15,18,0,0,15
8,qm,red,157,2262,138,38,38,12,26,8,6,12,0,0,12
8,qm,blue,6620,5491,1289,46,46,15,31,10,12,9,0,0,15
9,qm,red,126,3205,190,57,57,15,42,6,21,15,0,0,15
9,qm,blue,5813,125,2876,72,72,15,57,12,30,15,0,0,15
10,qm,red,7266,3323,5459,39,39,15,24,0,15,9,0,0,15
10,qm,blue,2877,2079,4987,85,85,15,46,10,27,9,24,0,15
11,qm,red,5422,172,4048,73,73,9,49,10,18,21,15,0,9
11,qm,blue,1786,4796,7438,52,52,15,34,4,18,12,3,0,15
12,qm,red,3623,6731,61,42,42,9,33,18,9,6,0,0,9
12,qm,blue,4908,1735,155,59,59,12,47,14,27,6,0,0,12
13,qm,red,78,6328,58,76,76,15,61,16,27,18,0,0,15
13,qm,blue,2713,88,2785,46,46,15,28,4,18,6,3,0,15
14,qm,red,1965,4987,7266,52,52,15,31,4,18,9,6,0,15
14,qm,blue,172,2876,3323,53,53,15,35,8,18,9,3,0,15
15,qm,red,4796,6731,157,47,47,15,32,2,12,18,0,0,15
15,qm,blue,5459,2262,190,55,55,9,33,6,9,18,13,0,9
16,qm,red,88,1100,61,61,61,15,46,10,15,21,0,0,15
16,qm,blue,3623,6620,126,56,56,15,35,8,21,6,6,0,15
17,qm,red,1289,6328,4908,67,67,12,55,10,27,18,0,0,12
17,qm,blue,78,2877,7438,78,78,9,66,18,30,18,3,0,9
18,qm,red,3205,5813,2079,61,61,15,46,10,30,6,0,0,15
18,qm,blue,4048,155,2785,59,59,15,44,8,18,18,0,0,15
19,qm,red,58,95,138,50,50,15,35,14,6,15,0,0,15
19,qm,blue,1735,2713,5422,37,37,9,28,4,21,3,0,0,9
20,qm,red,7266,1786,6731,33,33,15,18,6,3,9,0,0,15
20,qm,blue,125,5491,6328,85,85,15,67,16,33,18,3,0,15
21,qm,red,2079,4796,172,54,54,15,39,6,15,18,0,0,15
21,qm,blue,88,6620,2262,63,63,15,45,6,21,18,3,0,15
22,qm,red,78,155,190,72,72,15,57,18,21,18,0,0,15
