match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3538,3617,5239,68,68,15,53,14,21,18,0,0,15
1,qm,blue,4835,33,904,70,70,15,55,10,24,21,0,0,15
2,qm,red,7823,5067,5150,42,42,9,33,6,18,9,0,0,9
2,qm,blue,7827,7172,5230,37,37,12,25,4,12,9,0,0,12
3,qm,red,5612,5505,703,56,56,15,41,8,24,9,0,0,15
3,qm,blue,6557,4381,5203,55,55,12,43,10,24,9,0,0,12
4,qm,red,4375,5702,4384,48,48,15,33,6,18,9,0,0,15
4,qm,blue,7156,7861,6077,17,17,12,5,2,0,3,0,0,12
5,qm,red,5216,5661,5114,64,64,15,49,10,30,9,0,0,15
5,qm,blue,2834,7084,5530,54,54,6,45,12,18,15,3,0,6
6,qm,red,7751,7768,107,52,52,9,43,4,24,15,0,0,9
6,qm,blue,7826,5535,1701,48,48,12,26,2,18,6,10,0,12
7,qm,red,3617,4835,5612,46,46,15,31,4,21,6,0,0,15
7,qm,blue,904,5203,5230,59,59,9,50,14,24,12,0,0,9
8,qm,red,5239,5505,5150,49,49,12,37,4,15,18,0,0,12
8,qm,blue,6077,7827,5702,35,35,12,23,2,15,6,0,0,12
9,qm,red,4381,7084,5216,59,59,12,47,8,24,15,0,0,12
9,qm,blue,3538,107,703,84,84,12,69,18,30,21,3,0,12
10,qm,red,33,5530,7172,86,86,15,68,14,36,18,3,0,15
10,qm,blue,4375,5067,5535,59,59,15,41,8,18,15,3,0,15
11,qm,red,7861,6557,2834,42,42,12,30,6,9,15,0,0,12
11,qm,blue,1701,7156,7768,35,35,15,20,2,9,9,0,0,15
12,qm,red,7751,5661,7826,23,23,9,14,2,6,6,0,0,9
12,qm,blue,7823,5114,4384,53,53,15,38,8,18,12,0,0,15
13,qm,red,4381,33,5230,59,59,9,50,8,24,18,0,0,9
13,qm,blue,6077,5203,7084,42,42,15,24,18,0,6,3,0,15
14,qm,red,4375,5612,6557,43,43,15,28,4,18,6,0,0,15
14,qm,blue,7768,5150,3538,88,88,15,63,12,30,21,10,0,15
15,qm,red,4835,5530,5114,68,68,15,53,14,18,21,0,0,15
15,qm,blue,2834,7751,7156,37,37,15,22,4,12,6,0,0,15
16,qm,red,5239,7826,904,54,54,12,36,6,21,9,6,0,12
16,qm,blue,5067,5505,7172,68,68,15,53,8,27,18,0,0,15
17,qm,red,5702,703,7823,59,59,15,44,8,24,12,0,0,15
17,qm,blue,107,7861,3617,46,46,15,31,4,21,6,0,0,15
18,qm,red,5216,5535,7827,47,47,12,32,2,21,9,3,0,12
18,qm,blue,1701,5661,4384,51,51,15,33,6,18,9,3,0,15
19,qm,red,7768,6077,5530,80,80,15,62,14,30,18,3,0,15
19,qm,blue,33,5114,7156,66,66,15,51,12,30,9,0,0,15
20,qm,red,107,5150,7084,63,63,15,48,6,18,24,0,0,15
20,qm,blue,5203,5505,4375,80,80,15,65,14,30,21,0,0,15
21,qm,red,7751,5067,3617,41,41,15,26,2,15,9,0,0,15
21,qm,blue,7823,5612,5239,27,27,3,24,0,18,6,0,0,3
22,qm,red,6557,1701,904,48,48,15,33,6,15,12,0,0,15
22,qm,blue,4384,5230,5216,49,49,9,40,10,21,9,0,0,9
23,qm,red,5702,4381,7861,50,50,15,32,2,12,18,3,0,15
23,qm,blue,7172,4835,5535,45,45,15,20,2,12,6,10,0,15
24,qm,red,5661,7827,3538,72,72,15,57,12,27,18,0,0,15
24,qm,blue,7826,703,2834,50,50,15,35,8,21,6,0,0,15
25,qm,red,7156,4375,107,70,70,15,55,10,27,18,0,0,15
25,qm,blue,6557,5230,5239,35,35,12,23,2,12,9,0,0,12
26,qm,red,5505,7823,4835,59,59,15,44,8,21,15,0,0,15
26,qm,blue,33,1701,5216,88,88,15,73,16,36,21,0,0,15
27,qm,red,5067,6077,3538,91,91,15,76,22,39,15,0,0,15
27,qm,blue,7827,5114,7861,47,47,15,32,2,21,9,0,0,15
28,qm,red,5535,2834,4381,66,66,12,54,6,27,21,0,0,12
28,qm,blue,5150,5612,7751,26,26,12,14,2,0,12,0,0,12
29,qm,red,5661,904,5702,43,43,15,28,4,15,9,0,0,15
29,qm,blue,5203,7172,7768,59,59,15,41,14,18,9,3,0,15
30,qm,red,7826,4384,5530,45,45,12,33,6,12,15,0,0,12
30,qm,blue,3617,703,7084,44,44,15,29,2,18,9,0,0,15
31,qm,red,33,3538,7823,72,72,15,57,18,24,15,0,0,15
31,qm,blue,1701,2834,107,70,70,15,52,10,27,15,3,0,15
32,qm,red,5239,7861,5203,32,32,15,17,8,3,6,0,0,15
32,qm,blue,7768,5216,6557,63,63,15,48,6,24,18,0,0,15
