match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,288,6090,5316,78,78,15,53,14,24,15,10,0,15
1,qm,blue,4956,2405,7811,61,61,15,46,10,27,9,0,0,15
2,qm,red,67,2767,7812,93,93,15,78,18,33,27,0,0,15
2,qm,blue,7225,2771,5056,79,79,9,57,18,24,15,13,0,9
3,qm,red,5963,4855,216,66,66,15,51,6,24,21,0,0,15
3,qm,blue,4967,7256,2054,71,71,15,56,14,21,21,0,0,15
4,qm,red,5470,7187,4362,66,66,9,47,8,21,18,10,0,9
4,qm,blue,7073,6600,7689,24,24,12,12,6,0,6,0,0,12
5,qm,red,7911,6627,7814,30,30,15,15,0,9,6,0,0,15
5,qm,blue,5161,3875,244,66,66,15,51,12,30,9,0,0,15
6,qm,red,3458,4482,5675,48,48,15,30,6,9,15,3,0,15
6,qm,blue,27,858,5460,49,49,6,43,10,18,15,0,0,6
7,qm,red,7248,1918,3546,71,71,15,53,14,27,12,3,0,15
7,qm,blue,4327,7689,6428,37,37,12,25,4,15,6,0,0,12
8,qm,red,7225,7811,5963,51,51,12,39,6,21,12,0,0,12
8,qm,blue,6627,2771,4362,60,60,9,48,12,18,18,3,0,9
9,qm,red,5056,4855,2767,72,72,15,57,12,30,15,0,0,15
9,qm,blue,2405,4482,7911,56,56,15,41,14,24,3,0,0,15
10,qm,red,4956,7248,4327,42,42,15,27,6,15,6,0,0,15
10,qm,blue,4967,5316,5470,63,63,9,48,6,24,18,6,0,9
11,qm,red,3875,1918,858,57,57,12,45,12,27,6,0,0,12
11,qm,blue,5161,7187,2054,70,70,15,55,10,24,21,0,0,15
12,qm,red,3546,27,6428,43,43,12,31,10,9,12,0,0,12
12,qm,blue,7073,5675,67,80,80,15,55,10,30,15,10,0,15
13,qm,red,7814,6090,7812,45,45,15,30,6,15,9,0,0,15
13,qm,blue,5460,3458,6600,92,92,12,61,22,21,18,19,0,12
14,qm,red,7256,216,1918,68,68,15,53,14,30,9,0,0,15
14,qm,blue,2405,288,244,58,58,15,43,10,24,9,0,0,15
15,qm,red,27,2054,7248,80,80,15,55,10,24,21,10,0,15
15,qm,blue,2771,3875,7187,72,72,15,57,12,24,21,0,0,15
16,qm,red,5963,2767,5460,64,64,15,46,16,15,15,3,0,15
16,qm,blue,7811,67,7814,55,55,15,37,10,9,18,3,0,15
17,qm,red,3458,5316,5056,60,60,15,45,12,24,9,0,0,15
17,qm,blue,858,6600,5470,47,47,9,38,2,18,18,0,0,9
18,qm,red,4855,6090,4362,79,79,15,64,16,33,15,0,0,15
18,qm,blue,288,5675,6428,56,56,9,47,8,30,9,0,0,9
19,qm,red,7256,4482,7689,39,39,15,21,12,0,9,3,0,15
19,qm,blue,6627,5161,4327,51,51,12,39,6,24,9,0,0,12
20,qm,red,4956,7225,7911,61,61,12,49,4,24,21,0,0,12
20,qm,blue,4967,216,3546,61,61,15,46,10,21,15,0,0,15
21,qm,red,7812,858,244,58,58,9,39,12,12,15,10,0,9
21,qm,blue,7073,6428,7248,30,30,9,21,0,15,6,0,0,9
22,qm,red,5056,5161,6600,48,48,9,39,6,21,12,0,0,9
22,qm,blue,4327,27,4855,124,124,15,66,12,33,21,43,0,15
23,qm,red,3875,288,7811,56,56,15,41,8,24,9,0,0,15
23,qm,blue,5675,6627,7225,57,57,9,48,6,24,18,0,0,9
24,qm,red,4482,244,7073,34,34,15,19,4,9,6,0,0,15
24,qm,blue,5963,4362,4956,65,65,9,53,14,18,21,3,0,9
25,qm,red,2767,4967,7187,82,82,15,67,10,27,30,0,0,15
25,qm,blue,7689,7812,5470,29,29,12,17,8,0,9,0,0,12
26,qm,red,5316,1918,2405,64,64,15,49,16,18,15,0,0,15
26,qm,blue,3546,5460,7911,84,84,15,69,12,36,21,0,0,15
27,qm,red,2771,2054,67,63,63,15,48,18,18,12,0,0,15
27,qm,blue,3458,7256,6090,61,61,15,43,10,24,9,3,0,15
28,qm,red,7814,7225,7248,56,56,15,41,2,21,18,0,0,15
28,qm,blue,216,4956,4482,67,67,12,55,10,30,15,0,0,12
29,qm,red,4967,7073,5056,61,61,12,49,10,24,15,0,0,12
29,qm,blue,7187,7811,6627,39,39,15,24,0,18,6,0,0,15
30,qm,red,3546,3458,4855,63,63,15,48,6,21,21,0,0,15
30,qm,blue,7689,2767,3875,50,50,12,38,8,12,18,0,0,12
31,qm,red,2405,6600,2054,70,70,15,52,10,24,18,3,0,15
31,qm,blue,216,5675,244,52,52,15,34,10,21,3,3,0,15
32,qm,red,7911,4327,4362,57,57,15,42,12,21,9,0,0,15
32,qm,blue,6090,2771,858,60,60,12,48,12,15,21,0,0,12
33,qm,red,288,7814,5161,57,57,15,39,6,15,18,3,0,15
33,qm,blue,67,5470,5963,65,65,15,50,8,24,18,0,0,15
