match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3534,7247,217,72,72,15,57,12,27,18,0,0,15
1,qm,blue,5155,3667,5555,70,70,12,55,10,24,21,3,0,12
2,qm,red,4130,3452,201,61,61,15,46,10,18,18,0,0,15
2,qm,blue,494,70,7491,66,66,15,51,12,30,9,0,0,15
3,qm,red,6086,453,1684,56,56,12,44,14,24,6,0,0,12
3,qm,blue,6019,3535,7206,61,61,12,39,6,21,12,10,0,12
4,qm,red,7192,302,7166,67,67,9,48,6,27,15,10,0,9
4,qm,blue,3619,7783,2604,30,30,9,21,0,18,3,0,0,9
5,qm,red,7854,1189,5547,64,64,12,39,6,24,9,13,0,12
5,qm,blue,5167,7820,5843,46,46,9,37,10,18,9,0,0,9
6,qm,red,7813,5090,4779,40,40,9,28,10,6,12,3,0,9
6,qm,blue,5926,2851,7859,65,65,15,50,8,24,18,0,0,15
7,qm,red,5860,5527,2604,27,27,9,18,0,6,12,0,0,9
7,qm,blue,6344,313,7192,55,55,15,40,10,24,6,0,0,15
8,qm,red,3619,70,7854,52,52,15,34,10,12,12,3,0,15
8,qm,blue,453,7783,5155,62,62,9,53,8,27,18,0,0,9
9,qm,red,5926,6086,1189,49,49,15,31,4,21,6,3,0,15
9,qm,blue,5555,6019,3452,68,68,15,53,8,27,18,0,0,15
10,qm,red,5090,5860,2851,75,75,15,60,12,27,21,0,0,15
10,qm,blue,217,5167,7491,71,71,15,56,14,33,9,0,0,15
11,qm,red,3667,7813,7247,65,65,15,50,8,21,21,0,0,15
11,qm,blue,313,5843,302,76,76,15,61,16,27,18,0,0,15
12,qm,red,7859,6344,7166,45,45,9,36,6,24,6,0,0,9
12,qm,blue,3534,7206,4130,64,64,15,49,10,30,9,0,0,15
13,qm,red,7820,1684,5527,54,54,15,39,12,9,18,0,0,15
13,qm,blue,201,494,4779,65,65,15,50,8,21,21,0,0,15
14,qm,red,5547,5155,7491,64,64,15,49,10,21,18,0,0,15
14,qm,blue,3535,1189,2604,64,64,12,52,10,30,12,0,0,12
15,qm,red,7813,6019,6086,56,56,15,35,8,18,9,6,0,15
15,qm,blue,7166,70,7247,46,46,12,34,10,9,15,0,0,12
16,qm,red,4130,5843,4779,55,55,9,46,10,18,18,0,0,9
16,qm,blue,201,3619,5555,53,53,15,38,8,24,6,0,0,15
17,qm,red,453,7206,313,49,49,15,31,4,21,6,3,0,15
17,qm,blue,7820,5090,3667,39,39,9,30,0,12,18,0,0,9
18,qm,red,3534,2851,302,99,99,15,74,14,39,21,10,0,15
18,qm,blue,7854,5167,1684,59,59,12,44,8,18,18,3,0,12
19,qm,red,494,5926,6344,77,77,15,62,14,33,15,0,0,15
19,qm,blue,3535,217,7859,73,73,12,61,10,30,21,0,0,12
20,qm,red,3452,5860,7783,81,81,15,56,8,27,21,10,0,15
20,qm,blue,5527,5547,7192,34,34,9,22,4,9,9,3,0,9
21,qm,red,7206,7820,5555,51,51,15,36,6,24,6,0,0,15
21,qm,blue,7166,3619,5167,35,35,12,23,2,15,6,0,0,12
22,qm,red,3667,494,313,69,69,15,54,12,24,18,0,0,15
22,qm,blue,4779,2604,2851,81,81,15,66,12,30,24,0,0,15
23,qm,red,1684,5547,201,79,79,9,70,16,39,15,0,0,9
23,qm,blue,5155,7192,7813,60,60,15,45,12,24,9,0,0,15
24,qm,red,302,6344,70,80,80,15,65,14,30,21,0,0,15
24,qm,blue,5843,5926,6019,74,74,12,56,14,24,18,6,0,12
25,qm,red,5860,7491,3535,70,70,15,55,10,30,15,0,0,15
25,qm,blue,5527,7859,3534,40,40,9,28,4,18,6,3,0,9
26,qm,red,453,7854,4130,51,51,15,36,0,18,18,0,0,15
26,qm,blue,1189,5090,7247,50,50,15,32,8,18,6,3,0,15
27,qm,red,7783,217,313,58,58,15,43,4,21,18,0,0,15
27,qm,blue,3452,6086,5155,72,72,15,54,12,21,21,3,0,15
28,qm,red,5167,2604,5926,73,73,15,58,10,27,21,0,0,15
28,qm,blue,5860,7813,5843,61,61,15,46,16,12,18,0,0,15
29,qm,red,7854,7166,3535,45,45,12,33,6,24,3,0,0,12
29,qm,blue,201,7192,3667,50,50,12,38,8,24,6,0,0,12
30,qm,red,494,7247,7783,67,67,15,46,10,27,9,6,0,15
