match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5509,503,7226,46,46,6,40,4,15,21,0,0,6
1,qm,blue,5622,4004,94,44,44,15,29,8,12,9,0,0,15
2,qm,red,6594,5257,7109,19,19,9,10,4,0,6,0,0,9
2,qm,blue,4994,5982,6552,15,15,6,9,0,9,0,0,0,6
3,qm,red,4819,7213,5231,29,29,6,23,2,15,6,0,0,6
3,qm,blue,4409,6963,3570,41,41,12,29,2,21,6,0,0,12
4,qm,red,6582,5424,5502,57,57,15,42,6,27,9,0,0,15
4,qm,blue,5166,5193,2959,77,77,12,62,14,33,15,3,0,12
5,qm,red,6642,1188,5448,55,55,15,30,6,18,6,10,0,15
5,qm,blue,6533,5162,3572,48,48,9,39,12,18,9,0,0,9
6,qm,red,7202,6548,5084,45,45,6,39,6,18,15,0,0,6
6,qm,blue,6128,6611,6581,24,24,12,12,6,3,3,0,0,12
7,qm,red,7495,5229,7213,43,43,9,31,4,18,9,3,0,9
7,qm,blue,6753,6582,862,66,66,12,51,12,21,18,3,0,12
8,qm,red,1188,7226,3572,64,64,9,55,10,30,15,0,0,9
8,qm,blue,503,7109,2959,58,58,12,46,10,21,15,0,0,12
9,qm,red,5622,4819,6581,41,41,15,23,2,15,6,3,0,15
9,qm,blue,5193,6533,5257,50,50,12,20,2,6,12,18,0,12
10,qm,red,4409,6548,4994,65,65,15,50,8,27,15,0,0,15
10,qm,blue,5509,5502,6753,55,55,12,43,10,12,21,0,0,12
11,qm,red,5982,862,6594,53,53,9,44,8,15,21,0,0,9
11,qm,blue,5424,7202,6642,52,52,12,27,6,15,6,13,0,12
12,qm,red,5162,6552,5231,15,15,3,9,0,9,0,3,0,3
12,qm,blue,5166,5084,7495,64,64,15,49,10,18,21,0,0,15
13,qm,red,6611,4004,6963,57,57,15,42,6,21,15,0,0,15
13,qm,blue,3570,5229,94,46,46,12,34,16,9,9,0,0,12
14,qm,red,6753,4994,6128,55,55,9,43,4,21,18,3,0,9
14,qm,blue,5448,6581,2959,46,46,12,34,4,12,18,0,0,12
15,qm,red,5424,5084,862,80,80,12,68,14,33,21,0,0,12
15,qm,blue,5622,6533,4409,46,46,15,31,4,18,9,0,0,15
16,qm,red,5257,7495,94,41,41,15,26,14,0,12,0,0,15
16,qm,blue,6611,6548,6594,40,40,15,25,10,0,15,0,0,15
17,qm,red,6963,5229,503,61,61,15,40,10,12,18,6,0,15
17,qm,blue,6642,5231,5982,20,20,9,11,2,6,3,0,0,9
18,qm,red,5448,5162,7109,36,36,15,21,6,9,6,0,0,15
18,qm,blue,5193,4004,4819,60,60,15,45,12,24,9,0,0,15
19,qm,red,7202,3572,5502,37,37,6,31,4,9,18,0,0,6
19,qm,blue,6582,5509,1188,49,49,15,31,4,18,9,3,0,15
20,qm,red,6128,7213,3570,30,30,9,21,0,9,12,0,0,9
20,qm,blue,5166,6552,7226,60,60,12,38,14,6,18,10,0,12
21,qm,red,6611,4819,5162,41,41,15,26,2,18,6,0,0,15
21,qm,blue,5229,6753,5622,50,50,15,35,8,12,15,0,0,15
22,qm,red,6963,7495,5509,35,35,15,20,2,9,9,0,0,15
22,qm,blue,2959,5982,5424,59,59,12,44,8,24,12,3,0,12
23,qm,red,6642,5084,6128,49,49,12,37,4,15,18,0,0,12
23,qm,blue,1188,94,7213,54,54,15,39,12,18,9,0,0,15
24,qm,red,6552,6582,4409,48,48,15,33,0,18,15,0,0,15
24,qm,blue,7226,4994,5448,53,53,12,18,0,12,6,23,0,12
25,qm,red,6548,5502,5166,40,40,9,31,16,3,12,0,0,9
25,qm,blue,862,7109,7202,50,50,15,35,8,12,15,0,0,15
26,qm,red,6533,6581,4004,32,32,9,23,2,18,3,0,0,9
26,qm,blue,6594,5231,503,53,53,6,47,8,21,18,0,0,6
27,qm,red,3572,5257,6611,69,69,12,47,8,24,15,10,0,12
27,qm,blue,5084,5193,3570,69,69,12,54,12,24,18,3,0,12
28,qm,red,6582,5622,6642,35,35,15,20,2,9,9,0,0,15
28,qm,blue,7213,5166,7109,50,50,15,32,14,0,18,3,0,15
29,qm,red,5448,4409,5231,33,33,12,21,0,18,3,0,0,12
29,qm,blue,5229,6594,1188,60,60,15,45,12,27,6,0,0,15
30,qm,red,5982,7202,6128,41,41,12,19,4,3,12,10,0,12
30,qm,blue,6753,5257,5162,30,30,12,18,6,6,6,0,0,12
31,qm,red,2959,3570,4004,56,56,6,47,8,27,12,3,0,6
31,qm,blue,6552,4819,5502,36,36,9,27,6,18,3,0,0,9
32,qm,red,94,3572,6581,68,68,12,56,14,24,18,0,0,12
32,qm,blue,7226,7495,5424,45,45,9,36,6,21,9,0,0,9
33,qm,red,4994,5193,503,59,59,12,44,14,12,18,3,0,12
33,qm,blue,5509,862,6548,77,77,15,62,14,30,18,0,0,15
34,qm,red,6533,6753,6552,51,51,9,42,6,18,18,0,0,9
34,qm,blue,6963,7202,6582,47,47,15,32,8,12,12,0,0,15
35,qm,red,3572,5424,5229,64,64,12,49,16,27,6,3,0,12
35,qm,blue,6642,5502,6594,26,26,9,17,2,9,6,0,0,9
36,qm,red,5257,5622,2959,37,37,12,25,10,9,6,0,0,12
36,qm,blue,5231,94,6548,39,39,12,27,12,0,15,0,0,12
37,qm,red,5166,5509,5448,49,49,15,31,10,9,12,3,0,15
37,qm,blue,1188,862,4004,63,63,12,51,12,21,18,0,0,12
38,qm,red,6533,503,3570,50,50,6,44,8,18,18,0,0,6
38,qm,blue,6581,7213,4994,36,36,12,21,0,3,18,3,0,12
39,qm,red,4409,7226,5982,61,61,12,39,6,21,12,10,0,12
39,qm,blue,7495,5193,5162,53,53,15,38,8,21,9,0,0,15
40,qm,red,5084,7109,6611,41,41,15,26,2,15,9,0,0,15
40,qm,blue,4819,6128,6963,32,32,15,17,2,3,12,0,0,15
41,qm,red,4994,6642,3572,55,55,12,43,10,18,15,0,0,12
41,qm,blue,5231,6533,5166,46,46,9,37,16,3,18,0,0,9
42,qm,red,5502,7226,5229,46,46,15,31,10,21,0,0,0,15
42,qm,blue,503,5424,5257,74,74,12,62,14,30,18,0,0,12
43,qm,red,3570,6552,7495,28,28,9,19,4,6,9,0,0,9
43,qm,blue,6548,5622,5193,59,59,15,34,10,9,15,10,0,15
44,qm,red,4409,6128,1188,59,59,15,44,8,27,9,0,0,15
44,qm,blue,5982,6582,6611,40,40,15,25,4,9,12,0,0,15
45,qm,red,5162,4004,6594,33,33,9,21,0,18,3,3,0,9
45,qm,blue,5084,5509,7213,45,45,15,30,0,18,12,0,0,15
46,qm,red,6753,6581,7109,49,49,12,37,4,15,18,0,0,12
46,qm,blue,4819,94,862,69,69,15,54,12,18,24,0,0,15
47,qm,red,6963,2959,1188,59,59,15,41,8,21,12,3,0,15
47,qm,blue,7202,5448,5622,35,35,15,10,4,0,6,10,0,15
48,qm,red,5231,5257,4994,26,26,12,11,2,6,3,3,0,12
48,qm,blue,4004,5424,6128,49,49,15,34,4,24,6,0,0,15
49,qm,red,94,6753,5166,68,68,15,50,20,6,24,3,0,15
49,qm,blue,6594,6533,7226,35,35,12,23,2,12,9,0,0,12
50,qm,red,5982,6548,4819,65,65,15,47,14,24,9,3,0,15
50,qm,blue,3572,5084,6582,62,62,15,44,8,18,18,3,0,15
51,qm,red,5193,7109,6963,53,53,15,38,8,21,9,0,0,15
51,qm,blue,5502,4409,7495,40,40,15,25,4,15,6,0,0,15
52,qm,red,5229,6642,5509,51,51,9,42,6,24,12,0,0,9
52,qm,blue,3570,6581,7202,22,22,6,16,4,9,3,0,0,6
53,qm,red,862,5162,503,71,71,12,59,8,30,21,0,0,12
53,qm,blue,5448,6611,6552,31,31,15,16,4,6,6,0,0,15
54,qm,red,7213,6594,5193,47,47,9,28,4,15,9,10,0,9
54,qm,blue,2959,6128,7226,40,40,15,25,4,18,3,0,0,15
55,qm,red,7202,1188,7495,52,52,15,37,10,18,9,0,0,15
55,qm,blue,4819,3570,4994,38,38,12,23,2,15,6,3,0,12
56,qm,red,5162,5166,6642,56,56,15,31,16,12,3,10,0,15
56,qm,blue,5257,6963,6548,51,51,15,33,18,0,15,3,0,15
57,qm,red,94,5502,5982,47,47,15,29,14,3,12,3,0,15
57,qm,blue,7213,6611,5622,24,24,15,9,0,0,9,0,0,15
58,qm,red,6581,4409,862,63,63,15,48,6,27,15,0,0,15
58,qm,blue,6552,3572,503,65,65,9,56,8,27,21,0,0,9
59,qm,red,5509,5231,5424,60,60,9,51,6,27,18,0,0,9
59,qm,blue,5084,5448,6753,52,52,15,37,4,18,15,0,0,15
60,qm,red,6582,2959,6533,70,70,12,40,4,24,12,18,0,12
60,qm,blue,7109,5229,4004,51,51,15,36,12,21,3,0,0,15
61,qm,red,6552,7202,5193,53,53,12,41,8,24,9,0,0,12
61,qm,blue,6548,503,6642,81,81,15,66,12,33,21,0,0,15
62,qm,red,7226,6753,5231,40,40,9,31,4,21,6,0,0,9
62,qm,blue,5502,1188,5257,54,54,15,39,12,18,9,0,0,15
63,qm,red,5424,5166,4819,70,70,9,61,16,36,9,0,0,9
63,qm,blue,6611,2959,5509,41,41,12,29,2,21,6,0,0,12
64,qm,red,6581,6582,6594,38,38,12,26,2,12,12,0,0,12
64,qm,blue,5622,3570,5162,36,36,9,27,0,15,12,0,0,9
65,qm,red,94,6963,5084,70,70,15,55,10,21,24,0,0,15
65,qm,blue,862,4994,5229,60,60,12,35,8,12,15,13,0,12
66,qm,red,7213,5448,6533,31,31,15,16,10,0,6,0,0,15
66,qm,blue,7109,7495,5982,37,37,15,22,4,6,12,0,0,15
67,qm,red,6128,3572,5622,49,49,15,34,4,24,6,0,0,15
67,qm,blue,4004,4409,7202,62,62,12,47,14,21,12,3,0,12
68,qm,red,3570,862,5502,66,66,15,51,6,24,21,0,0,15
68,qm,blue,5162,2959,5084,55,55,9,46,10,18,18,0,0,9
69,qm,red,5193,7226,6611,61,61,15,40,10,21,9,6,0,15
69,qm,blue,4994,6533,6963,36,36,12,24,0,12,12,0,0,12
70,qm,red,7109,6552,5509,39,39,6,30,0,15,15,3,0,6
70,qm,blue,6581,5231,5229,21,21,9,12,6,3,3,0,0,9
71,qm,red,503,4819,6753,72,72,12,57,12,27,18,3,0,12
71,qm,blue,6594,5166,3572,59,59,12,47,14,15,18,0,0,12
72,qm,red,5257,5448,6582,63,63,15,45,12,15,18,3,0,15
72,qm,blue,94,6642,4409,56,56,15,41,8,21,12,0,0,15
73,qm,red,6548,1188,5424,67,67,15,52,16,21,15,0,0,15
73,qm,blue,4004,5982,7213,53,53,12,41,8,24,9,0,0,12
74,qm,red,7495,4994,5622,41,41,15,26,2,12,12,0,0,15
74,qm,blue,6128,5162,5229,41,41,15,26,8,12,6,0,0,15
75,qm,red,2959,94,6552,51,51,12,39,6,21,12,0,0,12
75,qm,blue,3572,4409,5193,85,85,15,70,16,33,21,0,0,15
76,qm,red,1188,5982,5166,75,75,15,60,18,18,24,0,0,15
76,qm,blue,5502,6963,6581,44,44,15,29,8,3,18,0,0,15
77,qm,red,5231,6611,7202,25,25,9,16,10,3,3,0,0,9
77,qm,blue,7226,7213,6582,58,58,15,37,4,18,15,6,0,15
78,qm,red,7109,3570,6548,52,52,15,37,10,12,15,0,0,15
78,qm,blue,5424,6594,5448,47,47,15,32,2,21,9,0,0,15
79,qm,red,862,6128,6533,44,44,15,23,2,15,6,6,0,15
79,qm,blue,5257,5509,4819,62,62,12,50,8,21,21,0,0,12
80,qm,red,4004,503,5084,82,82,12,70,16,33,21,0,0,12
80,qm,blue,7495,6642,6753,67,67,15,42,12,12,18,10,0,15
1,qf,red,862,503,6642,82,82,15,67,16,33,18,0,0,15
1,qf,blue,4819,5193,4409,82,82,15,46,10,27,9,21,0,15
2,qf,red,862,503,6642,68,68,15,53,8,21,24,0,0,15
2,qf,blue,4819,5193,4409,75,75,15,60,18,30,12,0,0,15
1,qf,red,4004,5084,6533,66,66,15,51,6,27,18,0,0,15
1,qf,blue,5424,5166,5982,66,66,15,51,18,18,15,0,0,15
2,qf,red,4004,5084,6533,77,77,15,56,8,30,18,6,0,15
2,qf,blue,5424,5166,5982,52,52,15,37,16,0,21,0,0,15
1,qf,red,3572,1188,6963,64,64,15,46,10,21,15,3,0,15
1,qf,blue,2959,7109,5229,43,43,9,34,10,18,6,0,0,9
2,qf,red,3572,1188,6963,81,81,15,66,12,30,24,0,0,15
2,qf,blue,2959,7109,5229,39,39,15,24,12,3,9,0,0,15
1,qf,red,6753,6548,7202,75,75,15,57,12,24,21,3,0,15
1,qf,blue,94,5509,3570,46,46,15,31,4,12,15,0,0,15
2,qf,red,6753,6548,7202,66,66,15,51,12,18,21,0,0,15
2,qf,blue,94,5509,3570,64,64,15,49,10,15,24,0,0,15
1,sf,red,4819,5193,4409,68,68,15,50,14,21,15,3,0,15
1,sf,blue,4004,5084,6533,71,71,15,56,8,30,18,0,0,15
2,sf,red,4819,5193,4409,67,67,15,52,16,30,6,0,0,15
2,sf,blue,4004,5084,6533,71,71,15,56,8,30,18,0,0,15
1,sf,red,3572,1188,6963,82,82,15,67,16,27,24,0,0,15
1,sf,blue,6753,6548,7202,68,68,15,53,14,18,21,0,0,15
2,sf,red,3572,1188,6963,80,80,15,62,14,27,21,3,0,15
2,sf,blue,6753,6548,7202,67,67,15,52,10,21,21,0,0,15
1,f,red,4004,5084,6533,70,70,15,55,10,30,15,0,0,15
1,f,blue,3572,1188,6963,71,71,15,53,14,27,12,3,0,15
2,f,red,4004,5084,6533,63,63,15,48,6,24,18,0,0,15
2,f,blue,3572,1188,6963,77,77,15,62,14,27,21,0,0,15
