match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7168,7791,3096,25,25,9,16,4,3,9,0,0,9
1,qm,blue,7597,2612,6958,43,43,15,28,4,15,9,0,0,15
2,qm,red,68,3302,3539,56,56,9,37,10,18,9,10,0,9
2,qm,blue,245,5478,7716,69,69,15,45,6,21,18,9,0,15
3,qm,red,2960,469,818,47,47,9,38,8,15,15,0,0,9
3,qm,blue,6862,7224,7178,32,32,9,23,2,12,9,0,0,9
4,qm,red,1,2337,7769,56,56,6,50,8,24,18,0,0,6
4,qm,blue,4810,4811,7762,69,69,15,54,12,30,12,0,0,15
5,qm,red,5215,51,5436,75,75,12,57,12,27,18,6,0,12
5,qm,blue,910,1718,4815,70,70,12,58,16,24,18,0,0,12
6,qm,red,3632,226,6532,32,32,15,17,2,9,6,0,0,15
6,qm,blue,6099,6566,6120,46,46,15,28,4,21,3,3,0,15
7,qm,red,308,2591,818,58,58,15,43,10,21,12,0,0,15
7,qm,blue,6117,7218,4768,33,33,12,21,6,12,3,0,0,12
8,qm,red,4815,7597,2337,59,59,15,32,8,21,3,12,0,15
8,qm,blue,7716,2960,7769,58,58,15,37,4,18,15,6,0,15
9,qm,red,226,7762,51,83,83,15,68,14,36,18,0,0,15
9,qm,blue,3539,6532,6120,56,56,15,41,8,18,15,0,0,15
10,qm,red,6566,308,6117,61,61,15,46,10,24,12,0,0,15
10,qm,blue,3096,2612,1,38,38,15,23,2,18,3,0,0,15
11,qm,red,4768,5436,6958,53,53,12,41,8,21,12,0,0,12
11,qm,blue,7791,5478,5215,35,35,9,20,2,9,9,6,0,9
12,qm,red,68,910,4810,69,69,15,51,12,21,18,3,0,15
12,qm,blue,7178,1718,469,53,53,12,41,8,15,18,0,0,12
13,qm,red,7224,3632,3302,33,33,9,24,0,15,9,0,0,9
13,qm,blue,245,6862,7218,50,50,9,41,8,21,12,0,0,9
14,qm,red,6099,4811,2960,75,75,15,50,14,18,18,10,0,15
14,qm,blue,7168,2591,226,63,63,15,48,6,24,18,0,0,15
15,qm,red,4810,818,5215,83,83,12,59,8,30,21,12,0,12
15,qm,blue,68,7769,2612,69,69,15,54,6,27,21,0,0,15
16,qm,red,6532,1718,308,71,71,15,56,14,27,15,0,0,15
16,qm,blue,3539,7218,5478,38,38,9,29,2,18,9,0,0,9
17,qm,red,7224,6120,7597,42,42,15,27,0,15,12,0,0,15
17,qm,blue,3302,6099,1,73,73,9,37,4,24,9,27,0,9
18,qm,red,7791,2337,910,69,69,9,60,12,30,18,0,0,9
18,qm,blue,6862,6117,4811,53,53,15,38,8,24,6,0,0,15
19,qm,red,7178,7168,51,65,65,12,53,8,24,21,0,0,12
19,qm,blue,7716,4768,2591,40,40,12,28,4,15,9,0,0,12
20,qm,red,7762,3096,4815,47,47,15,32,20,3,9,0,0,15
20,qm,blue,6958,6566,3632,52,52,15,37,4,24,9,0,0,15
21,qm,red,245,469,7597,68,68,15,53,8,27,18,0,0,15
21,qm,blue,5436,6099,308,58,58,12,46,10,21,15,0,0,12
22,qm,red,7769,7178,226,76,76,15,61,10,33,18,0,0,15
22,qm,blue,910,7224,1,55,55,9,43,10,18,15,3,0,9
23,qm,red,6117,7716,4815,41,41,15,23,8,15,0,3,0,15
23,qm,blue,818,7762,1718,64,64,15,49,16,18,15,0,0,15
24,qm,red,2612,245,51,63,63,15,48,12,21,15,0,0,15
24,qm,blue,2960,6958,7168,35,35,15,20,2,12,6,0,0,15
25,qm,red,6120,3302,2591,78,78,15,30,6,15,9,33,0,15
25,qm,blue,6566,6862,7791,31,31,9,22,4,12,6,0,0,9
26,qm,red,68,2337,5478,64,64,15,49,4,24,21,0,0,15
26,qm,blue,4768,3632,5215,38,38,15,23,2,15,6,0,0,15
27,qm,red,5436,4810,3096,41,41,15,26,2,21,3,0,0,15
27,qm,blue,4811,469,7218,70,70,9,42,6,21,15,19,0,9
28,qm,red,6862,910,3539,54,54,9,45,12,18,15,0,0,9
28,qm,blue,4815,6532,245,75,75,15,60,12,30,18,0,0,15
29,qm,red,818,68,6566,68,68,15,53,8,27,18,0,0,15
29,qm,blue,1,2960,7762,74,74,15,59,14,27,18,0,0,15
30,qm,red,6099,7791,6117,39,39,12,27,0,18,9,0,0,12
30,qm,blue,7769,5215,308,81,81,12,60,12,30,18,9,0,12
31,qm,red,2591,2612,5436,50,50,15,35,8,15,12,0,0,15
31,qm,blue,469,6532,7716,41,41,15,26,2,15,9,0,0,15
32,qm,red,226,3539,7224,61,61,15,46,10,27,9,0,0,15
32,qm,blue,7597,4768,3096,32,32,15,17,2,6,9,0,0,15
33,qm,red,4811,7178,3632,50,50,12,38,8,24,6,0,0,12
33,qm,blue,3302,51,6958,81,81,15,48,6,24,18,18,0,15
34,qm,red,2337,4810,1718,60,60,15,45,12,30,3,0,0,15
34,qm,blue,6120,5478,7168,60,60,15,35,8,15,12,10,0,15
35,qm,red,6862,4768,6099,42,42,15,27,0,18,9,0,0,15
35,qm,blue,7218,7762,2612,50,50,15,19,10,0,9,16,0,15
36,qm,red,308,7224,7716,55,55,12,43,10,24,9,0,0,12
36,qm,blue,4815,6958,2591,43,43,12,31,4,18,9,0,0,12
37,qm,red,7769,3539,4811,73,73,15,58,10,30,18,0,0,15
37,qm,blue,5436,6120,1718,69,69,9,60,18,24,18,0,0,9
38,qm,red,5215,7218,6532,42,42,15,24,6,9,9,3,0,15
