match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7038,2052,5232,57,57,9,45,6,21,18,3,0,9
1,qm,blue,2855,3058,2513,40,40,12,25,4,9,12,3,0,12
2,qm,red,4229,4607,4198,49,49,12,34,4,21,9,3,0,12
2,qm,blue,2825,7028,2532,54,54,9,32,8,18,6,13,0,9
3,qm,red,4549,3134,2846,27,27,6,18,6,6,6,3,0,6
3,qm,blue,2181,7850,2501,23,23,3,20,8,9,3,0,0,3
4,qm,red,3871,2518,3630,42,42,3,39,6,21,12,0,0,3
4,qm,blue,2480,2502,7068,70,70,12,40,4,21,15,18,0,12
5,qm,red,3007,2508,2470,49,49,12,31,10,12,9,6,0,12
5,qm,blue,5913,2529,2530,49,49,15,28,4,12,12,6,0,15
6,qm,red,3745,3055,5464,33,33,9,21,6,6,9,3,0,9
6,qm,blue,7180,4207,5172,69,69,12,42,12,12,18,15,0,12
7,qm,red,5996,2498,2515,35,35,6,6,0,0,6,23,0,6
7,qm,blue,2500,3407,3202,26,26,9,17,8,3,6,0,0,9
8,qm,red,4664,5541,4536,29,29,9,20,2,12,6,0,0,9
8,qm,blue,3244,3454,3102,65,65,15,47,8,24,15,3,0,15
9,qm,red,6709,2232,3298,25,25,6,19,4,9,6,0,0,6
9,qm,blue,5637,3299,3026,27,27,6,18,0,12,6,3,0,6
10,qm,red,3184,3038,3023,39,39,9,30,6,21,3,0,0,9
10,qm,blue,2823,2987,5434,71,71,15,56,14,27,15,0,0,15
11,qm,red,2513,2509,2879,42,42,9,33,0,18,15,0,0,9
11,qm,blue,3751,2518,2532,48,48,15,27,0,6,21,6,0,15
12,qm,red,2515,2480,3007,38,38,6,20,8,0,12,12,0,6
12,qm,blue,3745,5232,2825,40,40,12,28,4,18,6,0,0,12
13,qm,red,3102,2846,2498,39,39,12,27,0,15,12,0,0,12
13,qm,blue,5913,5464,3058,60,60,15,45,6,24,15,0,0,15
14,qm,red,5996,5172,3298,68,68,15,53,14,21,18,0,0,15
14,qm,blue,4198,5541,2181,56,56,15,41,2,18,21,0,0,15
15,qm,red,4536,2530,4549,47,47,12,29,8,15,6,6,0,12
15,qm,blue,3299,4229,3407,41,41,12,29,14,9,6,0,0,12
16,qm,red,4207,3751,3630,42,42,15,24,6,15,3,3,0,15
16,qm,blue,4607,3244,3023,40,40,9,31,10,18,3,0,0,9
17,qm,red,2501,2855,7068,45,45,15,30,6,15,9,0,0,15
17,qm,blue,5637,2987,2500,67,67,15,43,10,15,18,9,0,15
18,qm,red,2470,7180,6709,39,39,6,33,6,18,9,0,0,6
18,qm,blue,5434,3134,3202,40,40,6,25,10,9,6,9,0,6
19,qm,red,7850,3871,4664,19,19,9,10,4,3,3,0,0,9
19,qm,blue,3026,2509,3038,55,55,12,43,10,24,9,0,0,12
20,qm,red,2232,3184,7028,74,74,15,49,10,24,15,10,0,15
20,qm,blue,2052,3055,2508,59,59,15,44,8,27,9,0,0,15
21,qm,red,7038,2823,2529,47,47,12,32,8,18,6,3,0,12
21,qm,blue,2502,3454,2879,40,40,15,25,10,12,3,0,0,15
22,qm,red,3745,2515,5637,31,31,9,22,4,12,6,0,0,9
22,qm,blue,2987,2846,2530,68,68,15,40,10,21,9,13,0,15
23,qm,red,3630,2501,7180,49,49,9,37,10,21,6,3,0,9
23,qm,blue,4207,2181,3007,66,66,15,48,18,12,18,3,0,15
24,qm,red,2480,2470,3038,39,39,9,27,0,18,9,3,0,9
24,qm,blue,2498,4549,4607,59,59,12,41,8,27,6,6,0,12
25,qm,red,3751,7028,2052,71,71,15,56,14,24,18,0,0,15
25,qm,blue,7850,2825,5172,51,51,9,42,6,21,15,0,0,9
26,qm,red,3454,5541,2532,42,42,12,30,6,15,9,0,0,12
26,qm,blue,2232,3134,2508,45,45,12,27,0,9,18,6,0,12
27,qm,red,3058,3244,4229,81,81,15,32,8,24,0,34,0,15
27,qm,blue,2529,7068,3871,47,47,15,29,2,18,9,3,0,15
28,qm,red,4198,6709,3055,46,46,9,37,4,18,15,0,0,9
28,qm,blue,5232,2879,3102,46,46,9,34,4,15,15,3,0,9
29,qm,red,3202,3023,4536,35,35,9,26,2,15,9,0,0,9
29,qm,blue,2518,5464,3026,51,51,9,26,8,12,6,16,0,9
30,qm,red,2509,5913,2500,69,69,15,54,6,27,21,0,0,15
30,qm,blue,2513,3298,2823,40,40,9,25,4,12,9,6,0,9
31,qm,red,3299,2502,5996,51,51,12,39,6,15,18,0,0,12
31,qm,blue,2855,3184,4664,55,55,15,24,6,12,6,16,0,15
32,qm,red,3407,2532,2052,61,61,15,37,10,18,9,9,0,15
32,qm,blue,5434,7038,3871,46,46,6,40,10,21,9,0,0,6
33,qm,red,2181,5637,7028,61,61,15,46,16,12,18,0,0,15
33,qm,blue,3102,3038,2515,62,62,9,53,8,27,18,0,0,9
34,qm,red,2987,5464,2232,47,47,9,35,2,15,18,3,0,9
34,qm,blue,4229,2470,3751,35,35,12,23,2,15,6,0,0,12
35,qm,red,3298,3630,3058,48,48,12,36,6,24,6,0,0,12
35,qm,blue,7180,3454,2825,9,9,6,3,0,0,3,0,0,6
36,qm,red,7068,4536,3745,57,57,12,36,6,21,9,9,0,12
36,qm,blue,2508,2513,2498,52,52,6,33,0,15,18,13,0,6
37,qm,red,5434,5913,2480,69,69,12,45,12,18,15,12,0,12
37,qm,blue,5996,3026,3055,27,27,9,18,6,9,3,0,0,9
38,qm,red,2529,3023,2855,20,20,12,8,2,3,3,0,0,12
38,qm,blue,6709,5541,7850,34,34,15,16,4,6,6,3,0,15
39,qm,red,3007,4607,5232,54,54,15,39,12,12,15,0,0,15
39,qm,blue,4664,3407,2518,17,17,9,8,2,3,3,0,0,9
40,qm,red,4549,2509,4207,47,47,15,32,2,21,9,0,0,15
40,qm,blue,2500,7038,2502,55,55,15,40,10,24,6,0,0,15
41,qm,red,2823,2879,2846,26,26,3,20,14,3,3,3,0,3
41,qm,blue,5172,2530,3134,61,61,15,43,16,15,12,3,0,15
42,qm,red,3244,3202,4198,55,55,12,37,10,9,18,6,0,12
42,qm,blue,3184,3299,2501,24,24,12,12,6,3,3,0,0,12
43,qm,red,2513,3026,3871,40,40,9,31,4,18,9,0,0,9
43,qm,blue,2515,3630,5541,60,60,12,48,12,24,12,0,0,12
44,qm,red,2181,2855,2480,41,41,15,26,14,3,9,0,0,15
44,qm,blue,2529,2232,3407,43,43,12,21,6,6,9,10,0,12
45,qm,red,2502,3007,5637,61,61,15,43,4,21,18,3,0,15
45,qm,blue,3023,3058,5434,42,42,12,30,6,21,3,0,0,12
46,qm,red,2052,4607,2509,78,78,12,66,12,36,18,0,0,12
46,qm,blue,3055,2987,4536,61,61,12,49,10,24,15,0,0,12
47,qm,red,2825,4664,4198,41,41,12,29,2,12,15,0,0,12
47,qm,blue,2530,4207,3202,54,54,15,29,8,12,9,10,0,15
48,qm,red,4229,2518,2508,54,54,15,36,6,12,18,3,0,15
48,qm,blue,6709,2501,5996,39,39,9,30,6,15,9,0,0,9
49,qm,red,3102,7850,3299,69,69,15,54,12,24,18,0,0,15
49,qm,blue,3745,2470,2823,63,63,9,44,14,24,6,10,0,9
50,qm,red,4549,2500,5464,40,40,9,21,6,3,12,10,0,9
50,qm,blue,2879,2532,3244,40,40,15,25,10,12,3,0,0,15
51,qm,red,2498,5232,3184,43,43,15,28,4,21,3,0,0,15
51,qm,blue,5172,3751,3454,65,65,15,50,8,24,18,0,0,15
52,qm,red,3134,7068,7180,48,48,9,29,2,12,15,10,0,9
52,qm,blue,7028,5913,7038,77,77,15,62,14,33,15,0,0,15
53,qm,red,3038,4536,4229,52,52,9,43,10,24,9,0,0,9
53,qm,blue,2846,3298,2855,42,42,12,30,6,15,9,0,0,12
54,qm,red,2825,2513,3407,17,17,12,2,2,0,0,3,0,12
54,qm,blue,3055,5637,2470,41,41,12,29,14,6,9,0,0,12
55,qm,red,2879,2515,3058,55,55,15,31,10,15,6,9,0,15
55,qm,blue,2509,5996,2232,53,53,12,41,2,21,18,0,0,12
56,qm,red,7850,2508,3244,54,54,15,36,6,21,9,3,0,15
56,qm,blue,5232,4198,5434,50,50,12,38,2,18,18,0,0,12
57,qm,red,2532,3102,7180,36,36,9,24,0,18,6,3,0,9
57,qm,blue,3023,2480,2501,31,31,9,19,4,12,3,3,0,9
58,qm,red,5913,3630,3299,42,42,12,30,6,15,9,0,0,12
58,qm,blue,3038,2052,5172,62,62,15,47,14,27,6,0,0,15
59,qm,red,4607,3026,3454,64,64,12,46,10,30,6,6,0,12
59,qm,blue,2502,2181,5464,77,77,15,42,12,15,15,20,0,15
60,qm,red,7038,2846,7068,50,50,12,38,8,24,6,0,0,12
60,qm,blue,3298,4664,3751,38,38,9,29,2,21,6,0,0,9
61,qm,red,3202,2823,5541,52,52,9,43,10,21,12,0,0,9
61,qm,blue,4549,7028,3007,61,61,12,49,16,15,18,0,0,12
62,qm,red,2518,3745,2529,38,38,12,26,2,15,9,0,0,12
62,qm,blue,3134,2500,3184,62,62,12,50,8,24,18,0,0,12
63,qm,red,4207,2498,2987,79,79,15,61,10,30,21,3,0,15
63,qm,blue,3871,6709,2530,60,60,15,42,6,24,12,3,0,15
64,qm,red,3630,2181,5232,59,59,15,44,8,27,9,0,0,15
64,qm,blue,2532,4536,2470,45,45,12,33,6,18,9,0,0,12
65,qm,red,2508,5172,3058,76,76,15,58,10,27,21,3,0,15
65,qm,blue,3407,2515,4607,68,68,15,40,10,21,9,13,0,15
66,qm,red,5464,5434,2509,64,64,15,49,10,18,21,0,0,15
66,qm,blue,3299,7068,5541,55,55,15,40,4,24,12,0,0,15
67,qm,red,2502,3202,7850,66,66,15,48,6,24,18,3,0,15
67,qm,blue,5637,2480,4229,47,47,12,35,8,18,9,0,0,12
68,qm,red,2846,3184,3026,52,52,12,37,10,21,6,3,0,12
68,qm,blue,7028,4207,2513,38,38,15,20,2,12,6,3,0,15
69,qm,red,3134,3007,3298,57,57,12,45,12,15,18,0,0,12
69,qm,blue,2052,2498,3244,76,76,15,58,16,24,18,3,0,15
70,qm,red,2825,7038,5996,40,40,9,21,0,15,6,10,0,9
70,qm,blue,2987,2529,3102,54,54,15,39,6,15,18,0,0,15
71,qm,red,2530,2500,2518,64,64,15,46,16,15,15,3,0,15
71,qm,blue,7180,2232,3038,38,38,6,32,8,18,6,0,0,6
72,qm,red,3454,6709,3745,30,30,9,18,0,9,9,3,0,9
72,qm,blue,4198,4549,5913,81,81,12,42,6,18,18,27,0,12
73,qm,red,3871,3751,2855,31,31,15,16,4,6,6,0,0,15
73,qm,blue,2501,2823,3055,51,51,9,42,12,27,3,0,0,9
74,qm,red,3023,2879,2181,36,36,15,8,2,0,6,13,0,15
74,qm,blue,2498,4229,4664,43,43,12,31,4,18,9,0,0,12
75,qm,red,2532,5232,2987,61,61,15,43,4,18,21,3,0,15
75,qm,blue,3026,3202,2529,43,43,9,34,10,15,9,0,0,9
76,qm,red,7028,5172,2470,76,76,15,61,22,21,18,0,0,15
76,qm,blue,4536,3058,2500,51,51,15,33,12,9,12,3,0,15
77,qm,red,3407,3244,6709,48,48,15,33,12,15,6,0,0,15
77,qm,blue,2509,2825,2846,39,39,6,23,2,18,3,10,0,6
78,qm,red,5637,2508,4207,47,47,15,32,2,15,15,0,0,15
78,qm,blue,2480,3299,2823,46,46,9,37,10,18,9,0,0,9
79,qm,red,3038,2501,3751,47,47,12,35,8,21,6,0,0,12
79,qm,blue,5541,3745,2502,51,51,15,36,0,15,21,0,0,15
80,qm,red,4664,3102,3134,47,47,15,29,2,9,18,3,0,15
80,qm,blue,3630,2855,2232,66,66,12,51,12,30,9,3,0,12
81,qm,red,5464,4198,7850,64,64,15,49,10,18,21,0,0,15
81,qm,blue,3007,2513,7038,46,46,6,40,10,15,15,0,0,6
82,qm,red,3184,7180,5913,57,57,12,42,6,21,15,3,0,12
82,qm,blue,4607,3871,2879,57,57,15,42,12,21,9,0,0,15
83,qm,red,2530,3023,3454,27,27,12,15,0,6,9,0,0,12
83,qm,blue,7068,5996,2052,72,72,15,54,12,27,15,3,0,15
84,qm,red,3055,5434,2515,37,37,6,31,16,12,3,0,0,6
84,qm,blue,2518,3298,4549,46,46,12,34,4,18,12,0,0,12
85,qm,red,2501,5637,2498,54,54,12,42,6,24,12,0,0,12
85,qm,blue,3630,2529,2509,71,71,15,56,8,30,18,0,0,15
86,qm,red,5172,3102,2513,75,75,15,60,18,27,15,0,0,15
86,qm,blue,2987,2502,3244,65,65,15,47,14,30,3,3,0,15
