match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3206,3082,2491,38,38,9,29,8,15,6,0,0,9
1,qm,blue,2574,4778,7858,49,49,9,37,10,24,3,3,0,9
2,qm,red,4665,3848,2883,58,58,6,52,16,21,15,0,0,6
2,qm,blue,2239,3018,7875,28,28,9,19,10,3,6,0,0,9
3,qm,red,7892,2450,7849,33,33,6,17,8,0,9,10,0,6
3,qm,blue,6487,3633,2472,37,37,9,28,4,15,9,0,0,9
4,qm,red,7258,4277,2654,35,35,6,19,4,9,6,10,0,6
4,qm,blue,5278,2225,4648,35,35,9,26,8,12,6,0,0,9
5,qm,red,2549,2175,3042,84,84,15,63,12,30,21,6,0,15
5,qm,blue,5826,2207,5993,52,52,15,37,10,18,9,0,0,15
6,qm,red,3130,4632,3610,46,46,12,34,10,21,3,0,0,12
6,qm,blue,5275,6912,2525,28,28,15,13,4,0,9,0,0,15
7,qm,red,2989,3276,3100,66,66,12,35,8,18,9,19,0,12
7,qm,blue,4174,2177,2606,51,51,15,36,6,18,12,0,0,15
8,qm,red,2143,5340,3313,57,57,9,38,8,21,9,10,0,9
8,qm,blue,4215,4225,2227,49,49,9,40,10,12,18,0,0,9
9,qm,red,6803,2538,2129,36,36,15,11,8,3,0,10,0,15
9,qm,blue,4663,3883,3122,49,49,15,34,10,15,9,0,0,15
10,qm,red,3926,3277,7273,54,54,15,39,18,0,21,0,0,15
10,qm,blue,1816,5626,6749,47,47,9,38,8,12,18,0,0,9
11,qm,red,5275,7892,4778,37,37,9,28,4,6,18,0,0,9
11,qm,blue,2549,2207,2883,58,58,9,49,10,30,9,0,0,9
12,qm,red,2450,2225,3082,45,45,9,36,6,21,9,0,0,9
12,qm,blue,5826,3276,4648,41,41,12,29,8,12,9,0,0,12
13,qm,red,4174,2143,3633,53,53,15,38,8,15,15,0,0,15
13,qm,blue,2491,4632,2239,47,47,15,32,8,18,6,0,0,15
