match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7029,7671,6215,45,45,9,36,6,24,6,0,0,9
1,qm,blue,3822,5160,4534,53,53,12,41,8,21,12,0,0,12
2,qm,red,6639,6500,6426,53,53,15,35,8,21,6,3,0,15
2,qm,blue,3336,7265,3737,49,49,15,34,10,15,9,0,0,15
3,qm,red,2682,7443,7739,51,51,12,39,6,27,6,0,0,12
3,qm,blue,3215,3661,2642,17,17,12,5,2,0,3,0,0,12
4,qm,red,5511,7890,6214,58,58,15,43,4,18,21,0,0,15
4,qm,blue,6512,4829,5544,44,44,12,32,14,12,6,0,0,12
5,qm,red,6729,4291,435,33,33,12,21,6,12,3,0,0,12
5,qm,blue,6004,7463,7715,20,20,12,8,2,0,6,0,0,12
6,qm,red,5607,4795,3796,45,45,15,30,0,15,15,0,0,15
6,qm,blue,7270,4816,7675,18,18,9,9,0,6,3,0,0,9
7,qm,red,2682,6512,2642,36,36,6,30,6,21,3,0,0,6
7,qm,blue,5544,7739,3737,47,47,9,38,8,24,6,0,0,9
8,qm,red,7463,3336,3661,43,43,15,18,0,12,6,10,0,15
8,qm,blue,3822,6426,4829,38,38,15,20,2,9,9,3,0,15
9,qm,red,7443,7029,5607,36,36,15,21,6,9,6,0,0,15
9,qm,blue,7671,6729,7675,58,58,12,46,10,27,9,0,0,12
10,qm,red,6500,435,3215,46,46,9,37,4,24,9,0,0,9
10,qm,blue,7715,4795,4534,61,61,12,49,10,21,18,0,0,12
11,qm,red,4816,5511,7265,50,50,15,35,2,15,18,0,0,15
11,qm,blue,5160,4291,6214,52,52,15,37,4,24,9,0,0,15
12,qm,red,6215,3796,6004,20,20,12,8,2,0,6,0,0,12
12,qm,blue,6639,7270,7890,42,42,15,24,0,15,9,3,0,15
13,qm,red,3661,7715,7671,35,35,9,26,2,18,6,0,0,9
13,qm,blue,5544,4795,6500,74,74,9,50,8,24,18,15,0,9
14,qm,red,3822,5511,6512,55,55,12,34,10,9,15,9,0,12
14,qm,blue,5607,2682,4816,46,46,15,31,4,21,6,0,0,15
15,qm,red,3796,6729,7890,26,26,9,17,8,3,6,0,0,9
15,qm,blue,3737,7463,3215,32,32,9,23,2,15,6,0,0,9
16,qm,red,3336,6214,435,51,51,15,36,6,24,6,0,0,15
16,qm,blue,6215,7270,7443,34,34,12,22,4,12,6,0,0,12
17,qm,red,6004,6639,5160,41,41,15,23,2,15,6,3,0,15
17,qm,blue,4291,2642,4829,59,59,15,44,14,21,9,0,0,15
18,qm,red,7675,7265,7739,18,18,9,9,0,6,3,0,0,9
18,qm,blue,7029,4534,6426,46,46,12,34,4,21,9,0,0,12
19,qm,red,5544,6215,6214,44,44,12,32,2,21,9,0,0,12
19,qm,blue,7890,5607,3822,47,47,15,32,2,18,12,0,0,15
20,qm,red,4829,3215,7443,31,31,12,16,4,6,6,3,0,12
20,qm,blue,5511,6500,4291,47,47,15,32,2,15,15,0,0,15
21,qm,red,4795,7270,7029,41,41,3,38,2,18,18,0,0,3
21,qm,blue,6004,6512,3737,39,39,15,24,6,9,9,0,0,15
22,qm,red,7671,5160,4816,23,23,9,14,2,6,6,0,0,9
22,qm,blue,4534,2682,3336,64,64,15,49,10,27,12,0,0,15
23,qm,red,6426,7739,3661,24,24,12,12,0,3,9,0,0,12
23,qm,blue,435,6639,7463,45,45,12,33,6,21,6,0,0,12
24,qm,red,6729,7265,7715,47,47,15,17,2,9,6,15,0,15
24,qm,blue,7675,3796,2642,37,37,9,28,4,18,6,0,0,9
25,qm,red,3215,6215,5511,18,18,6,12,0,6,6,0,0,6
25,qm,blue,6512,3336,7671,51,51,15,36,6,21,9,0,0,15
26,qm,red,4829,3737,7029,54,54,15,39,12,18,9,0,0,15
26,qm,blue,6426,7443,4795,52,52,15,37,4,15,18,0,0,15
27,qm,red,5160,7890,7265,48,48,9,39,6,24,9,0,0,9
27,qm,blue,3661,4816,6729,26,26,15,11,8,0,3,0,0,15
28,qm,red,3822,435,5544,51,51,9,42,12,21,9,0,0,9
28,qm,blue,2642,7715,6639,58,58,15,43,10,24,9,0,0,15
29,qm,red,7739,6500,7270,39,39,12,24,0,18,6,3,0,12
29,qm,blue,4291,7675,5607,47,47,15,32,2,18,12,0,0,15
30,qm,red,3796,7463,4534,35,35,12,23,8,3,12,0,0,12
30,qm,blue,2682,6214,6004,61,61,15,43,10,21,12,3,0,15
31,qm,red,7715,6426,5544,35,35,6,26,2,15,9,3,0,6
31,qm,blue,3661,7443,5160,39,39,15,24,0,15,9,0,0,15
32,qm,red,4291,7270,3822,27,27,9,18,6,6,6,0,0,9
32,qm,blue,7029,6512,3215,20,20,6,14,2,6,6,0,0,6
33,qm,red,7890,4534,3737,63,63,15,48,12,21,15,0,0,15
33,qm,blue,7671,6004,5607,53,53,15,38,2,21,15,0,0,15
34,qm,red,6729,6639,7739,25,25,9,16,10,0,6,0,0,9
34,qm,blue,4795,5511,3336,63,63,15,48,6,27,15,0,0,15
35,qm,red,6214,7675,4829,48,48,15,33,12,12,9,0,0,15
35,qm,blue,2642,435,4816,49,49,12,37,4,24,9,0,0,12
36,qm,red,7463,6215,2682,41,41,15,26,2,15,9,0,0,15
36,qm,blue,6500,7265,3796,58,58,15,27,0,18,9,16,0,15
37,qm,red,4534,6004,7270,49,49,15,34,4,18,12,0,0,15
37,qm,blue,5160,5544,6729,60,60,15,42,12,27,3,3,0,15
38,qm,red,3737,3661,4291,54,54,15,29,8,12,9,10,0,15
38,qm,blue,7029,7675,5511,50,50,9,41,8,15,18,0,0,9
39,qm,red,435,4795,2682,53,53,12,41,8,15,18,0,0,12
39,qm,blue,6426,7890,6215,20,20,9,11,2,0,9,0,0,9
40,qm,red,7671,3215,6639,31,31,9,22,4,15,3,0,0,9
40,qm,blue,4816,6214,7715,30,30,15,15,0,6,9,0,0,15
41,qm,red,7443,6512,7463,37,37,15,22,4,9,9,0,0,15
41,qm,blue,5607,2642,7265,48,48,15,33,6,21,6,0,0,15
42,qm,red,3796,4829,7739,35,35,12,23,14,3,6,0,0,12
42,qm,blue,6500,3822,3336,45,45,9,36,6,27,3,0,0,9
43,qm,red,4291,4816,7029,33,33,9,24,0,18,6,0,0,9
43,qm,blue,6215,6639,7675,17,17,9,8,2,3,3,0,0,9
44,qm,red,5544,7443,6004,54,54,15,39,6,21,12,0,0,15
44,qm,blue,6214,7463,6729,35,35,15,20,8,6,6,0,0,15
45,qm,red,7890,2642,6500,56,56,9,38,8,24,6,9,0,9
45,qm,blue,6512,6426,3796,18,18,12,6,0,3,3,0,0,12
46,qm,red,4829,2682,7671,65,65,15,47,14,24,9,3,0,15
46,qm,blue,7270,435,7265,29,29,12,17,2,12,3,0,0,12
47,qm,red,3737,3822,7715,31,31,9,22,10,9,3,0,0,9
47,qm,blue,5511,4534,3661,59,59,12,47,8,21,18,0,0,12
48,qm,red,7739,3215,4795,51,51,15,36,0,18,18,0,0,15
48,qm,blue,5607,3336,5160,57,57,9,39,6,24,9,9,0,9
49,qm,red,7675,5544,7463,64,64,12,34,4,24,6,18,0,12
49,qm,blue,6500,6215,6512,30,30,9,21,0,18,3,0,0,9
50,qm,red,7270,6214,3661,27,27,15,12,0,9,3,0,0,15
50,qm,blue,6729,4534,7443,72,72,15,48,12,24,12,9,0,15
51,qm,red,2642,6426,5511,51,51,9,42,6,21,15,0,0,9
51,qm,blue,4816,6004,3215,25,25,9,16,4,0,12,0,0,9
52,qm,red,7890,7671,435,51,51,12,39,6,21,12,0,0,12
52,qm,blue,7739,3336,4291,46,46,12,24,0,18,6,10,0,12
53,qm,red,3737,5160,4795,53,53,15,38,8,21,9,0,0,15
53,qm,blue,7265,3822,6639,47,47,15,32,8,6,18,0,0,15
54,qm,red,7715,5607,4829,39,39,12,27,12,9,6,0,0,12
54,qm,blue,3796,7029,2682,45,45,12,33,6,21,6,0,0,12
55,qm,red,7463,4816,6500,33,33,9,24,0,18,6,0,0,9
55,qm,blue,7739,5511,6004,55,55,15,40,4,15,21,0,0,15
56,qm,red,2642,4534,5544,85,85,15,60,18,30,12,10,0,15
56,qm,blue,4795,4291,6215,45,45,12,33,0,15,18,0,0,12
57,qm,red,5160,3796,7270,31,31,15,16,4,9,3,0,0,15
57,qm,blue,435,3737,6426,36,36,9,27,6,15,6,0,0,9
58,qm,red,2682,7890,7675,56,56,15,41,8,21,12,0,0,15
58,qm,blue,7443,3822,7671,55,55,12,33,6,18,9,10,0,12
59,qm,red,6512,6729,5607,60,60,15,24,6,9,9,21,0,15
59,qm,blue,4829,3661,6639,46,46,9,34,10,6,18,3,0,9
60,qm,red,3215,7715,3336,29,29,9,20,2,15,3,0,0,9
60,qm,blue,7265,7029,6214,36,36,12,24,0,15,9,0,0,12
61,qm,red,7463,2642,3822,46,46,15,31,4,24,3,0,0,15
61,qm,blue,5511,7671,7270,58,58,9,49,10,21,18,0,0,9
62,qm,red,4534,4816,6512,49,49,15,28,4,12,12,6,0,15
62,qm,blue,6639,3737,7443,52,52,15,37,4,24,9,0,0,15
63,qm,red,7265,3215,4291,21,21,6,15,0,9,6,0,0,6
63,qm,blue,3661,5544,3796,27,27,9,18,0,15,3,0,0,9
64,qm,red,6214,5607,6500,54,54,15,39,6,24,9,0,0,15
64,qm,blue,435,5160,7029,44,44,12,32,2,21,9,0,0,12
65,qm,red,3336,4829,6215,61,61,15,46,10,18,18,0,0,15
65,qm,blue,6426,6729,2682,49,49,15,34,4,24,6,0,0,15
66,qm,red,4795,7675,6004,44,44,15,29,2,15,12,0,0,15
66,qm,blue,7715,7739,7890,42,42,15,27,0,15,12,0,0,15
67,qm,red,6639,5607,4534,77,77,12,52,10,30,12,13,0,12
67,qm,blue,7443,3796,5511,58,58,12,36,6,12,18,10,0,12
