match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7133,1058,6367,49,49,9,40,10,12,18,0,0,9
1,qm,blue,4958,319,6691,45,45,12,33,12,18,3,0,0,12
2,qm,red,7674,6933,238,44,44,6,38,8,21,9,0,0,6
2,qm,blue,3597,1517,509,59,59,12,47,8,18,21,0,0,12
3,qm,red,151,501,6324,59,59,15,44,8,15,21,0,0,15
3,qm,blue,3451,811,2342,36,36,9,27,6,9,12,0,0,9
4,qm,red,4546,5902,885,27,27,12,12,0,9,3,3,0,12
4,qm,blue,7907,2370,7416,71,71,9,56,14,27,15,6,0,9
5,qm,red,1757,6172,1512,31,31,6,25,4,6,15,0,0,6
5,qm,blue,1922,7212,7314,35,35,12,23,14,3,6,0,0,12
6,qm,red,6895,1831,69,45,45,15,30,12,3,15,0,0,15
6,qm,blue,4034,1073,7126,43,43,12,31,10,9,12,0,0,12
7,qm,red,5962,166,7416,53,53,15,38,14,12,12,0,0,15
7,qm,blue,1740,1350,1517,46,46,15,31,10,15,6,0,0,15
8,qm,red,6933,7212,1512,26,26,12,14,2,12,0,0,0,12
8,qm,blue,2370,6324,2342,59,59,9,44,8,21,15,6,0,9
9,qm,red,4034,319,7907,52,52,12,40,4,18,18,0,0,12
9,qm,blue,1073,3597,7133,58,58,12,43,10,21,12,3,0,12
10,qm,red,4958,1757,7674,48,48,9,39,6,21,12,0,0,9
10,qm,blue,7314,5962,151,38,38,15,23,8,3,12,0,0,15
11,qm,red,1831,6691,1058,38,38,9,29,14,6,9,0,0,9
11,qm,blue,166,3451,69,56,56,15,41,20,3,18,0,0,15
12,qm,red,1922,885,509,67,67,15,52,16,18,18,0,0,15
12,qm,blue,501,6895,4546,34,34,15,19,4,0,15,0,0,15
13,qm,red,811,6172,1740,20,20,6,14,2,9,3,0,0,6
13,qm,blue,238,7126,6367,50,50,6,44,8,27,9,0,0,6
14,qm,red,5902,7133,2342,36,36,12,24,0,15,9,0,0,12
14,qm,blue,1350,7314,3597,24,24,9,15,0,12,3,0,0,9
15,qm,red,1922,6691,5962,51,51,15,36,18,6,12,0,0,15
15,qm,blue,1058,6895,7907,29,29,6,23,8,6,9,0,0,6
16,qm,red,4546,7212,7416,19,19,12,7,4,0,3,0,0,12
16,qm,blue,166,1512,4034,55,55,9,31,22,3,6,15,0,9
17,qm,red,1073,1517,69,72,72,15,57,24,12,21,0,0,15
17,qm,blue,509,4958,3451,56,56,15,41,8,12,21,0,0,15
18,qm,red,7126,1350,501,55,55,15,40,4,15,21,0,0,15
18,qm,blue,6933,6324,1740,49,49,15,34,10,18,6,0,0,15
19,qm,red,238,319,6172,92,92,9,65,14,33,18,18,0,9
19,qm,blue,885,1831,151,45,45,15,30,12,9,9,0,0,15
20,qm,red,7674,2370,5902,63,63,15,45,6,18,21,3,0,15
20,qm,blue,6367,1757,811,14,14,9,5,2,0,3,0,0,9
21,qm,red,69,1740,4958,63,63,15,48,12,15,21,0,0,15
21,qm,blue,6933,4034,6895,22,22,15,7,4,0,3,0,0,15
22,qm,red,238,1831,1922,58,58,12,46,16,12,18,0,0,12
22,qm,blue,2342,885,1512,36,36,9,27,6,12,9,0,0,9
23,qm,red,2370,7314,7126,53,53,12,41,2,21,18,0,0,12
23,qm,blue,4546,5962,319,64,64,12,42,6,18,18,10,0,12
24,qm,red,3451,7416,1757,52,52,9,43,10,12,21,0,0,9
24,qm,blue,7907,6172,166,38,38,15,20,8,3,9,3,0,15
25,qm,red,1073,1350,1058,36,36,12,24,6,12,6,0,0,12
25,qm,blue,151,1517,811,49,49,12,37,22,6,9,0,0,12
26,qm,red,7674,6367,7212,33,33,9,24,0,18,6,0,0,9
26,qm,blue,3597,6691,501,61,61,12,46,10,27,9,3,0,12
27,qm,red,5902,3451,6324,22,22,6,16,4,6,6,0,0,6
27,qm,blue,7133,509,1831,50,50,12,38,2,18,18,0,0,12
28,qm,red,151,7907,1740,35,35,15,20,8,6,6,0,0,15
28,qm,blue,6895,1512,238,52,52,15,37,10,21,6,0,0,15
29,qm,red,6367,2342,1922,58,58,12,34,4,12,18,12,0,12
29,qm,blue,7212,4958,166,44,44,15,26,2,15,9,3,0,15
30,qm,red,6324,1073,4546,48,48,12,33,6,9,18,3,0,12
30,qm,blue,501,69,5962,67,67,12,55,10,21,24,0,0,12
31,qm,red,509,4034,2370,61,61,12,49,10,21,18,0,0,12
31,qm,blue,1058,7314,6933,49,49,15,34,4,12,18,0,0,15
32,qm,red,1757,7126,6691,36,36,9,27,12,6,9,0,0,9
32,qm,blue,1350,7416,5902,55,55,15,40,10,21,9,0,0,15
33,qm,red,885,3597,6172,63,63,12,41,14,18,9,10,0,12
33,qm,blue,811,7674,7133,42,42,12,30,6,21,3,0,0,12
34,qm,red,319,7314,69,74,74,15,59,20,21,18,0,0,15
34,qm,blue,1517,2370,6367,59,59,9,50,8,24,18,0,0,9
35,qm,red,7126,4546,2342,23,23,9,14,2,3,9,0,0,9
35,qm,blue,6691,151,1073,69,69,15,51,24,6,21,3,0,15
36,qm,red,7133,6172,6895,40,40,12,28,4,15,9,0,0,12
36,qm,blue,1058,4958,6324,58,58,12,46,10,27,9,0,0,12
37,qm,red,7907,238,3597,44,44,12,29,8,15,6,3,0,12
37,qm,blue,501,5902,166,56,56,15,41,2,21,18,0,0,15
38,qm,red,1517,1757,7212,14,14,6,8,2,3,3,0,0,6
38,qm,blue,1831,6933,811,41,41,12,29,8,18,3,0,0,12
39,qm,red,885,7674,3451,51,51,15,36,12,6,18,0,0,15
39,qm,blue,7416,4034,1740,52,52,12,40,10,21,9,0,0,12
40,qm,red,509,5962,1350,68,68,15,53,8,24,21,0,0,15
40,qm,blue,1512,319,1922,68,68,9,53,14,21,18,6,0,9
41,qm,red,3597,6895,5902,56,56,15,38,8,12,18,3,0,15
41,qm,blue,6172,2342,4958,53,53,15,38,8,21,9,0,0,15
42,qm,red,6691,6324,238,60,60,9,51,12,24,15,0,0,9
42,qm,blue,7314,1757,1073,48,48,15,33,12,0,21,0,0,15
43,qm,red,1350,3451,319,73,73,12,61,16,33,12,0,0,12
43,qm,blue,7674,7126,7907,35,35,12,23,2,12,9,0,0,12
44,qm,red,1517,166,6933,51,51,15,36,6,15,15,0,0,15
44,qm,blue,4034,6367,885,53,53,9,44,8,30,6,0,0,9
45,qm,red,1512,501,1058,57,57,9,48,12,18,18,0,0,9
45,qm,blue,7133,69,4546,38,38,9,26,8,6,12,3,0,9
46,qm,red,7416,151,509,55,55,15,37,16,9,12,3,0,15
46,qm,blue,1831,7212,2370,47,47,6,38,2,21,15,3,0,6
47,qm,red,811,1922,3597,74,74,12,56,20,18,18,6,0,12
47,qm,blue,1740,5962,1073,54,54,15,39,12,6,21,0,0,15
48,qm,red,4034,3451,6691,35,35,6,29,8,12,9,0,0,6
48,qm,blue,238,885,1757,62,62,12,50,14,21,15,0,0,12
49,qm,red,2342,7416,7314,48,48,15,33,12,12,9,0,0,15
49,qm,blue,69,1058,509,73,73,15,55,16,15,24,3,0,15
50,qm,red,6933,1922,2370,68,68,15,53,14,18,21,0,0,15
50,qm,blue,7126,1740,7133,42,42,12,30,6,18,6,0,0,12
51,qm,red,6367,4958,501,74,74,15,59,8,30,21,0,0,15
51,qm,blue,1350,1831,1512,30,30,9,21,0,15,6,0,0,9
52,qm,red,1517,7907,4546,26,26,9,17,8,6,3,0,0,9
52,qm,blue,6172,7674,6324,46,46,15,31,4,15,12,0,0,15
53,qm,red,5902,811,7212,41,41,9,32,8,15,9,0,0,9
53,qm,blue,319,6895,166,65,65,15,47,14,27,6,3,0,15
54,qm,red,151,7133,3451,50,50,12,35,14,12,9,3,0,12
54,qm,blue,5962,6933,885,55,55,15,40,10,18,12,0,0,15
55,qm,red,7314,6691,1517,36,36,12,24,12,9,3,0,0,12
55,qm,blue,7907,501,1831,43,43,15,25,4,3,18,3,0,15
56,qm,red,3597,6367,7416,59,59,9,50,14,18,18,0,0,9
56,qm,blue,6324,1922,7126,52,52,12,37,10,9,18,3,0,12
57,qm,red,319,1740,1058,52,52,12,40,16,18,6,0,0,12
57,qm,blue,7212,238,1350,53,53,9,44,8,27,9,0,0,9
58,qm,red,2370,166,1073,77,77,15,62,14,27,21,0,0,15
58,qm,blue,6895,151,7674,39,39,15,24,6,9,9,0,0,15
59,qm,red,2342,69,4034,53,53,15,38,8,12,18,0,0,15
59,qm,blue,5962,5902,6172,42,42,15,27,0,15,12,0,0,15
60,qm,red,4958,811,1512,38,38,9,29,8,12,9,0,0,9
60,qm,blue,509,4546,1757,44,44,12,32,2,12,18,0,0,12
61,qm,red,1073,1922,6895,53,53,15,38,14,3,21,0,0,15
61,qm,blue,6367,3451,7314,50,50,12,38,8,24,6,0,0,12
62,qm,red,6172,501,4034,56,56,15,41,2,18,21,0,0,15
62,qm,blue,2370,151,319,82,82,12,70,16,33,21,0,0,12
63,qm,red,166,1058,3597,59,59,12,47,14,15,18,0,0,12
63,qm,blue,1757,6324,5962,36,36,12,24,0,18,6,0,0,12
64,qm,red,7907,1350,885,54,54,15,39,6,21,12,0,0,15
64,qm,blue,7212,69,7126,30,30,9,21,6,9,6,0,0,9
65,qm,red,7416,7133,6933,74,74,9,39,12,21,6,26,0,9
65,qm,blue,811,4546,238,29,29,6,23,2,15,6,0,0,6
66,qm,red,1831,5902,4958,55,55,15,40,4,24,12,0,0,15
66,qm,blue,1512,1517,7674,60,60,15,45,6,21,18,0,0,15
67,qm,red,1740,509,6367,66,66,15,51,6,27,18,0,0,15
67,qm,blue,6691,2342,7907,45,45,15,30,12,15,3,0,0,15
68,qm,red,69,238,151,80,80,15,65,20,24,21,0,0,15
68,qm,blue,1757,7133,1922,56,56,12,41,14,9,18,3,0,12
69,qm,red,6324,1512,7314,15,15,15,0,0,0,0,0,0,15
69,qm,blue,885,811,319,70,70,12,58,16,27,15,0,0,12
70,qm,red,4546,2370,1350,55,55,9,46,4,21,21,0,0,9
70,qm,blue,3451,3597,1831,25,25,12,13,10,3,0,0,0,12
71,qm,red,166,509,7126,65,65,15,50,14,18,18,0,0,15
71,qm,blue,4958,4034,1517,56,56,12,32,8,15,9,12,0,12
72,qm,red,7212,2342,6895,19,19,6,10,4,6,0,3,0,6
72,qm,blue,501,7416,7674,59,59,12,47,14,15,18,0,0,12
73,qm,red,6172,1073,6933,64,64,15,46,10,18,18,3,0,15
73,qm,blue,6691,1740,5902,50,50,15,35,8,15,12,0,0,15
74,qm,red,5962,7907,4958,38,38,9,29,8,15,6,0,0,9
74,qm,blue,1058,238,2370,69,69,6,60,12,27,21,3,0,6
75,qm,red,151,4546,4034,48,48,12,33,6,12,15,3,0,12
